QM Energy	FF Energy
      -2.805e-05    -4.73781e-05
     -0.00022461    -0.000151721
    -0.000704382    -0.000534901
     -4.7196e-05    -5.55706e-05
     -0.00018427    -0.000211402
     -3.6718e-05    -3.70261e-05
    -0.000234312    -0.000186198
     -1.0164e-05    -1.52719e-05
     -5.4338e-05    -8.71233e-05
    -0.000505236    -0.000671123
    -0.000927833    -0.000991314
      -9.237e-06    -1.29768e-05
    -0.000822133    -0.000922416
     -4.3614e-05    -4.34786e-05
     -4.7039e-05    -4.72962e-05
     -8.3827e-05    -0.000105283
      -8.217e-06    -1.34266e-05
     -0.00147466     -0.00143898
     -4.6489e-05    -5.28564e-05
     -6.1385e-05    -8.00951e-05
      -0.0014614     -0.00148223
     -0.00164255     -0.00163172
     -1.5215e-05    -2.09239e-05
    -0.000921516      -0.0010672
      -2.358e-05    -2.94857e-05
     -3.5062e-05      -3.381e-05
    -0.000179594    -0.000195423
     -1.9845e-05      -3.783e-05
     -4.2739e-05    -4.97786e-05
     -4.9841e-05    -7.25166e-05
      -2.814e-05    -2.75805e-05
    -0.000303128    -0.000223026
     -3.3036e-05    -4.31618e-05
     -0.00160279      -0.0016768
    -0.000272829     -0.00028542
    -0.000465646    -0.000503776
    -0.000486111    -0.000535589
     -0.00195088     -0.00160516
    -0.000328044    -0.000315969
     -2.8337e-05    -3.94522e-05
    -0.000196214    -0.000232213
     -0.00053933    -0.000619917
     -6.8599e-05    -5.94624e-05
    -0.000198097    -0.000196299
     -0.00140247     -0.00113056
     -9.1611e-05    -8.23912e-05
      -0.0010153    -0.000966472
     -0.00116811     -0.00100937
      -1.029e-05    -1.83418e-05
     -5.5898e-05    -7.70343e-05
    -0.000243729    -0.000280957
     -2.9328e-05    -3.15934e-05
    -0.000158297    -0.000172607
    -0.000140748     -0.00018068
     -2.8428e-05    -2.99353e-05
    -0.000586327    -0.000627638
     -1.9307e-05    -2.32226e-05
     -0.00210014     -0.00144471
    -0.000207915    -0.000190741
    -0.000174161    -0.000119013
     -0.00181932     -0.00155335
     -7.1688e-05    -5.79644e-05
     -3.5414e-05    -4.98794e-05
     -0.00115342     -0.00125738
     -0.00030089    -0.000305706
     -3.5332e-05    -4.99325e-05
    -0.000239368    -0.000213737
     -0.00231753     -0.00282846
    -0.000816196    -0.000767484
    -0.000112733    -0.000116643
    -0.000119637    -0.000130486
     -3.3028e-05    -4.79485e-05
    -0.000244903    -0.000268639
      -7.696e-05    -7.56935e-05
     -1.9358e-05    -1.61119e-05
     -2.0386e-05    -2.99603e-05
    -0.000247037    -0.000303865
     -0.00108781      -0.0010162
     -3.3983e-05    -4.84515e-05
    -0.000233744    -0.000179327
    -0.000597147    -0.000744579
    -0.000723451    -0.000816534
    -0.000118887    -0.000148877
      -2.244e-05    -2.22368e-05
    -0.000383907    -0.000438314
    -0.000455488    -0.000403722
     -4.1916e-05    -5.83428e-05
    -0.000263015    -0.000344398
    -0.000999006     -0.00105377
     -1.6523e-05    -1.86574e-05
     -0.00062839    -0.000666721
    -0.000509503    -0.000647534
    -0.000176139    -0.000249931
      -3.122e-05    -3.77396e-05
      -0.0006303    -0.000638988
     -8.4707e-05    -0.000114763
     -0.00137028     -0.00140326
     -8.2405e-05    -7.90651e-05
     -8.8958e-05    -0.000109647
     -6.3068e-05    -0.000103379
    -0.000884381    -0.000827727
     -1.7555e-05    -2.65129e-05
    -0.000866148    -0.000723773
     -0.00102519    -0.000907249
     -0.00154158     -0.00136773
    -0.000642153    -0.000599019
     -8.5051e-05      -0.0001006
    -0.000301603    -0.000331525
     -4.9088e-05    -6.08688e-05
    -0.000285253    -0.000254349
    -0.000175768     -0.00021083
    -0.000921593    -0.000793297
    -0.000247993    -0.000330518
      -0.0011418     -0.00103991
    -0.000419379    -0.000376699
     -0.00029727    -0.000311029
    -0.000269084    -0.000260296
    -0.000629845    -0.000741558
     -1.5591e-05     -1.3889e-05
     -0.00144898     -0.00172355
    -0.000619922    -0.000535238
     -8.4621e-05    -7.34564e-05
     -0.00127137     -0.00127759
    -0.000133442    -0.000156792
     -3.6854e-05     -4.7957e-05
    -0.000628579    -0.000667337
     -2.9667e-05    -3.49666e-05
     -1.5135e-05    -3.01159e-05
    -0.000345823    -0.000382191
    -0.000306816    -0.000304208
     -0.00225827     -0.00191094
    -0.000175039    -0.000193862
     -8.1572e-05    -9.59531e-05
      -0.0010006    -0.000827045
     -1.4093e-05    -2.03339e-05
      -8.858e-06    -1.19917e-05
    -0.000644652    -0.000493567
    -0.000855108    -0.000786226
      -9.965e-06    -1.16963e-05
     -3.5378e-05    -3.53498e-05
    -0.000319167    -0.000241436
    -0.000108191    -9.23517e-05
     -1.2947e-05    -1.54701e-05
    -0.000882765    -0.000926419
    -0.000269478    -0.000242455
      -6.546e-06    -9.43009e-06
     -4.9425e-05    -7.10096e-05
    -0.000561635      -0.0005553
      -6.131e-05    -6.59473e-05
    -0.000328794    -0.000341787
     -0.00236538     -0.00206414
      -8.587e-06    -2.01937e-05
     -0.00022845     -0.00025588
     -0.00118083     -0.00118217
    -0.000669565    -0.000517826
    -0.000274877    -0.000269298
     -3.3955e-05    -4.95693e-05
     -0.00122011     -0.00129907
    -0.000304352    -0.000325557
    -0.000228263    -0.000210611
     -1.6061e-05    -2.83333e-05
    -0.000491935    -0.000426287
     -4.3465e-05    -4.53473e-05
    -0.000866508    -0.000780011
     -0.00127372      -0.0013321
    -0.000302546     -0.00037145
     -2.9195e-05    -2.88703e-05
     -1.7414e-05    -1.83418e-05
    -0.000709485    -0.000702713
     -3.5941e-05    -6.05872e-05
     -1.5448e-05    -2.05269e-05
     -3.7873e-05    -3.89149e-05
     -2.4907e-05    -3.91306e-05
    -0.000991005     -0.00101733
     -4.5355e-05    -5.01988e-05
       -1.87e-05    -2.01953e-05
    -0.000769014    -0.000856765
     -0.00022067    -0.000170494
      -9.111e-06    -1.70259e-05
    -0.000347807    -0.000329793
     -2.2986e-05    -2.92824e-05
    -0.000190206    -0.000180948
     -4.4191e-05    -3.69695e-05
     -1.0559e-05    -1.86313e-05
     -0.00114691    -0.000994113
     -3.2851e-05    -2.62298e-05
      -3.371e-05    -4.76616e-05
     -0.00174833       -0.001642
    -0.000412067    -0.000463214
    -0.000355453     -0.00030006
     -4.8839e-05    -8.01779e-05
     -0.00118749     -0.00119899
     -3.0344e-05    -4.93574e-05
     -3.4643e-05    -4.33609e-05
     -1.9568e-05    -2.09737e-05
     -6.1891e-05    -4.58192e-05
     -7.5298e-05    -5.31346e-05
     -3.7651e-05    -6.25342e-05
    -0.000446207    -0.000518003
     -3.8759e-05    -4.22081e-05
     -0.00130508     -0.00116769
    -0.000336471     -0.00032156
     -2.6207e-05    -2.64075e-05
     -5.4071e-05    -8.56081e-05
     -2.6948e-05    -3.87267e-05
      -6.592e-06    -1.24286e-05
    -0.000236949    -0.000280028
     -1.6226e-05    -2.34353e-05
     -6.1894e-05    -8.23589e-05
    -0.000310101    -0.000352971
    -0.000102212     -0.00014024
    -0.000522662    -0.000518792
    -0.000903899    -0.000972926
    -0.000155891    -0.000147527
    -0.000261017    -0.000354128
    -0.000992234     -0.00088154
      -2.234e-05    -2.60535e-05
    -0.000122527    -0.000181918
     -0.00188951      -0.0015273
    -0.000522747    -0.000465817
    -0.000237303    -0.000254088
    -0.000404196    -0.000372996
     -0.00057076    -0.000552274
    -0.000175428    -0.000181948
     -0.00179542     -0.00164149
     -0.00103922    -0.000714879
    -0.000313855    -0.000262997
      -0.0010296    -0.000943261
     -1.8066e-05    -2.21178e-05
    -0.000604929    -0.000661734
    -0.000558845    -0.000405203
    -0.000823956    -0.000969125
     -0.00109125     -0.00105146
    -0.000578995    -0.000441396
     -1.3615e-05    -2.07224e-05
    -0.000220307    -0.000271639
     -4.6949e-05    -7.06861e-05
    -0.000654821    -0.000745005
     -5.2427e-05    -6.45851e-05
     -0.00211737     -0.00240948
     -1.0092e-05    -1.50502e-05
    -0.000774418    -0.000909515
    -0.000491554    -0.000560034
    -0.000211852    -0.000215158
     -0.00101669    -0.000763239
    -0.000875845      -0.0009953
     -0.00193207       -0.001964
     -0.00186074     -0.00157654
     -4.8083e-05    -4.89235e-05
    -0.000879722    -0.000797609
    -0.000497198    -0.000395571
     -0.00165341     -0.00199837
      -0.0012857     -0.00100753
     -8.4143e-05    -0.000135262
     -0.00264063     -0.00235416
     -2.2661e-05    -2.22766e-05
    -0.000522369    -0.000597114
     -8.5027e-05    -0.000107076
     -6.5559e-05    -6.76742e-05
     -1.5516e-05    -2.20861e-05
    -0.000187094    -0.000243079
    -0.000849688     -0.00097398
    -0.000868354     -0.00105663
     -9.3335e-05    -0.000103776
    -0.000775172    -0.000590362
     -2.6764e-05    -4.39744e-05
      -7.582e-06     -1.0135e-05
      -9.371e-06     -1.4855e-05
     -0.00073575    -0.000895759
     -3.0656e-05    -3.61753e-05
    -0.000108231    -0.000158977
    -0.000265828    -0.000293696
    -0.000790053    -0.000878577
     -5.6458e-05     -8.4956e-05
     -1.3406e-05    -2.41769e-05
    -0.000142681    -0.000187712
    -0.000224073    -0.000187722
     -4.1677e-05    -6.76335e-05
    -0.000111585    -0.000124424
    -0.000158331    -0.000191572
     -1.5239e-05    -2.29861e-05
     -3.0983e-05    -2.91658e-05
     -9.7279e-05    -0.000143037
     -8.0515e-05     -7.5458e-05
     -2.8857e-05    -4.22872e-05
     -0.00118894        -0.00108
     -8.6884e-05    -0.000106059
     -1.2708e-05    -1.88982e-05
    -0.000366401    -0.000420695
     -3.1443e-05    -4.81946e-05
    -0.000209042    -0.000263285
     -1.0125e-05    -1.56533e-05
     -7.7719e-05    -0.000119426
    -0.000105792     -9.5279e-05
     -4.5986e-05    -4.67547e-05
    -0.000194287    -0.000202367
     -6.2583e-05    -6.64286e-05
    -0.000650788    -0.000502864
    -0.000309667    -0.000229884
    -0.000164863    -0.000170879
    -0.000292121     -0.00036395
     -5.5881e-05    -5.24885e-05
    -0.000259868    -0.000221709
    -0.000219442    -0.000263881
    -0.000965525    -0.000978668
      -8.418e-06    -1.28987e-05
     -7.2287e-05     -9.7773e-05
     -2.3017e-05     -3.7884e-05
     -1.4021e-05    -2.36067e-05
     -9.1473e-05    -0.000138259
    -0.000930464    -0.000972921
     -9.0963e-05    -9.96815e-05
    -0.000788604    -0.000853097
     -1.9228e-05    -2.44586e-05
     -0.00106369     -0.00103389
     -4.2394e-05    -7.17481e-05
     -3.1799e-05    -3.81801e-05
     -1.7486e-05    -2.33807e-05
     -8.0284e-05     -8.5676e-05
     -0.00105683    -0.000963225
      -4.762e-05    -6.78173e-05
     -0.00110947     -0.00080505
     -0.00013309    -0.000144374
      -9.332e-06    -1.03266e-05
     -3.4083e-05    -2.62176e-05
     -8.1378e-05    -8.08942e-05
     -0.00139027     -0.00104501
    -0.000536286    -0.000479174
    -0.000772515    -0.000679464
     -2.2899e-05    -3.46491e-05
     -0.00212357     -0.00245533
    -0.000392994    -0.000331258
    -0.000216658    -0.000277895
    -0.000143348    -0.000139106
    -0.000407079    -0.000464543
    -0.000189873    -0.000178177
     -0.00114665     -0.00127639
    -0.000663447    -0.000574088
      -0.0005767    -0.000655649
     -0.00112044     -0.00115112
     -4.3974e-05    -5.21339e-05
     -0.00073463    -0.000694131
     -0.00125348     -0.00117423
    -0.000407749    -0.000422751
     -0.00130386     -0.00147482
    -0.000759974    -0.000697098
     -0.00144974     -0.00128245
    -0.000269176    -0.000238164
    -0.000636355    -0.000712601
    -0.000983762    -0.000909359
     -4.1704e-05    -3.93311e-05
     -0.00119192     -0.00136148
      -8.447e-06    -1.23734e-05
    -0.000570913    -0.000540077
    -0.000335256    -0.000241943
    -0.000371379     -0.00041987
     -9.0826e-05    -9.25424e-05
     -2.9134e-05    -3.01746e-05
     -6.4595e-05    -8.94014e-05
     -0.00168546      -0.0014258
     -0.00108822      -0.0012661
    -0.000230382    -0.000309001
    -0.000241225     -0.00029058
     -3.8464e-05    -4.74143e-05
      -9.208e-05    -0.000149136
     -1.3948e-05    -1.58635e-05
    -0.000824456    -0.000790747
    -0.000163797    -0.000232899
     -0.00118907     -0.00108708
    -0.000239584    -0.000209839
    -0.000292933    -0.000274673
    -0.000130214    -0.000146335
    -0.000107855    -8.25681e-05
     -9.0905e-05    -0.000123368
    -0.000321737    -0.000272968
    -0.000176219    -0.000162552
     -0.00121145      -0.0011361
     -0.00139045     -0.00137916
     -1.3784e-05    -2.08261e-05
     -4.3793e-05    -4.55483e-05
      -1.367e-05    -1.98718e-05
    -0.000758274    -0.000656324
     -3.6879e-05    -4.20496e-05
     -4.8278e-05    -4.90984e-05
     -5.1219e-05    -6.58395e-05
    -0.000417045    -0.000518534
     -2.3503e-05    -2.95718e-05
    -0.000265935    -0.000262719
    -0.000130715    -0.000136893
    -0.000374188    -0.000292789
    -0.000635224    -0.000503379
     -0.00162911      -0.0017338
     -2.4731e-05    -3.91519e-05
    -0.000357733    -0.000356392
    -0.000312229    -0.000350737
     -5.0329e-05    -7.18762e-05
