QM Energy	FF Energy
    -0.000615357    -0.000593453
    -0.000537544    -0.000548289
    -0.000231238      -0.0002497
     -1.8083e-05    -3.09814e-05
    -0.000258362    -0.000301054
    -0.000242215    -0.000302906
     -3.7204e-05    -5.92068e-05
    -0.000278444    -0.000292114
      -6.516e-05    -7.34172e-05
    -0.000297118    -0.000321871
     -0.00107287     -0.00109359
     -8.3569e-05    -0.000110183
      -2.306e-05    -3.35426e-05
    -0.000703378    -0.000761734
    -0.000902623    -0.000865237
    -0.000826123    -0.000935681
    -0.000444366    -0.000483229
    -0.000121933    -0.000141532
    -0.000372379     -0.00041712
     -6.2594e-05    -7.74854e-05
    -0.000825333    -0.000830537
    -0.000109103    -0.000124254
     -6.7027e-05     -0.00010015
     -0.00154144     -0.00159686
    -0.000103924    -0.000126263
    -0.000153342    -0.000178857
    -0.000620066    -0.000615279
     -0.00221871     -0.00213953
    -0.000101549    -0.000118841
     -5.6725e-05    -7.06731e-05
     -2.2425e-05    -3.30383e-05
    -0.000278172    -0.000280179
     -2.1084e-05    -2.66045e-05
    -0.000974777      -0.0010578
     -1.7462e-05    -2.80148e-05
     -3.6379e-05    -4.93493e-05
    -0.000972689     -0.00095551
      -0.0013043     -0.00116254
    -0.000863324    -0.000888686
    -0.000153379    -0.000187637
     -5.2112e-05    -8.52943e-05
    -0.000203994    -0.000229154
     -0.00101619    -0.000904403
    -0.000124678     -0.00014117
      -3.484e-05    -4.58275e-05
    -0.000258958    -0.000258607
    -0.000119335    -0.000163487
     -0.00010045     -0.00012125
      -8.819e-06    -1.32085e-05
     -1.3039e-05    -1.75175e-05
    -0.000403698    -0.000411933
    -0.000582572    -0.000566465
       -1.67e-05    -2.43079e-05
    -0.000555253    -0.000616967
    -0.000167165    -0.000223402
    -0.000454003      -0.0004884
     -0.00120636      -0.0010656
     -0.00128591     -0.00132322
    -0.000866611    -0.000853455
    -0.000919532    -0.000851883
       -0.000481    -0.000472192
     -1.2685e-05    -1.69501e-05
     -6.7699e-05    -9.03366e-05
    -0.000559649    -0.000594183
     -0.00170277     -0.00166679
    -0.000290236    -0.000310507
     -4.5075e-05    -5.80395e-05
    -0.000119878    -0.000144346
    -0.000117383    -0.000141426
     -0.00091405    -0.000789384
     -4.5977e-05    -5.83441e-05
     -8.2736e-05    -9.43668e-05
    -0.000228236     -0.00025521
    -0.000256285    -0.000315434
    -0.000516068    -0.000558161
     -0.00144731     -0.00130127
    -0.000159407    -0.000184541
     -6.0725e-05    -7.95025e-05
    -0.000187269     -0.00022228
    -0.000573804     -0.00055965
     -1.5261e-05    -1.89088e-05
    -0.000106879    -0.000141878
     -3.6756e-05    -5.35502e-05
     -0.00200343     -0.00210141
     -6.4649e-05     -7.7118e-05
    -0.000151549    -0.000183596
    -0.000110328    -0.000137297
     -2.1162e-05    -3.65045e-05
     -0.00176498     -0.00185001
     -7.8364e-05    -9.61617e-05
     -8.9038e-05    -0.000108907
    -0.000197937    -0.000228865
      -9.643e-06    -1.38745e-05
     -2.1631e-05    -2.72804e-05
    -0.000168713    -0.000219175
    -0.000216726    -0.000217766
    -0.000509478     -0.00050359
     -4.7067e-05    -6.53739e-05
      -9.346e-05    -0.000103249
     -9.9616e-05    -0.000122994
    -0.000838317    -0.000844401
     -4.0697e-05    -5.09581e-05
    -0.000163238    -0.000210774
     -9.3086e-05    -0.000117328
     -1.2523e-05     -1.7203e-05
     -4.0907e-05     -6.1771e-05
     -0.00024261    -0.000263719
    -0.000191187     -0.00021077
     -0.00277951     -0.00277651
    -0.000151181    -0.000208516
    -0.000444145    -0.000470858
      -1.471e-05      -1.939e-05
     -9.9395e-05    -0.000133944
    -0.000217397    -0.000249671
     -0.00180407     -0.00175137
    -0.000648741    -0.000689508
     -0.00111935     -0.00106371
     -3.0301e-05    -4.21684e-05
    -0.000129716    -0.000170149
     -2.1007e-05    -3.03367e-05
     -0.00117031     -0.00105299
    -0.000777511    -0.000786932
    -0.000640542     -0.00063928
    -0.000274053    -0.000309425
     -1.2542e-05    -1.63485e-05
     -0.00208867     -0.00264624
     -0.00101846     -0.00100898
    -0.000107899    -0.000139786
     -1.6735e-05    -2.46054e-05
     -0.00177702     -0.00193474
    -0.000286706    -0.000323491
     -0.00160262     -0.00143006
     -4.8421e-05    -5.88255e-05
    -0.000115149    -0.000150162
     -4.9902e-05    -6.36902e-05
    -0.000273454    -0.000294705
     -2.1585e-05    -2.79217e-05
     -0.00036636    -0.000454909
     -5.0647e-05    -6.67986e-05
     -1.3869e-05    -1.94794e-05
     -0.00208322      -0.0022578
    -0.000315621    -0.000339266
     -0.00116472     -0.00120624
    -0.000924738    -0.000874315
    -0.000125608    -0.000142529
     -0.00211619     -0.00229903
    -0.000770596    -0.000844934
    -0.000842268    -0.000805224
     -9.3402e-05    -0.000113741
     -0.00167672     -0.00193565
    -0.000399067    -0.000429959
    -0.000400273    -0.000399893
     -5.9661e-05    -7.27094e-05
     -4.6812e-05    -6.47415e-05
     -4.5122e-05    -5.08827e-05
      -2.384e-05    -3.39793e-05
    -0.000240903    -0.000246934
      -0.0005527    -0.000525248
    -0.000285222    -0.000322135
     -0.00107952     -0.00104069
    -0.000451285    -0.000466555
    -0.000996363    -0.000906736
     -0.00107354     -0.00108711
    -0.000404071    -0.000424869
     -0.00156987     -0.00136021
    -0.000216866    -0.000236312
     -2.4723e-05    -3.74797e-05
      -2.674e-05    -3.10291e-05
     -2.8788e-05    -3.68843e-05
     -0.00212941     -0.00201608
     -0.00148475     -0.00160548
       -1.22e-05    -1.63548e-05
     -2.1657e-05    -2.62281e-05
    -0.000742618    -0.000764618
     -2.6299e-05    -3.36834e-05
     -1.2974e-05    -1.79258e-05
     -8.0109e-05    -0.000117455
     -4.7982e-05    -6.23567e-05
     -0.00099257     -0.00101124
     -5.0377e-05    -6.90458e-05
     -7.8375e-05    -9.99829e-05
     -7.5446e-05    -9.19898e-05
     -0.00102811     -0.00105416
    -0.000203991     -0.00023592
     -2.3772e-05    -3.53603e-05
     -3.9816e-05    -5.44969e-05
     -4.0265e-05    -5.39839e-05
    -0.000476035    -0.000518737
     -5.5779e-05    -7.27098e-05
      -7.542e-06    -1.08476e-05
    -0.000185272    -0.000208308
     -2.1068e-05    -3.15246e-05
     -0.00126498     -0.00135621
    -0.000513377    -0.000515163
