QM Energy	FF Energy
     -6.9106e-05    -7.45143e-05
     -4.2734e-05    -4.94181e-05
     -1.5822e-05    -1.70903e-05
    -0.000305857    -0.000494931
     -5.3691e-05    -7.68472e-05
    -0.000698013    -0.000657146
      -4.557e-05    -4.86821e-05
    -0.000153904    -0.000205958
     -2.9236e-05    -3.40351e-05
     -1.7829e-05    -2.15033e-05
    -0.000217318    -0.000246269
    -0.000255152    -0.000357879
     -5.8507e-05    -6.11999e-05
     -2.8232e-05    -3.39951e-05
    -0.000194419    -0.000310363
     -2.4386e-05    -3.56072e-05
     -7.1249e-05    -8.87808e-05
     -0.00023953     -0.00043284
     -1.7406e-05    -1.69712e-05
    -0.000105665    -0.000174513
     -1.3845e-05    -1.93757e-05
     -0.00014117    -0.000134448
     -3.3288e-05    -3.39679e-05
     -1.2743e-05    -1.21557e-05
     -3.6027e-05    -4.43389e-05
     -2.9602e-05    -2.78409e-05
    -0.000319609    -0.000376174
     -5.9344e-05    -0.000133829
     -0.00013006    -0.000357849
     -1.7259e-05    -2.20463e-05
     -3.2169e-05    -3.40509e-05
     -2.3746e-05    -2.65357e-05
     -5.9139e-05    -6.46094e-05
    -0.000217753     -0.00057767
    -0.000202714     -0.00029788
     -3.2588e-05    -4.13671e-05
     -4.0848e-05    -0.000131644
     -1.3749e-05    -1.51134e-05
     -1.9272e-05    -2.02643e-05
     -2.5964e-05    -3.06761e-05
     -8.8307e-05    -9.04811e-05
     -4.8722e-05     -6.3487e-05
     -0.00044289     -0.00046083
     -7.1982e-05    -0.000124657
      -2.768e-05    -2.82952e-05
     -3.5704e-05    -4.83741e-05
    -0.000181463    -0.000242635
    -0.000605269    -0.000544619
      -4.419e-06    -7.64021e-06
     -3.4009e-05    -3.63618e-05
    -0.000250281    -0.000478278
     -1.9679e-05    -2.47107e-05
     -9.0235e-05    -0.000114195
    -0.000515837    -0.000482588
     -1.8983e-05    -2.03144e-05
     -3.6417e-05    -5.59289e-05
    -0.000463226    -0.000348172
    -0.000162058    -0.000288135
     -0.00120829     -0.00112233
    -0.000413268     -0.00034751
     -3.9831e-05    -5.55575e-05
    -0.000258553    -0.000280548
    -0.000511112    -0.000501875
     -2.9886e-05    -4.11631e-05
     -3.6177e-05    -4.10365e-05
      -8.656e-06    -1.00047e-05
     -1.7418e-05    -1.92253e-05
     -4.2336e-05    -8.37434e-05
