QM Energy	FF Energy
     -0.00012793    -0.000105687
    -0.000392993    -0.000298961
    -0.000132345    -0.000125257
     -0.00407867     -0.00439896
    -0.000867674    -0.000969382
     -0.00798405     -0.00715477
     -7.4964e-05    -6.62391e-05
     -0.00159826     -0.00173857
    -0.000300622     -0.00025219
    -0.000165179    -0.000184059
     -0.00164378     -0.00151119
     -0.00361386     -0.00345026
    -0.000417733    -0.000419256
    -0.000259617    -0.000263109
     -0.00325773      -0.0031622
    -0.000309368    -0.000360285
    -0.000594997    -0.000751401
     -0.00351305     -0.00367455
     -3.1657e-05    -3.67305e-05
     -0.00156574     -0.00149753
    -0.000109903    -0.000112854
     -0.00117276     -0.00111645
     -9.4391e-05     -7.0446e-05
        3.53e-07    -6.18857e-06
    -0.000248153    -0.000286467
     -9.8733e-05     -8.3328e-05
     -0.00341778     -0.00329252
     -0.00119773      -0.0013157
     -0.00333602     -0.00325204
    -0.000210573    -0.000220342
    -0.000191294    -0.000176011
    -0.000200225    -0.000188663
    -0.000339714    -0.000361063
     -0.00572145     -0.00565772
     -0.00230633     -0.00269017
    -0.000280453    -0.000317875
     -0.00101724     -0.00105202
     -4.6817e-05    -4.42844e-05
     -8.0781e-05    -7.36411e-05
    -0.000275225     -0.00025239
    -0.000558894      -0.0005312
    -0.000532405    -0.000531041
      -0.0046977     -0.00496316
     -0.00106913     -0.00112153
    -0.000256653    -0.000272447
    -0.000379222    -0.000459124
     -0.00237722     -0.00257723
     -0.00509639     -0.00546793
     -7.0036e-05    -9.18717e-05
     -7.0619e-05    -6.08575e-05
     -0.00367547     -0.00361742
     -0.00029382    -0.000326191
     -0.00110446     -0.00126967
     -0.00502746      -0.0055082
     -4.0886e-05    -3.88305e-05
     -0.00030085    -0.000315335
      -0.0023019     -0.00223568
     -0.00304374     -0.00324697
      -0.0140444      -0.0148918
     -0.00314488     -0.00305109
    -0.000416136    -0.000530255
     -0.00281747     -0.00299861
     -0.00319046     -0.00257998
    -0.000261292    -0.000262887
    -0.000256987    -0.000248523
    -0.000138916    -0.000155471
     -9.2136e-05    -7.61056e-05
    -0.000600562     -0.00078217
    -0.000777628    -0.000925407
    -0.000298053    -0.000272126
     -0.00395589     -0.00401291
     -0.00171362     -0.00173693
      1.3963e-05     2.22521e-05
     -0.00062596    -0.000678512
    -0.000290373    -0.000257383
    -0.000889134    -0.000936445
    -0.000258004    -0.000314399
    -0.000978758     -0.00100703
    -0.000983556      -0.0010508
     -0.00380596     -0.00319527
    -0.000379399    -0.000421032
    -0.000201911    -0.000204684
    -0.000275981    -0.000323696
      -0.0160806      -0.0164076
      -0.0001194    -0.000125057
     -0.00689809     -0.00776905
    -0.000377358    -0.000408881
     -0.00216955     -0.00204263
     -0.00208696     -0.00231005
    -0.000264579     -0.00027947
     -0.00202513     -0.00176432
     -0.00406793     -0.00459513
    -0.000563431    -0.000472722
    -0.000123311    -8.91495e-05
    -0.000296533    -0.000319049
     -0.00114353     -0.00125942
    -0.000215779    -0.000195554
     -0.00177682      -0.0017208
     -8.0111e-05    -6.40827e-05
     -0.00193874     -0.00194574
     -0.00230762     -0.00220966
      -0.0020466      -0.0022431
     -0.00227732     -0.00239085
    -0.000376616    -0.000411292
     -0.00259046      -0.0026605
    -0.000177987    -0.000259948
     -0.00111718    -0.000995254
     -8.4841e-05    -0.000128051
    -0.000806425    -0.000743368
     -0.00156351     -0.00144245
     -0.00257475     -0.00265733
     -0.00196698      -0.0021543
      -0.0063141     -0.00584326
    -0.000765019    -0.000907368
     -3.0276e-05    -3.85778e-05
     -0.00839174     -0.00832646
      -3.486e-05    -1.39254e-05
    -0.000524104    -0.000558812
    -0.000128926    -0.000175599
     -0.00126654     -0.00127385
    -0.000327956    -0.000279258
     -0.00044103    -0.000472003
     -1.7477e-05    -2.98257e-05
     -0.00744816     -0.00701678
     -0.00235447     -0.00287857
    -0.000337024    -0.000335608
    -0.000544677    -0.000606356
    -0.000313963    -0.000358111
      -6.729e-05    -6.04104e-05
    -0.000828467     -0.00077804
     -0.00223997     -0.00217716
     -0.00598494     -0.00641366
    -0.000176578    -0.000170907
     -0.00010143    -0.000115012
