QM Energy	FF Energy
      -0.0029334     -0.00298011
      -0.0031165     -0.00312551
     -0.00830659     -0.00843523
     -0.00663621     -0.00666012
     -0.00242039     -0.00253127
     -0.00195251      -0.0020296
     -0.00108546     -0.00105136
     -0.00554257     -0.00542162
     -0.00755105     -0.00741724
     -0.00682166     -0.00684013
    -0.000944828    -0.000953385
     -0.00472347     -0.00457954
     -0.00219832     -0.00221976
     -0.00197717     -0.00200793
     -0.00357711     -0.00368243
     -0.00136374     -0.00138989
     -0.00138518     -0.00141045
    -0.000480996    -0.000480694
     -0.00715836     -0.00728011
     -0.00128612     -0.00128873
     -0.00609177     -0.00590839
     -0.00876424     -0.00848246
     -0.00339223     -0.00338344
    -0.000647206     -0.00063823
     -0.00534614      -0.0053897
     -0.00481154     -0.00484322
     -0.00349607     -0.00357186
     -0.00517931     -0.00516371
     -0.00175001     -0.00180014
      -0.0030053     -0.00314936
     -0.00568362     -0.00559604
     -0.00107369     -0.00109595
     -0.00259593      -0.0026545
     -0.00117125     -0.00117944
     -0.00132495     -0.00129146
     -0.00185822     -0.00189641
     -0.00116458     -0.00113688
      -0.0019704     -0.00193681
     -0.00118943     -0.00119077
     -0.00296798     -0.00307208
    -0.000897186    -0.000907743
     -0.00219862     -0.00220449
     -0.00145938     -0.00147504
      -0.0068682     -0.00675519
     -0.00167418     -0.00168291
     -0.00265325     -0.00262299
     -0.00124162     -0.00124917
    -0.000612967    -0.000620857
     -0.00222415     -0.00226476
     -0.00431331     -0.00432969
     -0.00315156     -0.00325875
    -0.000906351    -0.000937577
     -0.00299436     -0.00312954
    -0.000927792    -0.000970082
    -0.000528275    -0.000521976
     -0.00258448     -0.00262589
     -0.00412048     -0.00426892
      -0.0051048     -0.00505524
     -0.00128933     -0.00130275
     -0.00295738     -0.00298819
    -0.000720789    -0.000706987
    -0.000981642     -0.00100537
    -0.000782972     -0.00079069
     -0.00749616      -0.0076461
     -0.00195149     -0.00204255
    -0.000555802    -0.000537603
