QM Energy	FF Energy
    -0.000900884    -0.000931191
      -0.0026271     -0.00253845
     -0.00784211     -0.00842162
     -0.00610363       -0.005618
    -0.000760035    -0.000851368
    -0.000784611    -0.000889595
     -2.1165e-05     4.00536e-05
     -0.00719464     -0.00695099
      -0.0104365     -0.00985091
     -0.00492155     -0.00545252
    -0.000114558    -9.30854e-05
     -0.00226277     -0.00202918
     -0.00104086     -0.00098734
    -0.000396897    -0.000490022
     -0.00377174     -0.00386132
    -0.000763476    -0.000911745
    -0.000365044    -0.000396412
    -0.000128269    -0.000133242
     -0.00538858     -0.00570783
    -0.000231286     -0.00019037
     -0.00629638     -0.00540492
     -0.00997628     -0.00915377
     -0.00196171     -0.00190129
    -0.000221533     -0.00019219
     -0.00382321     -0.00375415
     -0.00457539     -0.00473064
     -0.00175545      -0.0017401
     -0.00649134     -0.00633716
     -0.00106691     -0.00128409
     -0.00246408     -0.00255538
     -0.00539589     -0.00503397
    -0.000369481    -0.000396774
     -0.00132196     -0.00142353
    -0.000276066    -0.000262042
       7.246e-06     2.77416e-05
    -0.000636798    -0.000610673
    -0.000103942    -0.000135015
    -0.000460517    -0.000416661
    -0.000423703    -0.000403258
     -0.00112202     -0.00131089
     0.000148324     0.000139844
    -0.000864762    -0.000773244
    -0.000541602    -0.000568135
     -0.00759269     -0.00717411
    -0.000175549    -0.000110304
     -0.00126997     -0.00101004
     -9.7053e-05    -9.04017e-05
    -0.000216931    -0.000189821
     -0.00135969     -0.00133996
     -0.00303033     -0.00291559
     -0.00110939     -0.00125263
      6.5178e-05     3.45929e-05
     -0.00229026     -0.00235333
     -3.9595e-05     -0.00010208
     -0.00025004    -0.000248828
    -0.000979547     -0.00107836
      -0.0028097     -0.00307237
     -0.00536693     -0.00480282
    -0.000467265     -0.00037427
     -0.00197785     -0.00192846
    -0.000192017      -0.0002143
    -0.000481116    -0.000403118
      3.6606e-05     3.77866e-05
     -0.00686938     -0.00746112
    -0.000674695    -0.000744638
    -0.000256485    -0.000256899
     -0.00614179     -0.00588113
     0.000230475     0.000191474
    -0.000754312    -0.000722053
      3.3378e-05    -4.92398e-06
     -0.00284003     -0.00280138
     -0.00507634     -0.00435462
    -0.000735878    -0.000799394
     -0.00113184     -0.00103578
