QM Energy	FF Energy
    -0.000161943     -0.00016916
      -4.489e-05    -5.80905e-05
     -9.2932e-05    -0.000112723
     -3.3688e-05    -4.27975e-05
    -0.000167209    -0.000186648
    -0.000138004    -0.000157263
    -0.000323453    -0.000308268
    -0.000241752     -0.00025195
     -0.00109972     -0.00101854
     -6.6466e-05    -8.03307e-05
     -2.4695e-05    -3.33923e-05
     -1.7042e-05    -2.21548e-05
     -2.4335e-05    -3.09342e-05
    -0.000203785     -0.00022645
     -2.4248e-05    -3.02388e-05
    -0.000181834     -0.00019664
     -1.8327e-05    -2.25409e-05
    -0.000863943    -0.000822192
    -0.000973154    -0.000947745
    -0.000106734     -0.00011726
     -1.1585e-05    -1.54986e-05
      -0.0019249     -0.00195781
      -2.453e-05     -3.0144e-05
     -1.2001e-05    -1.49028e-05
     -8.5845e-05    -0.000100676
     -2.4268e-05    -3.04284e-05
     -3.5065e-05    -4.28993e-05
     -0.00169683     -0.00170733
    -0.000175468    -0.000198438
    -0.000902288    -0.000898259
      -0.0016072     -0.00161841
    -0.000178053    -0.000189248
    -0.000100578    -0.000104857
      -4.101e-05    -5.07718e-05
      -6.259e-06    -8.44238e-06
     -0.00020894     -0.00021418
    -0.000614705    -0.000589787
     -0.00103166    -0.000900719
    -0.000352987    -0.000335534
    -0.000244505    -0.000257242
    -0.000287391    -0.000320401
     -3.0098e-05     -3.8378e-05
      -4.117e-05    -5.11611e-05
     -0.00128145     -0.00124432
    -0.000891627    -0.000878962
     -5.0329e-05    -6.01475e-05
     -4.5329e-05    -5.96183e-05
    -0.000208965    -0.000235465
     -1.3415e-05    -1.74682e-05
     -3.1524e-05    -4.21882e-05
     -3.2648e-05     -4.3481e-05
     -5.0711e-05    -6.48157e-05
     -6.4846e-05    -7.29645e-05
     -5.0288e-05    -6.21471e-05
    -0.000817041    -0.000780243
     -2.6984e-05    -3.19919e-05
    -0.000320549    -0.000318899
    -0.000735402    -0.000756818
    -0.000459992     -0.00043461
    -0.000236749    -0.000257897
     -5.4267e-05    -6.48601e-05
    -0.000528645    -0.000552931
     -0.00132799     -0.00132391
    -0.000128353    -0.000141454
    -0.000707054    -0.000701728
     -0.00222369     -0.00249494
    -0.000274623    -0.000266885
      -0.0010008    -0.000973007
    -0.000261719    -0.000273358
     -0.00148307     -0.00144682
    -0.000715412    -0.000673698
    -0.000591361    -0.000584726
    -0.000295336    -0.000307297
     -0.00038701    -0.000382381
    -0.000201884    -0.000230223
    -0.000423068    -0.000424604
     -0.00128051     -0.00128381
     -8.3619e-05    -9.78621e-05
      -0.0011766     -0.00114466
     -3.6122e-05      -4.081e-05
     -2.2673e-05    -2.88691e-05
    -0.000345875    -0.000356314
    -0.000194143     -0.00021482
     -0.00131536      -0.0012745
     -1.1983e-05    -1.54268e-05
     -1.9575e-05    -2.61788e-05
     -0.00117935     -0.00108244
     -2.0665e-05    -2.52202e-05
     -1.5872e-05    -1.94023e-05
     -0.00220419     -0.00245482
      -6.987e-06    -9.04207e-06
     -4.2437e-05    -5.60146e-05
     -0.00170492     -0.00173165
    -0.000739675     -0.00067998
     -7.2859e-05    -9.29384e-05
    -0.000255218    -0.000272238
    -0.000520757     -0.00051331
     -0.00165363     -0.00152446
    -0.000204254    -0.000215351
    -0.000247954    -0.000268152
     -7.9456e-05    -9.08768e-05
    -0.000107872    -0.000117507
    -0.000344838    -0.000368592
     -0.00050687    -0.000483547
    -0.000769307    -0.000801633
     -0.00164201     -0.00168214
     -1.7706e-05    -2.21985e-05
