QM Energy	FF Energy
     -0.00238924     -0.00233074
     -0.00151944     -0.00155234
     -0.00210533     -0.00218246
     -0.00114563     -0.00114568
     -0.00167699       -0.001576
     -0.00188872     -0.00184705
     -0.00314241     -0.00307359
     -0.00264767     -0.00257481
     -0.00580412     -0.00577457
     -0.00149511     -0.00148994
     -0.00106732     -0.00107848
    -0.000953084      -0.0009217
    -0.000798807    -0.000753656
     -0.00254257     -0.00260801
    -0.000848671    -0.000812706
      -0.0021728     -0.00215221
     -0.00102986     -0.00101079
     -0.00505683     -0.00502609
     -0.00406694      -0.0037785
     -0.00224577     -0.00221612
    -0.000791461    -0.000783695
      -0.0132271      -0.0134973
     -0.00101342    -0.000984146
     -0.00073659    -0.000707544
     -0.00191447     -0.00191758
    -0.000774721    -0.000725706
      -0.0014517      -0.0014658
     -0.00950952     -0.00948889
     -0.00250925     -0.00253074
     -0.00737958     -0.00737313
     -0.00969596      -0.0101585
     -0.00262664     -0.00264073
     -0.00176951     -0.00178703
     -0.00116333     -0.00113644
    -0.000670028     -0.00064687
     -0.00289164     -0.00289001
     -0.00541904     -0.00545325
     -0.00663422     -0.00652973
     -0.00365629     -0.00363092
      -0.0029383      -0.0029567
     -0.00393672     -0.00405061
     -0.00110117     -0.00108968
    -0.000849745    -0.000783706
     -0.00706075     -0.00699042
     -0.00609846     -0.00601855
     -0.00143302     -0.00143759
     -0.00139956      -0.0014243
     -0.00298479     -0.00316292
    -0.000717496    -0.000676204
     -0.00136229     -0.00137962
     -0.00133705     -0.00135602
     -0.00165983     -0.00169773
     -0.00161423     -0.00156479
     -0.00103667     -0.00100243
     -0.00495879     -0.00468461
     -0.00116949     -0.00113885
     -0.00363508     -0.00363714
     -0.00659357     -0.00694726
     -0.00394523     -0.00392906
     -0.00346752     -0.00352317
     -0.00104195    -0.000976231
     -0.00482379     -0.00489641
     -0.00794598     -0.00784104
     -0.00233174     -0.00229616
     -0.00651755     -0.00679557
      -0.0142848      -0.0142635
     -0.00289552      -0.0028119
     -0.00425803     -0.00387511
     -0.00231824     -0.00225858
     -0.00874182     -0.00926234
     -0.00492186     -0.00520833
      -0.0044414     -0.00426657
     -0.00351433     -0.00346703
     -0.00461287     -0.00484713
     -0.00297161     -0.00308312
     -0.00363501     -0.00358856
     -0.00724254     -0.00680577
     -0.00133605     -0.00129358
     -0.00599088     -0.00569577
     -0.00135439     -0.00132948
     -0.00126813     -0.00128586
     -0.00335757     -0.00328371
     -0.00183117     -0.00171811
     -0.00823077     -0.00827617
    -0.000707923    -0.000676228
     -0.00112865     -0.00114581
     -0.00698174     -0.00742314
      -0.0011253     -0.00111187
    -0.000818803    -0.000790437
      -0.0159378      -0.0162296
    -0.000683041    -0.000660862
     -0.00128954       -0.001305
     -0.00933429      -0.0091623
     -0.00638451     -0.00635326
      -0.0019239     -0.00199417
     -0.00276401     -0.00272432
     -0.00568334     -0.00587313
      -0.0074248     -0.00697913
      -0.0022993     -0.00220873
     -0.00214014     -0.00203235
      -0.0021299     -0.00215383
     -0.00184371     -0.00178018
     -0.00324299     -0.00327621
     -0.00528142     -0.00526198
     -0.00581531     -0.00588576
     -0.00976427     -0.00928589
    -0.000794705    -0.000757358
     -0.00209692     -0.00207015
     -0.00920053     -0.00893591
     -0.00424664      -0.0043896
     -0.00666866     -0.00645985
     -0.00285139      -0.0027352
      -0.0033133     -0.00307661
     -0.00412362      -0.0039573
     -0.00496142     -0.00465768
     -0.00136468     -0.00135923
     -0.00413539     -0.00429893
     -0.00150242     -0.00148024
     -0.00438411      -0.0044705
     -0.00103983     -0.00103054
     -0.00551126      -0.0051159
     -0.00138659      -0.0013157
    -0.000866459    -0.000840661
     -0.00270877     -0.00271862
     -0.00225106      -0.0022737
     -0.00290979     -0.00295529
    -0.000892423    -0.000877248
     -0.00119183     -0.00117105
    -0.000549236    -0.000498835
     -0.00151275     -0.00144818
     -0.00565179     -0.00520636
      -0.0109722      -0.0112955
     -0.00351949     -0.00327235
     -0.00107661     -0.00106422
     -0.00457957     -0.00468999
    -0.000866443    -0.000854447
     -0.00392168     -0.00392819
    -0.000730511    -0.000698339
     -0.00131909     -0.00131415
     -0.00546722     -0.00542838
     -0.00142426     -0.00137384
     -0.00642402     -0.00634369
     -0.00569093     -0.00561734
     -0.00155965     -0.00147803
     -0.00124083     -0.00120387
     -0.00158393     -0.00159666
     -0.00341887     -0.00354105
     -0.00106681      -0.0010649
     -0.00134539     -0.00129724
     -0.00302082      -0.0029387
    -0.000910379    -0.000892859
    -0.000930254    -0.000895111
    -0.000785932     -0.00076134
     -0.00257297     -0.00253011
     -0.00257161      -0.0024916
     -0.00933993     -0.00977611
     -0.00106631     -0.00107468
     -0.00198782     -0.00190243
     -0.00101725    -0.000980039
     -0.00279585     -0.00293172
      -0.0035965     -0.00347759
     -0.00143541     -0.00134351
     -0.00551673     -0.00551731
     -0.00686044     -0.00684678
     -0.00520209     -0.00514778
     -0.00486093     -0.00471818
    -0.000888084    -0.000854389
     -0.00593621     -0.00574485
     -0.00803429     -0.00803224
     -0.00184708     -0.00181264
     -0.00246498     -0.00254161
     -0.00295727     -0.00294942
     -0.00167798     -0.00168417
     -0.00566962     -0.00574886
     -0.00147695     -0.00148593
       -0.007197     -0.00696406
     -0.00302449     -0.00284247
    -0.000880899    -0.000839974
     -0.00572104     -0.00602275
     -0.00125705     -0.00121087
    -0.000841534    -0.000818188
     -0.00128706     -0.00126468
     -0.00509141     -0.00474308
      -0.0025021     -0.00258601
     -0.00367297      -0.0037741
     -0.00597764      -0.0059225
     -0.00390651      -0.0037786
     -0.00261991     -0.00256473
     -0.00183751     -0.00176906
     -0.00222305     -0.00216805
     -0.00432629      -0.0044259
     -0.00389796     -0.00405856
     -0.00111535     -0.00113838
     -0.00135416     -0.00131599
     -0.00188329     -0.00185456
     -0.00440145     -0.00446709
     -0.00244141      -0.0023978
     -0.00150011     -0.00151596
     -0.00249248     -0.00242398
     -0.00155823     -0.00159864
    -0.000761835     -0.00073672
     -0.00322148     -0.00340531
     -0.00128471     -0.00124055
     -0.00379553     -0.00389736
    -0.000802979    -0.000781232
     -0.00180402     -0.00174755
     -0.00662466     -0.00678986
     -0.00093158    -0.000853266
     -0.00340216     -0.00326519
     -0.00137534     -0.00139602
     -0.00737905     -0.00713816
     -0.00128226      -0.0012652
     -0.00119315     -0.00121396
    -0.000789472    -0.000771327
     -0.00126171     -0.00124918
     -0.00438739     -0.00430818
     -0.00404548     -0.00405521
     -0.00296931     -0.00277984
    -0.000915007    -0.000883623
    -0.000827126    -0.000807633
     -0.00607712     -0.00640176
     -0.00678306     -0.00640848
     -0.00496232     -0.00461095
     -0.00514178     -0.00506655
     -0.00721192     -0.00685873
      -0.0096412      -0.0092375
     -0.00200291     -0.00193491
     -0.00472462     -0.00489186
     -0.00166763     -0.00164811
     -0.00363254     -0.00351238
      -0.0024598     -0.00246442
     -0.00414133     -0.00409703
     -0.00159208     -0.00158797
     -0.00387399     -0.00399441
     -0.00440797     -0.00440162
     -0.00580429      -0.0060374
     -0.00214251     -0.00214765
    -0.000846676    -0.000790086
     -0.00791824     -0.00768445
      -0.0016485     -0.00161278
      -0.0010376      -0.0010461
     -0.00769535     -0.00791063
     -0.00852828     -0.00859204
      -0.0051036     -0.00497086
     -0.00550891     -0.00552235
    -0.000913088    -0.000889896
    -0.000590705    -0.000540217
     -0.00160811     -0.00164928
     -0.00116365     -0.00118766
     -0.00401556     -0.00383384
    -0.000997229    -0.000982911
     -0.00504959     -0.00521504
     -0.00107425     -0.00101614
     -0.00123635     -0.00122957
     -0.00518166     -0.00503159
     -0.00117675      -0.0011371
     -0.00668323     -0.00647693
      -0.0019076     -0.00178828
    -0.000850454    -0.000828135
     -0.00716723     -0.00704727
    -0.000774923    -0.000739309
     -0.00259062     -0.00266978
     -0.00571728     -0.00537227
     -0.00808739     -0.00757537
      -0.0016057     -0.00152324
     -0.00143271     -0.00139924
     -0.00312654     -0.00299771
     -0.00163295     -0.00158141
     -0.00454578     -0.00437918
    -0.000825689    -0.000782185
     -0.00117632     -0.00119305
     -0.00170025     -0.00169834
     -0.00148824     -0.00143988
