QM Energy	FF Energy
    -0.000161943     -0.00016962
      -4.489e-05     -5.8078e-05
     -9.2932e-05    -0.000112883
     -3.3688e-05    -4.28243e-05
    -0.000167209    -0.000186842
    -0.000138004    -0.000157351
    -0.000323453    -0.000306399
    -0.000241752    -0.000252073
     -0.00109972     -0.00100735
     -6.6466e-05    -8.05715e-05
     -2.4695e-05    -3.34451e-05
     -1.7042e-05    -2.22311e-05
     -2.4335e-05    -3.09935e-05
    -0.000203785    -0.000227265
     -2.4248e-05    -3.02125e-05
    -0.000181834    -0.000195818
     -1.8327e-05    -2.26222e-05
    -0.000863943    -0.000815707
    -0.000973154      -0.0009559
    -0.000106734    -0.000117636
     -1.1585e-05    -1.54737e-05
      -0.0019249     -0.00195653
      -2.453e-05    -3.01426e-05
     -1.2001e-05    -1.49585e-05
     -8.5845e-05    -0.000100686
     -2.4268e-05    -3.04246e-05
     -3.5065e-05    -4.28954e-05
     -0.00169683     -0.00171064
    -0.000175468    -0.000198572
    -0.000902288    -0.000901563
      -0.0016072     -0.00162279
    -0.000178053    -0.000188341
    -0.000100578    -0.000103441
      -4.101e-05    -5.06643e-05
      -6.259e-06    -8.49863e-06
     -0.00020894    -0.000214073
    -0.000614705    -0.000589909
     -0.00103166    -0.000898903
    -0.000352987    -0.000335921
    -0.000244505      -0.0002578
    -0.000287391    -0.000321061
     -3.0098e-05    -3.83686e-05
      -4.117e-05    -5.13754e-05
     -0.00128145     -0.00125106
    -0.000891627    -0.000876165
     -5.0329e-05    -6.00399e-05
     -4.5329e-05    -5.99913e-05
    -0.000208965    -0.000235827
     -1.3415e-05    -1.74672e-05
     -3.1524e-05    -4.21977e-05
     -3.2648e-05    -4.34767e-05
     -5.0711e-05    -6.50988e-05
     -6.4846e-05     -7.3141e-05
     -5.0288e-05    -6.24582e-05
    -0.000817041    -0.000780813
     -2.6984e-05     -3.2063e-05
    -0.000320549     -0.00031937
    -0.000735402     -0.00075856
    -0.000459992    -0.000433702
    -0.000236749    -0.000258525
     -5.4267e-05    -6.47175e-05
    -0.000528645    -0.000553127
     -0.00132799     -0.00132504
    -0.000128353    -0.000141978
    -0.000707054    -0.000700619
     -0.00222369     -0.00249237
    -0.000274623    -0.000266725
