QM Energy	FF Energy
    -0.000139422    -0.000162214
     -0.00140325     -0.00139385
    -0.000257667    -0.000262462
     -0.00109671     -0.00114572
    -0.000355145    -0.000387491
    -0.000134531    -0.000163408
    -0.000951048     -0.00102742
     -2.5613e-05    -2.96671e-05
      -0.0001597    -0.000203654
     -0.00021217      -0.0002538
     -5.8531e-05    -6.51756e-05
    -0.000222341    -0.000234238
    -0.000691366    -0.000685728
    -0.000127001    -0.000148397
     -1.7154e-05    -2.07666e-05
    -0.000261907    -0.000279445
    -0.000498587    -0.000486747
      -3.049e-05    -3.50125e-05
     -7.2039e-05    -9.12774e-05
     -3.8119e-05    -5.28406e-05
     -4.5155e-05     -4.8989e-05
    -0.000174989    -0.000198286
     -1.9246e-05    -2.77378e-05
    -0.000724049    -0.000731198
     -0.00120191      -0.0011593
     -9.6451e-05    -0.000119394
     -2.3525e-05    -3.06918e-05
     -1.3696e-05    -1.83131e-05
    -0.000270836    -0.000288296
     -0.00200763     -0.00190527
    -0.000116033    -0.000151202
     -2.7928e-05    -3.36491e-05
    -0.000127207    -0.000144615
     -0.00176656     -0.00171247
    -0.000116777    -0.000123433
     -7.4422e-05    -8.35486e-05
     -0.00017466    -0.000174548
     -0.00170924     -0.00192996
     -2.7918e-05    -3.70144e-05
      -0.0013753     -0.00118958
     -1.5614e-05    -2.21009e-05
    -0.000310675    -0.000322963
     -1.6681e-05    -2.12361e-05
     -1.1872e-05    -1.40147e-05
     -5.8874e-05    -6.73196e-05
    -0.000182924    -0.000193301
     -3.7973e-05    -4.85959e-05
     -7.0685e-05    -7.92595e-05
     -8.1548e-05    -0.000106255
    -0.000253551    -0.000250843
    -0.000307346     -0.00035446
     -3.4647e-05    -4.22549e-05
     -0.00147988     -0.00132761
     -8.0685e-05    -9.60302e-05
     -0.00119243     -0.00103861
      -2.112e-05    -3.06164e-05
      -4.336e-05    -4.98385e-05
    -0.000738491       -0.000739
     -2.5566e-05    -3.42622e-05
     -0.00139433     -0.00146831
      -9.299e-06    -1.13433e-05
     -4.2663e-05    -5.08326e-05
    -0.000285015    -0.000313594
    -0.000461613    -0.000499112
     -5.6583e-05    -6.47873e-05
