QM Energy	FF Energy
    -0.000314814    -0.000319475
     -0.00090342    -0.000828458
    -0.000266879    -0.000246933
    -0.000702877    -0.000757655
     -0.00029134    -0.000243861
     -7.8029e-05    -9.84808e-05
    -0.000531053    -0.000567391
     -2.9484e-05    -3.94301e-05
    -0.000394192    -0.000438356
    -0.000273968    -0.000323523
     -3.1634e-05    -3.63767e-05
     -0.00021204    -0.000225995
    -0.000640846    -0.000648583
    -0.000230752    -0.000228408
     -2.8787e-05    -3.30795e-05
    -0.000178125     -0.00017603
    -0.000170306    -0.000242184
     -1.5056e-05    -3.43033e-05
     -7.7681e-05    -7.13392e-05
    -0.000151666    -0.000157385
     -3.0534e-05    -3.48193e-05
    -0.000138049     -0.00011763
     -6.1974e-05    -6.25706e-05
    -0.000540046     -0.00066069
    -0.000664876    -0.000380064
    -0.000219728    -0.000212644
     -6.4782e-05    -7.24314e-05
     -1.3403e-05    -1.39522e-05
    -0.000265504    -0.000301873
     -0.00110063    -0.000873087
    -0.000316662    -0.000335348
     -2.8862e-05      -2.377e-05
    -0.000191401    -0.000194335
     -0.00110562    -0.000933485
     -6.5711e-05    -5.74984e-05
    -0.000175799    -0.000146698
     -6.5061e-05    -7.95169e-05
     -0.00119975     -0.00130307
    -0.000100964    -9.41021e-05
     -0.00169462     -0.00161066
     -9.3656e-05    -9.34987e-05
    -0.000565005    -0.000564233
     -1.6941e-05     -1.9664e-05
     -6.2408e-05    -5.10089e-05
     -4.7706e-05     -4.0355e-05
     -0.00010323    -9.68039e-05
    -0.000153112    -0.000168779
    -0.000121679    -0.000100194
    -0.000202479    -0.000226578
     -7.8779e-05      -0.0001494
    -0.000555633    -0.000621644
     -8.8295e-05    -7.85721e-05
    -0.000762075    -0.000696626
    -0.000207417    -0.000214408
     -0.00122439     -0.00121974
     -8.3844e-05    -7.57641e-05
     -2.5535e-05    -3.89438e-05
    -0.000625024    -0.000655019
     -3.4384e-05    -3.31096e-05
    -0.000971274    -0.000813005
     -7.1074e-05      -6.093e-05
     -9.2972e-05    -9.00837e-05
    -0.000169931     -0.00015132
     -0.00037684    -0.000433942
     -4.0914e-05    -3.82709e-05
     -2.8842e-05    -3.03472e-05
    -0.000160837    -0.000144891
     -5.0602e-05    -5.90007e-05
     -7.9362e-05    -7.35734e-05
    -0.000423443    -0.000403971
    -0.000331007    -0.000218573
    -0.000102011     -8.1087e-05
    -0.000269538    -0.000294028
    -0.000100057    -9.63567e-05
    -0.000354128    -0.000533174
    -0.000678061    -0.000674341
     -6.2122e-05    -5.85251e-05
     -3.1015e-05    -4.72078e-05
     -2.6263e-05    -5.86414e-05
    -0.000372582    -0.000385503
     -0.00037616    -0.000410199
      -3.767e-05    -5.71019e-05
    -0.000198523    -0.000188971
     -0.00018075      -0.0001315
     -0.00117348      -0.0014045
    -0.000704915    -0.000560476
     -6.6633e-05    -0.000100071
    -0.000167561    -0.000160477
    -0.000229369    -0.000262019
     -0.00100973     -0.00121808
     -9.7576e-05    -7.86526e-05
    -0.000154087    -0.000152894
    -0.000266019     -0.00027527
    -0.000207766    -0.000207107
    -0.000584741    -0.000633146
    -0.000249746    -0.000246678
    -0.000278977    -0.000348743
    -0.000241728    -0.000243893
     -0.00124201     -0.00155703
    -0.000151099    -0.000139324
      -6.133e-05    -4.17636e-05
     -5.3794e-05     -5.9666e-05
    -0.000100276    -0.000222642
    -0.000116129    -0.000102515
     -0.00101326    -0.000952258
    -0.000267535    -0.000371315
     -1.0294e-05    -1.73516e-05
    -0.000177094    -0.000240851
     -4.6115e-05     -7.0383e-05
       -7.69e-05    -5.81326e-05
    -0.000380076    -0.000447447
    -0.000235064    -0.000216396
     -5.0899e-05    -3.80683e-05
    -0.000707446    -0.000670431
     -2.9071e-05    -2.34497e-05
     -4.4869e-05    -4.48702e-05
    -0.000163662    -0.000163104
    -0.000868291    -0.000958912
    -0.000413886    -0.000462294
    -0.000564749    -0.000591795
     -1.9613e-05    -2.70873e-05
    -0.000354054    -0.000450607
     -7.3014e-05    -0.000107223
    -0.000238385    -0.000260118
    -0.000150385    -0.000118562
    -0.000134459    -0.000136578
     -9.2206e-05    -9.81569e-05
    -0.000188897     -0.00017806
    -0.000247321    -0.000239072
    -0.000286246     -0.00026767
    -0.000917438    -0.000707993
    -0.000466931    -0.000396036
     -1.6687e-05    -1.71457e-05
    -0.000187466    -0.000162856
    -0.000188497    -0.000185867
     -2.0058e-05    -1.76541e-05
    -0.000477386    -0.000480298
     -0.00011777    -0.000127378
     -0.00119741     -0.00130217
     -3.5859e-05    -5.71135e-05
      -0.0012224     -0.00131591
    -0.000524737    -0.000579075
    -0.000779533    -0.000918252
    -0.000529661    -0.000536799
    -0.000253909     -0.00032245
     -3.4485e-05    -4.01247e-05
      -9.758e-06    -1.37643e-05
    -0.000399998    -0.000301594
     -3.8742e-05    -3.26602e-05
    -0.000154159    -0.000219287
