QM Energy	FF Energy
     -0.00246276      -0.0024141
     -0.00967003     -0.00990175
     -0.00337703     -0.00328482
     -0.00776171     -0.00748261
     -0.00327783     -0.00330295
     -0.00252748     -0.00271038
     -0.00745151     -0.00778137
     -0.00140626      -0.0014439
      -0.0022345     -0.00233956
     -0.00404028     -0.00422881
     -0.00135254     -0.00133961
     -0.00336226     -0.00317263
     -0.00385203     -0.00337451
     -0.00244055     -0.00222921
     -0.00109535      -0.0011166
     -0.00286738     -0.00303181
     -0.00423857     -0.00432807
     -0.00136684     -0.00138427
     -0.00170353      -0.0016775
     -0.00139201     -0.00148493
     -0.00123883     -0.00118661
     -0.00257158     -0.00257213
     -0.00123973     -0.00124769
     -0.00503546     -0.00496054
     -0.00485859     -0.00440879
     -0.00207725     -0.00188028
     -0.00116773     -0.00117863
    -0.000655776    -0.000643362
     -0.00365473     -0.00366519
     -0.00927495     -0.00859257
     -0.00253493     -0.00269159
     -0.00100113    -0.000994233
     -0.00209526     -0.00199527
      -0.0101695      -0.0105205
     -0.00172807     -0.00168761
     -0.00170466     -0.00152096
      -0.0023191     -0.00228553
      -0.0114667      -0.0113074
     -0.00133704     -0.00131925
     -0.00742681     -0.00720748
     -0.00102673     -0.00110334
     -0.00272988     -0.00272237
     -0.00088192    -0.000901562
    -0.000929135    -0.000871434
     -0.00128642     -0.00126009
     -0.00259668     -0.00268556
     -0.00125825      -0.0011712
      -0.0014823     -0.00132086
     -0.00206088     -0.00207919
      -0.0038956     -0.00406993
     -0.00391845     -0.00416697
     -0.00156048     -0.00154019
     -0.00808017     -0.00812499
     -0.00180401     -0.00187402
     -0.00866767       -0.008819
    -0.000856604    -0.000796159
     -0.00147055     -0.00146613
     -0.00518095     -0.00486572
     -0.00117211     -0.00120059
     -0.00616699     -0.00548883
    -0.000664054    -0.000675832
     -0.00154749     -0.00160938
     -0.00253222     -0.00254179
     -0.00537331     -0.00531025
     -0.00114414     -0.00106787
    -0.000920293     -0.00093049
     -0.00107722    -0.000930397
     -0.00124639     -0.00125749
     -0.00108889     -0.00105131
     -0.00525404     -0.00525329
     -0.00375082     -0.00368715
    -0.000817053    -0.000715316
     -0.00291213     -0.00283099
    -0.000919629    -0.000867374
     -0.00660335     -0.00693246
     -0.00692451     -0.00676132
     -0.00190089     -0.00190971
     -0.00168609     -0.00176643
     -0.00154497     -0.00157951
     -0.00361417     -0.00338012
     -0.00544992     -0.00537704
     -0.00198666     -0.00200981
     -0.00192057     -0.00177003
     -0.00259207     -0.00260046
      -0.0127742       -0.013023
     -0.00666631      -0.0063781
     -0.00181634      -0.0018524
     -0.00132475     -0.00132797
     -0.00329054     -0.00346596
     -0.00418664     -0.00391699
     -0.00106596     -0.00101485
     -0.00317933      -0.0032592
     -0.00337129     -0.00310338
     -0.00285512     -0.00272702
     -0.00515729     -0.00487975
     -0.00204477     -0.00210885
     -0.00370071     -0.00378481
     -0.00320869     -0.00325761
      -0.0108241      -0.0106096
      -0.0015042     -0.00149113
     -0.00124734     -0.00119119
     -0.00133777     -0.00139122
     -0.00422273     -0.00435666
     -0.00125943     -0.00113684
     -0.00446882     -0.00453135
     -0.00313712     -0.00319113
    -0.000889895    -0.000895856
     -0.00300794     -0.00310417
     -0.00227376     -0.00225158
     -0.00161479     -0.00153078
     -0.00696714     -0.00724551
     -0.00164885      -0.0014241
     -0.00122353     -0.00118468
     -0.00462323     -0.00414932
    -0.000983405    -0.000951341
     -0.00119556     -0.00115767
    -0.000905996    -0.000876654
     -0.00999671      -0.0103402
     -0.00303242     -0.00317852
      -0.0055154     -0.00522051
     -0.00112635     -0.00110687
     -0.00618497     -0.00655468
     -0.00295112     -0.00306711
      -0.0020364     -0.00216091
     -0.00155958      -0.0013805
     -0.00167591     -0.00184514
     -0.00147777     -0.00146984
     -0.00132342     -0.00116535
     -0.00204698     -0.00201491
     -0.00198724     -0.00174499
     -0.00862286     -0.00920588
     -0.00509381     -0.00506947
    -0.000805647    -0.000794952
     -0.00153006     -0.00143546
     -0.00179868     -0.00190785
    -0.000854967    -0.000835165
     -0.00350163     -0.00351365
     -0.00285607     -0.00303152
     -0.00897457      -0.0089694
     -0.00192632     -0.00204174
      -0.0129348      -0.0131036
     -0.00616676     -0.00622149
     -0.00519414     -0.00488719
     -0.00286158     -0.00285573
     -0.00389007     -0.00404916
     -0.00118947     -0.00118995
    -0.000766319    -0.000758697
     -0.00403335     -0.00411386
       -0.001011    -0.000971844
     -0.00386831     -0.00388176
     -0.00363353     -0.00378665
     -0.00726627     -0.00701137
     -0.00588661     -0.00552178
     -0.00412789     -0.00395679
      -0.0016648     -0.00178871
     -0.00395357     -0.00396942
    -0.000911481    -0.000871594
     -0.00140013     -0.00128525
     -0.00547265     -0.00563453
     -0.00106804     -0.00114257
     -0.00172809     -0.00176712
    -0.000785273     -0.00075643
    -0.000992769    -0.000987334
    -0.000878318    -0.000830002
     -0.00207822     -0.00187542
     -0.00275236     -0.00286486
     -0.00598673     -0.00582946
     -0.00605493     -0.00583655
     -0.00485045     -0.00513751
     -0.00171061     -0.00165655
    -0.000917228    -0.000970159
     -0.00146996     -0.00152875
     -0.00581945     -0.00542229
     -0.00796362     -0.00781812
     -0.00173748     -0.00183504
     -0.00101109    -0.000977257
    -0.000683586    -0.000704523
     -0.00294701     -0.00291814
     -0.00152144     -0.00157408
     -0.00185602     -0.00171181
    -0.000992342     -0.00086941
    -0.000678272    -0.000614837
     -0.00196347     -0.00175147
     -0.00526593      -0.0054192
      -0.0052676     -0.00568261
     -0.00239975      -0.0024298
     -0.00246174     -0.00209196
      -0.0100292     -0.00932499
    -0.000858271    -0.000882109
     -0.00101479      -0.0010761
     -0.00445669      -0.0047249
     -0.00100981    -0.000883049
    -0.000927456    -0.000923781
    -0.000809518    -0.000694613
     -0.00209642     -0.00190995
     -0.00101622     -0.00106968
     -0.00750623     -0.00725333
     -0.00596506      -0.0062191
     -0.00397895      -0.0040353
    -0.000738115    -0.000770292
     -0.00213935     -0.00199751
     -0.00122558     -0.00128424
    -0.000782825    -0.000756228
     -0.00118977     -0.00113147
     -0.00469071      -0.0043127
     -0.00317247      -0.0027666
     -0.00245583     -0.00249424
     -0.00297089     -0.00269667
     -0.00384167     -0.00374238
     -0.00289675     -0.00288598
     -0.00296011     -0.00304206
    -0.000737695     -0.00069586
     -0.00417329     -0.00435985
    -0.000829973    -0.000787705
     -0.00278727     -0.00260963
      -0.0081528     -0.00765988
    -0.000700122    -0.000651631
     -0.00438369     -0.00417079
    -0.000935899    -0.000833281
     -0.00109285     -0.00111365
     -0.00394678     -0.00430716
     -0.00101471    -0.000909084
    -0.000859841    -0.000849515
     -0.00604071     -0.00582281
     -0.00710754     -0.00642009
     -0.00512174      -0.0048951
     -0.00581147     -0.00600321
    -0.000976081    -0.000995345
     -0.00592414     -0.00602264
      -0.0019393     -0.00176299
     -0.00472146     -0.00443025
     -0.00455029     -0.00489685
     -0.00119348     -0.00110705
     -0.00180948      -0.0016886
     -0.00760203     -0.00760783
     -0.00096008    -0.000927791
