QM Energy	FF Energy
    -0.000592244    -0.000616619
     -0.00765811     -0.00756958
     -0.00198222     -0.00174095
     -0.00626394     -0.00565862
    -0.000794118    -0.000958889
    -0.000643859    -0.000744036
     -0.00408333     -0.00452124
    -0.000115898    -0.000104072
       9.744e-06      -6.697e-05
     -0.00121323     -0.00130943
     -0.00028297    -0.000266217
     -0.00118072    -0.000856085
     -0.00339274     -0.00318847
    -0.000394261     -0.00032357
    -0.000148527    -0.000137008
     -0.00133558     -0.00132551
     -0.00241207     -0.00233339
    -0.000195876    -0.000168282
    -0.000132319    -0.000155562
      2.3671e-05    -6.49142e-06
    -0.000281672    -0.000220435
    -0.000556916    -0.000595263
    -0.000146062    -0.000146236
     -0.00417437     -0.00436082
     -0.00344653     -0.00352312
    -0.000339994    -0.000365788
      3.0419e-05     6.88097e-05
      -2.897e-06    -3.78312e-06
     -0.00105704    -0.000985011
     -0.00980268     -0.00865646
    -0.000592673    -0.000828583
     -4.9231e-05    -5.32366e-05
     -0.00107279     -0.00104072
     -0.00772858     -0.00799501
    -0.000483477    -0.000415142
     -0.00034592    -0.000211426
    -0.000930299     -0.00077502
      -0.0115845      -0.0112078
     -0.00036686    -0.000334592
     -0.00680289     -0.00793132
      3.1637e-05     1.83639e-05
     -0.00158629     -0.00150429
    -0.000138695     -0.00012436
     -8.3186e-05    -7.70789e-05
    -0.000126729    -0.000131235
     -0.00086802    -0.000842937
     -8.6372e-05    -0.000142722
    -0.000539287    -0.000445548
    -0.000590154    -0.000679665
     -0.00123714     -0.00119434
     -0.00107356     -0.00133877
    -0.000385978    -0.000351002
     -0.00719812     -0.00724437
    -0.000454507    -0.000411038
     -0.00724759     -0.00694236
     -0.00030148    -0.000334737
    -0.000241018    -0.000224549
     -0.00407357     -0.00381809
     -5.7114e-05    -7.78919e-05
     -0.00715328     -0.00668337
    -0.000218113    -0.000265178
    -0.000275749    -0.000238892
    -0.000792597    -0.000913306
     -0.00293731     -0.00273713
    -0.000151622    -0.000136026
    -0.000193296    -0.000227312
    -0.000178609    -0.000188229
    -0.000139338    -0.000177987
    -0.000315234     -0.00034269
     -0.00351458      -0.0034327
     -0.00180626     -0.00185308
     -7.0593e-05    -9.37869e-05
    -0.000902186    -0.000621983
      5.1324e-05     3.38646e-05
     -0.00441814     -0.00461212
     -0.00544753     -0.00490741
    -0.000319813    -0.000324286
    -0.000292743    -0.000306546
    -0.000286503     -0.00036911
     -0.00114397     -0.00109205
     -0.00407812      -0.0036836
     -0.00039221    -0.000343936
     -0.00053332    -0.000541792
    -0.000818183    -0.000932041
      -0.0113656      -0.0117212
      -0.0051206     -0.00482315
    -0.000623561    -0.000665162
    -0.000582676    -0.000626881
     -0.00107861     -0.00114718
    -0.000789384    -0.000995755
    -0.000316071    -0.000275021
      -0.0010046     -0.00103861
    -0.000964494    -0.000528173
    -0.000979162    -0.000771485
     -0.00349766     -0.00413214
    -0.000784918    -0.000673031
     -0.00141585     -0.00150836
      -0.0014361     -0.00141489
      -0.0104866      -0.0118038
    -0.000477996    -0.000523427
     -9.0052e-05    -0.000113327
    -0.000176624    -0.000171628
     -0.00200233     -0.00196581
     -5.4406e-05    -3.79515e-05
     -0.00327761     -0.00401228
     -0.00155076     -0.00181056
     -4.3924e-05    -3.46556e-05
      -0.0012291     -0.00135634
    -0.000718327    -0.000603238
    -0.000295221    -0.000297366
     -0.00388363     -0.00390727
    -0.000281779    -0.000296039
    -0.000152707    -0.000148512
     -0.00440164     -0.00452572
    -0.000155653    -0.000122288
    -0.000268629    -0.000251178
       2.673e-06    -3.45209e-05
     -0.00839693     -0.00819287
     -6.6829e-05    -0.000178549
     -0.00387375     -0.00367032
    -0.000188363    -0.000161156
     -0.00307891     -0.00331847
    -0.000895242     -0.00086561
    -0.000286861    -0.000355403
    -0.000976548    -0.000832256
    -0.000298749    -0.000380251
    -0.000150578    -0.000150332
    -0.000335947    -0.000319554
    -0.000277658    -0.000336059
      -0.0007826    -0.000758851
     -0.00675732     -0.00758799
      -0.0026268     -0.00284616
    -0.000147912    -0.000150575
     -9.4017e-05    -0.000122598
    -0.000526824    -0.000642365
      -9.348e-05    -9.47653e-05
     -0.00187206      -0.0022653
    -0.000991466     -0.00100992
      -0.0072799     -0.00843567
    -0.000228617    -0.000277219
      -0.0108923       -0.011161
     -0.00389708     -0.00401392
     -0.00212794     -0.00287355
     -0.00145288      -0.0012241
      -0.0010332     -0.00126257
    -0.000205414     -0.00016719
      -6.487e-05    -6.65321e-05
     -0.00137348     -0.00178477
    -0.000173786    -0.000180825
      -0.0022064     -0.00198536
      -0.0011724     -0.00131778
      -0.0056042     -0.00542635
     -0.00506499     -0.00462619
     -0.00230772     -0.00238656
     -0.00051823    -0.000480285
     -0.00152595     -0.00165949
    -0.000298942      -0.0002711
     -0.00021199    -0.000172454
     -0.00248998     -0.00281649
    -0.000133144    -0.000145216
      -1.269e-06    -3.15321e-05
     -6.9787e-05    -6.07809e-05
     -7.4362e-05    -9.29705e-05
    -0.000236236     -0.00018883
    -0.000210468    -0.000154018
      -0.0003971    -0.000483552
     -0.00324767     -0.00328305
     -0.00324305     -0.00372687
     -0.00278485     -0.00281947
    -0.000597241    -0.000604309
      4.3413e-05      2.6264e-05
    -0.000253836    -0.000273662
     -0.00430942     -0.00432098
     -0.00646505     -0.00640456
    -0.000513503    -0.000622704
     -0.00011198    -0.000131334
     -1.2593e-05    -2.85529e-05
    -0.000473536    -0.000465076
    -0.000187158    -0.000195303
    -0.000536612    -0.000522964
    -0.000276421    -0.000237932
    -0.000205457    -0.000172912
     -0.00131027     -0.00132817
     -0.00359958     -0.00378333
      -0.0028174       -0.003616
    -0.000318038    -0.000267634
     -0.00153839     -0.00147746
      -0.0107764     -0.00924989
     -3.3322e-05    -4.36675e-05
     -5.3364e-05    -9.97003e-05
     -0.00200049     -0.00208774
    -0.000272647    -0.000231281
    -0.000313923    -0.000268473
      9.6223e-05     6.98058e-05
    -0.000347977    -0.000253555
     -7.3384e-05    -7.50657e-05
     -0.00759363     -0.00738016
     -0.00344052     -0.00391345
     -0.00245761     -0.00230853
      7.0549e-05      3.0962e-05
     -0.00106822     -0.00116871
    -0.000165619    -0.000159592
    -0.000120863    -0.000144333
      -0.0001317    -0.000127117
     -0.00300667     -0.00308156
     -0.00274602     -0.00300123
    -0.000738305    -0.000890077
     -0.00122737     -0.00142926
       -0.002683     -0.00340255
     -0.00102601     -0.00113515
     -0.00108815     -0.00127804
      5.3251e-05     3.78052e-05
     -0.00175567     -0.00176645
     -6.2627e-05    -2.45146e-05
    -0.000930064    -0.000870724
     -0.00761131     -0.00665505
     -9.8763e-05    -7.54932e-05
     -0.00200722     -0.00207169
    -0.000410611    -0.000347471
    -0.000245567    -0.000275542
     -0.00147775     -0.00176218
     0.000105345     0.000185363
      8.7969e-05     7.20179e-05
     -0.00492723     -0.00450842
     -0.00675016     -0.00619689
     -0.00374999     -0.00354051
     -0.00358492     -0.00337472
    -0.000102242    -0.000128718
     -0.00356749     -0.00378563
    -0.000557158    -0.000549388
     -0.00267484     -0.00224359
     -0.00115426     -0.00150904
    -0.000395282    -0.000325561
    -0.000470247    -0.000527937
     -0.00474716     -0.00447389
    -0.000135928    -0.000108609
     -0.00646199     -0.00563425
    -0.000212942    -0.000169278
     -0.00117052     -0.00120832
     -0.00497645     -0.00559572
     -0.00149917     -0.00183106
     -0.00211373     -0.00179985
     -0.00109151     -0.00133362
    -0.000145657    -0.000165611
     -0.00129505      -0.0011252
    -0.000140141    -0.000161266
     -0.00140741     -0.00125092
     -0.00497483      -0.0054887
     -0.00254385     -0.00270637
     -2.6693e-05    -2.03328e-05
     -0.00146819     -0.00138366
    -0.000355603    -0.000369067
     -0.00104101    -0.000903956
     -8.4292e-05     6.55457e-05
     -0.00229258     -0.00246807
     -0.00451945     -0.00482222
     0.000150288     0.000183796
      1.3092e-05    -2.53496e-05
    -0.000650847    -0.000711364
     -0.00322044     -0.00329761
     -0.00153256     -0.00142969
    -0.000531287    -0.000447758
     -9.9364e-05    -8.86625e-05
     -0.00019907    -0.000180006
      -0.0086795     -0.00747492
    -0.000958582     -0.00103659
     -8.6815e-05    -6.69066e-05
    -0.000129449    -0.000125416
    -0.000755251    -0.000648259
    -0.000738654    -0.000758518
    -0.000126444    -0.000102851
      -0.0102763     -0.00976843
     -0.00529796     -0.00593459
    -0.000221618    -0.000198201
     0.000132222     0.000133182
    -0.000509876    -0.000547934
    -0.000769726    -0.000686699
      -3.162e-05    -8.20718e-05
      -7.384e-06    -2.38481e-05
    -0.000213726    -0.000181752
    -0.000367543    -0.000383886
     -0.00328363      -0.0037939
     -0.00111812     -0.00128365
    -0.000524696    -0.000443041
     -0.00363569     -0.00355362
    -0.000427366    -0.000440533
    -0.000496893    -0.000441123
    -0.000567569    -0.000572424
     -0.00240421     -0.00203739
     -8.1174e-05    -9.37139e-05
    -0.000581306    -0.000593684
     -6.3498e-05     -5.9918e-05
    -0.000792894    -0.000988247
     -0.00516072     -0.00498749
     -0.00248818     -0.00239729
    -0.000377115    -0.000515727
     -0.00722059     -0.00711567
    -0.000429796    -0.000397416
    -0.000970475     -0.00102495
     -0.00149522     -0.00147326
      -0.0125769      -0.0121903
     -5.4398e-05    -3.27756e-05
     -0.00740854     -0.00683263
    -0.000205231    -0.000281049
    -0.000451421    -0.000440863
    -0.000216636    -0.000201937
    -0.000108637    -0.000138524
    -0.000256376     -0.00032893
    -0.000492426     -0.00065333
     -0.00534928     -0.00586722
     -0.00866884     -0.00920375
    -0.000141498    -0.000166952
      -0.0018023     -0.00187936
     -0.00117926     -0.00101322
    -0.000252469    -0.000342047
    -0.000125336    -0.000197427
      4.1155e-05     5.28835e-05
    -0.000469696     -0.00038261
    -0.000691499    -0.000728803
     -0.00494789      -0.0049406
     -5.6204e-05     -5.2784e-05
     -0.00174202     -0.00140461
     -0.00051601    -0.000688766
     -3.9999e-05    -7.03358e-05
     0.000134108     0.000146687
    -0.000150198    -0.000146654
      -0.0149537      -0.0161824
     -0.00267966     -0.00305224
     -0.00313363     -0.00338285
    -0.000902344    -0.000903852
      -7.633e-05    -8.58561e-05
    -0.000278615    -0.000274335
     -0.00442844     -0.00432058
     -0.00260527     -0.00266557
      1.6617e-05     5.18796e-05
     -0.00215038     -0.00214496
      -0.0046575     -0.00438863
      4.3649e-05     1.71955e-05
      -0.0001091    -0.000106235
     -0.00101259     -0.00104994
    -0.000572314    -0.000586521
     -0.00760832     -0.00796473
     -0.00306685     -0.00300481
    -0.000164519    -0.000148461
     -0.00463909     -0.00389246
     -0.00768795     -0.00693782
    -0.000314792     -0.00039382
    -0.000381927    -0.000325558
    -0.000200095    -0.000195269
      -0.0112208      -0.0112761
     -0.00255704     -0.00201323
    -0.000125031    -0.000136112
    -0.000294714    -0.000322766
     -0.00807442     -0.00905185
    -0.000255029     -0.00021822
     -0.00214982     -0.00178632
    -0.000154024    -0.000125516
     -0.00203134     -0.00178694
      0.00013261     0.000134292
    -0.000127439     -0.00013714
    -0.000295128    -0.000327478
    -0.000252141    -0.000250304
    -0.000347375     -0.00042899
     -0.00159974     -0.00161783
    -0.000208206    -0.000198492
     0.000206352     0.000199242
    -0.000329386    -0.000277331
     -0.00147471     -0.00152427
     -0.00414031     -0.00421458
     -0.00431425     -0.00387579
     -0.00872424     -0.00872913
     -0.00095658      -0.0010908
    -0.000123584    -0.000177963
    -0.000157152    -0.000176646
      -0.0116474      -0.0127592
    -0.000707158    -0.000786998
    -0.000360771    -0.000410033
     -0.00381509     -0.00428826
    -0.000416081    -0.000406458
    -0.000455961    -0.000482175
     -0.00125641     -0.00118498
    -0.000123267    -0.000104178
    -0.000480412    -0.000546591
     -0.00426862     -0.00418145
     -0.00938139     -0.00844693
     -0.00386861     -0.00413942
     -0.00492863     -0.00506571
    -0.000231444     -0.00022119
    -0.000247317    -0.000208746
    -0.000368896    -0.000363792
     -0.00163755     -0.00189809
    -0.000149103    -0.000128331
     -8.3007e-05    -8.75141e-05
    -0.000573822    -0.000560475
    -0.000754547    -0.000714544
    -0.000139422     -0.00018024
     -0.00230168     -0.00224608
     -0.00023839    -0.000212651
     -0.00351863     -0.00328426
     -0.00484902     -0.00500049
    -0.000681173    -0.000775026
    -0.000758981    -0.000776255
    -0.000268732    -0.000323284
       6.345e-06    -2.85348e-05
    -0.000230023    -0.000242377
     -9.9829e-05    -0.000173982
     -0.00166109     -0.00162727
     -0.00257402     -0.00241205
    -0.000275231    -0.000219315
     -0.00522122     -0.00504181
    -0.000434924    -0.000537379
    -0.000221781    -0.000201371
    -0.000183873    -0.000160293
     -0.00161081     -0.00179921
    -0.000314596    -0.000347386
    -0.000504296    -0.000413691
      1.6107e-05      4.2408e-06
    -0.000116422     -0.00013238
     -0.00166255     -0.00160514
     -0.00342107     -0.00313443
    -0.000172073    -0.000147935
     -6.1528e-05    -6.03764e-05
    -0.000776659    -0.000658666
     -0.00291668     -0.00325928
       -0.008971     -0.00897446
       7.155e-05      6.4311e-05
    -0.000829747     -0.00102055
    -0.000338312    -0.000330311
    -0.000139386    -0.000119943
     0.000120497     0.000212717
    -0.000364952    -0.000330138
    -0.000146047    -0.000151046
    -0.000129404    -0.000111392
     -6.1487e-05     3.17439e-05
    -0.000156785    -0.000216427
     -0.00493078     -0.00481485
    -0.000183296    -0.000172546
    -0.000924904    -0.000837908
     -0.00013355    -0.000160475
     0.000137926     0.000123675
    -0.000528089    -0.000674369
     -0.00823455     -0.00853664
     -0.00193634     -0.00207507
    -0.000129181    -0.000222692
     -0.00150492      -0.0016203
       -0.006646      -0.0056995
      -0.0171824      -0.0153917
     -6.9691e-05    -7.44359e-05
    -0.000224677    -0.000230221
    -0.000192614     -0.00022711
    -0.000725644    -0.000706648
