QM Energy	FF Energy
    -0.000314814     -0.00031778
     -0.00090342     -0.00086068
    -0.000266879    -0.000284582
    -0.000702877    -0.000877884
     -0.00029134    -0.000255588
     -7.8029e-05    -8.90988e-05
    -0.000531053    -0.000565949
     -2.9484e-05    -3.45372e-05
    -0.000394192    -0.000432484
    -0.000273968    -0.000308481
     -3.1634e-05    -3.53101e-05
     -0.00021204    -0.000247107
    -0.000640846     -0.00068256
    -0.000230752    -0.000239666
     -2.8787e-05    -3.13346e-05
    -0.000178125    -0.000169088
    -0.000170306    -0.000243343
     -1.5056e-05    -2.52527e-05
     -7.7681e-05    -7.78508e-05
    -0.000151666    -0.000156495
     -3.0534e-05    -3.37469e-05
    -0.000138049    -0.000130146
     -6.1974e-05    -6.15295e-05
    -0.000540046    -0.000632656
    -0.000664876    -0.000434494
    -0.000219728    -0.000224491
     -6.4782e-05    -5.92321e-05
     -1.3403e-05    -1.27698e-05
    -0.000265504    -0.000279156
     -0.00110063    -0.000929628
    -0.000316662    -0.000320048
     -2.8862e-05    -2.59558e-05
    -0.000191401    -0.000202345
     -0.00110562    -0.000920144
     -6.5711e-05    -5.93394e-05
    -0.000175799       -0.000166
     -6.5061e-05     -8.1106e-05
     -0.00119975     -0.00143672
    -0.000100964    -9.61485e-05
     -0.00169462     -0.00151665
     -9.3656e-05    -9.47096e-05
    -0.000565005     -0.00053639
     -1.6941e-05    -1.68435e-05
     -6.2408e-05    -5.57718e-05
     -4.7706e-05    -4.13564e-05
     -0.00010323    -9.90035e-05
    -0.000153112    -0.000143152
    -0.000121679     -0.00011413
    -0.000202479    -0.000198581
     -7.8779e-05    -0.000134515
    -0.000555633    -0.000592302
     -8.8295e-05    -8.34431e-05
    -0.000762075     -0.00077269
    -0.000207417    -0.000203485
     -0.00122439     -0.00119273
     -8.3844e-05    -8.37934e-05
     -2.5535e-05    -3.64258e-05
    -0.000625024    -0.000644667
     -3.4384e-05    -3.40557e-05
    -0.000971274    -0.000980958
     -7.1074e-05    -6.31085e-05
     -9.2972e-05    -8.88057e-05
    -0.000169931    -0.000155368
     -0.00037684    -0.000469239
     -4.0914e-05    -3.66637e-05
     -2.8842e-05    -2.81971e-05
    -0.000160837    -0.000148866
     -5.0602e-05       -5.62e-05
     -7.9362e-05     -7.1583e-05
    -0.000423443    -0.000415485
    -0.000331007    -0.000250073
    -0.000102011    -9.13391e-05
    -0.000269538    -0.000284799
    -0.000100057    -8.86851e-05
    -0.000354128    -0.000515142
    -0.000678061    -0.000790201
     -6.2122e-05    -5.81953e-05
     -3.1015e-05    -3.95996e-05
     -2.6263e-05    -4.52754e-05
    -0.000372582    -0.000384321
     -0.00037616     -0.00040878
      -3.767e-05    -4.99612e-05
    -0.000198523    -0.000200643
     -0.00018075       -0.000149
     -0.00117348     -0.00134836
    -0.000704915    -0.000584672
     -6.6633e-05    -8.84368e-05
    -0.000167561    -0.000152011
    -0.000229369     -0.00025491
     -0.00100973     -0.00115029
     -9.7576e-05    -8.89989e-05
    -0.000154087    -0.000160097
    -0.000266019    -0.000303496
    -0.000207766    -0.000232222
    -0.000584741    -0.000643891
    -0.000249746    -0.000232441
    -0.000278977    -0.000307416
    -0.000241728    -0.000259075
     -0.00124201     -0.00136234
    -0.000151099    -0.000141574
      -6.133e-05    -4.92353e-05
     -5.3794e-05    -5.71077e-05
    -0.000100276    -0.000205747
    -0.000116129    -0.000107534
     -0.00101326    -0.000887481
    -0.000267535    -0.000297036
     -1.0294e-05    -1.17765e-05
    -0.000177094    -0.000213578
     -4.6115e-05    -7.02883e-05
       -7.69e-05    -6.09926e-05
    -0.000380076    -0.000448888
    -0.000235064    -0.000221387
     -5.0899e-05    -4.36277e-05
    -0.000707446    -0.000772402
     -2.9071e-05    -2.54601e-05
     -4.4869e-05    -4.28592e-05
    -0.000163662    -0.000164022
    -0.000868291    -0.000915518
    -0.000413886    -0.000458291
    -0.000564749    -0.000608382
     -1.9613e-05    -2.36663e-05
    -0.000354054    -0.000412072
     -7.3014e-05    -9.50644e-05
    -0.000238385    -0.000248449
    -0.000150385    -0.000138254
    -0.000134459      -0.0001331
     -9.2206e-05    -8.90612e-05
    -0.000188897    -0.000179216
    -0.000247321    -0.000248488
    -0.000286246    -0.000284658
    -0.000917438    -0.000727878
    -0.000466931    -0.000432248
     -1.6687e-05    -1.65976e-05
    -0.000187466    -0.000173915
    -0.000188497    -0.000181415
     -2.0058e-05    -1.79617e-05
    -0.000477386    -0.000488227
     -0.00011777    -0.000124528
     -0.00119741     -0.00121947
     -3.5859e-05    -4.68797e-05
      -0.0012224     -0.00133825
    -0.000524737    -0.000617325
    -0.000779533    -0.000888441
    -0.000529661    -0.000517071
    -0.000253909    -0.000287833
     -3.4485e-05    -3.87441e-05
      -9.758e-06    -1.22442e-05
    -0.000399998    -0.000327977
     -3.8742e-05    -3.41254e-05
    -0.000154159    -0.000213788
    -0.000204027    -0.000202758
    -0.000640079    -0.000819894
    -0.000546606    -0.000477039
    -0.000413166    -0.000494447
    -0.000188507    -0.000171789
    -0.000344595    -0.000315513
     -8.9419e-05    -8.25464e-05
    -0.000144758    -0.000133934
     -0.00128309      -0.0014318
     -6.2007e-05    -6.17298e-05
     -9.9706e-05    -9.75693e-05
     -1.2234e-05    -1.49479e-05
     -3.7587e-05    -3.35573e-05
     -5.2374e-05    -4.69093e-05
    -0.000197603    -0.000199349
     -0.00013512    -0.000139244
    -0.000492898    -0.000568504
    -0.000670621     -0.00058757
    -0.000386913    -0.000368139
     -9.8515e-05    -9.68242e-05
     -9.3564e-05    -9.61624e-05
     -5.0679e-05    -5.43705e-05
    -0.000607157    -0.000718816
     -0.00088303    -0.000758791
    -0.000221541    -0.000220263
     -4.1129e-05    -3.57038e-05
      -7.527e-06     -8.6743e-06
    -0.000391941    -0.000428254
      -2.839e-05    -3.63061e-05
    -0.000124895    -9.29452e-05
    -0.000105134    -0.000100132
     -5.4709e-05    -4.76718e-05
    -0.000345843    -0.000342237
    -0.000527929    -0.000505852
    -0.000439586    -0.000467381
     -9.4596e-05    -0.000109443
    -0.000381842    -0.000398625
     -0.00166905     -0.00193988
     -3.9845e-05    -4.01903e-05
     -9.8694e-05    -9.75891e-05
    -0.000171082    -0.000251126
    -0.000123923    -0.000116963
    -0.000118213    -0.000108632
    -0.000112455    -0.000100358
    -0.000196077     -0.00019674
     -1.0053e-05    -1.29259e-05
     -0.00083048    -0.000876206
    -0.000527461    -0.000577796
    -0.000826935    -0.000796711
     -8.8427e-05    -8.96654e-05
    -0.000238188    -0.000248325
     -1.3385e-05    -1.99193e-05
     -6.3936e-05    -6.19707e-05
     -4.5893e-05    -3.67069e-05
    -0.000556373    -0.000394839
    -0.000500906    -0.000551659
    -0.000203315      -0.0001671
    -0.000336816    -0.000226865
    -0.000481505    -0.000515886
    -0.000455479    -0.000455958
     -9.6069e-05    -0.000148878
     -6.1511e-05    -5.93967e-05
     -7.4035e-05    -0.000173576
     -5.5854e-05    -5.10577e-05
    -0.000252916    -0.000268381
     -0.00073466    -0.000999779
     -1.2483e-05    -1.21604e-05
    -0.000429246    -0.000482453
     -7.6062e-05    -6.74072e-05
     -4.8807e-05    -4.60966e-05
