QM Energy	FF Energy
     -0.00230288     -0.00224277
      3.7013e-05     1.49079e-05
     -0.00425952     -0.00455034
     -5.4233e-05    -5.16934e-05
    -0.000114414    -9.07343e-05
     -0.00203943     -0.00183786
    -0.000291143     -0.00025406
    -0.000901253    -0.000992686
    -0.000315481    -0.000284733
    -0.000281298    -0.000337065
     -9.0875e-05    -0.000191809
    -0.000163728    -0.000132409
     -0.00230923     -0.00204916
     -0.00129718     -0.00124768
     -0.00109507     -0.00114098
    -0.000423668    -0.000433074
     -0.00146089     -0.00137779
      -5.654e-05    -4.14938e-05
     -0.00429972       -0.004175
      6.8454e-05     5.28353e-05
    -0.000856967    -0.000815038
     -0.00137552     -0.00125829
    -0.000624721    -0.000605953
     -0.00372713      -0.0035966
     -0.00886632     -0.00854192
    -0.000738309    -0.000630195
     -0.00029861    -0.000328921
    -0.000581236    -0.000515397
    -0.000254552     -0.00023458
    -0.000539445    -0.000450024
    -0.000993591     -0.00120156
     -0.00150581     -0.00141942
    -0.000966871    -0.000913945
    -0.000819033    -0.000872486
      -0.0102988      -0.0118803
     -0.00485079     -0.00431217
      -0.0031515     -0.00367603
    -0.000215686    -0.000178834
     -0.00771195      -0.0077523
    -0.000164457    -0.000158082
     -0.00205264     -0.00212569
     -0.00526647     -0.00600912
     -0.00683915     -0.00744515
     -0.00119923     -0.00127116
    -0.000700011    -0.000824219
    -0.000553648    -0.000575976
     -0.00512124     -0.00416035
      -0.0144067      -0.0147943
      -0.0140757      -0.0131177
    -0.000610569    -0.000674049
      -0.0025657     -0.00236468
      -0.0027015     -0.00260948
     -0.00339529      -0.0034294
    -0.000776168    -0.000846238
     -0.00907611     -0.00727058
      -0.0056113     -0.00522567
    -0.000180195    -0.000167237
     -0.00118221     -0.00114853
    -0.000283712    -0.000223103
     -0.00475108      -0.0048399
     -0.00454697     -0.00404873
    -0.000434087    -0.000449619
      4.1776e-05     1.46646e-05
     -0.00448752     -0.00470329
       7.666e-06     2.30339e-05
     -0.00186089     -0.00225715
     -0.00207629     -0.00202619
       -0.002497     -0.00262783
     -0.00440822     -0.00492729
     -0.00265624     -0.00282587
    -0.000160473    -0.000106704
     -8.6619e-05    -7.88935e-05
      -0.0015217     -0.00151002
    -0.000219967    -0.000216125
     -0.00777931     -0.00782978
     -0.00211165     -0.00206334
     -0.00762312     -0.00776705
    -0.000234472    -0.000312483
    -0.000123132    -0.000130918
    -0.000293707    -0.000416895
     -0.00929281     -0.00904668
    -0.000283941     -0.00025276
    -0.000118528    -0.000111326
    -0.000332809    -0.000417668
     -0.00101074    -0.000967184
    -0.000113874    -0.000168202
     -0.00524552     -0.00501383
     -0.00575419      -0.0057163
     -1.4703e-05    -6.26637e-05
    -0.000535546    -0.000483708
     -0.00321014     -0.00332081
    -0.000109762    -0.000137075
    -0.000766831    -0.000668167
     -0.00175858     -0.00188905
    -0.000221854    -0.000275225
      -0.0137146      -0.0141024
     -0.00761439      -0.0068012
    -0.000618538    -0.000694243
      -0.0030117     -0.00308652
    -0.000200899    -0.000189864
       2.233e-06     4.45057e-05
    -0.000481634    -0.000400038
    -0.000168852    -0.000194272
     -0.00882119     -0.00983381
     -0.00379752     -0.00423495
     -0.00501036     -0.00419942
     -0.00776545     -0.00756362
    -0.000801629    -0.000506833
    -0.000312001    -0.000302912
     -0.00150659     -0.00143768
    -0.000418752    -0.000387996
     -0.00664707     -0.00618757
    -0.000208807    -0.000195273
    -0.000618024     -0.00075085
     -0.00260999     -0.00314758
    -0.000576141     -0.00048246
     -0.00117139     -0.00104752
     -0.00154727     -0.00154403
     -0.00220545     -0.00221124
     -0.00671804     -0.00595363
     -0.00868173      -0.0091166
     -0.00118651     -0.00133862
     -0.00084936     -0.00090146
    -0.000198124    -0.000170715
    -0.000240362    -0.000287211
    -0.000402696     -0.00034325
    -0.000632489    -0.000588339
     -0.00347167     -0.00380096
     -0.00149174     -0.00155424
    -0.000480548    -0.000586638
    -0.000420322    -0.000443261
    -0.000141757    -0.000177784
      4.6232e-05     2.50125e-05
     -0.00489321     -0.00550529
    -0.000285758    -0.000281678
    -0.000693551    -0.000491899
    -0.000349148    -0.000346604
    -0.000371876    -0.000386331
     -0.00238559     -0.00266638
    -0.000130973    -0.000135489
     -0.00167086     -0.00175517
     -0.00318692     -0.00332125
     -1.5244e-05     -3.2636e-05
     -0.00101534    -0.000962115
     -0.00180217     -0.00172694
     -1.6323e-05    -4.47712e-05
    -0.000149825    -0.000145663
     -0.00651713     -0.00678784
    -0.000384488    -0.000413068
    -0.000703148     -0.00086395
     -0.00130061     -0.00156148
     -0.00114502     -0.00128504
     -0.00486184     -0.00492364
