QM Energy	FF Energy
     -0.00477816     -0.00450002
     -0.00116379     -0.00115328
     -0.00688538     -0.00689105
    -0.000707988    -0.000650674
     -0.00103468    -0.000892976
     -0.00493548     -0.00510982
     -0.00101235     -0.00100494
     -0.00264377     -0.00275306
      -0.0014238     -0.00143884
     -0.00174243     -0.00178453
     -0.00214977     -0.00213225
     -0.00100617    -0.000920888
     -0.00378705     -0.00372276
     -0.00378876     -0.00382302
     -0.00281567     -0.00277057
     -0.00175934     -0.00172076
     -0.00365793      -0.0038439
     -0.00128353     -0.00112145
     -0.00571424     -0.00576932
    -0.000913224    -0.000877183
     -0.00301245      -0.0030059
      -0.0022906      -0.0020147
     -0.00245773     -0.00237306
     -0.00493831      -0.0044711
     -0.00932247     -0.00888042
     -0.00207182     -0.00183296
     -0.00163412     -0.00162653
     -0.00116581     -0.00106606
     -0.00159103     -0.00155173
      -0.0019698     -0.00202095
      -0.0033914     -0.00347561
     -0.00346287     -0.00349419
     -0.00212341     -0.00213831
     -0.00242416     -0.00251713
      -0.0122552      -0.0126464
     -0.00678124     -0.00691184
     -0.00553519     -0.00555231
     -0.00103743    -0.000929842
     -0.00966855     -0.00935523
     -0.00183477     -0.00179851
     -0.00514756     -0.00516457
     -0.00586722     -0.00606379
     -0.00899855     -0.00912665
     -0.00288464     -0.00278903
     -0.00308567     -0.00325899
     -0.00149396     -0.00145918
     -0.00616975     -0.00619106
      -0.0123561      -0.0123273
      -0.0123523      -0.0114381
     -0.00269466     -0.00288516
     -0.00454058     -0.00427714
     -0.00520421     -0.00504384
     -0.00572177     -0.00593748
     -0.00294523     -0.00297813
     -0.00990192      -0.0097175
     -0.00790169     -0.00763478
     -0.00103478     -0.00100197
     -0.00306903     -0.00299557
     -0.00189378     -0.00192045
     -0.00770834     -0.00777596
     -0.00668421     -0.00665618
     -0.00171478      -0.0018382
     -0.00127706     -0.00132688
      -0.0076005     -0.00773611
     -0.00117995     -0.00108897
     -0.00397455     -0.00371198
     -0.00441838     -0.00455415
     -0.00484798     -0.00497081
     -0.00676245     -0.00701557
     -0.00525971     -0.00526675
     -0.00114288     -0.00108637
    -0.000904655     -0.00084518
     -0.00433574     -0.00422548
    -0.000931687    -0.000901662
      -0.0109419      -0.0110577
      -0.0040288     -0.00418939
      -0.0108412       -0.010859
     -0.00176006     -0.00179018
     -0.00128486     -0.00125715
      -0.0022973     -0.00240377
     -0.00823718     -0.00773487
     -0.00123077     -0.00121954
     -0.00128558     -0.00124815
     -0.00199747     -0.00207546
