QM Energy	FF Energy
     -0.00100598    -0.000801102
     -2.3282e-05    -2.98479e-05
     -0.00108126     -0.00106338
      -1.738e-05    -2.17297e-05
     -2.7622e-05    -2.12047e-05
    -0.000583852    -0.000705322
     -2.6939e-05    -3.58628e-05
    -0.000184863    -0.000224071
     -3.1939e-05    -4.04643e-05
     -4.1371e-05    -5.76876e-05
    -0.000212725    -0.000219547
     -3.8056e-05     -4.2861e-05
    -0.000488438    -0.000404011
     -0.00026553     -0.00027662
    -0.000160139    -0.000142986
    -0.000105348     -0.00012474
    -0.000241216    -0.000337072
     -3.3823e-05    -2.81052e-05
    -0.000921364    -0.000885144
     -2.6421e-05     -2.7883e-05
    -0.000130352    -0.000145954
    -0.000225859    -0.000148031
    -0.000133408    -0.000148159
    -0.000765091    -0.000528535
     -0.00140133     -0.00106146
     -0.00014267    -0.000100596
     -5.1661e-05    -7.26777e-05
     -5.1354e-05    -4.21464e-05
     -5.2697e-05    -6.56337e-05
    -0.000103656    -0.000150804
    -0.000225642    -0.000230745
    -0.000403177    -0.000341132
    -0.000162087    -0.000179622
    -0.000119081     -0.00013757
     -0.00218155     -0.00176867
    -0.000810233    -0.000752016
    -0.000763886    -0.000838657
      -2.696e-05     -2.2209e-05
     -0.00125172     -0.00115066
     -9.8682e-05    -0.000100646
    -0.000401119    -0.000438761
     -0.00115053     -0.00120092
     -0.00123355     -0.00118496
    -0.000385474    -0.000398964
    -0.000228396    -0.000275492
     -5.3381e-05     -5.9422e-05
    -0.000885998    -0.000777734
     -0.00225856     -0.00252649
     -0.00241058     -0.00226297
    -0.000118359    -0.000172693
    -0.000432349    -0.000337305
    -0.000698401    -0.000662586
    -0.000638768    -0.000619635
    -0.000157851    -0.000177639
     -0.00192104     -0.00164575
     -0.00134223     -0.00137229
     -3.7302e-05    -4.94586e-05
    -0.000331789    -0.000267295
     -4.6521e-05    -6.55296e-05
     -0.00110722     -0.00111982
    -0.000937958    -0.000831399
     -6.1587e-05    -9.96188e-05
      -2.191e-05    -3.77217e-05
    -0.000852556    -0.000779439
     -2.6087e-05    -2.51631e-05
    -0.000855033    -0.000868995
    -0.000373408    -0.000376632
    -0.000498682    -0.000519375
    -0.000937731    -0.000707908
    -0.000673624    -0.000657258
     -4.1343e-05     -4.2946e-05
     -2.0864e-05    -2.52736e-05
    -0.000695238    -0.000660791
     -2.7838e-05    -3.73786e-05
     -0.00159273     -0.00155339
    -0.000385842    -0.000400354
     -0.00155649     -0.00152776
     -6.5015e-05    -8.29233e-05
     -5.7465e-05     -7.0213e-05
    -0.000162851    -0.000185237
     -0.00177566     -0.00168608
      -5.109e-05    -6.53255e-05
     -2.5252e-05    -3.31831e-05
     -5.8969e-05    -8.38922e-05
    -0.000211696    -0.000229804
     -3.5143e-05    -4.93046e-05
     -0.00132707     -0.00110585
       -0.001091    -0.000950609
     -8.2431e-05    -9.63494e-05
     -7.7375e-05     -8.9484e-05
    -0.000634507    -0.000728925
     -4.5532e-05    -6.14445e-05
    -0.000125129    -0.000142771
    -0.000362348    -0.000254751
     -6.4102e-05    -8.83051e-05
     -0.00213209     -0.00238756
      -0.0012694     -0.00110362
    -0.000129322    -0.000166853
     -0.00085309    -0.000860015
     -6.1794e-05    -6.20545e-05
     -1.0967e-05    -1.76205e-05
    -0.000102496    -0.000121829
     -7.7445e-05    -9.94808e-05
     -0.00209974     -0.00199275
    -0.000641896    -0.000713571
    -0.000931517    -0.000857754
     -0.00167998     -0.00122069
    -0.000180371    -0.000175033
     -5.1906e-05    -5.80071e-05
    -0.000254586    -0.000189182
     -4.8716e-05    -7.64043e-05
     -0.00131774     -0.00125115
      -5.835e-05    -6.77298e-05
    -0.000376591    -0.000346935
     -0.00108015     -0.00109099
     -8.8901e-05    -9.77559e-05
    -0.000158501     -0.00010857
    -0.000312287    -0.000333416
    -0.000450244    -0.000388961
     -0.00145132     -0.00142741
     -0.00171627     -0.00115237
    -0.000257836    -0.000305597
    -0.000274305    -0.000304773
     -1.4211e-05    -1.64809e-05
     -4.9173e-05    -6.86912e-05
     -2.2999e-05    -1.72398e-05
     -8.3345e-05      -7.804e-05
    -0.000654855    -0.000729014
     -0.00033033     -0.00034019
     -7.2319e-05    -8.91343e-05
     -5.6907e-05    -7.70768e-05
     -3.0152e-05    -5.74198e-05
     -3.4938e-05       -4.76e-05
     -0.00122588     -0.00109977
     -6.2834e-05    -8.22599e-05
     -0.00017075    -0.000138616
     -7.7028e-05    -0.000104207
     -6.3196e-05    -8.25076e-05
    -0.000521192    -0.000490726
      -2.537e-05    -3.80192e-05
    -0.000640688    -0.000517506
    -0.000602553    -0.000584827
     -3.1978e-05    -4.00749e-05
    -0.000130808    -0.000130374
    -0.000320254    -0.000448386
     -1.2844e-05    -2.09411e-05
     -2.7559e-05    -3.57914e-05
     -0.00147677     -0.00126812
     -6.5879e-05    -8.65658e-05
    -0.000239607    -0.000280012
     -0.00036076    -0.000452183
    -0.000424842    -0.000458132
    -0.000994094    -0.000950286
     -0.00157629     -0.00140091
     -0.00181402      -0.0016528
       -7.03e-06     -6.4999e-06
    -0.000305178     -0.00029204
     -0.00183805     -0.00166408
      -0.0016195     -0.00156804
     -1.9222e-05    -2.59655e-05
     -4.5348e-05    -6.45965e-05
     -4.2883e-05    -4.57844e-05
    -0.000471711    -0.000495595
     -4.7602e-05    -5.47485e-05
     -1.5083e-05    -1.56222e-05
     -5.3504e-05    -4.99108e-05
    -0.000118431    -0.000100068
     -0.00115665     -0.00115658
     -1.3119e-05    -1.87946e-05
     -9.1577e-05    -0.000114292
     -4.4628e-05    -3.94649e-05
     -4.3738e-05    -4.67322e-05
     -5.5681e-05     -6.6733e-05
     -0.00154072     -0.00113529
    -0.000101064    -0.000128883
    -0.000671517    -0.000695956
    -0.000506149    -0.000353493
     -0.00131198     -0.00139506
    -0.000153504    -0.000166678
    -0.000455317    -0.000412545
     -4.0293e-05    -5.07705e-05
     -0.00102123    -0.000964504
    -0.000618963    -0.000762786
     -0.00114868     -0.00120512
     -0.00142516     -0.00150691
     -5.0383e-05    -7.02331e-05
     -5.2612e-05    -5.06613e-05
    -0.000341028    -0.000380835
    -0.000175079    -0.000160311
    -0.000630833    -0.000609339
     -7.4296e-05    -8.08543e-05
    -0.000106736    -0.000115041
    -0.000149939    -0.000180379
     -6.9651e-05    -8.85546e-05
    -0.000500112    -0.000424246
     -8.5155e-05     -6.2601e-05
    -0.000101907    -0.000133971
     -6.4021e-05    -4.80692e-05
    -0.000212671    -0.000269465
     -0.00113622     -0.00125988
     -2.5022e-05    -2.72833e-05
    -0.000345293    -0.000276138
      -0.0018501     -0.00161587
    -0.000373279    -0.000437648
     -2.0757e-05    -3.39419e-05
     -0.00101586     -0.00101454
     -1.4341e-05    -2.02415e-05
     -6.8917e-05    -8.60979e-05
