QM Energy	FF Energy
     -6.0819e-05    -5.53074e-05
     -0.00016999    -0.000158809
    -0.000218732    -0.000207579
    -0.000419231     -0.00046657
    -0.000723907    -0.000858487
    -0.000672754    -0.000828334
    -0.000211475    -0.000208291
     -1.6931e-05    -1.66435e-05
     -5.4237e-05     -3.9437e-05
       -3.27e-05    -2.89622e-05
    -0.000113189    -0.000118847
     -6.7901e-05     -6.4919e-05
     -0.00130764     -0.00153267
    -0.000112042    -0.000107402
    -0.000938864    -0.000992267
    -0.000131755    -0.000125666
    -0.000407538    -0.000430544
    -0.000192202    -0.000187291
     -7.3735e-05    -6.04391e-05
    -0.000328688    -0.000343606
    -0.000579419     -0.00060333
     -7.8487e-05    -7.30634e-05
     -3.7742e-05    -3.40185e-05
    -0.000898229    -0.000875644
     -0.00127367      -0.0012245
    -0.000129282     -0.00012742
      -0.0003233    -0.000324801
    -0.000224568    -0.000293911
    -0.000821843    -0.000919925
    -0.000302628    -0.000309492
    -0.000103442    -9.39285e-05
    -0.000214093    -0.000203852
    -0.000556899     -0.00057751
    -0.000165247     -0.00016124
    -0.000141454    -0.000149598
     -3.0132e-05    -2.66616e-05
      -8.115e-05    -7.56275e-05
    -0.000226179    -0.000207859
     -8.2159e-05    -7.58401e-05
     -5.9301e-05    -5.45627e-05
     -6.2167e-05    -6.20366e-05
     -0.00117583     -0.00128764
    -0.000258086    -0.000249559
    -0.000225774     -0.00021927
    -0.000321933    -0.000474813
     -0.00128975     -0.00126271
    -0.000160123    -0.000154702
     -8.9533e-05    -8.33161e-05
     -4.4651e-05    -4.07444e-05
    -0.000343849    -0.000344333
    -0.000183916     -0.00016518
    -0.000819263    -0.000871964
    -0.000790589    -0.000884141
    -0.000332549    -0.000353351
     -0.00076253    -0.000830641
    -0.000299669    -0.000288473
    -0.000703847     -0.00069695
    -0.000120565    -0.000114894
    -0.000185835     -0.00013325
     -0.00160303     -0.00173543
     -0.00022371    -0.000218017
    -0.000105347    -9.43673e-05
    -0.000439735    -0.000514009
     -7.2242e-05     -6.5673e-05
     -6.0763e-05      -4.823e-05
      -8.658e-05    -0.000120229
    -0.000143553     -0.00016094
      -8.043e-05    -7.09346e-05
     -5.4683e-05    -5.09719e-05
     -0.00192794     -0.00201279
    -0.000114428     -0.00010669
     -9.1836e-05    -7.96034e-05
     -4.8543e-05     -4.2758e-05
    -0.000122882    -0.000115804
     -9.2405e-05    -7.08885e-05
     -2.7709e-05     -2.3658e-05
     -5.6732e-05    -4.90279e-05
    -0.000331508    -0.000346007
    -0.000826506    -0.000867384
    -0.000527547    -0.000527717
     -3.0035e-05    -2.56636e-05
      -4.876e-05    -4.12073e-05
     -0.00230597     -0.00240412
    -0.000381545    -0.000405803
    -0.000811317    -0.000728196
     -3.4948e-05      -2.893e-05
     -6.9982e-05     -5.6527e-05
    -0.000416376    -0.000362853
    -0.000410863     -0.00043835
    -0.000121877    -0.000120109
    -0.000114928     -0.00010316
     -6.1918e-05    -5.42091e-05
    -0.000662878    -0.000709782
    -0.000162044    -0.000153809
    -0.000149611    -0.000117311
     -5.4821e-05    -5.04907e-05
      -0.0017081     -0.00180863
    -0.000120085    -0.000114301
    -0.000236159    -0.000236771
    -0.000296964    -0.000282778
    -0.000266016    -0.000373036
    -0.000185816    -0.000176793
    -0.000175695    -0.000161566
       -2.43e-05    -2.50413e-05
     -3.3256e-05    -3.02871e-05
    -0.000119093    -0.000112215
      -5.756e-05    -5.61628e-05
     -3.1218e-05    -2.85267e-05
    -0.000179883    -0.000186623
     -0.00122078     -0.00101609
     -7.5683e-05    -7.04827e-05
    -0.000105413    -9.51904e-05
     -5.8675e-05    -5.29668e-05
     -4.1416e-05     -3.5491e-05
     -7.8344e-05    -7.48573e-05
    -0.000207285    -0.000190596
    -0.000177259    -0.000203041
    -0.000175065    -0.000169525
    -0.000305337    -0.000320787
     -0.00096764    -0.000949022
    -0.000197485    -0.000224641
    -0.000442375      -0.0004561
     -4.7028e-05    -4.09429e-05
     -4.9929e-05    -4.59566e-05
     -3.6166e-05    -3.34114e-05
    -0.000881872     -0.00110706
     -0.00116125      -0.0012201
     -6.6731e-05    -5.97474e-05
    -0.000127957     -0.00011662
     -3.0225e-05     -3.0686e-05
    -0.000361141     -0.00033943
     -9.9208e-05    -7.12894e-05
    -0.000356033    -0.000413146
    -0.000121105    -0.000111958
    -0.000420777    -0.000437581
    -0.000354289     -0.00038599
    -0.000110598    -0.000105926
    -0.000598795    -0.000545645
     -5.5601e-05    -5.30173e-05
     -0.00021465    -0.000204007
     -8.9549e-05    -8.70551e-05
     -0.00166444       -0.001441
     -3.0864e-05    -2.98814e-05
    -0.000146273    -0.000138039
    -0.000185551     -0.00018194
     -5.2759e-05    -5.11726e-05
     -8.0572e-05    -7.30646e-05
    -0.000803015    -0.000848267
     -0.00124214     -0.00113581
    -0.000702516    -0.000658889
    -0.000331176    -0.000329246
    -0.000217127     -0.00026134
     -2.8304e-05    -4.95164e-05
    -0.000114847    -0.000115288
    -0.000400754    -0.000420795
    -0.000222809    -0.000219632
     -0.00176903     -0.00168762
    -0.000102735    -9.75542e-05
     -4.5395e-05    -3.88728e-05
    -0.000612601    -0.000654169
    -0.000179444    -0.000171538
    -0.000529511      -0.0005252
     -0.00206289     -0.00154898
    -0.000287552    -0.000268352
    -0.000636842    -0.000781954
    -0.000150179    -0.000344444
     -4.1278e-05    -4.04583e-05
    -0.000528256    -0.000627074
     -5.4967e-05    -4.91728e-05
     -0.00139268     -0.00149413
    -0.000118891    -0.000112328
     -5.7622e-05    -5.41116e-05
    -0.000113426    -0.000107202
     -5.4363e-05    -4.88354e-05
     -3.8981e-05    -3.97721e-05
    -0.000821149    -0.000874296
    -0.000177663     -0.00017173
     -5.5484e-05    -4.93222e-05
     -7.5467e-05    -6.04847e-05
     -0.00012786     -0.00012582
    -0.000131712    -0.000126969
     -0.00241991      -0.0023644
    -0.000191142    -0.000183416
    -0.000209049    -0.000204739
    -0.000233377    -0.000226943
      -6.564e-05    -5.74876e-05
     -0.00022315    -0.000206813
     -4.0444e-05    -3.68819e-05
    -0.000179558    -0.000179715
    -0.000191578    -0.000177295
    -0.000160499     -0.00015086
    -0.000178132    -0.000160412
     -2.9887e-05     -2.7125e-05
    -0.000187278    -0.000175942
     -0.00010518    -9.95705e-05
     -7.2795e-05    -6.49357e-05
     -7.8344e-05    -7.63214e-05
    -0.000327836    -0.000317438
      -1.934e-05     -1.7018e-05
     -6.3047e-05    -5.63542e-05
    -0.000461647    -0.000462283
    -0.000150539     -0.00015241
     -7.2077e-05    -6.39342e-05
    -0.000414761    -0.000419326
    -0.000225825    -0.000231134
    -0.000746583    -0.000729055
     -5.9268e-05    -5.64742e-05
    -0.000332138    -0.000335744
     -5.7317e-05    -5.00105e-05
    -0.000130796    -0.000124479
    -0.000210595    -0.000196318
    -0.000686681    -0.000859797
     -5.4186e-05    -4.92781e-05
    -0.000183477    -0.000176473
      -6.604e-05     -6.7514e-05
    -0.000114971    -0.000107441
    -0.000506959    -0.000529532
    -0.000136325    -0.000135537
     -9.4895e-05    -8.84284e-05
     -0.00063272    -0.000640297
     -6.4778e-05    -5.77341e-05
    -0.000880942     -0.00106623
    -0.000118483    -0.000116218
    -0.000125173    -0.000114737
    -0.000536474    -0.000546993
      -0.0013426     -0.00146819
    -0.000208729    -0.000201829
    -0.000892193    -0.000880036
    -0.000355069    -0.000376397
     -3.0738e-05    -2.53976e-05
    -0.000375661    -0.000387111
     -0.00137051     -0.00182217
     -9.3322e-05    -8.30422e-05
    -0.000497813    -0.000408199
    -0.000298073    -0.000337113
    -0.000257947    -0.000244754
    -0.000329302    -0.000327817
    -0.000481863    -0.000488016
    -0.000189705     -0.00017851
     -9.2788e-05    -8.26303e-05
    -0.000566463    -0.000468857
     -6.3179e-05    -5.75311e-05
    -0.000207915    -0.000200334
     -8.1558e-05    -7.75567e-05
    -0.000155087    -0.000159641
     -0.00190689       -0.002055
    -0.000628523    -0.000575422
    -0.000386999    -0.000405106
    -0.000485268    -0.000549993
     -9.9958e-05    -9.48413e-05
    -0.000338225    -0.000365862
    -0.000362029    -0.000363982
    -0.000206877    -0.000188795
     -8.1773e-05    -7.42771e-05
    -0.000359589    -0.000392642
    -0.000230665     -0.00021669
    -0.000747412    -0.000674048
    -0.000165396    -0.000152472
     -0.00015357    -0.000145648
     -6.8804e-05    -6.17199e-05
     -0.00020719    -0.000197052
    -0.000168191     -0.00017072
     -6.9499e-05    -5.42413e-05
    -0.000278316    -0.000274843
    -0.000118149     -0.00011104
    -0.000590145    -0.000593225
     -0.00125188     -0.00122889
     -4.6256e-05    -4.19486e-05
      -5.817e-05     -4.6622e-05
     -0.00106484     -0.00108849
     -9.2815e-05    -9.24978e-05
     -0.00108127     -0.00127433
    -0.000807001    -0.000868585
    -0.000833151    -0.000738453
     -0.00223666     -0.00204613
      -3.997e-05     -3.4424e-05
     -7.4802e-05    -6.52689e-05
    -0.000753651    -0.000720966
      -6.671e-05    -6.15641e-05
    -0.000357112    -0.000376883
    -0.000302683     -0.00032193
    -0.000868657    -0.000793602
    -0.000251285    -0.000235403
     -9.3048e-05    -9.15824e-05
    -0.000738689    -0.000631981
    -0.000483426    -0.000563535
    -0.000695885    -0.000755945
    -0.000327871    -0.000315153
     -5.7908e-05    -5.57023e-05
     -2.3405e-05     -4.4562e-05
    -0.000143853    -0.000140699
    -0.000141552    -0.000120235
    -0.000187353    -0.000178182
    -0.000135449    -0.000151949
     -3.7024e-05    -2.99844e-05
    -0.000712417    -0.000707839
     -8.8095e-05    -8.24989e-05
    -0.000100259    -9.76751e-05
    -0.000117007    -0.000104952
     -3.4348e-05    -3.00007e-05
    -0.000126004    -0.000123139
    -0.000142663    -0.000136089
     -0.00071852    -0.000664717
    -0.000120676    -0.000165997
    -0.000527103    -0.000543872
    -0.000110476    -0.000104996
    -0.000225315    -0.000247476
    -0.000220125    -0.000229074
    -0.000365177    -0.000412067
    -0.000201721    -0.000195003
    -0.000100918    -7.65659e-05
      -9.149e-05    -8.03312e-05
     -0.00199223      -0.0018327
    -0.000191227    -0.000198024
     -8.9195e-05    -8.34221e-05
    -0.000126934    -0.000118726
    -0.000116478    -9.73565e-05
     -8.3301e-05    -7.66183e-05
     -0.00124226     -0.00122417
     -3.3752e-05     -2.9671e-05
     -0.00299423     -0.00291987
     -2.7379e-05    -2.18802e-05
     -9.2689e-05    -9.43378e-05
     -6.8118e-05    -6.38886e-05
     -6.8723e-05    -6.38057e-05
     -0.00017541    -0.000185908
      -5.289e-05    -7.10246e-05
    -0.000626064    -0.000619779
     -3.2118e-05    -2.91614e-05
     -4.3375e-05    -3.76526e-05
     -8.8862e-05     -0.00011847
    -0.000432245     -0.00048864
      -4.939e-05    -4.35549e-05
    -0.000416283    -0.000380085
      -3.985e-05    -3.49126e-05
     -8.0123e-05    -7.43825e-05
     -0.00022119    -0.000215605
     -0.00012717    -0.000111017
     -7.3917e-05    -6.44859e-05
    -0.000123205    -0.000117791
     -7.4831e-05    -5.83616e-05
     -3.7247e-05    -3.12955e-05
    -0.000121451    -0.000101902
     -5.4504e-05     -4.5231e-05
     -7.5462e-05    -6.82087e-05
     -3.8172e-05    -3.30693e-05
     -0.00108271     -0.00100953
    -0.000303082    -0.000323654
    -0.000168187    -0.000154998
     -3.9545e-05    -4.02097e-05
    -0.000140062    -0.000137944
     -5.6587e-05    -5.14762e-05
    -0.000202469    -0.000236604
    -0.000467889    -0.000482275
    -0.000499678    -0.000360787
     -6.7165e-05    -5.74974e-05
    -0.000249825     -0.00025749
    -0.000194853    -0.000199424
     -4.9829e-05     -4.3948e-05
    -0.000145575    -0.000134961
    -0.000145798    -0.000134472
    -0.000563244    -0.000485707
     -3.8259e-05     -3.3431e-05
    -0.000521534    -0.000487471
     -0.00114905     -0.00101178
     -2.9421e-05    -3.16766e-05
    -0.000137022    -0.000158747
     -5.7246e-05      -6.458e-05
    -0.000320584    -0.000321205
      -3.314e-05    -2.78278e-05
    -0.000296504    -0.000250781
    -0.000246928    -0.000240666
     -3.8332e-05    -3.41861e-05
     -9.2935e-05    -7.89358e-05
    -0.000265533    -0.000273978
    -0.000210356    -0.000282708
     -4.6569e-05    -4.09292e-05
     -6.8213e-05    -6.55536e-05
    -0.000155861    -0.000145385
     -8.7216e-05    -9.09736e-05
     -3.6923e-05    -3.17764e-05
     -0.00127128     -0.00128992
    -0.000156451    -0.000144878
    -0.000534253    -0.000658258
     -0.00010416    -9.63319e-05
    -0.000953966       -0.001023
    -0.000160344    -0.000151225
     -0.00109991     -0.00114608
    -0.000374009    -0.000373119
    -0.000108007    -0.000128146
    -0.000215374    -0.000232581
     -3.1913e-05    -2.72518e-05
     -7.5124e-05    -6.34427e-05
     -9.5759e-05    -8.57389e-05
     -0.00172418     -0.00174573
    -0.000102496    -0.000107977
    -0.000889311    -0.000929467
    -0.000262184    -0.000254977
    -0.000120108    -0.000127535
     -7.4251e-05    -0.000104747
     -3.6806e-05    -3.31607e-05
    -0.000467707    -0.000472324
     -4.9661e-05    -3.65318e-05
    -0.000142128    -0.000132817
    -0.000658897    -0.000609843
     -0.00059219    -0.000573755
    -0.000174172    -0.000154805
    -0.000419994    -0.000413141
    -0.000280421    -0.000253718
    -0.000141927    -0.000136418
     -7.8722e-05    -6.96668e-05
    -0.000246414    -0.000252142
    -0.000542417     -0.00060848
    -0.000108701    -0.000129847
    -0.000155196    -0.000142709
     -0.00105483     -0.00115464
    -0.000426335    -0.000428301
    -0.000516814    -0.000521595
    -0.000560766    -0.000545193
      -4.558e-05    -5.87895e-05
     -6.5432e-05    -5.99552e-05
    -0.000779536    -0.000838029
     -0.00116665     -0.00112158
    -0.000102009    -8.04311e-05
    -0.000115017    -0.000106942
     -6.2413e-05    -6.39665e-05
     -0.00052715    -0.000577222
    -0.000552823    -0.000602003
    -0.000119325    -0.000115086
     -9.0054e-05    -6.90596e-05
    -0.000637541    -0.000642816
    -0.000855731    -0.000910794
     -2.3314e-05    -2.08052e-05
    -0.000101981    -0.000101795
    -0.000992355     -0.00112585
