QM Energy	FF Energy
     -6.0819e-05    -8.57262e-05
     -0.00016999    -0.000185756
    -0.000218732    -0.000220501
    -0.000419231    -0.000537267
    -0.000723907    -0.000855126
    -0.000672754    -0.000925791
    -0.000211475    -0.000252065
     -1.6931e-05    -5.67636e-05
     -5.4237e-05    -9.38861e-05
       -3.27e-05    -4.06576e-05
    -0.000113189    -0.000140577
     -6.7901e-05    -7.02626e-05
     -0.00130764     -0.00154047
    -0.000112042    -0.000111932
    -0.000938864     -0.00100789
    -0.000131755    -0.000131212
    -0.000407538    -0.000512074
    -0.000192202    -0.000211963
     -7.3735e-05    -0.000139929
    -0.000328688     -0.00047136
    -0.000579419    -0.000766419
     -7.8487e-05    -9.75479e-05
     -3.7742e-05      -6.322e-05
    -0.000898229    -0.000946905
     -0.00127367     -0.00121607
    -0.000129282    -0.000189422
      -0.0003233    -0.000356432
    -0.000224568    -0.000375118
    -0.000821843     -0.00110474
    -0.000302628    -0.000334314
    -0.000103442    -0.000111947
    -0.000214093    -0.000240383
    -0.000556899    -0.000741683
    -0.000165247    -0.000182635
    -0.000141454    -0.000184449
     -3.0132e-05    -4.25621e-05
      -8.115e-05    -9.11529e-05
    -0.000226179    -0.000213855
     -8.2159e-05    -9.40028e-05
     -5.9301e-05    -7.63011e-05
     -6.2167e-05    -9.36777e-05
     -0.00117583     -0.00139675
    -0.000258086    -0.000288942
    -0.000225774    -0.000226965
    -0.000321933    -0.000602745
     -0.00128975     -0.00149372
    -0.000160123    -0.000189418
     -8.9533e-05     -0.00010959
     -4.4651e-05    -8.42375e-05
    -0.000343849    -0.000362003
    -0.000183916    -0.000170236
    -0.000819263    -0.000942061
    -0.000790589    -0.000948735
    -0.000332549    -0.000377792
     -0.00076253     -0.00102052
    -0.000299669    -0.000326398
    -0.000703847    -0.000698589
    -0.000120565    -0.000148363
    -0.000185835    -0.000237422
     -0.00160303     -0.00196002
     -0.00022371    -0.000253395
    -0.000105347    -0.000110383
    -0.000439735    -0.000646569
     -7.2242e-05     -7.7032e-05
     -6.0763e-05    -9.68421e-05
      -8.658e-05    -0.000198253
    -0.000143553    -0.000218301
      -8.043e-05    -8.67835e-05
     -5.4683e-05    -6.29437e-05
     -0.00192794     -0.00205231
    -0.000114428     -0.00013215
     -9.1836e-05     -0.00010255
     -4.8543e-05    -4.98927e-05
    -0.000122882    -0.000149667
     -9.2405e-05    -0.000135781
     -2.7709e-05    -2.77633e-05
     -5.6732e-05    -5.65547e-05
    -0.000331508    -0.000427265
    -0.000826506    -0.000859319
    -0.000527547    -0.000663379
     -3.0035e-05    -3.02237e-05
      -4.876e-05    -6.96767e-05
     -0.00230597     -0.00256359
    -0.000381545    -0.000431148
    -0.000811317    -0.000905338
     -3.4948e-05     -4.1932e-05
     -6.9982e-05    -0.000103025
    -0.000416376    -0.000505379
    -0.000410863    -0.000607075
    -0.000121877    -0.000133928
    -0.000114928    -0.000131689
     -6.1918e-05    -9.52482e-05
    -0.000662878    -0.000774495
    -0.000162044    -0.000179843
    -0.000149611    -0.000208324
     -5.4821e-05    -6.04558e-05
      -0.0017081     -0.00169796
    -0.000120085    -0.000118504
    -0.000236159    -0.000277959
    -0.000296964    -0.000414868
    -0.000266016    -0.000428516
    -0.000185816    -0.000207415
    -0.000175695    -0.000186978
       -2.43e-05    -5.30506e-05
     -3.3256e-05    -3.98697e-05
    -0.000119093    -0.000146221
      -5.756e-05    -0.000113379
     -3.1218e-05    -4.34637e-05
    -0.000179883     -0.00026708
     -0.00122078     -0.00106284
     -7.5683e-05    -9.69245e-05
    -0.000105413     -0.00010793
     -5.8675e-05    -7.10969e-05
     -4.1416e-05    -4.56151e-05
     -7.8344e-05    -9.22377e-05
    -0.000207285    -0.000204822
    -0.000177259     -0.00029645
    -0.000175065    -0.000192705
    -0.000305337    -0.000371096
     -0.00096764    -0.000962577
    -0.000197485    -0.000269928
    -0.000442375    -0.000527983
     -4.7028e-05    -4.82055e-05
     -4.9929e-05    -5.83765e-05
     -3.6166e-05    -3.71471e-05
    -0.000881872     -0.00114871
     -0.00116125     -0.00147391
     -6.6731e-05    -7.87441e-05
    -0.000127957    -0.000129586
     -3.0225e-05    -6.11978e-05
    -0.000361141    -0.000490742
     -9.9208e-05    -0.000146656
    -0.000356033    -0.000566799
    -0.000121105    -0.000137118
    -0.000420777    -0.000494153
    -0.000354289    -0.000390146
    -0.000110598    -0.000122428
    -0.000598795    -0.000639086
     -5.5601e-05    -6.53404e-05
     -0.00021465    -0.000248183
     -8.9549e-05    -0.000127117
     -0.00166444     -0.00169564
     -3.0864e-05    -6.39791e-05
    -0.000146273    -0.000182812
    -0.000185551    -0.000215445
     -5.2759e-05    -6.39088e-05
     -8.0572e-05    -9.12093e-05
    -0.000803015    -0.000881423
     -0.00124214     -0.00125416
    -0.000702516    -0.000739262
    -0.000331176    -0.000341885
    -0.000217127    -0.000347643
     -2.8304e-05    -0.000111998
    -0.000114847    -0.000144132
    -0.000400754    -0.000419274
    -0.000222809    -0.000244488
     -0.00176903     -0.00155644
    -0.000102735      -0.0001208
     -4.5395e-05    -5.33477e-05
    -0.000612601    -0.000757271
    -0.000179444    -0.000177682
    -0.000529511    -0.000555876
     -0.00206289      -0.0013056
    -0.000287552    -0.000297399
    -0.000636842    -0.000848553
    -0.000150179    -0.000479553
     -4.1278e-05    -9.04016e-05
    -0.000528256    -0.000718684
     -5.4967e-05    -0.000113698
     -0.00139268     -0.00175542
    -0.000118891    -0.000130187
     -5.7622e-05    -7.70025e-05
    -0.000113426    -0.000149616
     -5.4363e-05    -6.33769e-05
     -3.8981e-05    -7.37671e-05
    -0.000821149    -0.000849151
    -0.000177663    -0.000199376
     -5.5484e-05    -5.42516e-05
     -7.5467e-05     -9.9657e-05
     -0.00012786    -0.000170853
    -0.000131712    -0.000177808
     -0.00241991     -0.00243526
    -0.000191142     -0.00019214
    -0.000209049    -0.000238491
    -0.000233377    -0.000297265
      -6.564e-05     -6.9031e-05
     -0.00022315    -0.000246568
     -4.0444e-05     -5.2668e-05
    -0.000179558    -0.000205182
    -0.000191578    -0.000190144
    -0.000160499    -0.000175104
    -0.000178132    -0.000172372
     -2.9887e-05    -3.70495e-05
    -0.000187278    -0.000192719
     -0.00010518    -0.000107905
     -7.2795e-05    -8.38746e-05
     -7.8344e-05    -0.000129753
    -0.000327836    -0.000424751
      -1.934e-05     -3.1781e-05
     -6.3047e-05    -7.49178e-05
    -0.000461647    -0.000539829
    -0.000150539    -0.000179438
     -7.2077e-05    -8.60562e-05
    -0.000414761    -0.000496042
    -0.000225825    -0.000263547
    -0.000746583    -0.000863189
     -5.9268e-05    -6.96692e-05
    -0.000332138    -0.000366963
     -5.7317e-05    -6.19282e-05
    -0.000130796    -0.000171393
    -0.000210595    -0.000233193
    -0.000686681    -0.000928092
     -5.4186e-05    -6.78483e-05
    -0.000183477    -0.000208598
      -6.604e-05    -8.96424e-05
    -0.000114971    -0.000156757
    -0.000506959    -0.000602877
    -0.000136325    -0.000163921
     -9.4895e-05    -9.42237e-05
     -0.00063272    -0.000608795
     -6.4778e-05    -0.000131473
    -0.000880942     -0.00123756
    -0.000118483    -0.000135132
    -0.000125173     -0.00013588
    -0.000536474    -0.000668887
      -0.0013426     -0.00138506
    -0.000208729    -0.000208184
    -0.000892193    -0.000905026
    -0.000355069    -0.000417721
     -3.0738e-05    -4.30753e-05
    -0.000375661     -0.00043446
     -0.00137051     -0.00177815
     -9.3322e-05    -0.000100786
    -0.000497813    -0.000566943
    -0.000298073    -0.000396266
    -0.000257947    -0.000300087
    -0.000329302     -0.00035987
    -0.000481863    -0.000558467
    -0.000189705    -0.000197427
     -9.2788e-05    -0.000104325
    -0.000566463    -0.000610198
     -6.3179e-05    -7.80305e-05
    -0.000207915    -0.000260376
     -8.1558e-05    -0.000102343
    -0.000155087    -0.000203838
     -0.00190689     -0.00228032
    -0.000628523    -0.000663595
    -0.000386999    -0.000421837
    -0.000485268    -0.000580724
     -9.9958e-05    -0.000165771
