QM Energy	FF Energy
       -2.19e-05    -4.33744e-05
     -4.6547e-05    -4.37506e-05
     -6.6512e-05    -4.63876e-05
    -0.000439442    -0.000534874
    -0.000655437     -0.00042027
    -0.000864039    -0.000656996
    -0.000110796    -0.000134445
     -3.8512e-05    -3.49413e-05
     -7.6585e-05    -7.50032e-05
     -1.4629e-05     -1.9817e-05
    -0.000111795    -0.000147806
     -3.6354e-05    -5.25205e-05
     -0.00155566     -0.00115202
     -6.9006e-05    -8.91997e-05
    -0.000821625      -0.0007822
     -6.5259e-05    -8.12232e-05
    -0.000482272    -0.000501417
     -8.8755e-05     -0.00011475
     -0.00018198    -0.000172356
    -0.000916566    -0.000789103
     -0.00109333    -0.000853757
     -6.3372e-05    -0.000106704
     -2.5343e-05     -2.5046e-05
    -0.000884536    -0.000855714
     -0.00148037     -0.00128913
    -0.000110888    -0.000170209
     -0.00018635    -0.000137435
    -0.000473286    -0.000437967
     -0.00115283     -0.00118218
    -0.000147097    -0.000107982
     -2.1594e-05    -2.87604e-05
     -0.00011933    -0.000104982
    -0.000656677    -0.000661163
     -7.6706e-05    -8.41765e-05
    -0.000159306    -0.000223599
      -1.328e-05    -2.12573e-05
     -4.6463e-05     -5.6899e-05
     -5.3746e-05      -3.476e-05
     -3.1718e-05    -4.92858e-05
     -3.1636e-05    -5.26688e-05
     -4.2012e-05    -6.82624e-05
     -0.00124311     -0.00126051
    -0.000170776    -0.000164883
    -0.000194084     -0.00018823
     -0.00113445     -0.00105137
     -0.00180091     -0.00144839
    -0.000110753    -0.000136637
     -4.9784e-05    -6.45979e-05
     -5.3841e-05    -5.34359e-05
    -0.000180485    -0.000121675
     -3.1251e-05    -2.06454e-05
    -0.000955766    -0.000737717
    -0.000849093     -0.00100507
    -0.000347633    -0.000386185
     -0.00117199     -0.00128581
    -0.000281765    -0.000279532
    -0.000652206     -0.00056595
     -7.7782e-05    -9.99157e-05
    -0.000363002    -0.000349144
     -0.00191612     -0.00187859
    -0.000100762    -8.69602e-05
     -3.0381e-05    -3.87147e-05
    -0.000722657     -0.00087099
     -3.8769e-05    -5.17784e-05
     -6.1797e-05     -5.9463e-05
    -0.000248242    -0.000231935
     -0.00020211    -0.000242114
      -2.068e-05    -3.25793e-05
     -1.2782e-05    -2.06938e-05
     -0.00182193     -0.00206652
     -7.8007e-05    -0.000110731
     -5.2688e-05     -5.7357e-05
     -1.0917e-05    -1.55569e-05
    -0.000104953    -9.91647e-05
    -0.000119688    -0.000119314
      -7.034e-06    -9.37732e-06
     -2.2273e-05    -3.30773e-05
    -0.000305173    -0.000304835
    -0.000896601    -0.000821632
    -0.000530161    -0.000739995
      -7.673e-06    -1.09607e-05
     -3.2352e-05    -3.81339e-05
      -0.0026345     -0.00262259
    -0.000236173    -0.000164571
     -0.00125734     -0.00120399
     -1.1323e-05    -1.27427e-05
     -5.9109e-05    -6.01172e-05
    -0.000661309    -0.000938185
    -0.000726575    -0.000925777
     -1.5925e-05    -1.33489e-05
     -7.6865e-05    -8.28913e-05
      -4.617e-05    -5.00684e-05
    -0.000852707     -0.00105464
     -8.0242e-05    -9.43432e-05
    -0.000278815    -0.000251132
     -2.0041e-05    -3.31961e-05
     -0.00227911     -0.00232958
     -7.3458e-05    -8.65611e-05
    -0.000143831    -0.000119353
    -0.000600378    -0.000676829
     -0.00110672     -0.00097465
     -8.9139e-05    -8.38563e-05
    -0.000135608    -0.000157066
     -2.7446e-05    -2.56523e-05
     -1.3361e-05    -2.26682e-05
     -7.3095e-05    -0.000113918
      -8.237e-05    -7.28183e-05
     -1.3448e-05    -2.73452e-05
    -0.000226457    -0.000310977
     -0.00182712     -0.00150683
     -3.8051e-05    -5.55642e-05
     -1.1206e-05    -1.10256e-05
     -3.8628e-05    -6.17098e-05
     -1.0954e-05    -1.85988e-05
     -5.8376e-05     -7.9256e-05
     -5.7396e-05     -4.1134e-05
    -0.000310694    -0.000429039
      -9.091e-05     -0.00012829
    -0.000341557    -0.000402753
     -0.00116276     -0.00117286
     -0.00021831    -0.000305646
    -0.000521476    -0.000505415
     -1.8679e-05    -2.65827e-05
     -1.1372e-05    -2.12301e-05
     -1.2165e-05    -1.74263e-05
    -0.000988141    -0.000796648
     -0.00158797     -0.00171388
     -1.4551e-05    -3.25866e-05
     -2.5208e-05    -1.93491e-05
     -2.9494e-05    -3.36856e-05
    -0.000828275    -0.000690088
    -0.000192012    -0.000176546
     -0.00109604     -0.00102483
      -3.001e-05    -3.21646e-05
    -0.000320473    -0.000302002
    -0.000178218     -0.00011253
     -5.0179e-05    -8.07102e-05
    -0.000643504    -0.000555919
     -2.6318e-05    -4.42357e-05
     -9.9151e-05    -0.000100197
     -7.4558e-05    -7.97042e-05
     -0.00203935     -0.00187784
     -2.8617e-05    -3.12382e-05
    -0.000125667    -0.000204626
    -0.000138065    -0.000162863
     -2.3483e-05    -3.67576e-05
     -2.1133e-05    -2.93779e-05
     -0.00110802    -0.000995125
     -0.00127684     -0.00117821
    -0.000680941    -0.000586762
    -0.000304344    -0.000272026
    -0.000430468    -0.000463042
    -0.000131153    -0.000111385
    -0.000102069     -0.00010663
    -0.000209157    -0.000128135
    -0.000179363     -0.00020035
      -0.0017752     -0.00160169
     -3.4868e-05    -5.06707e-05
     -1.9621e-05    -2.03844e-05
    -0.000762209    -0.000773348
    -0.000138206    -0.000154637
    -0.000526439    -0.000466048
     -0.00256673     -0.00285997
    -0.000221047    -0.000215509
     -0.00164357     -0.00163828
     -0.00101272    -0.000904899
     -9.4614e-05    -8.35893e-05
    -0.000742558    -0.000684359
    -0.000135635    -0.000117085
     -0.00176444     -0.00169259
     -6.1999e-05    -7.56172e-05
     -2.8889e-05    -4.18828e-05
     -8.7897e-05    -0.000116283
     -1.1306e-05    -2.10988e-05
     -3.6616e-05    -5.67826e-05
    -0.000809937    -0.000771816
    -0.000148774    -0.000149092
     -1.6599e-05    -2.28272e-05
     -5.8334e-05    -6.05014e-05
     -8.5793e-05    -0.000106521
    -0.000106385    -0.000135447
     -0.00177775     -0.00208599
     -4.4202e-05    -2.99855e-05
    -0.000131529    -0.000143599
    -0.000209679    -0.000246912
     -2.3594e-05     -3.1567e-05
    -0.000162266    -0.000162326
     -1.2258e-05    -1.98609e-05
     -0.00013303    -0.000189716
     -5.2714e-05    -3.67433e-05
     -5.6768e-05    -4.97784e-05
     -4.2577e-05    -2.98997e-05
     -1.1209e-05    -2.26291e-05
     -4.3469e-05    -3.69911e-05
     -6.1262e-05    -7.23974e-05
     -3.1879e-05    -4.88643e-05
     -9.3067e-05    -8.45861e-05
    -0.000985024    -0.000894211
      -8.001e-06    -9.19955e-06
     -1.9758e-05    -3.67166e-05
    -0.000464687    -0.000398266
    -0.000157852    -0.000202523
     -4.8989e-05    -6.63978e-05
    -0.000584781    -0.000691775
    -0.000175953    -0.000202058
     -0.00116562     -0.00089298
     -2.4589e-05    -3.61885e-05
    -0.000148442    -0.000127122
     -1.6494e-05    -2.36295e-05
    -0.000119879    -0.000120806
    -0.000118013    -0.000119779
     -0.00080699    -0.000653661
     -1.7656e-05    -3.20188e-05
     -8.9324e-05    -8.12351e-05
      -5.681e-05    -9.03159e-05
    -0.000106755    -0.000102579
    -0.000639689     -0.00053469
     -9.0224e-05    -0.000152115
      -4.935e-05    -6.13275e-05
    -0.000743815    -0.000565712
    -0.000190479    -0.000160377
     -0.00115347    -0.000983456
