QM Energy	FF Energy
     -0.00135557      -0.0013628
    -0.000945265    -0.000943323
     -0.00140519     -0.00137017
     -0.00462547     -0.00473781
     -0.00366381     -0.00407676
     -0.00324047     -0.00319485
     -0.00128471     -0.00128447
     -0.00234914     -0.00254342
     -0.00122495     -0.00124039
     -0.00683184      -0.0064488
     -0.00264025     -0.00272711
    -0.000723266    -0.000703109
     -0.00128804     -0.00127573
      -0.0119615      -0.0116525
      -0.0076825     -0.00760053
     -0.00585868     -0.00569069
    -0.000657724     -0.00060989
     -0.00320517     -0.00316863
      -0.0111761      -0.0108735
     -0.00168109     -0.00169445
     -0.00406278     -0.00380689
     -0.00808463      -0.0086355
     -0.00106158    -0.000981826
      -0.0023797     -0.00244579
     -0.00416005     -0.00437174
     -0.00253124     -0.00243215
       -0.002707     -0.00265186
     -0.00528085     -0.00556753
     -0.00255526     -0.00251064
     -0.00313633     -0.00316213
     -0.00621423     -0.00598602
     -0.00172967     -0.00162849
     -0.00291451     -0.00265581
     -0.00116574     -0.00110254
     -0.00148127     -0.00137522
      -0.0085495     -0.00874509
     -0.00401615     -0.00425155
     -0.00172434     -0.00169486
     -0.00154392     -0.00152762
     -0.00125758     -0.00126386
     -0.00177565     -0.00181994
     -0.00179557     -0.00186891
     -0.00135668     -0.00132703
     -0.00204751     -0.00212826
     -0.00186594     -0.00181146
     -0.00122021     -0.00114561
     -0.00830124      -0.0087949
     -0.00154532     -0.00146468
     -0.00777507     -0.00802478
     -0.00156031     -0.00155996
      -0.0031009     -0.00303464
     -0.00506236     -0.00499437
     -0.00510382     -0.00513311
     -0.00314678     -0.00287927
     -0.00680356     -0.00670659
     -0.00062189    -0.000597657
     -0.00317812     -0.00332599
      -0.0023039     -0.00227799
     -0.00662142     -0.00742398
     -0.00228115     -0.00231128
    -0.000964735    -0.000915533
    -0.000937818    -0.000885194
      -0.0081398     -0.00821469
     -0.00529936      -0.0051543
     -0.00186909     -0.00188151
     -0.00131873      -0.0012358
     -0.00134761     -0.00138567
      -0.0008501    -0.000844036
     -0.00154608     -0.00156618
     -0.00302405     -0.00326601
      -0.0015085     -0.00161541
    -0.000977658    -0.000975454
    -0.000879681    -0.000826293
     -0.00359183      -0.0038235
      -0.0012381     -0.00121184
     -0.00497444      -0.0050909
     -0.00145515     -0.00148253
     -0.00338467     -0.00361612
     -0.00184025     -0.00186852
     -0.00233968     -0.00240801
     -0.00323305     -0.00312872
      -0.0012175     -0.00110858
     -0.00235579     -0.00243777
     -0.00609167     -0.00650196
     -0.00433536     -0.00463006
       -0.011533      -0.0123016
     -0.00574537     -0.00621332
     -0.00299893     -0.00294926
     -0.00307732     -0.00300917
     -0.00425235     -0.00448633
      -0.0063677     -0.00613967
     -0.00192651     -0.00188332
     -0.00291247      -0.0029952
     -0.00562108     -0.00560759
     -0.00709707     -0.00679359
     -0.00394679     -0.00404506
     -0.00873716     -0.00839753
     -0.00387884     -0.00393569
     -0.00256946     -0.00266217
     -0.00764287     -0.00807535
     -0.00142393     -0.00136696
    -0.000870308    -0.000858594
     -0.00173422     -0.00178813
     -0.00429563     -0.00455863
     -0.00170423     -0.00162362
     -0.00618991     -0.00636142
    -0.000912753    -0.000875794
     -0.00387844      -0.0040645
     -0.00180883     -0.00168101
     -0.00365289     -0.00378739
     -0.00451563     -0.00485106
     -0.00106575     -0.00101204
     -0.00202919     -0.00207691
     -0.00529533     -0.00577456
     -0.00116447     -0.00115665
     -0.00168417     -0.00170203
     -0.00113773     -0.00111133
     -0.00419657     -0.00435534
    -0.000700019    -0.000634875
     -0.00812954      -0.0088707
     -0.00167951     -0.00165137
      -0.0117503      -0.0115505
     -0.00468525     -0.00478719
     -0.00256761     -0.00235227
     -0.00730811     -0.00793154
     -0.00373971     -0.00386923
     -0.00159342     -0.00152845
     -0.00265482     -0.00278793
     -0.00841123     -0.00896297
     -0.00330095     -0.00333219
     -0.00122531     -0.00115958
     -0.00302543     -0.00304955
    -0.000915062    -0.000898567
     -0.00251965     -0.00260418
     -0.00503626     -0.00561083
     -0.00299166     -0.00309118
     -0.00187466     -0.00178477
     -0.00539369      -0.0050233
      -0.0018886      -0.0020303
      -0.0012055     -0.00120434
     -0.00135296     -0.00133842
     -0.00553946     -0.00553757
      -0.0018727       -0.001847
     -0.00314288     -0.00337731
     -0.00262763     -0.00268104
     -0.00474458     -0.00470063
     -0.00138635     -0.00142761
     -0.00702192     -0.00754372
      -0.0144251      -0.0133266
     -0.00105418      -0.0010175
      -0.0102424      -0.0106168
     -0.00144233     -0.00138965
     -0.00423165     -0.00412281
     -0.00174549      -0.0016545
      -0.0106085      -0.0117265
