QM Energy	FF Energy
    -0.000105001    -0.000125187
    -0.000277384     -0.00031759
    -0.000253223    -0.000280927
     -4.1747e-05    -5.88823e-05
    -0.000555556    -0.000424274
     -7.9073e-05    -9.63761e-05
     -1.1616e-05    -6.07965e-06
    -0.000117149    -0.000186085
     -3.9635e-05    -4.55295e-05
     -1.4437e-05    -2.21228e-05
    -0.000524318    -0.000431473
     -2.1141e-05    -2.92471e-05
    -0.000619816    -0.000703043
    -0.000186782    -0.000210626
      -2.954e-05    -4.91754e-05
    -0.000255701    -0.000286984
     -5.4538e-05    -5.05076e-05
     -0.00126114     -0.00116916
    -0.000361974    -0.000352744
      -5.309e-06    -1.05444e-05
      -0.0001179    -0.000170649
    -0.000180088    -0.000197299
     -6.6639e-05    -8.45049e-05
    -0.000515147    -0.000465684
     -1.7418e-05    -2.22997e-05
     -2.0666e-05    -3.40566e-05
    -0.000112629    -0.000173894
     -0.00125002     -0.00102088
     -1.2196e-05    -2.45684e-05
    -0.000998776     -0.00112813
     -3.5312e-05    -2.76238e-05
    -0.000149376    -0.000214078
    -0.000552554    -0.000551001
     -1.2677e-05    -1.50131e-05
    -0.000322659    -0.000362114
     -0.00158807     -0.00136526
    -0.000239958    -0.000245563
     -7.8869e-05    -8.60292e-05
    -0.000134892    -0.000143877
    -0.000480452    -0.000461665
     -4.7788e-05    -8.42546e-05
     -1.2028e-05    -1.75647e-05
     -8.9248e-05     -0.00010579
     -0.00121216    -0.000979556
     -0.00067339    -0.000631755
    -0.000941122    -0.000949855
     -0.00113482     -0.00125536
     -7.7263e-05     -0.00010423
    -0.000108507    -0.000147878
    -0.000337346    -0.000377676
    -0.000344524    -0.000474035
      -1.075e-05    -1.59681e-05
    -0.000102018    -0.000126955
     -1.2321e-05    -2.44822e-05
    -0.000346935    -0.000319982
    -0.000547943    -0.000520696
    -0.000117907    -0.000138955
     -9.6501e-05    -0.000102518
     -0.00173642     -0.00161605
    -0.000453099    -0.000466946
     -2.0168e-05    -2.93978e-05
     -7.6356e-05    -9.04874e-05
    -0.000905902    -0.000694184
     -2.9819e-05    -2.13998e-05
     -1.9419e-05    -3.94207e-05
    -0.000771715    -0.000684964
    -0.000324811     -0.00027022
     -0.00152198      -0.0016293
     -0.00127418     -0.00112081
     -6.6331e-05    -7.58097e-05
     -7.3667e-05    -0.000100611
     -1.3884e-05    -2.47475e-05
     -3.0686e-05    -2.62845e-05
     -2.7885e-05    -2.98825e-05
    -0.000356885    -0.000392779
     -1.0386e-05    -2.00186e-05
     -5.0284e-05    -4.06022e-05
     -7.7143e-05     -9.1592e-05
     -8.0656e-05    -9.99261e-05
     -5.2771e-05    -7.05599e-05
    -0.000523426    -0.000354077
     -1.1976e-05    -1.99191e-05
    -0.000564975     -0.00051268
    -0.000799712    -0.000499031
    -0.000999582     -0.00115842
     -1.8692e-05    -2.39877e-05
     -2.8952e-05      -3.996e-05
    -0.000550972    -0.000351658
        -2.1e-06    -4.90458e-06
     -1.2466e-05    -1.93171e-05
    -0.000192726    -0.000102609
      -4.748e-06    -7.65415e-06
     -4.5332e-05    -3.04643e-05
     -1.5267e-05    -2.77813e-05
     -1.0142e-05    -2.00133e-05
      -8.996e-06    -1.85216e-05
     -0.00010404    -0.000121054
     -3.0962e-05    -4.46234e-05
      -8.994e-06     -1.8881e-05
     -2.0432e-05    -3.10816e-05
    -0.000148062    -0.000165984
    -0.000214435    -0.000243601
     -2.0406e-05    -4.08759e-05
    -0.000702355    -0.000839253
      -3.736e-05    -5.61325e-05
     -3.8741e-05    -6.28522e-05
    -0.000822612    -0.000741783
     -4.8279e-05    -8.49576e-05
     -6.4473e-05    -0.000101049
     -1.4483e-05    -1.77695e-05
     -0.00131583     -0.00117625
      -1.707e-05    -2.51419e-05
    -0.000697501    -0.000867354
    -0.000745441    -0.000822979
    -0.000241657    -0.000270805
     -0.00154471     -0.00173143
     -1.7671e-05    -1.29929e-05
     -9.9815e-05    -0.000108636
     -0.00150332     -0.00133122
    -0.000466942    -0.000261552
