QM Energy	FF Energy
     -0.00138024     -0.00135505
      -0.0025324     -0.00251858
     -0.00274481     -0.00274504
     -0.00125472     -0.00121471
     -0.00359569     -0.00352328
     -0.00167275      -0.0016714
    -0.000833787     -0.00077075
     -0.00214458     -0.00213081
     -0.00130272     -0.00127846
    -0.000745915    -0.000712165
     -0.00424191     -0.00428056
     -0.00108275     -0.00103783
     -0.00487498     -0.00491697
     -0.00206951     -0.00210188
     -0.00107906     -0.00109883
     -0.00300635     -0.00300878
     -0.00134044     -0.00128281
     -0.00697033     -0.00697373
     -0.00370544     -0.00365637
    -0.000487758    -0.000495827
     -0.00226081     -0.00234427
     -0.00239367     -0.00253133
      -0.0014882     -0.00146462
     -0.00451671     -0.00453174
    -0.000896848    -0.000907277
    -0.000949487    -0.000936236
     -0.00207375     -0.00210116
     -0.00691556     -0.00705203
    -0.000822333    -0.000783208
     -0.00696141     -0.00713431
     -0.00166531     -0.00162251
     -0.00195221     -0.00198466
     -0.00495087     -0.00499202
    -0.000680073    -0.000633786
      -0.0036281     -0.00360167
     -0.00987752     -0.00990004
     -0.00213594     -0.00217826
      -0.0016145     -0.00165047
     -0.00187892     -0.00188179
     -0.00290332     -0.00290062
     -0.00155805     -0.00152719
     -0.00056353    -0.000569692
     -0.00132188     -0.00129628
     -0.00659005      -0.0066436
      -0.0042373     -0.00427431
     -0.00524918     -0.00525132
     -0.00779466     -0.00773788
     -0.00209894     -0.00203059
     -0.00143345     -0.00149932
     -0.00404038      -0.0041721
     -0.00384912     -0.00399387
    -0.000586438    -0.000566094
      -0.0018399     -0.00191011
    -0.000728908    -0.000759402
     -0.00217829     -0.00218188
     -0.00294109     -0.00295911
     -0.00244032     -0.00249411
     -0.00129591     -0.00125158
     -0.00864056     -0.00873069
     -0.00339116     -0.00339948
    -0.000529443    -0.000516346
     -0.00136822     -0.00132698
     -0.00422033      -0.0041211
     -0.00146208     -0.00141492
      -0.0009202    -0.000907101
     -0.00487104     -0.00497884
     -0.00258402     -0.00251027
     -0.00601874     -0.00581189
     -0.00746647     -0.00742292
     -0.00156025     -0.00150574
     -0.00130985     -0.00128625
    -0.000878034    -0.000858954
    -0.000886212    -0.000828072
    -0.000907819    -0.000857972
     -0.00363954     -0.00366407
    -0.000589806    -0.000596445
     -0.00147871     -0.00139693
     -0.00140605     -0.00141959
     -0.00182955     -0.00189874
     -0.00142251     -0.00140522
      -0.0037242     -0.00377758
