QM Energy	FF Energy
     -7.2663e-05    -8.01215e-05
    -0.000621788    -0.000561772
    -0.000640279    -0.000693345
    -0.000542608     -0.00055174
    -0.000121251    -0.000161128
     -7.6467e-05    -9.04793e-05
    -0.000159729     -0.00016193
     -9.2768e-05    -9.97454e-05
    -0.000446447    -0.000413462
    -0.000599595    -0.000669564
      -4.179e-06    -5.61466e-06
    -0.000941514    -0.000869809
      -0.0013054     -0.00132809
    -0.000923265    -0.000933738
    -0.000470459    -0.000489147
     -3.3404e-05    -3.43133e-05
      -4.537e-05    -5.93148e-05
      -5.778e-05     -6.3756e-05
     -0.00035981    -0.000336845
     -1.9501e-05    -2.01142e-05
     -3.8223e-05    -4.79178e-05
    -0.000537612    -0.000560188
    -0.000109054    -0.000127154
     -2.1173e-05    -3.03044e-05
     -2.3005e-05    -2.27977e-05
     -2.9835e-05    -3.52431e-05
     -0.00105273    -0.000973691
    -0.000112922    -0.000122664
      -1.947e-05    -2.30414e-05
     -0.00149294     -0.00139846
     -0.00151911     -0.00139938
     -1.9135e-05    -2.24882e-05
    -0.000454659    -0.000373699
      -6.028e-06    -7.51948e-06
    -0.000521136    -0.000559488
     -0.00174254     -0.00169559
     -2.4802e-05    -2.32651e-05
     -2.3048e-05    -2.63679e-05
     -4.7006e-05    -5.86208e-05
     -0.00241428     -0.00232793
     -1.7202e-05     -2.3093e-05
     -5.9562e-05    -7.13039e-05
    -0.000210275    -0.000185605
     -1.7729e-05    -2.14582e-05
    -0.000290491    -0.000315182
    -0.000516105    -0.000540189
     -7.0591e-05    -8.99534e-05
    -0.000199432    -0.000227549
      -7.853e-06    -9.83979e-06
      -7.621e-06    -9.02383e-06
    -0.000387161    -0.000414331
     -5.4757e-05    -6.54496e-05
    -0.000144213    -0.000168629
     -0.00197379     -0.00208695
    -0.000975402    -0.000973096
    -0.000199849    -0.000230687
    -0.000150549     -0.00018076
     -2.4584e-05    -3.17939e-05
     -2.9773e-05    -3.84357e-05
    -0.000472665    -0.000487748
    -0.000192089    -0.000169578
     -0.00017305    -0.000177681
    -0.000106957    -0.000120767
     -1.5007e-05     -1.9157e-05
     -5.0706e-05    -6.54672e-05
    -0.000365537    -0.000357464
     -1.4341e-05    -1.63375e-05
      -5.532e-05    -6.66568e-05
     -6.6729e-05    -6.65067e-05
      -7.292e-05    -9.12433e-05
    -0.000484485    -0.000464591
     -6.4573e-05    -7.65479e-05
     -1.2258e-05    -1.61829e-05
    -0.000318909    -0.000340942
     -5.1142e-05    -4.74908e-05
     -0.00150857     -0.00143189
     -1.9614e-05    -2.25529e-05
    -0.000507793    -0.000562002
     -1.6991e-05    -1.57499e-05
     -0.00136426     -0.00113595
    -0.000285392    -0.000276284
     -0.00191787     -0.00180931
    -0.000104163     -0.00010653
    -0.000441207    -0.000443837
    -0.000114284    -0.000127866
     -2.7041e-05     -3.9832e-05
     -7.4758e-05    -9.05766e-05
    -0.000625316    -0.000628417
    -0.000632547     -0.00065436
    -0.000102052     -0.00012662
     -0.00200336     -0.00164703
     -0.00168781     -0.00165085
     -4.4383e-05    -5.12708e-05
     -5.3063e-05    -5.12685e-05
     -1.7726e-05    -2.48219e-05
     -4.9608e-05    -6.46287e-05
    -0.000262887    -0.000283485
     -0.00030685     -0.00033111
    -0.000411252    -0.000407582
     -2.8667e-05    -4.42351e-05
    -0.000197526    -0.000220111
    -0.000106654    -0.000108384
     -8.7567e-05    -9.73629e-05
     -4.7927e-05     -6.0633e-05
    -0.000560572    -0.000531265
     -5.9807e-05    -6.81537e-05
     -4.8742e-05    -5.62401e-05
    -0.000545847    -0.000451238
    -0.000662792    -0.000663129
    -0.000423803    -0.000465593
    -0.000859389    -0.000738899
     -6.8717e-05    -7.06158e-05
     -2.7831e-05    -3.92944e-05
     -5.4513e-05    -6.01496e-05
      -7.486e-05    -7.75948e-05
      -0.0012732     -0.00123062
