QM Energy	FF Energy
     -0.00174803     -0.00178823
     -0.00481817     -0.00502407
     -0.00630861     -0.00637953
     -0.00525243     -0.00549445
     -0.00209233     -0.00216223
     -0.00122058      -0.0011854
      -0.0027697     -0.00254856
     -0.00220935     -0.00207789
     -0.00494481     -0.00492852
     -0.00515217     -0.00504923
     -0.00061996    -0.000554308
     -0.00744546     -0.00723266
     -0.00929949     -0.00972367
     -0.00651835     -0.00680199
     -0.00464673     -0.00465123
     -0.00111688    -0.000983113
     -0.00148856     -0.00154382
     -0.00159928      -0.0016215
     -0.00332762     -0.00348869
    -0.000747008    -0.000787474
     -0.00102997      -0.0010129
     -0.00422198     -0.00412015
     -0.00185384     -0.00187968
    -0.000849119    -0.000837268
     -0.00112036     -0.00100711
     -0.00103012     -0.00102488
     -0.00629078      -0.0061514
     -0.00229662     -0.00231508
    -0.000759965    -0.000795078
     -0.00782794       -0.006896
     -0.00730258     -0.00691203
     -0.00083932    -0.000824747
     -0.00474113     -0.00439244
    -0.000617497     -0.00064899
     -0.00552949     -0.00549269
      -0.0107226      -0.0107002
    -0.000915214    -0.000804357
    -0.000779543    -0.000739822
     -0.00120001     -0.00120751
      -0.0106335      -0.0103072
     -0.00115171      -0.0011128
     -0.00158164     -0.00156969
     -0.00304051      -0.0028557
      -0.0009181    -0.000875777
     -0.00405296     -0.00423924
     -0.00382709     -0.00386447
     -0.00168112     -0.00164594
     -0.00254737     -0.00265049
    -0.000750415    -0.000736653
    -0.000629288    -0.000611439
     -0.00391173     -0.00415378
     -0.00159562      -0.0016441
     -0.00209229     -0.00203201
      -0.0128331      -0.0119146
     -0.00506114     -0.00505178
     -0.00341974     -0.00340712
     -0.00280666     -0.00298905
    -0.000955757    -0.000977436
     -0.00113849     -0.00116943
     -0.00400116     -0.00406762
     -0.00284434     -0.00259718
     -0.00286901      -0.0027649
     -0.00264533     -0.00274087
    -0.000912059    -0.000860695
     -0.00174026     -0.00178988
     -0.00445802     -0.00424672
     -0.00113295     -0.00102751
     -0.00162007     -0.00159939
     -0.00197661     -0.00181514
     -0.00147927     -0.00150154
     -0.00500368     -0.00495703
     -0.00128784     -0.00124456
    -0.000658037    -0.000645762
     -0.00418024     -0.00413628
     -0.00144434     -0.00128876
     -0.00793272     -0.00769562
     -0.00072006    -0.000678871
     -0.00405607     -0.00419057
    -0.000795224    -0.000695117
     -0.00690764     -0.00684593
     -0.00264107     -0.00262373
      -0.0103645     -0.00915947
     -0.00149228     -0.00132691
     -0.00479532     -0.00495864
     -0.00199042     -0.00200985
      -0.0010363     -0.00104354
     -0.00197978     -0.00205908
      -0.0052489     -0.00543578
     -0.00489217     -0.00475455
      -0.0021117      -0.0021862
     -0.00817846     -0.00790905
     -0.00829628     -0.00794989
     -0.00108228     -0.00104996
     -0.00168588     -0.00149223
      -0.0010216    -0.000995372
     -0.00194318     -0.00204757
     -0.00293623     -0.00301157
     -0.00318746     -0.00323213
     -0.00499796     -0.00488673
    -0.000928247    -0.000932086
     -0.00283746     -0.00300229
     -0.00134642     -0.00140642
     -0.00192742     -0.00191667
     -0.00148269     -0.00158141
     -0.00485527     -0.00468346
     -0.00169164      -0.0016956
     -0.00123966     -0.00121677
     -0.00434744     -0.00405503
     -0.00444278     -0.00444548
     -0.00461145     -0.00480509
      -0.0061587     -0.00588106
     -0.00176707      -0.0016033
     -0.00103367     -0.00104051
     -0.00125856     -0.00121405
     -0.00164269     -0.00164021
     -0.00842404     -0.00833055
     -0.00164475     -0.00156218
    -0.000589521    -0.000593657
     -0.00219706     -0.00222261
     -0.00296635     -0.00273219
     -0.00146156     -0.00144457
     -0.00873435      -0.0091149
     -0.00175415     -0.00179894
     -0.00819227     -0.00855661
     -0.00132888     -0.00136841
     -0.00123229      -0.0010903
    -0.000510398    -0.000433088
     -0.00116843      -0.0012193
     -0.00444954     -0.00435102
     -0.00609873      -0.0062202
     -0.00193778      -0.0020315
     -0.00559953     -0.00571453
     -0.00300966     -0.00315859
     -0.00152632       -0.001501
      -0.0061728     -0.00577747
     -0.00120171     -0.00119874
     -0.00206114     -0.00206363
     -0.00493494      -0.0048532
     -0.00168311     -0.00167619
     -0.00304378     -0.00320007
      -0.0122429      -0.0116046
    -0.000550693    -0.000544759
    -0.000674389    -0.000700182
     -0.00334157     -0.00323583
     -0.00283923     -0.00287693
     -0.00219989     -0.00217342
     -0.00250173     -0.00248811
    -0.000954796    -0.000976282
     -0.00134596     -0.00119641
      -0.0012852     -0.00118494
     -0.00193952     -0.00194882
     -0.00201847     -0.00201346
      -0.0062532     -0.00624707
    -0.000693568    -0.000621461
      -0.0122108      -0.0115622
     -0.00843346     -0.00789865
     -0.00147445     -0.00133198
      -0.0020972     -0.00221915
    -0.000973674    -0.000933169
     -0.00478771     -0.00472852
      -0.0132888      -0.0131338
     -0.00109521     -0.00108398
     -0.00587859     -0.00564566
     -0.00601341     -0.00592315
     -0.00145005     -0.00134815
     -0.00505265     -0.00482534
     -0.00160871     -0.00165726
      -0.0100972     -0.00928312
     -0.00568977     -0.00554749
     -0.00307024     -0.00325843
     -0.00885472     -0.00879193
     -0.00179356     -0.00170117
    -0.000875653    -0.000844831
     -0.00130025     -0.00133615
     -0.00828091     -0.00827685
    -0.000961207    -0.000991135
     -0.00910982     -0.00892023
     -0.00142507     -0.00125647
     -0.00139278     -0.00137616
     -0.00451555     -0.00446405
     -0.00133353     -0.00118591
     -0.00110515    -0.000979931
     -0.00394505     -0.00401757
     -0.00314469     -0.00282571
     -0.00592564     -0.00595904
     -0.00562755     -0.00567175
     -0.00102726    -0.000886014
     -0.00103681     -0.00106793
     -0.00132943     -0.00130425
     -0.00335317     -0.00358191
     -0.00261323     -0.00237016
     -0.00497121     -0.00485812
    -0.000744384    -0.000759851
     -0.00202587     -0.00195964
     -0.00128873     -0.00123662
     -0.00214067     -0.00216473
     -0.00131829     -0.00134969
     -0.00230925     -0.00233689
     -0.00181294     -0.00185108
     -0.00097037    -0.000946474
     -0.00295019     -0.00319196
     -0.00370214     -0.00373394
     -0.00964669     -0.00944107
    -0.000921884    -0.000914612
     -0.00236063     -0.00223987
     -0.00441442     -0.00457949
     -0.00547847     -0.00553677
     -0.00117285     -0.00115652
     -0.00112959     -0.00109003
