QM Energy	FF Energy
     -3.4304e-05     -4.9247e-05
    -0.000248797    -0.000316743
    -0.000430406    -0.000473488
    -0.000197684    -0.000271546
    -0.000106062    -0.000111483
     -4.3416e-05    -4.41718e-05
    -0.000271592    -0.000291149
     -0.00021149    -0.000234321
     -7.7348e-05    -0.000214557
    -0.000741178    -0.000840646
     -6.7319e-05    -6.18812e-05
    -0.000654109    -0.000809443
     -0.00124227     -0.00139651
    -0.000439098    -0.000463499
    -0.000322853     -0.00032659
    -0.000135805    -0.000138417
    -0.000102885    -0.000115076
    -0.000160612    -0.000160765
    -0.000531419     -0.00050822
     -9.8007e-05    -9.21912e-05
       -2.72e-05    -2.92683e-05
     -0.00040216     -0.00039538
     -8.1058e-05    -8.62974e-05
     -6.3483e-05    -6.05577e-05
    -0.000113121     -0.00010938
     -1.9099e-05    -2.24741e-05
    -0.000773175    -0.000901488
    -0.000104841    -0.000117056
     -8.4666e-05    -7.40266e-05
    -0.000984258      -0.0012115
    -0.000717867    -0.000634297
     -2.8265e-05    -2.94256e-05
    -0.000375384     -0.00048798
      -4.864e-05    -4.27879e-05
    -0.000373591    -0.000456326
    -0.000946233     -0.00085056
    -0.000106574    -0.000106705
     -1.7238e-05    -1.80768e-05
      -4.543e-05    -4.64439e-05
     -0.00174492     -0.00165176
     -5.1954e-05    -4.60415e-05
     -7.1981e-05     -7.7533e-05
    -0.000265732    -0.000285753
     -7.5401e-05    -7.25626e-05
     -9.6177e-05    -0.000157419
    -0.000745379    -0.000855533
    -0.000190571    -0.000206973
    -0.000280376    -0.000282085
      -3.866e-06    -7.51377e-06
      -4.358e-06    -7.19379e-06
    -0.000157018     -0.00019977
     -2.8269e-05    -3.84882e-05
    -0.000201491    -0.000217786
     -0.00171596        -0.00166
    -0.000591029    -0.000514089
    -0.000203403    -0.000250031
     -8.5572e-05    -0.000113368
     -7.5464e-05    -7.04717e-05
     -1.5983e-05    -2.08484e-05
    -0.000169006    -0.000210179
    -0.000289538    -0.000311255
    -0.000259629     -0.00029211
     -9.5275e-05     -0.00010849
     -7.8248e-05    -7.44952e-05
     -5.6084e-05    -6.08111e-05
    -0.000398767    -0.000480517
    -0.000116717    -0.000106645
     -0.00015535    -0.000151117
    -0.000152306    -0.000146586
     -5.7116e-05     -6.1038e-05
     -0.00041754     -0.00051596
     -3.4592e-05    -3.99355e-05
      -8.792e-06    -1.04707e-05
    -0.000270778    -0.000322882
    -0.000154725    -0.000153304
    -0.000993159    -0.000965327
     -1.5987e-05    -1.64581e-05
    -0.000309062    -0.000314155
     -8.4362e-05    -8.17293e-05
       -0.001619     -0.00143288
    -0.000113979    -0.000138102
     -0.00142593     -0.00150385
    -0.000179687    -0.000194631
    -0.000139064    -0.000223109
     -4.1192e-05    -5.86116e-05
     -3.5846e-05    -3.72296e-05
     -4.0115e-05    -5.33847e-05
    -0.000264957    -0.000311562
    -0.000498258    -0.000503378
     -8.7199e-05    -9.87386e-05
     -0.00226394     -0.00215816
    -0.000984237    -0.000812942
     -2.3235e-05    -2.85406e-05
    -0.000172355    -0.000169105
     -4.4229e-05    -4.08937e-05
      -3.099e-05    -4.42122e-05
    -0.000120355    -0.000132374
    -0.000126882    -0.000145528
    -0.000390828    -0.000466558
     -8.5686e-05    -8.89167e-05
     -8.0265e-05    -0.000111719
    -0.000265679    -0.000300524
    -0.000104847    -0.000113407
    -0.000151289    -0.000172719
    -0.000513499    -0.000594403
      -8.813e-05    -9.16911e-05
     -2.1746e-05    -2.92836e-05
    -0.000476141    -0.000601446
    -0.000310444    -0.000304511
    -0.000209667    -0.000242778
    -0.000713213    -0.000844127
     -0.00016459    -0.000168934
     -3.2542e-05    -3.42393e-05
     -2.9333e-05    -3.45447e-05
     -3.3201e-05    -4.57471e-05
    -0.000829583     -0.00100664
    -0.000105041    -9.93265e-05
     -5.2973e-05     -5.7282e-05
     -6.5643e-05    -8.14522e-05
     -0.00029544     -0.00032268
     -6.6852e-05    -7.22768e-05
      -0.0016252     -0.00125338
     -2.2636e-05    -3.42299e-05
    -0.000336825     -0.00048551
     -1.9874e-05    -2.67665e-05
