QM Energy	FF Energy
     -3.4304e-05    -4.57404e-05
    -0.000248797    -0.000288861
    -0.000430406    -0.000478784
    -0.000197684    -0.000271547
    -0.000106062    -0.000109017
     -4.3416e-05    -4.50756e-05
    -0.000271592     -0.00029198
     -0.00021149    -0.000233659
     -7.7348e-05    -0.000220085
    -0.000741178    -0.000819353
     -6.7319e-05    -6.19554e-05
    -0.000654109    -0.000786562
     -0.00124227     -0.00136288
    -0.000439098    -0.000460595
    -0.000322853    -0.000347242
    -0.000135805    -0.000138491
    -0.000102885    -0.000113669
    -0.000160612    -0.000161166
    -0.000531419    -0.000497878
     -9.8007e-05    -9.22792e-05
       -2.72e-05    -3.05142e-05
     -0.00040216     -0.00041524
     -8.1058e-05      -8.792e-05
     -6.3483e-05    -6.00283e-05
    -0.000113121    -0.000109271
     -1.9099e-05    -2.34125e-05
    -0.000773175    -0.000893303
    -0.000104841    -0.000124776
     -8.4666e-05    -7.44356e-05
    -0.000984258     -0.00120752
    -0.000717867    -0.000678246
     -2.8265e-05    -2.96529e-05
    -0.000375384    -0.000488742
      -4.864e-05    -4.34586e-05
    -0.000373591    -0.000470969
    -0.000946233    -0.000871293
    -0.000106574    -0.000106627
     -1.7238e-05    -1.83567e-05
      -4.543e-05    -4.68814e-05
     -0.00174492      -0.0017079
     -5.1954e-05    -4.60342e-05
     -7.1981e-05    -7.77869e-05
    -0.000265732     -0.00028447
     -7.5401e-05    -7.31088e-05
     -9.6177e-05    -0.000156007
    -0.000745379    -0.000821233
    -0.000190571    -0.000206023
    -0.000280376    -0.000269315
      -3.866e-06    -7.26779e-06
      -4.358e-06    -6.78158e-06
    -0.000157018    -0.000187241
     -2.8269e-05    -3.70598e-05
    -0.000201491    -0.000216744
     -0.00171596     -0.00163933
    -0.000591029    -0.000524385
    -0.000203403    -0.000250254
     -8.5572e-05     -0.00011149
     -7.5464e-05    -6.95743e-05
     -1.5983e-05    -2.02787e-05
    -0.000169006     -0.00021468
    -0.000289538    -0.000310672
    -0.000259629    -0.000295383
     -9.5275e-05    -0.000113495
     -7.8248e-05    -7.51787e-05
     -5.6084e-05    -6.19264e-05
    -0.000398767    -0.000476727
    -0.000116717    -0.000106577
     -0.00015535     -0.00015367
    -0.000152306    -0.000146123
     -5.7116e-05     -6.1044e-05
     -0.00041754    -0.000515569
     -3.4592e-05    -4.19239e-05
      -8.792e-06    -1.10407e-05
    -0.000270778    -0.000335979
    -0.000154725    -0.000153284
    -0.000993159    -0.000978971
     -1.5987e-05    -1.63802e-05
    -0.000309062    -0.000312673
     -8.4362e-05     -8.1614e-05
       -0.001619     -0.00141578
    -0.000113979    -0.000129717
