QM Energy	FF Energy
     -0.00138386     -0.00135258
     -0.00015212    -0.000143053
    -0.000334294    -0.000361177
    -0.000290596    -0.000364039
    -0.000683001    -0.000624925
      -4.811e-05    -5.14582e-05
     -0.00201197      -0.0024172
    -0.000365626      -0.0004397
     -2.7089e-05    -3.26528e-05
     -3.9309e-05    -6.05944e-05
    -0.000111618    -7.58332e-05
       2.161e-06     2.10116e-06
     -0.00138515     -0.00123889
    -0.000274321    -0.000289072
     -0.00014225    -0.000133964
    -0.000281229    -0.000245653
    -0.000131308    -0.000195124
     -0.00143421     -0.00130689
    -0.000136867    -0.000116592
    -0.000124352    -0.000123745
    -0.000388501     -0.00038235
    -0.000733543    -0.000751123
    -0.000127953     -0.00015827
     -2.9113e-05    -3.92538e-05
    -0.000629402    -0.000701859
    -0.000464613    -0.000455482
     -3.6354e-05    -4.50115e-05
    -0.000339204    -0.000458586
     -5.0762e-05    -7.41836e-05
    -0.000864356    -0.000571972
     -0.00107274    -0.000974998
     -3.3299e-05    -4.55333e-05
     -0.00130312     -0.00114347
    -0.000763774    -0.000762528
     -7.8608e-05    -8.95331e-05
     -3.8964e-05    -4.96442e-05
    -0.000257395    -0.000256618
     -0.00086126    -0.000676283
    -0.000808504    -0.000745029
    -0.000306569    -0.000304338
     -5.9901e-05     -8.7688e-05
    -0.000242714    -0.000254638
     -0.00075082    -0.000683256
    -0.000373644    -0.000340575
     -0.00188942     -0.00177043
     -0.00121665    -0.000965509
    -0.000247418    -0.000233865
     -0.00029459    -0.000284619
    -0.000657918    -0.000573352
      -4.005e-05    -5.70381e-05
    -0.000491357    -0.000525151
    -0.000781531    -0.000729827
     -1.8871e-05    -3.61937e-05
    -0.000126328    -0.000115105
     -0.00144056     -0.00107619
     -1.3858e-05    -2.10359e-05
    -0.000394008    -0.000346297
    -0.000259915    -0.000307583
     -0.00165187     -0.00171366
     -2.0796e-05    -2.87128e-05
     -1.5803e-05    -2.39266e-05
    -0.000118925    -0.000146468
    -0.000338142    -0.000437844
     -2.5701e-05    -3.58001e-05
     -0.00011332    -0.000134913
    -0.000143514    -0.000168294
      -6.659e-06    -7.91724e-06
     -0.00018959    -0.000234887
     -0.00175883     -0.00165375
    -0.000776676    -0.000858296
    -0.000191569    -0.000190854
    -0.000189443    -0.000218309
     -7.2921e-05    -8.30006e-05
     -0.00115171     -0.00126348
    -0.000344403    -0.000413101
     -0.00145048     -0.00136028
    -0.000118208    -0.000169133
     -0.00198711     -0.00205506
    -0.000278278    -0.000265717
     -3.6771e-05      -4.808e-05
    -0.000236469    -0.000300929
     -1.7391e-05     -2.1385e-05
     -3.3711e-05    -4.12615e-05
     -8.8214e-05    -0.000126272
     -6.3226e-05    -7.89405e-05
    -0.000903049     -0.00104045
    -0.000876921     -0.00070114
    -0.000432463    -0.000485606
     -0.00192775     -0.00196341
     -1.3773e-05    -2.05896e-05
    -0.000982908    -0.000855425
     -1.6992e-05    -1.92319e-05
    -0.000721777    -0.000728848
      -8.123e-06    -1.02543e-05
      -0.0004337    -0.000487475
    -0.000425707     -0.00043254
     -3.3778e-05    -3.67114e-05
     -5.7073e-05    -7.92695e-05
    -0.000681068    -0.000450557
     -0.00154296     -0.00171773
     -2.0368e-05    -2.34779e-05
    -0.000167733    -0.000176427
     -1.1537e-05    -1.36906e-05
    -0.000510082    -0.000473869
     -3.9331e-05    -4.16106e-05
    -0.000649008    -0.000607419
     -0.00175548     -0.00170699
     -6.6983e-05    -4.06159e-05
    -0.000860003    -0.000841189
    -0.000198367    -0.000191231
     -0.00120455     -0.00115575
     -8.2733e-05    -9.97228e-05
     -4.1276e-05    -5.58694e-05
     -1.7193e-05    -2.74796e-05
    -0.000910436    -0.000640465
     -0.00049425    -0.000390435
    -0.000101614     -0.00010707
     -1.2578e-05    -2.02586e-05
     -7.8876e-05    -7.60658e-05
     -0.00106425     -0.00129406
     -3.9278e-05     -3.9441e-05
     -3.4184e-05    -4.09975e-05
    -0.000615396     -0.00064389
     -6.4402e-05    -4.86833e-05
     -6.3538e-05    -7.50709e-05
     -3.3511e-05    -4.80147e-05
     -0.00040821    -0.000424367
      -0.0025472     -0.00298515
     -2.8363e-05    -4.81398e-05
     -2.4211e-05    -2.63978e-05
    -0.000530996    -0.000498247
    -0.000677834    -0.000729955
    -0.000157199    -0.000186062
     -8.9423e-05    -0.000108366
    -0.000276421    -0.000252528
     -3.8822e-05    -4.97229e-05
    -0.000217757    -0.000251057
    -0.000217958    -0.000297175
    -0.000555627    -0.000537783
      -3.278e-06    -4.94641e-06
    -0.000181911    -0.000221992
     -5.7212e-05    -7.15177e-05
    -0.000466325    -0.000387526
     -2.5083e-05    -3.04435e-05
      -0.0014229     -0.00126802
    -0.000189787    -0.000223822
     -0.00144545      -0.0010884
    -0.000740819    -0.000667386
     -5.3854e-05    -7.92319e-05
     -1.9954e-05    -2.78216e-05
    -0.000916008    -0.000704762
     -1.5797e-05    -1.78364e-05
     -0.00221836     -0.00228273
    -0.000816771    -0.000831124
    -0.000285796    -0.000304291
     -0.00131442     -0.00134364
    -0.000274415    -0.000245772
    -0.000103332    -9.58074e-05
     -2.4593e-05     -3.4323e-05
    -0.000962872     -0.00086081
    -0.000173413    -0.000177773
     -1.2865e-05     -2.0815e-05
      -4.574e-05    -2.94179e-05
    -0.000637481    -0.000633278
     -0.00071528    -0.000683234
    -0.000533564    -0.000425323
    -0.000200086    -0.000211668
     -6.8403e-05    -7.55702e-05
     -5.8637e-05    -6.66824e-05
     -8.7143e-05    -8.05772e-05
      -7.986e-06    -1.18946e-05
      -8.487e-05    -9.02086e-05
     -0.00164258     -0.00155145
      -0.0011595     -0.00103197
     -2.3132e-05    -2.49284e-05
     -4.0697e-05    -4.42377e-05
     -1.9746e-05    -3.63437e-05
     -4.6838e-05    -5.74318e-05
    -0.000258168    -0.000237447
      -8.468e-06    -1.24799e-05
     -5.5083e-05    -7.46105e-05
     -0.00147071     -0.00134559
     -3.1002e-05    -4.21864e-05
    -0.000133817    -0.000142572
     -0.00165826     -0.00142864
    -0.000505713    -0.000624255
     -0.00142216     -0.00149464
     -0.00104881     -0.00105247
    -0.000431662    -0.000365866
