QM Energy	FF Energy
     -0.00165024     -0.00175302
    -0.000521651    -0.000359978
    -0.000299435    -0.000303652
     -0.00041733    -0.000461227
    -0.000391928    -0.000379562
    -0.000268645    -0.000273774
     -0.00220936     -0.00205031
    -0.000595668    -0.000535537
    -0.000119796    -0.000112863
     -8.2803e-05     -8.3421e-05
    -0.000425228    -0.000272979
    -0.000160447    -0.000164678
    -0.000749824     -0.00072855
    -0.000206696    -0.000166252
    -0.000455116    -0.000471258
    -0.000662233    -0.000705645
    -0.000363722     -0.00032809
     -0.00117762     -0.00130605
    -0.000238158    -0.000261795
    -0.000312038    -0.000303459
    -0.000473481    -0.000554865
     -0.00114406     -0.00122317
    -0.000259181    -0.000233763
    -0.000202964    -0.000144153
    -0.000883437    -0.000941281
    -0.000261795    -0.000204807
    -0.000123944    -0.000124614
    -0.000550882    -0.000593204
    -0.000176703    -0.000183649
    -0.000762489     -0.00125791
    -0.000812461    -0.000973531
     -5.4781e-05    -6.07202e-05
      -0.0010037     -0.00130408
    -0.000595085    -0.000548756
    -0.000278462     -0.00022127
      -7.758e-05    -7.77977e-05
    -0.000368189    -0.000390853
     -0.00144301     -0.00102436
    -0.000920534     -0.00130564
    -0.000461495    -0.000455464
    -0.000226671    -0.000237782
    -0.000343653    -0.000316259
    -0.000702669    -0.000822528
    -0.000163544    -0.000214595
     -0.00145602     -0.00154314
     -0.00178144     -0.00105767
     -0.00035246    -0.000381331
    -0.000345287    -0.000392361
    -0.000286092    -0.000347401
    -0.000219374    -0.000178623
    -0.000868999    -0.000541484
    -0.000361549      -0.0003631
    -0.000136703    -0.000132392
    -0.000173803    -0.000178667
     -0.00203142     -0.00141853
     -9.7683e-05    -9.20278e-05
     -0.00050359    -0.000538609
    -0.000365423    -0.000399417
     -0.00137211     -0.00177716
     -6.5282e-05    -6.06764e-05
     -0.00013117    -0.000126475
    -0.000261943    -0.000235671
    -0.000786972    -0.000702675
     -8.1419e-05    -8.83907e-05
    -0.000257196    -0.000280652
    -0.000102726    -0.000107016
    -0.000119683    -0.000106656
     -0.00064525    -0.000433083
     -0.00122409     -0.00124405
     -0.00124874     -0.00102796
     -0.00035544    -0.000387058
    -0.000235686     -0.00024648
     -4.2879e-05    -5.33384e-05
     -0.00100071     -0.00135699
    -0.000596603    -0.000671418
     -0.00116661     -0.00128542
    -0.000584974    -0.000440563
     -0.00135077     -0.00141178
    -0.000532521    -0.000544318
    -0.000140479    -0.000150487
    -0.000656143    -0.000646081
      -8.758e-05    -7.92876e-05
    -0.000138296    -0.000141398
       -0.000256    -0.000251598
     -0.00017171    -0.000164349
     -0.00132045      -0.0012215
    -0.000288634    -0.000466884
    -0.000627285    -0.000646994
     -0.00151492     -0.00125969
     -9.4836e-05    -9.25933e-05
     -0.00129009     -0.00132705
    -0.000181089    -0.000152356
    -0.000560484    -0.000546918
     -9.1687e-05    -9.02675e-05
    -0.000938917     -0.00094492
    -0.000908696    -0.000766952
    -0.000118779    -0.000114746
    -0.000190381    -0.000188798
    -0.000807723     -0.00129114
     -0.00152833     -0.00159978
     -7.3813e-05    -7.30189e-05
    -0.000309305     -0.00034801
     -5.6186e-05    -5.08725e-05
    -0.000576982    -0.000670064
    -0.000234498    -0.000190015
    -0.000405137    -0.000392126
     -0.00233956     -0.00186807
    -0.000352792    -0.000370893
    -0.000627626     -0.00083244
    -0.000465159    -0.000480067
    -0.000956859     -0.00111357
     -9.5567e-05    -9.59665e-05
     -7.6119e-05    -8.05597e-05
      -6.997e-05    -7.30493e-05
     -0.00150612     -0.00104572
    -0.000604056     -0.00065057
     -8.1132e-05    -0.000106654
      -7.946e-05    -7.58355e-05
     -0.00021221    -0.000215294
     -0.00110658     -0.00125254
    -0.000210429    -0.000158856
    -0.000192427    -0.000178279
    -0.000883976    -0.000861826
    -0.000400571    -0.000425481
    -0.000154953    -0.000150362
     -7.7775e-05    -7.41445e-05
    -0.000741531    -0.000843998
     -0.00245974     -0.00265599
    -0.000192011    -0.000172436
     -8.4694e-05    -7.77138e-05
     -0.00086373    -0.000911349
     -0.00114862     -0.00128333
    -0.000318324    -0.000315587
    -0.000314425    -0.000307802
    -0.000276249      -0.0003667
     -8.0429e-05    -7.54203e-05
    -0.000245024     -0.00028028
    -0.000445931    -0.000392861
    -0.000484723    -0.000652971
    -0.000138804    -0.000132658
    -0.000361793    -0.000388375
    -0.000131616    -0.000152673
    -0.000589075    -0.000703247
    -0.000127561    -0.000127715
    -0.000840997    -0.000843825
    -0.000498561    -0.000433907
    -0.000967471      -0.0010621
      -0.0003083    -0.000415457
     -6.8839e-05    -7.89096e-05
      -7.292e-05    -6.81032e-05
    -0.000864055    -0.000858347
     -9.4203e-05    -9.43931e-05
     -0.00208053     -0.00229351
     -0.00131766     -0.00131014
    -0.000357122    -0.000425927
    -0.000983262    -0.000901836
    -0.000495928    -0.000582884
    -0.000270153    -0.000288153
    -0.000109789    -0.000117245
     -0.00122234    -0.000961461
     -0.00045405    -0.000380316
      -9.412e-05    -9.88829e-05
    -0.000287997    -0.000266439
    -0.000371354    -0.000558919
    -0.000569928    -0.000587518
     -0.00108129    -0.000832542
    -0.000482739    -0.000266889
    -0.000211532    -0.000229585
     -6.4315e-05    -6.54668e-05
     -0.00032877    -0.000243082
     -9.1559e-05    -9.70904e-05
    -0.000159118     -0.00019903
     -0.00124523     -0.00157862
     -0.00131689     -0.00114035
    -0.000108992    -0.000109717
    -0.000119156    -0.000116762
     -0.00011327    -0.000111309
    -0.000125373    -0.000120774
    -0.000506265    -0.000512344
     -0.00014138    -0.000135501
    -0.000200537     -0.00020409
     -0.00125366      -0.0012731
    -0.000175611    -0.000186214
    -0.000465213    -0.000364248
     -0.00137116     -0.00205623
     -0.00146912      -0.0011896
    -0.000935079     -0.00113482
    -0.000727067    -0.000965827
    -0.000467632    -0.000515205
    -0.000294315    -0.000300242
     -0.00110622     -0.00132818
    -0.000561176    -0.000612798
    -0.000832168     -0.00101355
    -0.000189925    -0.000230664
     -7.5562e-05    -7.76596e-05
    -0.000528939    -0.000587255
    -0.000199173    -0.000215167
     -8.5066e-05    -7.51695e-05
    -0.000284187    -0.000336852
    -0.000881965    -0.000542672
    -0.000194242    -0.000182895
      -0.0011169     -0.00081597
    -0.000369744    -0.000381583
      -0.0018052      -0.0015401
     -6.6864e-05    -6.27257e-05
    -0.000554306    -0.000607598
    -0.000158248    -0.000138307
     -0.00210798     -0.00269133
     -0.00307872     -0.00292478
     -4.8242e-05    -5.09058e-05
    -0.000258413    -0.000217273
     -0.00017383    -0.000172851
    -0.000489772    -0.000500685
    -0.000152309    -0.000140931
      -6.822e-05    -7.08488e-05
     -0.00022607    -0.000222114
     -0.00203762     -0.00166899
    -0.000124255    -0.000102356
    -0.000236416    -0.000245931
    -0.000114943    -0.000107784
     -5.9019e-05    -8.81674e-05
     -9.4549e-05    -8.50358e-05
     -0.00025032    -0.000239855
     -7.9869e-05     -8.1552e-05
    -0.000200451    -0.000152876
    -0.000315192    -0.000380738
     -8.7353e-05    -8.71411e-05
    -0.000120903    -0.000126174
    -0.000187905    -0.000190324
    -0.000112725    -0.000116284
     -0.00226995     -0.00220011
     -9.9696e-05    -7.24941e-05
    -0.000354247    -0.000286406
    -0.000434627    -0.000275677
     -0.00155764     -0.00166494
     -4.3798e-05    -4.66777e-05
    -0.000292657    -0.000294789
    -0.000264307    -0.000284013
    -0.000792309    -0.000505758
    -0.000377767    -0.000413679
    -0.000438096    -0.000486266
    -0.000104252    -8.08417e-05
    -0.000627935    -0.000650807
     -7.7868e-05    -7.41051e-05
