QM Energy	FF Energy
     -0.00171548     -0.00155082
      -0.0060851     -0.00568445
     -0.00889623     -0.00798006
     -0.00244853      -0.0023401
     -0.00615577     -0.00665944
     -0.00172589     -0.00168127
     -0.00209786     -0.00205477
     -0.00118194     -0.00102958
     -0.00348776     -0.00344399
     -0.00373536     -0.00389511
     -0.00587528      -0.0061382
    -0.000887843    -0.000816425
     -0.00257094     -0.00257513
     -0.00229319     -0.00226926
     -0.00177066     -0.00165993
     -0.00124244     -0.00120593
     -0.00152733     -0.00155896
     -0.00317674     -0.00323071
     -0.00225611     -0.00227567
      -0.0017217     -0.00160184
     -0.00109276     -0.00101508
     -0.00554515     -0.00554234
     -0.00690894     -0.00700814
     -0.00161718     -0.00146709
     -0.00081044    -0.000759707
        -0.01318      -0.0133187
     -0.00688844     -0.00707975
     -0.00914656     -0.00922608
      -0.0121999      -0.0130488
     -0.00231363     -0.00244834
     -0.00101389     -0.00102199
     -0.00488619     -0.00513074
      -0.0115507      -0.0126913
     -0.00667443      -0.0067557
    -0.000952341    -0.000880117
     -0.00318217     -0.00314891
     -0.00313548     -0.00317114
     -0.00192247     -0.00193076
     -0.00674621     -0.00704758
    -0.000866968    -0.000823097
     -0.00100701    -0.000978891
     -0.00179931     -0.00172149
     -0.00577591     -0.00589222
     -0.00315514     -0.00298009
     -0.00240193     -0.00247386
      -0.0025691     -0.00254042
     -0.00408116     -0.00409988
     -0.00146431     -0.00143577
     -0.00366902     -0.00367696
     -0.00117202     -0.00121149
    -0.000870914    -0.000833174
     -0.00356862      -0.0034325
     -0.00346376     -0.00338213
     -0.00211039     -0.00216678
     -0.00470533      -0.0045329
     -0.00119575     -0.00108753
     -0.00240352     -0.00237674
     -0.00409757     -0.00409512
     -0.00397002     -0.00418637
     -0.00143149     -0.00144952
       -0.015571      -0.0160574
     -0.00438164     -0.00382452
     -0.00339858     -0.00333085
      -0.0032415     -0.00332303
     -0.00203303     -0.00198338
     -0.00312267     -0.00320261
     -0.00380123     -0.00389607
     -0.00489609     -0.00476088
     -0.00125289     -0.00125655
     -0.00473876     -0.00450594
     -0.00284423     -0.00277197
      -0.0152983      -0.0154501
     -0.00821098     -0.00795037
     -0.00292921     -0.00286172
     -0.00283923     -0.00282303
       -0.006476     -0.00658206
    -0.000946043     -0.00093612
     -0.00597516     -0.00594111
     -0.00952991     -0.00948054
     -0.00675835     -0.00688081
     -0.00277674     -0.00280685
     -0.00548517     -0.00569212
     -0.00142498     -0.00146135
     -0.00281564     -0.00283119
     -0.00453328     -0.00471326
       -0.009222     -0.00981002
     -0.00174432      -0.0017564
     -0.00216672     -0.00209391
     -0.00614282     -0.00562542
     -0.00191605     -0.00190127
     -0.00085868    -0.000762127
     -0.00159134     -0.00147051
     -0.00635594     -0.00668262
     -0.00378972     -0.00369594
     -0.00176303     -0.00176874
     -0.00146419     -0.00143148
     -0.00553236     -0.00553371
     -0.00113404     -0.00106745
    -0.000736144    -0.000679456
     -0.00193356     -0.00180228
     -0.00475476     -0.00509882
     -0.00217778     -0.00209433
      -0.0011508     -0.00112856
     -0.00101456    -0.000995176
      -0.0011331     -0.00105569
     -0.00205622     -0.00185373
     -0.00316529     -0.00318109
      -0.0128349      -0.0133934
