QM Energy	FF Energy
    -0.000290753    -0.000221475
    -0.000419148     -0.00035922
    -0.000638974     -0.00105219
    -0.000327729    -0.000306782
    -0.000456801    -0.000541229
     -4.5736e-05    -4.17093e-05
     -2.9055e-05    -4.66905e-05
     -0.00025775    -0.000155504
    -0.000740909    -0.000376763
    -0.000361427    -0.000255647
       -0.001024     -0.00129557
     -8.8468e-05    -8.77161e-05
    -0.000392322    -0.000388111
     -7.4797e-05    -7.99103e-05
      -9.466e-05    -8.48431e-05
     -8.6127e-05    -9.65845e-05
     -4.5385e-05    -4.43019e-05
    -0.000215058    -0.000206725
    -0.000118549    -0.000147468
    -0.000203521    -0.000147466
    -0.000178177    -0.000126926
    -0.000800065     -0.00098924
    -0.000969484     -0.00120787
     -4.9904e-05    -8.25537e-05
     -6.2183e-05    -5.40976e-05
     -0.00175798     -0.00256031
    -0.000948608    -0.000892451
     -0.00113732     -0.00117867
     -0.00271945      -0.0026097
     -6.7123e-05    -7.59921e-05
     -3.5229e-05    -5.09757e-05
    -0.000755971    -0.000933003
     -0.00287554     -0.00287598
     -0.00108973     -0.00142399
    -0.000176724    -0.000135786
    -0.000121835    -0.000178669
    -0.000274779    -0.000235376
    -0.000376992      -0.0003247
    -0.000870895     -0.00109176
     -7.0014e-05    -6.87406e-05
     -8.4581e-05    -8.36473e-05
    -0.000336147     -0.00028166
    -0.000694068    -0.000577962
    -0.000482308    -0.000435203
    -0.000210254    -0.000231647
    -0.000313029    -0.000368016
     -0.00127497     -0.00107565
    -0.000112013    -0.000106266
    -0.000457149    -0.000440732
     -6.2695e-05    -7.29655e-05
     -7.1319e-05     -5.9736e-05
    -0.000147982    -0.000133511
    -0.000218339    -0.000261282
    -0.000138774    -0.000131003
    -0.000713948      -0.0006933
     -9.8124e-05    -8.41494e-05
    -0.000137313    -0.000152337
    -0.000475264    -0.000567499
    -0.000397739    -0.000378962
      -7.474e-05    -0.000104125
     -0.00267344     -0.00232068
    -0.000539397    -0.000270499
    -0.000324168     -0.00031484
     -0.00022118    -0.000218273
    -0.000288992    -0.000244479
    -0.000264902    -0.000309716
    -0.000370307    -0.000437659
    -0.000874006     -0.00104423
    -0.000209375    -0.000174326
    -0.000982915    -0.000848697
    -0.000419574    -0.000408003
     -0.00206828     -0.00228587
    -0.000916252    -0.000635027
    -0.000219864    -0.000203538
    -0.000253325    -0.000304631
     -0.00110484    -0.000810753
     -4.5704e-05      -4.334e-05
    -0.000679243    -0.000625699
     -0.00129697     -0.00152212
     -0.00120562     -0.00155579
    -0.000150486    -0.000150566
    -0.000779284    -0.000665189
    -0.000101087    -8.49825e-05
    -0.000415314    -0.000420397
    -0.000712069    -0.000869037
     -0.00126669     -0.00196839
    -0.000128131    -0.000118648
    -0.000250391    -0.000222346
    -0.000576601    -0.000727131
     -7.9494e-05    -7.81127e-05
    -0.000119572    -7.98257e-05
    -0.000342728    -0.000243232
     -0.00105931     -0.00121748
    -0.000188597    -0.000251859
    -0.000137661    -0.000115284
    -0.000132535    -0.000139478
    -0.000350786    -0.000411556
    -0.000119905    -0.000127227
     -4.5082e-05    -3.97508e-05
    -0.000113223    -0.000143571
    -0.000673422    -0.000744775
