QM Energy	FF Energy
    -0.000928242    -0.000791696
    -0.000352918    -0.000290096
     -2.3406e-05    -3.46141e-05
      -8.946e-06    -1.55716e-05
    -0.000721941    -0.000826134
     -1.3914e-05    -3.07726e-05
      -0.0001183    -0.000110231
     -0.00160216     -0.00140209
    -0.000421938    -0.000396236
    -0.000750997    -0.000705808
     -3.0076e-05    -2.76477e-05
    -0.000938171    -0.000670854
    -0.000121815    -0.000169405
    -0.000256105     -0.00018039
     -0.00019402     -0.00011384
     -6.4443e-05     -6.2802e-05
     -0.00071157    -0.000816339
     -5.2176e-05    -6.37149e-05
     -8.0047e-05    -9.64426e-05
    -0.000168687    -0.000153699
      -2.471e-06    -4.41849e-06
    -0.000116783    -0.000133151
     -1.5559e-05    -1.57392e-05
     -2.2552e-05    -3.87528e-05
    -0.000960386     -0.00112766
      -8.208e-06    -1.17531e-05
     -4.0892e-05    -5.19253e-05
     -5.8863e-05    -3.91893e-05
     -1.6286e-05    -3.00951e-05
    -0.000459022    -0.000369964
      -5.602e-05    -4.53132e-05
     -2.0642e-05     -2.4366e-05
    -0.000108142    -0.000118879
     -0.00101691     -0.00106948
    -0.000396093    -0.000478764
     -1.6895e-05    -2.22498e-05
    -0.000313427    -0.000302033
     -5.4167e-05    -5.92934e-05
     -1.8731e-05    -1.77691e-05
    -0.000455997    -0.000397158
    -0.000820535    -0.000667677
    -0.000324442     -0.00031732
    -0.000962431    -0.000690671
    -0.000341143    -0.000324104
    -0.000253911    -0.000283147
    -0.000498517    -0.000424373
    -0.000584339    -0.000370888
    -0.000580008    -0.000518523
    -0.000556393    -0.000479876
     -6.9203e-05    -3.32956e-05
     -5.8903e-05    -0.000120155
    -0.000705396    -0.000655049
     -0.00128075    -0.000961904
     -4.3854e-05    -7.02181e-05
    -0.000158072    -0.000222201
     -1.0963e-05    -2.96566e-05
     -1.8317e-05     -2.4504e-05
    -0.000318502    -0.000326934
     -3.7467e-05    -4.51587e-05
     -0.00151662     -0.00131477
     -6.3681e-05    -8.98818e-05
     -3.0557e-05    -5.92121e-05
    -0.000328368    -0.000324116
    -0.000294089    -0.000345915
     -3.2735e-05    -2.83664e-05
     -6.0631e-05    -7.81521e-05
     -0.00014843    -0.000152114
     -7.5042e-05    -7.94287e-05
     -0.00017119    -0.000189872
    -0.000369738    -0.000345696
     -8.4197e-05    -8.42517e-05
    -0.000125603    -0.000191116
    -0.000107124     -0.00010174
     -1.2938e-05    -2.50097e-05
    -0.000189251     -0.00013238
     -2.8727e-05     -4.8058e-05
    -0.000109413    -0.000146597
      -8.806e-06    -1.69295e-05
     -6.0552e-05    -0.000108978
    -0.000431503    -0.000546683
    -0.000915777    -0.000672351
    -0.000122094    -0.000107537
      -3.269e-05    -5.18241e-05
     -3.4607e-05    -3.75269e-05
    -0.000101994    -0.000163471
      -8.719e-06    -8.44873e-07
     -3.9003e-05    -3.70923e-05
    -0.000462144    -0.000357367
     -0.00210465     -0.00185892
    -0.000180954    -0.000247857
     -8.4776e-05    -0.000120738
    -0.000733374    -0.000500194
     -0.00136039     -0.00141765
     -4.0222e-05    -4.79159e-05
    -0.000182884    -0.000195348
     -0.00142425     -0.00102193
     -2.7544e-05    -2.21534e-05
    -0.000439398    -0.000635732
    -0.000113683    -0.000149172
     -4.6291e-05    -8.53594e-05
    -0.000131834    -0.000177032
    -0.000913741    -0.000856054
    -0.000259108    -0.000199704
     -3.5343e-05    -5.92007e-05
     -1.2972e-05    -1.96321e-05
     -1.1463e-05    -2.73032e-05
     -1.5077e-05    -2.44614e-05
    -0.000643837    -0.000818359
     -2.8576e-05    -2.62714e-05
     -1.9681e-05    -4.16206e-05
    -0.000125309    -0.000127289
     -2.5603e-05    -3.09884e-05
     -2.6257e-05    -2.37485e-05
    -0.000135041    -0.000129782
    -0.000102376    -0.000114065
     -4.4087e-05    -6.73941e-05
     -2.3063e-05    -3.56137e-05
     -0.00131424     -0.00159727
     -5.4985e-05    -0.000118232
    -0.000393417    -0.000433274
    -0.000449211    -0.000418146
     -8.8289e-05     -0.00014899
     -3.8012e-05    -2.27942e-05
    -0.000327373    -0.000331326
    -0.000294346    -0.000261981
    -0.000394534    -0.000328542
     -2.8512e-05    -6.78751e-05
      -0.0015506     -0.00176468
     -5.4625e-05    -0.000113303
     -1.2924e-05      -2.334e-05
     -0.00112068     -0.00122144
    -0.000245607    -0.000194263
     -7.0077e-05    -9.76807e-05
     -3.0948e-05    -4.59574e-05
      -3.071e-05     -2.3373e-05
     -1.7593e-05    -1.96947e-05
    -0.000107309     -0.00010862
    -0.000152658    -0.000163236
    -0.000156718    -0.000204896
     -1.3888e-05    -1.61541e-05
     -0.00094648    -0.000663761
     -7.6105e-05    -9.90414e-05
    -0.000176707    -0.000204969
     -0.00015947    -0.000142717
      -1.723e-05    -2.56082e-05
      -9.277e-06    -2.22686e-05
     -5.4605e-05    -4.92164e-05
     -7.9757e-05    -0.000107261
     -4.9107e-05    -8.45025e-05
      -6.795e-05    -9.43105e-05
     -5.0067e-05    -4.55588e-05
     -0.00157758     -0.00156222
     -3.9014e-05    -5.47152e-05
      -6.245e-05    -7.49716e-05
    -0.000210473    -0.000179495
    -0.000388988     -0.00031314
      -0.0010853     -0.00110811
    -0.000743743    -0.000857267
    -0.000868251     -0.00102667
     -0.00109215     -0.00120075
    -0.000846061    -0.000729002
     -3.4874e-05    -3.62802e-05
    -0.000736333    -0.000982396
    -0.000484339    -0.000302116
     -5.4416e-05    -8.26283e-05
     -2.1215e-05     -2.6529e-05
     -3.1225e-05     -5.4706e-05
    -0.000724221    -0.000714244
    -0.000113595    -0.000205295
     -2.5568e-05    -3.86858e-05
    -0.000149949    -0.000230687
    -0.000238185    -0.000217101
    -0.000229518    -0.000254513
    -0.000220602    -0.000303431
     -2.7935e-05    -5.61394e-05
     -1.3778e-05    -2.29542e-05
     -0.00109136    -0.000947973
     -1.9419e-05    -1.34797e-05
    -0.000211039    -0.000189484
    -0.000214983    -0.000205328
     -3.1705e-05    -3.80821e-05
     -3.0418e-05     -2.5891e-05
     -0.00147982     -0.00164876
     -0.00179952     -0.00223393
     -8.3149e-05     -7.6802e-05
     -1.8744e-05    -3.42874e-05
    -0.000143228    -0.000115234
    -0.000130993     -0.00011217
     -6.3768e-05    -8.71076e-05
     -4.2495e-05      -4.363e-05
    -0.000134841    -8.79098e-05
    -0.000608983      -0.0007993
    -0.000705456    -0.000536744
     -2.9092e-05    -4.33448e-05
     -8.6347e-05    -6.31629e-05
      -1.348e-05    -1.64745e-05
    -0.000102744     -0.00010682
    -0.000350604    -0.000416808
     -7.4816e-05    -0.000145696
     -7.7573e-05     -6.3702e-05
      -9.096e-06    -1.65894e-05
    -0.000296058    -0.000254695
     -2.8127e-05    -3.26655e-05
    -0.000128074    -0.000138905
     -0.00174618     -0.00173944
     -0.00082589    -0.000699017
    -0.000556364    -0.000728712
     -6.5638e-05    -8.67161e-05
     -4.1015e-05    -2.49089e-05
    -0.000819239     -0.00068779
     -1.0638e-05    -1.74968e-05
    -0.000118314    -0.000190061
    -0.000528751    -0.000489639
     -0.00257543     -0.00283767
     -0.00162889      -0.0015208
     -3.0864e-05    -3.11781e-05
     -0.00199769     -0.00196608
      -8.334e-06     -2.3926e-05
    -0.000470286    -0.000562844
    -0.000377442    -0.000306142
     -1.1722e-05    -1.46716e-05
      -2.893e-05    -2.91133e-05
     -4.9253e-05    -0.000100848
     -2.9142e-05     -4.1632e-05
     -1.9771e-05    -2.16349e-05
     -6.2078e-05    -5.67243e-05
    -0.000685168    -0.000730979
    -0.000411558    -0.000324029
    -0.000452977     -0.00041042
    -0.000121254    -0.000118581
     -3.6186e-05    -3.87728e-05
     -0.00016032    -0.000232652
    -0.000829361    -0.000669028
     -1.9073e-05    -4.06643e-05
     -9.3945e-05     -9.0425e-05
     -4.5598e-05    -6.93292e-05
     -7.2741e-05     -0.00010116
    -0.000125148    -0.000122487
    -0.000156274    -0.000160554
    -0.000417041     -0.00046163
     -2.7524e-05    -3.30112e-05
    -0.000123563    -0.000127181
    -0.000229122    -0.000212785
     -3.4702e-05    -4.89429e-05
    -0.000373794    -0.000286797
    -0.000493421     -0.00046628
     -0.00111606     -0.00127327
    -0.000195883    -0.000145517
     -6.8548e-05    -5.42336e-05
    -0.000343813    -0.000389441
    -0.000515048    -0.000530163
     -2.7055e-05    -4.50571e-05
     -2.3894e-05    -4.27553e-05
     -0.00129508     -0.00150741
    -0.000411384    -0.000442714
     -0.00035634    -0.000360693
    -0.000123912    -0.000103507
    -0.000157479    -0.000207427
    -0.000166038    -0.000169959
    -0.000141816    -0.000141548
     -0.00110716     -0.00131084
    -0.000242566    -0.000310162
     -0.00122879     -0.00111695
    -0.000103432    -9.83764e-05
    -0.000595378    -0.000541043
     -0.00238012     -0.00195253
     -6.7592e-05    -7.04382e-05
    -0.000176026    -0.000157126
     -3.0242e-05    -5.16624e-05
     -3.2527e-05    -4.75235e-05
    -0.000828758    -0.000730221
    -0.000925502    -0.000969214
     -0.00121669     -0.00122332
     -0.00172917     -0.00149395
    -0.000563801    -0.000601652
     -4.4759e-05    -3.83347e-05
     -8.3545e-05    -8.90319e-05
     -8.7997e-05     -0.00011267
     -0.00101543     -0.00109913
    -0.000832213    -0.000799662
     -5.4932e-05    -9.65463e-05
    -0.000125471    -0.000116902
     -2.6053e-05    -4.51345e-05
    -0.000294434    -0.000345304
    -0.000105274     -9.8891e-05
     -2.8104e-05    -3.89921e-05
     -5.0209e-05    -3.89967e-05
    -0.000349707    -0.000265949
     -3.2142e-05      -2.541e-05
     -8.1689e-05    -6.40763e-05
     -8.2003e-05    -0.000109773
     -0.00256392     -0.00289519
     -8.6216e-05    -8.78046e-05
    -0.000804359    -0.000738374
     -0.00213735     -0.00182754
     -8.0708e-05    -0.000140566
     -2.9417e-05    -3.96689e-05
     -8.6087e-05    -0.000112697
    -0.000154796    -0.000122307
     -7.6036e-05      -9.685e-05
    -0.000645646    -0.000808683
    -0.000353262    -0.000394743
     -2.8073e-05      -3.604e-05
     -4.3042e-05    -4.51311e-05
     -0.00038679    -0.000318039
    -0.000601383    -0.000492566
    -0.000160167    -0.000155994
     -7.3444e-05    -6.83186e-05
     -0.00103214    -0.000856333
    -0.000142392    -0.000265473
    -0.000216315    -0.000219692
     -1.3539e-05    -2.67291e-05
       -3.06e-05    -4.75567e-05
     -3.0265e-05    -6.29361e-05
     -1.3522e-05    -1.60359e-05
     -8.5344e-05    -0.000122963
    -0.000108069    -0.000149546
     -1.5411e-05    -2.41307e-05
     -2.5916e-05    -1.81836e-05
    -0.000207865    -0.000197547
     -0.00107267      -0.0012287
     -1.5948e-05    -1.67041e-05
    -0.000742202    -0.000543334
     -8.6456e-05     -7.9455e-05
     -0.00199098     -0.00220442
     -5.6097e-05    -5.15662e-05
     -3.9628e-05    -4.53797e-05
     -1.9502e-05    -2.61412e-05
    -0.000307217    -0.000306827
     -4.1131e-05    -6.82309e-05
     -2.7147e-05    -3.82952e-05
    -0.000682554    -0.000760274
    -0.000298436    -0.000366228
     -6.7595e-05    -0.000102712
     -1.9538e-05    -2.94597e-05
      -0.0012032     -0.00144084
     -6.2776e-05    -6.92106e-05
      -0.0011586    -0.000927956
    -0.000354447    -0.000323591
     -6.7039e-05    -8.38363e-05
      -3.163e-05    -2.75565e-05
     -0.00247591     -0.00213691
     -4.3392e-05    -4.39456e-05
     -3.6001e-05     -4.7418e-05
     -2.3535e-05    -2.56917e-05
    -0.000110013    -0.000152338
     -0.00036873    -0.000550919
     -1.1671e-05    -2.41106e-05
    -0.000749782    -0.000757322
     -2.3806e-05    -4.18848e-05
     -6.0869e-05    -6.68152e-05
    -0.000137306    -0.000115647
    -0.000102206    -0.000115508
    -0.000105312    -8.14164e-05
     -0.00131553     -0.00114212
     -0.00107784     -0.00120278
     -0.00097803    -0.000760159
     -1.4211e-05    -2.96766e-05
     -0.00108526    -0.000682751
     -1.5149e-05    -3.88922e-05
    -0.000282214    -0.000252131
    -0.000907391    -0.000854853
     -0.00070973    -0.000560738
     -1.5269e-05    -1.54724e-05
    -0.000621576    -0.000439028
    -0.000137813    -0.000149825
