QM Energy	FF Energy
     -0.00508529     -0.00481691
     -0.00252975     -0.00240851
    -0.000845482    -0.000822791
    -0.000749394    -0.000761565
     -0.00531794     -0.00572273
    -0.000897649    -0.000965698
     -0.00152628     -0.00147684
     -0.00797518      -0.0080214
     -0.00457783     -0.00464709
     -0.00413393     -0.00423544
    -0.000905548    -0.000853202
      -0.0037452     -0.00348962
     -0.00269197     -0.00284666
     -0.00289874     -0.00265146
     -0.00231086     -0.00214585
     -0.00134871     -0.00133942
     -0.00623563      -0.0064948
     -0.00117806     -0.00112437
     -0.00185535      -0.0019665
     -0.00167215      -0.0015641
    -0.000655018    -0.000640486
     -0.00222518     -0.00232598
    -0.000734182    -0.000684714
     -0.00108201     -0.00111998
     -0.00704355     -0.00742639
    -0.000469168    -0.000437053
       -0.001149     -0.00118176
     -0.00150739     -0.00142639
    -0.000801185    -0.000808265
     -0.00402887     -0.00390031
     -0.00110624    -0.000964446
    -0.000788124    -0.000789594
     -0.00199592     -0.00210925
     -0.00769693     -0.00803807
      -0.0040988     -0.00430812
     -0.00082547    -0.000853224
     -0.00267054     -0.00271151
     -0.00129083     -0.00134761
    -0.000755615    -0.000731214
     -0.00297982     -0.00284513
      -0.0043558     -0.00401112
     -0.00269325     -0.00279845
     -0.00462376     -0.00434802
     -0.00372389     -0.00357207
     -0.00348792     -0.00347915
     -0.00316468     -0.00301077
     -0.00392593     -0.00372562
     -0.00556253     -0.00561686
     -0.00333272     -0.00334639
     -0.00157853     -0.00135517
     -0.00231689     -0.00260069
     -0.00565892     -0.00568668
     -0.00744099     -0.00703172
     -0.00135383     -0.00138826
     -0.00229302     -0.00244447
    -0.000864701    -0.000910162
    -0.000766602    -0.000747112
     -0.00346968     -0.00361128
     -0.00129711      -0.0013387
     -0.00791134     -0.00813951
     -0.00194455     -0.00209531
      -0.0016539     -0.00181903
     -0.00343445     -0.00346795
      -0.0036003     -0.00376054
     -0.00086329    -0.000784319
     -0.00145516     -0.00157087
     -0.00234294     -0.00243993
     -0.00137898     -0.00142944
     -0.00251807     -0.00260272
      -0.0035096     -0.00339855
     -0.00172491     -0.00161413
     -0.00241962     -0.00245605
     -0.00215864     -0.00196751
    -0.000832669    -0.000893923
     -0.00249262     -0.00229352
     -0.00109749     -0.00107908
     -0.00207147     -0.00218644
    -0.000584407    -0.000571968
     -0.00172459     -0.00180217
     -0.00415198     -0.00455041
     -0.00606118     -0.00568074
     -0.00153642     -0.00142953
     -0.00129751     -0.00139333
     -0.00114894     -0.00113465
     -0.00167518     -0.00189369
    -0.000848255    -0.000685785
      -0.0011372     -0.00108505
     -0.00301692     -0.00271985
       -0.010445       -0.010047
     -0.00274292     -0.00281161
     -0.00211922     -0.00223455
     -0.00331738     -0.00322182
      -0.0060216     -0.00624853
    -0.000926205    -0.000873205
     -0.00240689     -0.00235758
      -0.0064704     -0.00646144
    -0.000650691    -0.000601651
     -0.00403658     -0.00447737
     -0.00193256      -0.0019704
     -0.00130286     -0.00134782
      -0.0024012     -0.00242665
     -0.00600479     -0.00597277
     -0.00249882      -0.0024748
     -0.00101802     -0.00112015
    -0.000697297    -0.000676117
    -0.000940158    -0.000998337
    -0.000942442    -0.000951253
     -0.00545729     -0.00576337
     -0.00106737     -0.00101851
     -0.00114836     -0.00121481
     -0.00178147     -0.00177501
