QM Energy	FF Energy
      -6.752e-06    -8.01008e-06
    -0.000973313    -0.000977368
     -3.5157e-05    -3.72481e-05
      -0.0026251     -0.00226484
     -3.5449e-05    -4.13856e-05
     -2.1251e-05    -4.08506e-05
     -1.4461e-05    -1.08381e-05
     -4.7691e-05    -3.54115e-05
     -8.9081e-05    -0.000115757
    -0.000200516    -0.000133829
     -3.7745e-05    -4.06987e-05
       -9.78e-06    -1.84997e-05
     -4.2314e-05    -3.32303e-05
    -0.000384039    -0.000434984
     -0.00031429    -0.000306374
     -2.6164e-05    -2.57551e-05
    -0.000265428    -0.000184182
    -0.000272811    -0.000220425
     -0.00010238    -7.28134e-05
     -2.8549e-05    -4.30523e-05
    -0.000721158    -0.000662455
     -0.00151341    -0.000805389
      -9.176e-06    -1.68382e-05
     -9.8942e-05    -0.000130399
     -6.0849e-05    -5.15502e-05
     -1.6396e-05    -1.31992e-05
    -0.000531887    -0.000549663
       -0.000508    -0.000384522
    -0.000167859    -8.74414e-05
    -0.000515702    -0.000463247
     -0.00097759     -0.00124729
     -1.8096e-05    -2.45844e-05
     -8.6963e-05    -4.90805e-05
    -0.000103165    -0.000116807
     -7.4979e-05    -8.15626e-05
      -1.561e-05     -2.4267e-05
    -0.000748589    -0.000513842
    -0.000722069    -0.000815046
    -0.000181129    -0.000153975
    -0.000283184    -0.000195828
    -0.000324153     -0.00043446
     -6.0206e-05    -0.000108039
     -5.1116e-05    -7.84474e-05
      -4.777e-05    -3.56353e-05
     -2.4935e-05    -4.51373e-05
     -5.8953e-05    -8.13068e-05
      -0.0012118     -0.00137303
    -0.000133938    -0.000187572
    -0.000177803    -0.000222543
     -8.2507e-05    -0.000104129
     -6.4966e-05    -4.57239e-05
    -0.000159516    -0.000124651
    -0.000284315    -0.000304489
    -0.000159577    -0.000121516
    -0.000671443    -0.000570169
     -2.0613e-05    -2.98109e-05
    -0.000100869     -8.9173e-05
     -0.00194829     -0.00167307
     -5.4653e-05    -6.67657e-05
     -4.4682e-05    -3.72156e-05
     -2.3748e-05    -5.12017e-05
     -1.5005e-05    -1.56332e-05
      -1.685e-05     -1.5518e-05
     -8.3644e-05    -0.000156524
     -0.00143874     -0.00148093
     -3.3209e-05    -3.83841e-05
    -0.000622776    -0.000538114
     -1.1202e-05    -6.03586e-06
     -2.9443e-05    -2.43427e-05
     -0.00187258     -0.00127249
     -3.3983e-05    -2.83953e-05
    -0.000218311    -0.000154584
     -4.4004e-05    -3.43028e-05
    -0.000513141     -0.00053154
    -0.000160793    -0.000141018
    -0.000162906    -0.000135194
    -0.000339835    -0.000383306
    -0.000506972     -0.00050178
     -1.3208e-05    -1.59665e-05
      -0.0015378    -0.000943323
     -2.6008e-05    -2.50714e-05
     -3.1669e-05    -2.28554e-05
    -0.000242641    -0.000230533
    -0.000755469    -0.000805462
      -0.0010593    -0.000690881
    -0.000755468    -0.000700748
     -0.00202691     -0.00339863
     -4.9765e-05    -4.09999e-05
     -2.9865e-05    -4.48001e-05
      -9.454e-05    -7.02538e-05
    -0.000133736    -0.000136959
    -0.000110375    -9.81787e-05
    -0.000296016    -0.000328124
     -0.00033651    -0.000369767
     -3.0598e-05    -2.67609e-05
    -0.000345875    -0.000368105
     -3.4532e-05    -4.11306e-05
     -0.00063059    -0.000411276
    -0.000177459    -0.000185186
     -3.5315e-05    -4.71675e-05
     -0.00047661    -0.000563413
     -5.2648e-05    -7.72232e-05
     -0.00157622     -0.00115125
    -0.000119716    -9.74612e-05
     -3.6747e-05    -5.81091e-05
     -3.5679e-05    -4.28986e-05
    -0.000554382    -0.000631553
    -0.000398509    -0.000319044
    -0.000861461    -0.000616244
      -8.213e-06    -1.48205e-05
    -0.000294194    -0.000306755
      -6.074e-05    -4.65641e-05
     -5.5663e-05    -6.72563e-05
    -0.000100966    -6.49179e-05
     -0.00135614     -0.00146665
     -6.5819e-05    -8.18556e-05
    -0.000423399    -0.000395479
    -0.000138637    -0.000121779
    -0.000249164    -0.000326443
     -1.9126e-05    -2.28925e-05
    -0.000166292    -0.000154366
     -0.00152903     -0.00152247
    -0.000278119    -0.000229149
    -0.000118775    -0.000151669
       -0.000155    -0.000133301
    -0.000175507     -0.00013199
      -9.784e-06    -8.94446e-06
    -0.000479274    -0.000508368
     -6.8255e-05    -5.97898e-05
    -0.000212171    -0.000264841
     -4.1849e-05    -7.68474e-05
    -0.000112796    -9.69606e-05
     -0.00100045     -0.00094358
    -0.000191791    -0.000216909
     -0.00017278    -0.000136318
    -0.000476037    -0.000375862
     -0.00151669     -0.00137554
     -0.00014913    -0.000133272
     -1.5873e-05    -1.66255e-05
    -0.000301521    -0.000360555
     -1.5557e-05    -1.25284e-05
     -0.00015594    -0.000185438
     -3.4847e-05    -2.80488e-05
    -0.000248566     -0.00016039
     -9.7851e-05    -0.000147953
      -9.784e-06       -7.67e-06
     -0.00220846     -0.00219209
     -0.00178737     -0.00113991
     -2.1365e-05    -1.78662e-05
    -0.000190819    -0.000271239
      -0.0027994      -0.0015612
    -0.000120784    -9.54172e-05
     -4.8543e-05    -5.42227e-05
    -0.000850344    -0.000678505
     -2.3352e-05     -2.6431e-05
     -2.1118e-05    -3.24057e-05
      -5.562e-05    -7.41792e-05
    -0.000304458    -0.000261448
