QM Energy	FF Energy
    -0.000360442    -0.000368688
    -0.000305446    -0.000314369
    -0.000346957    -0.000322686
     -0.00177866     -0.00207109
      -5.338e-05    -5.97508e-05
    -0.000939718     -0.00095273
     -1.6577e-05    -1.20067e-05
    -0.000159985    -0.000149505
     -2.2799e-05    -1.56104e-05
    -0.000125521    -0.000118117
     -4.2451e-05    -4.32595e-05
     -1.8925e-05    -1.50592e-05
     -0.00025346    -0.000230505
     -3.0302e-05    -1.72021e-05
     -2.7165e-05    -2.59027e-05
     -0.00232564     -0.00300371
     -0.00023822     -0.00017961
    -0.000118686    -0.000130167
      -9.234e-06    -1.20816e-05
    -0.000206665    -0.000288659
     -3.6628e-05    -2.71344e-05
     -2.3499e-05    -2.35836e-05
     -9.8089e-05    -8.26371e-05
     -0.00071724     -0.00056603
     -0.00222334     -0.00217367
     -2.3011e-05    -1.98209e-05
    -0.000273172     -0.00027413
     -0.00020864    -0.000197997
     -3.7315e-05    -2.40788e-05
     -1.5798e-05     -1.5709e-05
      -5.896e-05    -5.27214e-05
    -0.000107149    -9.84281e-05
    -0.000705167    -0.000569252
    -0.000588653    -0.000376303
     -0.00146782     -0.00143901
     -4.8508e-05    -4.71114e-05
    -0.000101239    -0.000101501
     -0.00241487     -0.00205748
    -0.000111858    -0.000111186
     -7.2814e-05    -7.37408e-05
     -0.00118997    -0.000950539
     -7.6374e-05    -6.82908e-05
     -4.6091e-05    -4.66306e-05
    -0.000155153     -0.00019989
     -0.00148935     -0.00136006
    -0.000217576    -0.000236416
     -0.00221272     -0.00194358
    -0.000240855    -0.000269322
     -2.7879e-05    -2.06031e-05
    -0.000495816    -0.000473701
      -0.0020556      -0.0016544
     -5.3598e-05    -4.95757e-05
     -9.5422e-05    -0.000116833
     -1.8682e-05    -1.85916e-05
     -7.5266e-05    -4.92475e-05
     -1.8195e-05    -1.40898e-05
    -0.000115431     -8.4008e-05
     -0.00096164    -0.000722257
     -0.00145176    -0.000944987
    -0.000110834    -8.27079e-05
     -4.4954e-05    -4.68643e-05
    -0.000197884     -0.00018685
    -0.000108167    -0.000124789
     -0.00121784    -0.000853728
     -5.9981e-05    -7.02471e-05
     -3.5697e-05    -3.55446e-05
    -0.000214763    -0.000142913
     -1.2161e-05    -1.08343e-05
    -0.000114679    -0.000117052
     -6.3588e-05    -4.75772e-05
      -0.0018307     -0.00160923
     -7.9035e-05    -7.35395e-05
     -2.5158e-05    -2.50033e-05
     -0.00051761    -0.000595864
    -0.000360414    -0.000325145
    -0.000489508    -0.000517636
      -2.063e-05    -1.32226e-05
    -0.000159853    -0.000127731
    -0.000315904    -0.000255409
    -0.000449077    -0.000334432
    -0.000104142    -0.000108286
     -4.5062e-05    -3.52655e-05
     -1.8882e-05    -1.68828e-05
     -3.2653e-05    -2.43382e-05
     -0.00130017     -0.00135041
    -0.000205733    -0.000132156
     -6.2012e-05    -5.04775e-05
     -1.2822e-05    -1.25245e-05
     -0.00115705     -0.00111695
    -0.000633879    -0.000400412
    -0.000536649    -0.000540501
     -3.7891e-05    -3.40167e-05
     -4.3516e-05    -3.07266e-05
     -5.4436e-05    -5.12353e-05
    -0.000546113    -0.000335776
    -0.000497362    -0.000357148
     -1.7558e-05    -1.72408e-05
     -3.5108e-05    -2.54437e-05
     -9.5545e-05     -6.9615e-05
     -5.3974e-05    -4.68473e-05
     -8.2763e-05    -8.01516e-05
     -0.00073831    -0.000508041
     -4.8579e-05    -5.57352e-05
    -0.000630416    -0.000454648
      -4.538e-05    -3.04039e-05
    -0.000444663    -0.000453599
    -0.000823451    -0.000781619
     -8.7246e-05    -6.67447e-05
     -2.3758e-05    -2.21929e-05
     -4.6865e-05    -5.69798e-05
    -0.000552168    -0.000525314
     -0.00214857     -0.00167101
     -2.8433e-05    -2.05178e-05
     -0.00047665    -0.000520678
    -0.000453168    -0.000408714
    -0.000264423    -0.000152582
    -0.000619074     -0.00050166
     -7.3375e-05    -6.81409e-05
     -5.4999e-05    -5.37415e-05
     -1.2194e-05    -1.39192e-05
     -2.4281e-05    -2.29904e-05
    -0.000608622    -0.000532241
     -6.1118e-05    -5.94677e-05
    -0.000216557    -0.000211305
     -0.00015234     -0.00014899
    -0.000291922    -0.000386882
     -4.3453e-05    -4.07954e-05
     -3.2597e-05    -3.23427e-05
     -3.6153e-05    -2.42005e-05
     -6.6865e-05    -4.95073e-05
      -0.0019919     -0.00173292
    -0.000112418    -9.63247e-05
     -0.00019348    -0.000125062
     -2.2566e-05    -2.35007e-05
     -0.00103281    -0.000671389
    -0.000997107    -0.000922833
     -2.4432e-05    -2.53318e-05
     -0.00133348     -0.00147775
     -2.0112e-05    -1.84637e-05
    -0.000375125    -0.000348046
    -0.000473818    -0.000459453
     -0.00052672    -0.000509726
     -2.2259e-05    -2.22969e-05
    -0.000104728    -0.000100074
     -0.00188266     -0.00133903
    -0.000183752    -0.000186555
     -3.4644e-05    -3.65723e-05
     -5.1362e-05    -7.05302e-05
     -9.3465e-05    -0.000106776
    -0.000957242    -0.000937777
    -0.000179488    -0.000205073
    -0.000401824    -0.000356675
     -5.6083e-05    -4.67574e-05
      -4.144e-05    -4.77464e-05
     -0.00064017    -0.000638332
    -0.000170336    -0.000160336
    -0.000514675    -0.000309291
     -0.00046211    -0.000287909
     -0.00016279    -0.000147924
     -6.7424e-05     -4.4975e-05
     -0.00010582    -0.000105136
    -0.000438749    -0.000397149
    -0.000900118    -0.000738881
     -2.1403e-05    -2.46344e-05
    -0.000235581    -0.000145194
     -0.00225992     -0.00203332
    -0.000969792    -0.000941708
    -0.000858741    -0.000577771
    -0.000407752    -0.000434199
    -0.000211466    -0.000224365
     -8.8944e-05    -9.70912e-05
     -0.00110812     -0.00103641
    -0.000165321    -0.000116794
     -0.00108816    -0.000721336
    -0.000866796    -0.000939424
    -0.000807786    -0.000672291
    -0.000749941    -0.000747175
     -0.00227418     -0.00308549
     -2.1341e-05    -1.78014e-05
    -0.000671519    -0.000797195
     -0.00176159     -0.00144491
     -2.2463e-05    -2.43694e-05
     -3.9795e-05    -3.87498e-05
     -8.4735e-05    -5.85769e-05
     -9.7451e-05    -8.19019e-05
     -0.00172865     -0.00141733
     -0.00146065      -0.0013514
     -9.9869e-05    -9.05703e-05
    -0.000137996    -0.000127546
    -0.000109704    -9.63314e-05
       -9.39e-05    -9.80045e-05
    -0.000358422    -0.000261705
     -8.7048e-05    -8.54998e-05
     -0.00119733     -0.00125082
    -0.000607575    -0.000592482
     -3.7518e-05    -3.59365e-05
     -2.2496e-05    -1.89405e-05
    -0.000185898    -0.000151192
     -0.00083806    -0.000901406
      -1.397e-05    -1.35873e-05
     -7.4835e-05    -7.26767e-05
    -0.000134982    -0.000121715
    -0.000235658    -0.000184586
     -8.2436e-05     -0.00011757
      -5.349e-05    -6.33831e-05
     -6.2844e-05     -4.8079e-05
    -0.000340591    -0.000387076
    -0.000882235     -0.00110541
     -5.4533e-05    -6.45726e-05
     -0.00103902    -0.000754063
    -0.000828806    -0.000785893
      -2.771e-05     -2.3197e-05
     -1.4641e-05    -1.36028e-05
      -0.0003011    -0.000215628
     -3.1078e-05    -2.87106e-05
     -2.4618e-05    -1.47934e-05
     -0.00113457     -0.00096199
    -0.000194252    -0.000183544
     -0.00114791      -0.0011842
     -4.6941e-05    -3.22482e-05
    -0.000127113    -0.000165022
     -0.00163826     -0.00125614
    -0.000362064    -0.000351203
     -1.4709e-05    -1.85823e-05
      -7.466e-06    -8.26141e-06
      -9.876e-06    -9.01463e-06
     -3.7264e-05      -3.309e-05
     -0.00108091     -0.00117043
     -0.00027588     -0.00019552
      -2.946e-05    -2.70743e-05
     -3.4312e-05    -3.30085e-05
     -1.2436e-05    -1.32468e-05
     -1.2026e-05    -1.05478e-05
      -1.603e-05    -1.92838e-05
    -0.000220811     -0.00013258
    -0.000171972    -0.000195869
    -0.000199465    -0.000144731
    -0.000117585    -0.000110628
     -0.00021996    -0.000212985
      -9.172e-06     -1.2451e-05
     -0.00201187     -0.00265111
    -0.000464501    -0.000409973
     -5.3559e-05    -5.33936e-05
     -0.00070508    -0.000582754
    -0.000447107    -0.000442054
     -3.4959e-05    -3.27803e-05
     -2.2305e-05     -2.6563e-05
     -3.0855e-05    -2.48702e-05
      -0.0012975    -0.000958308
    -0.000233352     -0.00016866
    -0.000527428    -0.000360808
     -3.1792e-05    -2.34581e-05
     -0.00188695     -0.00145756
     -3.5542e-05      -3.476e-05
     -6.9383e-05    -4.35324e-05
    -0.000118436    -0.000107954
     -0.00117113    -0.000988382
     -7.8774e-05    -6.30383e-05
       -6.77e-05    -4.09601e-05
     -3.2267e-05    -3.44664e-05
