QM Energy	FF Energy
    -0.000179185    -0.000168923
    -0.000118162    -0.000150629
     -0.00017701     -0.00016133
    -0.000987122    -0.000903628
     -1.8742e-05    -3.12324e-05
    -0.000579709    -0.000454827
     -1.1427e-05    -1.56727e-05
     -8.1048e-05    -7.70313e-05
     -1.3607e-05     -1.9556e-05
     -7.5916e-05    -6.65511e-05
     -2.7596e-05    -2.47024e-05
     -1.0546e-05    -1.58381e-05
    -0.000123515    -0.000119299
     -2.2296e-05    -2.72696e-05
     -1.4743e-05    -1.64761e-05
     -0.00145459     -0.00124727
     -4.2597e-05    -0.000108367
     -3.0034e-05    -6.59658e-05
      -4.902e-06    -8.25869e-06
     -8.1453e-05    -0.000122833
     -1.4355e-05    -2.46141e-05
     -2.0436e-05    -1.77889e-05
     -4.0822e-05    -5.12362e-05
    -0.000277165    -0.000297521
     -0.00115505     -0.00136205
     -1.2669e-05    -1.53444e-05
    -0.000160197    -0.000138945
    -0.000123659    -0.000100227
     -2.1631e-05    -3.17392e-05
     -1.2143e-05    -1.14492e-05
     -2.1279e-05    -3.33114e-05
     -3.8693e-05      -5.884e-05
    -0.000140576    -0.000319998
    -0.000140677    -0.000270471
    -0.000809255    -0.000614209
     -2.1308e-05    -2.81007e-05
     -4.8678e-05    -5.50933e-05
     -0.00113645     -0.00115923
     -4.3147e-05    -5.81101e-05
     -4.3954e-05    -4.28006e-05
     -0.00028932    -0.000493468
     -2.5185e-05    -4.08179e-05
     -2.2962e-05    -2.44544e-05
     -8.2206e-05    -8.62275e-05
    -0.000776407    -0.000616963
    -0.000101482    -0.000105598
     -0.00102311     -0.00126294
    -0.000112579    -0.000113549
     -1.4685e-05    -2.28482e-05
    -0.000162589    -0.000221061
    -0.000797683    -0.000958362
     -3.4426e-05    -3.07599e-05
     -4.7742e-05     -6.0717e-05
     -1.4639e-05     -1.2959e-05
     -2.3609e-05    -4.45366e-05
     -1.1876e-05    -1.54027e-05
     -3.4474e-05    -6.81138e-05
    -0.000314243    -0.000465546
    -0.000519487    -0.000723238
     -2.9831e-05    -6.01292e-05
     -1.7694e-05    -2.92886e-05
     -6.7522e-05     -9.6764e-05
     -2.7335e-05    -6.36429e-05
    -0.000179019    -0.000570482
     -1.8591e-05    -3.74734e-05
     -2.4113e-05    -2.09229e-05
     -7.7206e-05    -0.000112694
     -1.1395e-05    -1.00523e-05
     -7.7573e-05    -6.58457e-05
     -2.4111e-05    -4.10696e-05
    -0.000772219    -0.000778526
     -4.6716e-05    -3.93431e-05
     -1.1151e-05     -1.6992e-05
    -0.000152665     -0.00024999
    -0.000179175     -0.00014398
    -0.000186786    -0.000260134
     -1.4321e-05    -1.93256e-05
     -4.3475e-05     -8.4454e-05
    -0.000158678    -0.000134694
    -0.000131613     -0.00020429
     -3.6896e-05    -5.54975e-05
     -2.1268e-05    -3.02764e-05
     -1.1599e-05    -1.30856e-05
     -1.7364e-05     -2.3724e-05
    -0.000678567    -0.000549687
     -4.1927e-05    -0.000117278
     -2.4505e-05    -3.68067e-05
      -7.066e-06    -9.98301e-06
    -0.000620596    -0.000507006
    -0.000129139    -0.000294923
     -0.00015373    -0.000234878
     -1.4809e-05    -2.25296e-05
     -1.7381e-05    -3.06896e-05
     -2.9996e-05    -2.80933e-05
    -0.000136803    -0.000269027
     -0.00016175    -0.000262197
     -1.3817e-05    -1.29481e-05
     -2.0753e-05    -2.60175e-05
     -3.5701e-05    -6.05252e-05
     -2.2493e-05    -3.78219e-05
     -3.1781e-05    -5.19689e-05
    -0.000156149    -0.000382391
     -2.2534e-05    -3.16674e-05
    -0.000116722    -0.000300427
     -1.9636e-05    -3.34208e-05
    -0.000208207    -0.000215689
    -0.000400351    -0.000325773
     -2.3593e-05    -4.80603e-05
     -1.7606e-05    -1.53558e-05
     -1.7686e-05    -2.98788e-05
    -0.000278553    -0.000245568
     -0.00091888      -0.0010764
     -1.5878e-05    -2.46957e-05
     -0.00024568    -0.000231105
     -8.6586e-05    -0.000200605
     -8.7796e-05    -0.000147952
    -0.000226627    -0.000299333
     -3.2979e-05    -4.72581e-05
     -1.6864e-05    -3.39874e-05
      -6.783e-06    -9.21204e-06
     -1.4553e-05    -1.61168e-05
    -0.000189578     -0.00025022
     -4.1866e-05    -3.56336e-05
     -7.9456e-05    -0.000122846
     -8.6261e-05    -7.44834e-05
     -0.00012178      -0.0001613
     -2.2584e-05    -2.72475e-05
     -2.4751e-05    -2.17725e-05
     -1.6127e-05    -2.64882e-05
     -2.3694e-05    -4.07445e-05
    -0.000954729    -0.000856445
     -3.0147e-05    -6.43448e-05
      -6.193e-05    -0.000106449
     -1.9471e-05    -1.65547e-05
      -0.0002442    -0.000482081
    -0.000543713    -0.000394464
     -1.9513e-05    -1.67013e-05
    -0.000706088    -0.000597387
     -1.2505e-05    -1.62708e-05
     -8.7378e-05    -0.000175052
    -0.000245409    -0.000224534
     -0.00024739    -0.000227088
      -1.869e-05    -1.63509e-05
      -6.715e-05    -5.47004e-05
    -0.000673832    -0.000937061
     -7.2154e-05    -8.36803e-05
     -1.2045e-05     -2.3579e-05
     -1.8841e-05    -3.30565e-05
     -4.4202e-05    -5.04378e-05
     -0.00045857    -0.000387801
     -7.6715e-05    -9.86825e-05
     -0.00013119    -0.000168128
      -2.099e-05    -3.69691e-05
     -2.2715e-05    -2.63487e-05
    -0.000375936     -0.00031192
      -8.432e-05    -7.69245e-05
     -6.4612e-05     -0.00024292
    -0.000103261    -0.000225815
     -5.7843e-05    -7.99163e-05
     -2.9417e-05    -4.52786e-05
     -5.4364e-05    -5.09139e-05
    -0.000107176    -0.000187544
    -0.000242134    -0.000379066
     -1.3486e-05    -1.51616e-05
     -5.7356e-05    -0.000126608
    -0.000970745     -0.00104354
    -0.000294865    -0.000478855
    -0.000121916    -0.000388995
    -0.000210308    -0.000193114
    -0.000112551    -0.000105353
     -2.9201e-05     -4.8101e-05
    -0.000428089    -0.000481974
     -3.9099e-05     -8.3461e-05
    -0.000277992    -0.000510975
    -0.000231819    -0.000408039
     -0.00029505    -0.000410687
    -0.000455928    -0.000354846
     -0.00226687     -0.00179993
     -1.3453e-05    -1.62895e-05
    -0.000299163    -0.000317897
    -0.000529169    -0.000865668
     -1.2296e-05    -1.36735e-05
     -1.9517e-05    -2.35221e-05
     -3.1529e-05    -5.51107e-05
       -5.46e-05    -4.83132e-05
    -0.000498877    -0.000865694
    -0.000857488    -0.000592789
     -5.5188e-05     -4.5579e-05
     -3.5471e-05    -6.71025e-05
     -6.0958e-05    -5.13135e-05
      -4.648e-05    -4.51751e-05
     -6.8061e-05    -0.000174733
     -5.9373e-05    -5.04452e-05
     -0.00057316     -0.00055039
    -0.000214423    -0.000329784
     -2.3666e-05    -2.42245e-05
     -1.1933e-05    -1.66524e-05
     -5.4983e-05    -8.89661e-05
     -0.00031888    -0.000389954
     -1.3708e-05      -1.187e-05
      -4.794e-05    -3.95482e-05
     -6.9596e-05    -6.24545e-05
     -7.4579e-05    -0.000112776
     -3.1591e-05    -5.17317e-05
     -2.6804e-05    -3.36232e-05
      -3.258e-05     -4.1888e-05
    -0.000148928    -0.000169815
    -0.000350513    -0.000441767
     -3.1502e-05    -3.41828e-05
    -0.000265233    -0.000435815
    -0.000277475    -0.000369523
     -1.5216e-05    -1.86467e-05
      -9.567e-06    -1.18475e-05
     -8.8542e-05    -0.000160787
     -1.7015e-05    -1.85344e-05
     -1.7912e-05    -2.32619e-05
     -0.00027042    -0.000480651
     -9.2423e-05    -9.53381e-05
    -0.000453652    -0.000585491
     -1.7685e-05    -3.19872e-05
     -4.0322e-05    -7.33026e-05
    -0.000457034    -0.000671753
    -0.000218092    -0.000179018
      -8.388e-06    -1.09173e-05
      -4.809e-06    -7.15837e-06
      -8.155e-06     -7.9072e-06
     -1.5882e-05    -2.34364e-05
     -0.00042923    -0.000512057
      -4.693e-05    -0.000136335
     -2.1653e-05    -1.81994e-05
     -2.1216e-05    -2.06432e-05
      -9.134e-06    -9.52351e-06
      -7.383e-06    -1.11552e-05
     -1.3945e-05    -1.28151e-05
     -3.5975e-05    -0.000105286
     -4.2998e-05    -9.40731e-05
     -3.9717e-05    -9.53321e-05
     -3.4017e-05    -6.25181e-05
     -8.1681e-05    -0.000109364
      -4.696e-06    -8.18315e-06
     -0.00203959     -0.00168655
    -0.000186346     -0.00020669
     -3.7446e-05    -3.33478e-05
    -0.000198844    -0.000363888
    -0.000219539    -0.000215802
     -2.6694e-05    -2.22234e-05
     -1.5571e-05    -1.51602e-05
     -1.3581e-05    -2.23962e-05
    -0.000263388    -0.000587507
     -5.0127e-05    -0.000121996
     -6.6353e-05    -0.000243436
     -1.4691e-05    -2.49404e-05
    -0.000595547    -0.000877713
     -2.3769e-05    -2.10675e-05
     -2.1372e-05    -4.30384e-05
     -6.6276e-05    -5.58608e-05
    -0.000436422     -0.00056942
       -2.52e-05    -4.42882e-05
     -3.1803e-05    -5.05004e-05
     -2.2725e-05    -2.08097e-05
    -0.000104505    -0.000138004
     -1.5346e-05    -1.37194e-05
     -5.5465e-05    -0.000232637
      -1.526e-05    -1.44562e-05
    -0.000336415    -0.000337108
      -7.762e-06    -1.59615e-05
    -0.000975978    -0.000713277
    -0.000809386    -0.000790095
    -0.000188105    -0.000234593
      -1.146e-05    -2.23302e-05
      -9.341e-05    -0.000175172
    -0.000178324    -0.000288754
     -1.8357e-05    -2.79144e-05
     -6.1335e-05    -9.28433e-05
    -0.000348167    -0.000361114
    -0.000443003    -0.000514007
    -0.000266379    -0.000578165
      -0.0001517    -0.000247774
     -3.5995e-05    -0.000143854
     -8.1475e-05    -0.000139729
     -0.00100223     -0.00108816
     -2.4124e-05    -2.05416e-05
     -0.00116948     -0.00131182
     -2.7265e-05    -5.08119e-05
    -0.000141492    -0.000344351
    -0.000315963    -0.000443356
      -8.364e-06    -1.19524e-05
    -0.000118125    -0.000374454
     -1.6257e-05    -2.09541e-05
      -2.232e-05    -2.56753e-05
     -1.4861e-05     -1.4166e-05
     -2.5609e-05    -2.89486e-05
     -1.6776e-05    -2.17844e-05
    -0.000305168    -0.000267853
     -3.3227e-05    -3.92579e-05
     -4.4552e-05    -8.21252e-05
      -9.131e-06    -8.66619e-06
    -0.000735806    -0.000728295
     -1.9853e-05    -1.83588e-05
     -3.3831e-05    -3.90782e-05
     -2.2896e-05    -3.23728e-05
     -1.2834e-05    -1.78254e-05
     -3.3571e-05    -4.37001e-05
    -0.000366752    -0.000362157
    -0.000451062    -0.000535816
    -0.000397265    -0.000510565
     -0.00014254    -0.000116223
     -2.0538e-05    -3.54769e-05
      -1.126e-05     -1.0606e-05
     -9.4099e-05    -0.000106565
     -4.9861e-05    -6.10001e-05
     -2.2957e-05     -2.4872e-05
     -1.7234e-05    -2.10335e-05
    -0.000154932    -0.000200063
    -0.000180039    -0.000173786
    -0.000271661    -0.000578781
    -0.000542275    -0.000445562
    -0.000880023    -0.000782381
     -1.9687e-05     -2.3799e-05
    -0.000359955    -0.000498037
    -0.000222147    -0.000234095
      -2.316e-05    -2.02573e-05
     -4.7656e-05    -6.36885e-05
     -7.9909e-05    -0.000109967
    -0.000201724    -0.000238372
     -1.1277e-05    -9.72889e-06
     -1.6709e-05    -2.48828e-05
      -0.0012192     -0.00117999
    -0.000163651    -0.000203249
     -1.2304e-05    -2.99002e-05
    -0.000321909     -0.00024442
     -1.3741e-05     -1.3809e-05
     -1.1834e-05    -1.72809e-05
     -2.1106e-05    -2.82764e-05
      -9.922e-05    -0.000107906
    -0.000200744    -0.000237935
    -0.000755181    -0.000560819
    -0.000103852    -0.000142879
     -5.5212e-05    -6.43355e-05
      -7.567e-06    -8.24127e-06
    -0.000161641    -0.000341754
     -1.7573e-05    -1.51532e-05
     -2.5116e-05    -4.15506e-05
    -0.000150761     -0.00019286
     -1.2246e-05      -1.461e-05
     -6.8571e-05    -6.60948e-05
      -4.785e-05    -6.35346e-05
      -2.351e-05    -2.50758e-05
     -3.6975e-05    -4.37517e-05
     -7.7855e-05    -7.72258e-05
    -0.000672375    -0.000778944
    -0.000559644    -0.000692956
      -1.721e-05    -1.52629e-05
     -2.5627e-05    -3.99369e-05
    -0.000464626    -0.000451731
     -5.6091e-05    -0.000139497
     -3.4667e-05    -3.17209e-05
     -6.4334e-05    -0.000104282
    -0.000239706    -0.000273532
     -1.3991e-05    -1.79233e-05
     -8.2952e-05    -8.47918e-05
     -2.1374e-05    -4.14491e-05
     -5.9472e-05    -0.000125268
     -4.4063e-05    -4.08764e-05
     -1.8382e-05    -1.58718e-05
    -0.000679647    -0.000608074
     -3.7796e-05    -3.88208e-05
     -2.0732e-05     -2.0456e-05
    -0.000510866    -0.000568848
    -0.000471687    -0.000506492
     -3.0609e-05    -4.84866e-05
    -0.000132087    -0.000143153
    -0.000489251    -0.000396738
     -5.5339e-05    -5.21141e-05
    -0.000145393     -0.00013524
    -0.000214406    -0.000176621
    -0.000266641    -0.000380962
     -2.2973e-05    -2.95825e-05
     -3.4458e-05    -5.45396e-05
      -7.026e-06     -8.5352e-06
     -4.1923e-05    -6.71174e-05
    -0.000218882    -0.000176842
     -1.4151e-05    -1.65223e-05
     -4.4786e-05    -0.000116423
    -0.000726004    -0.000540021
     -2.0901e-05    -2.30864e-05
    -0.000273741    -0.000343346
     -4.9839e-05    -9.56239e-05
    -0.000334958    -0.000424428
     -3.8199e-05    -7.98653e-05
    -0.000393648    -0.000533145
     -7.1954e-05     -0.00018243
    -0.000288111    -0.000235113
    -0.000772217    -0.000873114
     -2.5388e-05    -4.24655e-05
      -9.263e-06    -1.66535e-05
    -0.000358859    -0.000331204
     -2.2753e-05    -2.47243e-05
    -0.000978088    -0.000743198
     -2.3593e-05    -3.84503e-05
    -0.000411968     -0.00038924
      -2.943e-05    -3.77758e-05
    -0.000334314    -0.000318094
