QM Energy	FF Energy
       -4.05e-05    -4.30341e-05
     -8.7443e-05     -0.00010112
     -7.4758e-05    -9.22373e-05
     -4.7357e-05    -5.24226e-05
     -4.9286e-05    -3.29525e-05
     -3.0545e-05    -4.73582e-05
     -3.6609e-05    -5.44457e-05
     -7.2582e-05    -0.000119977
    -0.000981935    -0.000925013
     -4.6214e-05     -3.9191e-05
      -7.702e-06    -8.48904e-06
     -5.0784e-05    -5.08441e-05
     -1.8303e-05    -1.81791e-05
     -1.8005e-05    -2.11421e-05
    -0.000215933    -0.000207621
    -0.000319614      -0.0002757
      -9.969e-06    -1.55627e-05
     -4.7024e-05    -7.68784e-05
    -0.000147103    -0.000134539
     -0.00150106     -0.00132574
     -8.4687e-05    -8.06303e-05
     -4.5396e-05    -4.33085e-05
     -0.00101746     -0.00101168
     -0.00194386     -0.00210304
     -0.00209379      -0.0020687
    -0.000377742    -0.000333487
     -1.8113e-05    -2.17065e-05
     -5.6034e-05    -5.43367e-05
     -0.00119411    -0.000967254
    -0.000310777     -0.00031616
     -2.8829e-05     -4.6526e-05
    -0.000700998    -0.000712217
     -0.00151292     -0.00166828
    -0.000277033    -0.000265771
    -0.000632074    -0.000576779
     -0.00119097      -0.0012087
     -0.00128527     -0.00129795
     -5.0824e-05    -8.76643e-05
    -0.000736956    -0.000690438
    -0.000257607    -0.000319035
     -1.8998e-05    -2.49065e-05
    -0.000172171    -0.000183551
    -0.000288817     -0.00033911
    -0.000739682    -0.000776369
     -9.6232e-05    -0.000110168
     -6.4081e-05    -5.98238e-05
     -1.9567e-05    -1.94751e-05
     -2.2917e-05    -3.94814e-05
     -0.00015471    -0.000144053
     -0.00111119     -0.00100026
     -7.9769e-05    -9.55689e-05
     -4.9895e-05    -3.93924e-05
     -0.00098197     -0.00095941
       -9.54e-06     -1.4672e-05
     -1.6278e-05    -1.49445e-05
     -0.00168567      -0.0014619
     -1.0974e-05    -1.09894e-05
     -2.3382e-05    -3.54153e-05
    -0.000155687    -0.000210494
     -0.00112384     -0.00142053
    -0.000417563    -0.000408488
    -0.000126149    -0.000115309
     -5.3645e-05    -7.01382e-05
    -0.000322806    -0.000350756
    -0.000621766    -0.000444267
     -0.00210722     -0.00183034
     -2.7768e-05    -2.97797e-05
     -9.7522e-05    -0.000149719
    -0.000142927     -0.00014423
     -4.7452e-05    -4.79452e-05
    -0.000399673    -0.000500547
     -0.00144132     -0.00125715
     -2.0134e-05    -2.10961e-05
    -0.000869151     -0.00090712
    -0.000523444    -0.000504046
    -0.000745942    -0.000686826
    -0.000875871    -0.000697953
     -1.9203e-05    -3.18945e-05
    -0.000936362    -0.000711795
     -0.00243665     -0.00296014
     -0.00070338     -0.00062114
    -0.000299646    -0.000251887
    -0.000345419    -0.000438335
     -0.00169411     -0.00159828
     -4.4473e-05    -5.50582e-05
    -0.000270853    -0.000265971
     -0.00127359     -0.00113227
     -0.00149789     -0.00140207
     -3.7823e-05    -3.72219e-05
    -0.000107543     -0.00011324
     -9.8133e-05    -0.000135523
      -1.693e-05    -1.46129e-05
     -0.00143131     -0.00112654
     -0.00134147     -0.00122141
     -1.0636e-05    -1.02362e-05
     -8.9499e-05    -0.000146168
      -2.735e-05    -3.81611e-05
     -0.00096575    -0.000993291
    -0.000210876    -0.000233364
    -0.000226838    -0.000207597
     -2.3979e-05    -2.23534e-05
    -0.000307678    -0.000326005
    -0.000151739    -0.000135774
     -9.2093e-05     -9.7662e-05
    -0.000243298    -0.000251982
    -0.000507827     -0.00056434
    -0.000536903    -0.000515328
     -0.00109029    -0.000886632
    -0.000270981    -0.000237925
     -2.8254e-05    -4.03627e-05
    -0.000334745    -0.000412865
      -3.693e-05    -3.51163e-05
    -0.000187789    -0.000176015
    -0.000480753    -0.000428063
     -6.4088e-05    -5.63275e-05
    -0.000781598    -0.000723603
      -9.962e-06    -1.64233e-05
     -4.9076e-05    -4.54383e-05
     -0.00335048     -0.00317479
      -1.332e-05    -1.79968e-05
    -0.000703731    -0.000660162
    -0.000239349    -0.000248851
    -0.000569909    -0.000513298
     -0.00178524     -0.00166717
     -1.8862e-05    -2.10989e-05
     -6.7948e-05    -8.00048e-05
     -2.1729e-05    -3.50682e-05
     -0.00013814    -0.000184314
    -0.000913405    -0.000887529
     -3.0604e-05     -3.3731e-05
     -6.9128e-05    -7.65981e-05
    -0.000585967    -0.000461708
     -0.00281732     -0.00222241
    -0.000539674     -0.00049519
     -0.00039426    -0.000533356
     -2.1385e-05    -1.94999e-05
    -0.000295322    -0.000272193
     -6.8323e-05    -5.25361e-05
     -3.2391e-05    -2.88749e-05
    -0.000148452    -0.000173765
     -2.9352e-05    -3.86038e-05
    -0.000534003    -0.000668971
     -0.00126438     -0.00122866
     -2.6708e-05    -2.64608e-05
     -0.00019659    -0.000215726
      -5.752e-05     -8.3417e-05
     -0.00153449     -0.00155897
    -0.000870535    -0.000883393
    -0.000191128    -0.000179628
    -0.000479787    -0.000508652
    -0.000514871    -0.000547361
    -0.000526597    -0.000503677
    -0.000173163    -0.000171858
     -5.9246e-05    -5.23649e-05
     -1.5003e-05    -2.30799e-05
     -2.9036e-05    -2.82697e-05
    -0.000172848    -0.000207333
    -0.000324823    -0.000301977
     -3.8604e-05    -6.68719e-05
     -0.00057843    -0.000585687
     -1.7171e-05    -1.65871e-05
    -0.000123888    -0.000101785
    -0.000423411    -0.000450288
    -0.000968686    -0.000860065
    -0.000105032    -0.000122988
     -7.4977e-05    -6.73405e-05
     -1.7264e-05    -2.15334e-05
    -0.000105029    -0.000146912
     -1.4973e-05    -1.58544e-05
    -0.000947396     -0.00106752
     -1.9364e-05    -3.19435e-05
     -8.8216e-05    -0.000108113
    -0.000166696    -0.000227358
    -0.000148407    -0.000138819
     -1.2938e-05    -1.56631e-05
     -3.9534e-05    -5.54057e-05
      -4.005e-05    -3.85705e-05
    -0.000225281    -0.000233159
     -0.00127934     -0.00108493
    -0.000443282    -0.000445288
    -0.000423578    -0.000556261
    -0.000582135    -0.000649239
     -3.9097e-05    -3.52635e-05
     -6.0567e-05    -7.60732e-05
    -0.000478142    -0.000557858
    -0.000182871    -0.000140881
     -1.9474e-05    -1.86487e-05
     -0.00192615     -0.00171933
    -0.000172901    -0.000205725
    -0.000616219    -0.000605171
    -0.000480135    -0.000422284
      -4.928e-05    -7.58004e-05
    -0.000821739    -0.000794764
    -0.000106934    -8.70504e-05
    -0.000364464    -0.000314525
     -6.5164e-05    -9.38401e-05
     -0.00116183     -0.00119808
     -2.3178e-05    -1.80507e-05
     -4.9486e-05    -7.18977e-05
    -0.000234707    -0.000218207
     -0.00014664    -0.000123388
     -0.00284327     -0.00336916
     -0.00175639     -0.00145083
    -0.000920378      -0.0010455
     -0.00198431     -0.00194035
    -0.000249144    -0.000260101
     -0.00065793    -0.000669395
    -0.000718128    -0.000527838
    -0.000127108    -0.000118036
      -0.0001882    -0.000156063
     -0.00043079    -0.000515924
     -0.00149412     -0.00140833
     -8.5061e-05    -0.000119476
     -8.4929e-05    -0.000110208
     -5.7648e-05    -8.34744e-05
     -5.5815e-05    -5.63879e-05
      -7.112e-05    -8.06615e-05
    -0.000354513    -0.000442642
    -0.000117681     -0.00014729
      -2.182e-05    -1.79802e-05
    -0.000921884     -0.00110564
