QM Energy	FF Energy
       -4.05e-05    -2.43913e-05
     -8.7443e-05    -6.37987e-05
     -7.4758e-05    -8.32925e-05
     -4.7357e-05    -4.61443e-05
     -4.9286e-05    -1.97883e-05
     -3.0545e-05      -3.373e-05
     -3.6609e-05    -4.40336e-05
     -7.2582e-05    -7.78637e-05
    -0.000981935    -0.000921145
     -4.6214e-05    -3.00983e-05
      -7.702e-06    -6.34697e-06
     -5.0784e-05    -3.11435e-05
     -1.8303e-05    -1.68902e-05
     -1.8005e-05    -1.77745e-05
    -0.000215933    -0.000148675
    -0.000319614    -0.000204558
      -9.969e-06    -1.61711e-05
     -4.7024e-05    -6.39076e-05
    -0.000147103     -0.00010788
     -0.00150106     -0.00125386
     -8.4687e-05    -6.28639e-05
     -4.5396e-05    -3.20194e-05
     -0.00101746     -0.00101608
     -0.00194386     -0.00145793
     -0.00209379     -0.00127739
    -0.000377742    -0.000279147
     -1.8113e-05     -1.9381e-05
     -5.6034e-05    -4.66329e-05
     -0.00119411     -0.00111803
    -0.000310777    -0.000288844
     -2.8829e-05    -3.57174e-05
    -0.000700998     -0.00067723
     -0.00151292     -0.00169288
    -0.000277033    -0.000155893
    -0.000632074    -0.000397967
     -0.00119097    -0.000760213
     -0.00128527     -0.00119771
     -5.0824e-05     -0.00010018
    -0.000736956    -0.000600457
    -0.000257607    -0.000292123
     -1.8998e-05    -2.20084e-05
    -0.000172171    -0.000110016
    -0.000288817    -0.000302556
    -0.000739682    -0.000733387
     -9.6232e-05    -9.56532e-05
     -6.4081e-05    -5.91613e-05
     -1.9567e-05    -1.51226e-05
     -2.2917e-05    -4.21194e-05
     -0.00015471    -0.000100838
     -0.00111119     -0.00116149
     -7.9769e-05    -7.97368e-05
     -4.9895e-05    -2.89666e-05
     -0.00098197     -0.00083308
       -9.54e-06    -1.21583e-05
     -1.6278e-05    -1.91327e-05
     -0.00168567     -0.00138869
     -1.0974e-05    -7.45828e-06
     -2.3382e-05     -2.8506e-05
    -0.000155687    -0.000209613
     -0.00112384     -0.00144586
    -0.000417563    -0.000338951
    -0.000126149     -0.00010167
     -5.3645e-05    -6.13632e-05
    -0.000322806     -0.00027704
    -0.000621766    -0.000301277
     -0.00210722     -0.00138306
     -2.7768e-05    -2.40058e-05
     -9.7522e-05    -0.000135813
    -0.000142927    -0.000175589
     -4.7452e-05    -3.12228e-05
    -0.000399673    -0.000376391
     -0.00144132     -0.00117995
     -2.0134e-05    -3.05511e-05
    -0.000869151    -0.000781785
    -0.000523444    -0.000427635
    -0.000745942    -0.000598086
    -0.000875871    -0.000628137
     -1.9203e-05    -2.60731e-05
    -0.000936362    -0.000481144
     -0.00243665     -0.00205024
     -0.00070338    -0.000791263
    -0.000299646    -0.000152054
    -0.000345419    -0.000405369
     -0.00169411     -0.00174838
     -4.4473e-05    -4.35629e-05
    -0.000270853    -0.000230575
     -0.00127359     -0.00131327
     -0.00149789     -0.00130479
     -3.7823e-05    -3.43989e-05
    -0.000107543     -7.4241e-05
     -9.8133e-05    -0.000112701
      -1.693e-05    -1.00434e-05
     -0.00143131     -0.00140625
     -0.00134147     -0.00122276
     -1.0636e-05    -8.69489e-06
     -8.9499e-05    -0.000129646
      -2.735e-05    -2.58794e-05
     -0.00096575    -0.000721947
    -0.000210876     -0.00018574
    -0.000226838    -0.000170197
     -2.3979e-05    -1.78694e-05
    -0.000307678    -0.000322772
    -0.000151739    -0.000120314
     -9.2093e-05    -8.65857e-05
    -0.000243298    -0.000236109
    -0.000507827    -0.000580485
    -0.000536903    -0.000460453
     -0.00109029    -0.000829613
    -0.000270981    -0.000159372
     -2.8254e-05    -2.86043e-05
    -0.000334745    -0.000359148
      -3.693e-05     -2.4528e-05
    -0.000187789     -0.00016456
    -0.000480753    -0.000408665
     -6.4088e-05      -4.482e-05
    -0.000781598    -0.000526401
      -9.962e-06    -1.60493e-05
     -4.9076e-05    -3.82459e-05
     -0.00335048     -0.00234649
      -1.332e-05    -1.32326e-05
    -0.000703731    -0.000514258
    -0.000239349    -0.000198941
    -0.000569909    -0.000493378
     -0.00178524     -0.00174041
     -1.8862e-05    -1.78403e-05
     -6.7948e-05     -5.0398e-05
     -2.1729e-05    -2.62452e-05
     -0.00013814    -0.000157405
    -0.000913405    -0.000941481
     -3.0604e-05    -3.20628e-05
     -6.9128e-05    -6.39288e-05
    -0.000585967     -0.00033183
     -0.00281732     -0.00156082
    -0.000539674     -0.00042125
     -0.00039426    -0.000423632
     -2.1385e-05    -2.17607e-05
    -0.000295322    -0.000232789
     -6.8323e-05    -3.38163e-05
     -3.2391e-05    -1.93015e-05
    -0.000148452    -0.000130618
     -2.9352e-05    -3.72839e-05
    -0.000534003    -0.000709238
     -0.00126438     -0.00102239
     -2.6708e-05    -1.63468e-05
     -0.00019659    -0.000208567
      -5.752e-05    -7.36043e-05
     -0.00153449     -0.00124048
    -0.000870535    -0.000663799
    -0.000191128    -0.000112025
    -0.000479787    -0.000398766
    -0.000514871    -0.000474609
    -0.000526597    -0.000748318
    -0.000173163      -0.0001465
     -5.9246e-05    -3.90884e-05
     -1.5003e-05    -1.65739e-05
     -2.9036e-05    -2.32987e-05
    -0.000172848    -0.000216139
    -0.000324823    -0.000320596
     -3.8604e-05    -6.64059e-05
     -0.00057843      -0.0004719
     -1.7171e-05    -1.25562e-05
    -0.000123888    -7.41992e-05
    -0.000423411    -0.000368902
    -0.000968686    -0.000915657
    -0.000105032     -0.00013033
     -7.4977e-05    -6.23958e-05
     -1.7264e-05    -1.56375e-05
    -0.000105029    -0.000128277
     -1.4973e-05    -1.31148e-05
    -0.000947396     -0.00085177
     -1.9364e-05    -2.45855e-05
     -8.8216e-05    -9.90837e-05
    -0.000166696    -0.000214329
    -0.000148407    -0.000106363
     -1.2938e-05    -1.73706e-05
     -3.9534e-05    -5.08117e-05
      -4.005e-05    -3.41567e-05
    -0.000225281    -0.000185092
     -0.00127934     -0.00125859
    -0.000443282    -0.000390474
    -0.000423578    -0.000392475
    -0.000582135    -0.000661198
     -3.9097e-05    -2.51333e-05
     -6.0567e-05    -7.37683e-05
    -0.000478142    -0.000538945
    -0.000182871    -9.88768e-05
     -1.9474e-05    -1.57277e-05
     -0.00192615     -0.00156428
    -0.000172901     -0.00015898
    -0.000616219     -0.00037911
    -0.000480135    -0.000379392
      -4.928e-05    -7.96326e-05
    -0.000821739    -0.000580996
    -0.000106934    -5.45651e-05
    -0.000364464    -0.000190554
     -6.5164e-05    -7.96647e-05
     -0.00116183     -0.00105495
     -2.3178e-05    -1.11171e-05
     -4.9486e-05    -5.36156e-05
    -0.000234707    -0.000148271
     -0.00014664    -0.000104004
     -0.00284327     -0.00240552
     -0.00175639     -0.00180028
    -0.000920378    -0.000937127
     -0.00198431     -0.00153897
    -0.000249144     -0.00030784
     -0.00065793    -0.000632337
    -0.000718128    -0.000431192
    -0.000127108    -0.000103917
      -0.0001882    -0.000126859
     -0.00043079    -0.000422102
     -0.00149412     -0.00135317
     -8.5061e-05    -9.50412e-05
     -8.4929e-05    -7.92874e-05
     -5.7648e-05    -6.20503e-05
     -5.5815e-05    -7.05917e-05
      -7.112e-05    -9.46245e-05
    -0.000354513    -0.000469529
    -0.000117681    -0.000111882
      -2.182e-05    -1.05377e-05
    -0.000921884     -0.00110496
     -0.00049701    -0.000572616
     -5.3738e-05    -3.25064e-05
    -0.000527445     -0.00049143
     -1.9765e-05    -1.53254e-05
