QM Energy	FF Energy
    -0.000108419    -8.60669e-05
    -0.000145917    -0.000173117
     -7.3304e-05    -7.14719e-05
    -0.000979126    -0.000897799
     -5.4473e-05    -4.47911e-05
    -0.000145685    -0.000179224
     -7.1134e-05    -6.50072e-05
     -2.5311e-05    -3.52895e-05
    -0.000251839    -0.000263151
    -0.000287732     -0.00022385
     -8.2491e-05    -7.16445e-05
     -1.2504e-05    -1.56715e-05
     -8.0258e-05    -7.61562e-05
    -0.000123265    -0.000215814
     -3.7842e-05    -3.53933e-05
     -0.00080797    -0.000633901
    -0.000391167    -0.000493264
     -0.00037852    -0.000389677
    -0.000141869     -0.00012139
    -0.000539254    -0.000558854
     -1.7781e-05    -1.56828e-05
    -0.000162464    -0.000134778
    -0.000494916    -0.000575167
    -0.000828582    -0.000997023
    -0.000231373    -0.000298711
    -0.000117035    -0.000127193
    -0.000278661    -0.000514381
     -4.2139e-05    -6.55403e-05
    -0.000533201    -0.000585625
    -0.000151642    -0.000162389
    -0.000182216    -0.000160273
    -0.000274118    -0.000306818
     -0.00094123    -0.000919814
    -0.000224761    -0.000174437
    -0.000282196     -0.00033247
     -1.1612e-05    -1.69243e-05
      -2.676e-05    -2.33351e-05
     -7.4901e-05    -8.73013e-05
      -0.0001348    -0.000116075
    -0.000163881    -0.000165713
     -9.9601e-05    -0.000109382
    -0.000685867    -0.000763713
     -3.7798e-05    -3.85759e-05
    -0.000951132     -0.00104476
     -6.4945e-05    -5.80495e-05
    -0.000831877    -0.000883898
     -5.2553e-05    -9.24344e-05
    -0.000592474      -0.0006342
     -1.5357e-05    -1.67318e-05
    -0.000111613    -7.31336e-05
    -0.000242686    -0.000226229
    -0.000166707    -0.000190182
    -0.000475064     -0.00060963
    -0.000483959    -0.000636363
    -0.000133863    -0.000141171
     -5.7794e-05    -4.75679e-05
     -7.1121e-05     -6.5659e-05
    -0.000643903    -0.000597429
     -4.2483e-05    -9.78302e-05
    -0.000472823    -0.000544439
    -0.000154681    -0.000145571
    -0.000232052    -0.000231101
    -0.000148187    -0.000314213
     -5.6216e-05    -5.09757e-05
     -4.4136e-05    -4.92207e-05
      -2.338e-05    -2.34349e-05
     -6.1211e-05    -7.20109e-05
    -0.000488276    -0.000680387
    -0.000148569    -0.000164288
    -0.000337139    -0.000591913
    -0.000545392    -0.000405686
     -5.9986e-05    -4.81749e-05
     -0.00150964     -0.00119988
     -0.00023674     -0.00024766
    -0.000600607    -0.000611672
     -9.6316e-05    -0.000215571
     -8.6709e-05    -9.22884e-05
      -0.0011236     -0.00113125
    -0.000552541    -0.000745043
     -2.4534e-05    -2.06016e-05
    -0.000878586    -0.000823403
    -0.000179017    -0.000158408
     -1.9954e-05    -3.59755e-05
    -0.000660956    -0.000711104
    -0.000161875    -0.000171376
     -5.7383e-05    -7.27231e-05
     -9.7953e-05    -7.04746e-05
    -0.000285148    -0.000289429
    -0.000187475    -0.000144748
     -6.4977e-05    -6.10248e-05
    -0.000843193    -0.000851533
    -0.000135031    -0.000132225
    -0.000871995     -0.00113252
     -2.1559e-05    -2.53164e-05
     -2.7352e-05    -3.07003e-05
      -9.942e-05    -9.30493e-05
    -0.000140268    -0.000137013
    -0.000231227    -0.000192399
     -2.9406e-05    -3.28359e-05
    -0.000672449    -0.000761147
     -0.00094999     -0.00126442
    -0.000255576    -0.000239065
     -0.00118389     -0.00162373
     -0.00144614      -0.0016429
    -0.000210092    -0.000355981
     -0.00197419     -0.00200947
    -0.000992464    -0.000783907
     -0.00221991     -0.00276067
    -0.000524224     -0.00045313
    -0.000414573    -0.000362467
     -0.00166331      -0.0015842
     -7.1738e-05    -6.19972e-05
      -9.124e-05     -6.7895e-05
     -7.5591e-05    -6.81403e-05
    -0.000137167    -0.000122498
     -0.00192973     -0.00205127
     -5.2201e-05    -5.64657e-05
      -8.063e-06    -1.27278e-05
     -6.2433e-05    -5.92231e-05
     -6.0223e-05    -5.86495e-05
    -0.000513807    -0.000489823
    -0.000183871    -0.000176126
    -0.000323378     -0.00033652
     -8.8893e-05    -8.62619e-05
     -7.2322e-05    -7.82707e-05
     -2.1181e-05    -2.32976e-05
    -0.000788068    -0.000819589
     -4.3511e-05    -4.27595e-05
    -0.000189677    -0.000228851
    -0.000636945    -0.000739331
    -0.000250666    -0.000215025
     -5.4269e-05     -0.00010452
    -0.000107772    -0.000101588
    -0.000250308    -0.000220988
      -0.0010866      -0.0011695
      -0.0001259    -0.000124198
    -0.000798752    -0.000793017
     -0.00173776     -0.00183174
    -0.000825692     -0.00062778
     -9.4387e-05     -0.00010589
     -8.6735e-05    -6.90321e-05
    -0.000286125     -0.00031453
    -0.000129296     -0.00010658
    -0.000322278    -0.000360536
     -0.00127737     -0.00147029
     -5.2984e-05    -5.30247e-05
    -0.000598109    -0.000738848
    -0.000133983     -0.00018679
    -0.000659456    -0.000685483
     -6.8507e-05    -0.000209618
    -0.000182954    -0.000164401
     -2.0199e-05    -2.04475e-05
    -0.000684198     -0.00101442
    -0.000226654    -0.000242518
     -0.00163227     -0.00145589
     -0.00018235    -0.000186008
    -0.000856387     -0.00101742
     -0.00020105    -0.000182543
     -5.2185e-05    -3.95621e-05
    -0.000374897     -0.00036019
     -1.9947e-05      -2.975e-05
    -0.000258706     -0.00027245
      -6.585e-05    -5.39471e-05
    -0.000230727    -0.000227323
    -0.000435731    -0.000466678
    -0.000358076    -0.000343975
     -6.9827e-05    -6.57496e-05
    -0.000165624    -0.000166128
    -0.000224329    -0.000250567
    -0.000383935    -0.000431576
     -4.2356e-05    -4.37126e-05
    -0.000117954     -0.00015468
     -2.3773e-05    -2.81458e-05
    -0.000152218      -0.0001182
    -0.000211542    -0.000244933
    -0.000699331    -0.000972826
    -0.000132903    -0.000217821
    -0.000336127    -0.000330238
     -8.8829e-05    -0.000100747
    -0.000144491    -0.000144797
     -3.0758e-05    -3.30342e-05
    -0.000162729    -0.000150593
    -0.000175826    -0.000145561
    -0.000452752    -0.000545893
    -0.000131978    -0.000133481
     -6.9516e-05    -6.16889e-05
     -4.6994e-05    -4.63907e-05
    -0.000243522    -0.000396821
     -6.1946e-05    -7.65156e-05
     -8.9647e-05    -8.68858e-05
    -0.000163692    -0.000236619
     -5.2266e-05    -6.52322e-05
     -0.00060123    -0.000807556
    -0.000207227    -0.000196657
     -1.5125e-05    -1.42622e-05
    -0.000809824    -0.000926879
    -0.000101167    -9.16388e-05
    -0.000452591    -0.000378522
     -0.00010997    -0.000101793
    -0.000118929    -0.000121377
     -4.6764e-05    -5.97286e-05
    -0.000643522    -0.000852874
     -0.00025684    -0.000346724
     -4.1203e-05    -5.90532e-05
     -0.00025696    -0.000254368
      -6.199e-05    -6.33076e-05
     -3.0936e-05    -2.78789e-05
    -0.000448436    -0.000530212
     -2.9828e-05    -3.01579e-05
     -7.6508e-05    -6.35675e-05
    -0.000670722    -0.000879313
    -0.000118633    -0.000109907
    -0.000107911    -0.000156341
    -0.000433632    -0.000390621
    -0.000133755    -0.000112854
     -3.4205e-05    -3.54461e-05
    -0.000628426    -0.000500412
     -0.00111821     -0.00156841
    -0.000251755    -0.000264161
     -4.5405e-05    -6.41278e-05
     -1.9072e-05    -2.38369e-05
    -0.000442543     -0.00042826
    -0.000332915    -0.000333107
     -4.0711e-05    -3.38465e-05
     -0.00235838     -0.00251496
      -7.227e-05    -8.17158e-05
    -0.000810699     -0.00100059
    -0.000243316    -0.000205607
    -0.000599731    -0.000905666
     -5.7624e-05    -5.61459e-05
     -1.4069e-05     -2.0864e-05
    -0.000472292     -0.00089581
     -6.1086e-05    -5.47684e-05
    -0.000482859    -0.000518008
     -3.9482e-05    -4.10951e-05
    -0.000296073    -0.000413103
    -0.000186411    -0.000435088
     -6.4238e-05    -5.37456e-05
     -3.2004e-05    -3.03867e-05
    -0.000303022    -0.000673885
     -0.00065643    -0.000740432
    -0.000143049     -0.00013749
     -0.00195895     -0.00176299
    -0.000235322    -0.000226448
    -0.000228165    -0.000237434
    -0.000183905    -0.000167795
    -0.000362381    -0.000336162
     -2.6332e-05    -2.50907e-05
     -0.00027368    -0.000415837
     -6.9408e-05    -8.20076e-05
     -3.0723e-05    -3.63036e-05
     -0.00102399     -0.00112262
    -0.000439448     -0.00050149
    -0.000127879    -0.000290804
     -3.4237e-05    -4.86095e-05
     -0.00016043    -0.000154041
     -4.4929e-05    -3.75833e-05
     -4.8834e-05    -4.81618e-05
    -0.000610664    -0.000619397
    -0.000358749    -0.000302096
      -7.515e-05    -8.70088e-05
     -0.00105771     -0.00106588
    -0.000113194     -0.00010356
    -0.000171948    -0.000142125
     -3.8341e-05    -3.56845e-05
     -2.9235e-05     -2.7251e-05
     -8.6397e-05    -7.49827e-05
    -0.000726289    -0.000717439
    -0.000597983    -0.000581906
      -0.0008793    -0.000859082
    -0.000698793    -0.000649133
    -0.000732824    -0.000689736
     -6.6281e-05    -4.42834e-05
    -0.000408695    -0.000441426
    -0.000968917      -0.0011071
      -0.0016615     -0.00186599
    -0.000574294    -0.000577175
     -0.00066985    -0.000636644
     -9.0601e-05    -9.60708e-05
     -6.1999e-05     -5.4713e-05
     -2.7342e-05    -2.91278e-05
     -0.00205075     -0.00229996
    -0.000367299    -0.000344968
    -0.000555588     -0.00052888
     -5.8492e-05    -5.84263e-05
     -0.00012107    -0.000110255
     -4.5917e-05    -4.73373e-05
     -5.6947e-05    -6.29517e-05
    -0.000429236    -0.000439586
      -8.381e-05    -6.61489e-05
    -0.000349152    -0.000344328
      -7.206e-05    -8.88621e-05
      -4.239e-05    -3.61613e-05
     -0.00021554    -0.000180386
     -0.00011036    -0.000127972
    -0.000289644    -0.000313016
     -6.2338e-05    -6.45797e-05
    -0.000391916    -0.000496699
    -0.000468739    -0.000428075
     -2.2877e-05    -1.96296e-05
    -0.000161307    -0.000142328
    -0.000579937    -0.000686745
    -0.000165233    -0.000127573
     -9.9187e-05    -8.24004e-05
      -0.0002198    -0.000184226
     -0.00120307     -0.00144453
    -0.000123995    -0.000114509
    -0.000103521    -9.15486e-05
     -4.2914e-05    -3.76763e-05
     -0.00021201    -0.000215356
    -0.000140873    -0.000133628
    -0.000199282    -0.000216046
    -0.000746354    -0.000644998
      -8.077e-05    -5.94628e-05
     -3.0587e-05    -3.27342e-05
    -0.000280067    -0.000392853
    -0.000280999    -0.000240804
    -0.000264663    -0.000249109
    -0.000253568    -0.000176809
     -7.6785e-05    -7.02161e-05
    -0.000272445    -0.000249026
    -0.000805436    -0.000742848
     -2.4302e-05    -2.41837e-05
     -4.1705e-05    -4.40892e-05
    -0.000377491     -0.00041276
     -6.5196e-05    -5.66806e-05
     -0.00140698     -0.00153044
    -0.000124245     -0.00021673
    -0.000858608    -0.000985999
    -0.000188514    -0.000241479
     -0.00039376    -0.000479871
      -3.872e-05    -5.09793e-05
    -0.000408418    -0.000407403
     -0.00130223     -0.00101831
     -0.00230708     -0.00270346
    -0.000408631    -0.000505431
     -0.00107158     -0.00112805
     -2.9439e-05    -3.21743e-05
     -5.9907e-05    -5.77546e-05
    -0.000104549    -9.49052e-05
      -0.0012163     -0.00116176
    -0.000156676    -0.000140754
    -0.000648381    -0.000780546
    -0.000202738     -0.00023171
    -0.000273095    -0.000272707
    -0.000283358    -0.000348045
     -0.00020193    -0.000159395
      -0.0013465     -0.00152668
     -8.4451e-05    -8.53212e-05
     -5.9788e-05    -5.27184e-05
    -0.000224735    -0.000219436
    -0.000294709    -0.000358357
    -0.000878184     -0.00114075
    -0.000107505    -8.15579e-05
    -0.000310556    -0.000342867
     -3.5523e-05    -5.04832e-05
    -0.000190658    -0.000288066
     -6.7574e-05    -8.94125e-05
    -0.000945664     -0.00100946
     -5.4468e-05    -4.74302e-05
    -0.000198374    -0.000162982
    -0.000794916    -0.000763281
    -0.000697898    -0.000778044
    -0.000150718    -0.000186788
    -0.000460509    -0.000458346
    -0.000537198    -0.000702804
    -0.000445231    -0.000481502
    -0.000887654     -0.00094088
    -0.000221703    -0.000215459
     -0.00012008    -0.000136078
    -0.000180351    -0.000224908
    -0.000354514    -0.000367105
     -6.6787e-05    -6.45479e-05
     -2.2713e-05    -2.24368e-05
    -0.000377086    -0.000362404
     -2.5303e-05    -2.70288e-05
    -0.000231544     -0.00018543
     -2.5126e-05    -2.81482e-05
     -2.4385e-05    -2.40748e-05
     -1.4101e-05     -1.7315e-05
    -0.000211956    -0.000188241
    -0.000327293    -0.000307333
    -0.000702755    -0.000695629
    -0.000313086    -0.000343821
     -6.7699e-05    -6.14682e-05
     -5.6184e-05    -5.49718e-05
    -0.000194617    -0.000235247
      -3.381e-05    -4.04829e-05
    -0.000128732    -0.000113377
    -0.000800312     -0.00071981
    -0.000376269    -0.000337463
     -6.5024e-05    -0.000221321
     -2.9411e-05    -2.64112e-05
     -6.6716e-05    -6.87804e-05
    -0.000320146    -0.000324792
    -0.000298537    -0.000245106
     -9.4252e-05    -0.000100057
     -1.7782e-05      -1.669e-05
    -0.000222216    -0.000224777
     -8.7424e-05    -6.20157e-05
     -6.1266e-05    -6.74902e-05
    -0.000343237    -0.000329085
     -4.1653e-05    -3.96903e-05
    -0.000111861    -8.61968e-05
      -9.103e-05    -7.72394e-05
     -1.5645e-05    -1.46549e-05
    -0.000168085    -0.000274073
     -3.8479e-05    -3.68189e-05
    -0.000290357     -0.00021598
    -0.000146423    -0.000142756
     -0.00107651     -0.00107957
    -0.000621308     -0.00069707
     -7.2538e-05    -0.000100207
    -0.000297489    -0.000273108
    -0.000695733    -0.000746361
    -0.000212734    -0.000291838
    -0.000109151    -0.000113559
    -0.000104215    -9.40172e-05
    -0.000211485    -0.000293099
     -6.1877e-05     -6.2248e-05
     -0.00016444    -0.000360686
    -0.000476278    -0.000540763
     -8.8866e-05    -0.000126433
      -4.948e-05    -8.08542e-05
     -0.00148773      -0.0016609
     -3.5037e-05    -3.12933e-05
     -1.0674e-05    -1.47537e-05
     -1.4568e-05    -1.52776e-05
    -0.000570866    -0.000613064
     -0.00226227     -0.00239446
    -0.000400431    -0.000418016
     -0.00022905    -0.000248263
     -8.4118e-05    -8.97556e-05
    -0.000148497    -0.000142627
    -0.000428743    -0.000549247
     -7.6806e-05    -8.14235e-05
    -0.000236685    -0.000281501
    -0.000736508      -0.0007752
    -0.000126584    -0.000101842
    -0.000661046    -0.000649091
    -0.000233582    -0.000208947
     -5.3983e-05    -5.19872e-05
    -0.000344298    -0.000330833
     -0.00076426    -0.000537509
    -0.000155608    -0.000133864
     -0.00162281     -0.00132681
    -0.000351675    -0.000329845
    -0.000358485     -0.00050225
    -0.000223497    -0.000216476
    -0.000140234    -0.000124947
     -7.5938e-05    -7.53677e-05
    -0.000176395    -0.000339606
    -0.000330168    -0.000309292
    -0.000178369     -0.00014616
    -0.000639862    -0.000720506
     -1.2664e-05    -1.69515e-05
     -8.6629e-05    -8.16478e-05
     -2.3622e-05    -2.27149e-05
     -4.2453e-05    -3.42433e-05
     -0.00108722     -0.00129382
     -6.3839e-05    -5.61419e-05
    -0.000162306    -0.000167561
      -2.326e-05     -2.2519e-05
     -7.4648e-05    -6.70707e-05
    -0.000266095    -0.000319151
     -3.1056e-05    -2.80393e-05
    -0.000172554    -0.000191461
     -7.1577e-05    -7.82436e-05
     -0.00319817     -0.00320595
    -0.000668765    -0.000736225
     -0.00068074    -0.000498871
    -0.000329454    -0.000380115
     -5.4489e-05    -4.63681e-05
     -0.00104683     -0.00138918
    -0.000171235    -0.000162935
     -3.7685e-05    -4.76457e-05
     -0.00143456     -0.00195189
    -0.000998928      -0.0010004
    -0.000826839    -0.000770849
    -0.000614868    -0.000751034
    -0.000295158    -0.000259872
    -0.000199056     -0.00014614
    -0.000318511    -0.000352303
    -0.000158465      -0.0001224
    -0.000480015    -0.000482863
    -0.000371043    -0.000313982
      -0.0011182     -0.00114151
     -0.00018084    -0.000266576
    -0.000331062    -0.000315702
     -9.1405e-05    -0.000116624
     -0.00297286     -0.00257558
    -0.000198559    -0.000142359
    -0.000134469    -0.000143432
     -7.1203e-05    -5.84247e-05
    -0.000120073     -0.00012132
     -4.1053e-05    -3.94748e-05
     -0.00140645     -0.00151193
     -4.8582e-05    -3.36043e-05
     -0.00217094      -0.0024742
     -2.5591e-05    -2.41781e-05
    -0.000142157    -0.000114811
     -8.2401e-05    -6.82362e-05
     -2.6873e-05    -2.87048e-05
     -0.00013487    -0.000156611
    -0.000733149    -0.000772992
    -0.000119281    -0.000130106
     -1.5174e-05    -1.31259e-05
     -4.0334e-05    -3.60135e-05
     -3.3669e-05    -3.48896e-05
    -0.000226953    -0.000375236
     -2.9276e-05    -2.59899e-05
     -0.00219072     -0.00213569
     -0.00034814    -0.000319666
    -0.000177603    -0.000235926
    -0.000869916     -0.00101629
     -5.7748e-05     -4.0875e-05
    -0.000318863    -0.000373232
    -0.000304999    -0.000312806
     -2.5038e-05    -2.35587e-05
     -0.00140266     -0.00166862
    -0.000613508    -0.000653804
    -0.000153211    -0.000140524
      -0.0009499     -0.00119496
    -0.000309872    -0.000329247
    -0.000123491    -0.000168704
     -9.3101e-05    -6.46515e-05
    -0.000587014    -0.000662611
     -6.3983e-05    -5.82888e-05
     -3.8151e-05    -8.53925e-05
    -0.000283923    -0.000370549
      -0.0002136    -0.000241828
     -6.3776e-05    -6.09034e-05
    -0.000151114    -0.000154818
      -0.0014809     -0.00188917
     -0.00017993    -0.000155171
    -0.000487536    -0.000405242
    -0.000156159    -0.000169185
    -0.000578353     -0.00058294
      -3.765e-05    -3.34551e-05
     -8.6363e-05    -8.36207e-05
    -0.000528334    -0.000534292
     -1.4245e-05    -1.82892e-05
    -0.000183445    -0.000161307
     -0.00026093    -0.000282722
    -0.000237718    -0.000243344
    -0.000446944    -0.000426332
     -4.5872e-05    -4.88855e-05
     -0.00047141    -0.000575975
     -6.2212e-05    -5.31939e-05
     -2.4287e-05    -3.23409e-05
    -0.000207778    -0.000341201
    -0.000243077     -0.00024622
     -0.00081785    -0.000761289
     -5.6693e-05    -4.45796e-05
     -8.5753e-05    -9.30602e-05
    -0.000397546    -0.000368372
     -3.4173e-05    -3.61879e-05
    -0.000236401    -0.000203314
    -0.000519245    -0.000623196
     -2.7577e-05    -2.74719e-05
     -1.5393e-05    -2.12575e-05
    -0.000142318    -0.000146608
     -0.00153445      -0.0018293
    -0.000228661    -0.000245505
    -0.000145521    -0.000132553
    -0.000395925    -0.000308727
    -0.000123589    -0.000109052
    -0.000202285    -0.000154103
      -0.0002825    -0.000260376
    -0.000206125    -0.000215096
    -0.000265278     -0.00022095
    -0.000180471    -0.000204379
    -0.000144262    -0.000176167
    -0.000586848    -0.000495799
    -0.000513919    -0.000487414
    -0.000238617     -0.00019005
    -0.000149043    -0.000159004
     -0.00138477      -0.0015852
    -0.000611932     -0.00101304
    -0.000202468    -0.000309388
    -0.000946134     -0.00119386
    -0.000268241     -0.00025232
     -3.2561e-05    -3.01352e-05
    -0.000401762    -0.000358421
    -0.000453549    -0.000489702
     -6.8142e-05    -9.82221e-05
    -0.000733396    -0.000872108
     -8.8676e-05    -8.65798e-05
     -3.2887e-05    -3.72365e-05
     -3.0716e-05    -3.06005e-05
    -0.000805451    -0.000612207
    -0.000532683    -0.000522735
    -0.000180029    -0.000151349
     -3.4761e-05    -2.85792e-05
      -0.0001728    -0.000266501
     -0.00178265      -0.0016989
     -1.3313e-05     -2.0718e-05
    -0.000164333    -0.000687578
     -0.00107907    -0.000917222
     -9.6169e-05     -0.00013115
     -0.00124399     -0.00142648
     -4.0616e-05    -4.09876e-05
    -0.000110487    -0.000113267
    -0.000599097    -0.000570425
    -0.000191079    -0.000202544
    -0.000492695    -0.000601872
    -0.000272337    -0.000212898
    -0.000136208    -0.000128318
    -0.000360379    -0.000399567
    -0.000173157    -0.000181397
     -0.00140814     -0.00144787
    -0.000157794    -0.000165072
    -0.000152841    -0.000174741
    -0.000110244    -9.76561e-05
     -2.7418e-05    -2.57883e-05
