QM Energy	FF Energy
    -0.000108419    -9.08906e-05
    -0.000145917    -0.000168356
     -7.3304e-05    -6.49022e-05
    -0.000979126      -0.0009926
     -5.4473e-05     -4.0392e-05
    -0.000145685    -0.000188218
     -7.1134e-05      -6.099e-05
     -2.5311e-05     -3.4407e-05
    -0.000251839    -0.000240804
    -0.000287732    -0.000218261
     -8.2491e-05    -7.08427e-05
     -1.2504e-05    -1.47652e-05
     -8.0258e-05    -7.16293e-05
    -0.000123265    -0.000198239
     -3.7842e-05    -3.58343e-05
     -0.00080797    -0.000639077
    -0.000391167    -0.000421394
     -0.00037852    -0.000380216
    -0.000141869    -0.000117318
    -0.000539254    -0.000547454
     -1.7781e-05    -1.59465e-05
    -0.000162464    -0.000143237
    -0.000494916    -0.000513911
    -0.000828582    -0.000986972
    -0.000231373    -0.000294114
    -0.000117035    -0.000120019
    -0.000278661    -0.000445078
     -4.2139e-05    -5.99916e-05
    -0.000533201    -0.000552081
    -0.000151642    -0.000162605
    -0.000182216    -0.000150937
    -0.000274118    -0.000272967
     -0.00094123    -0.000939062
    -0.000224761    -0.000137678
    -0.000282196    -0.000304071
     -1.1612e-05     -1.5925e-05
      -2.676e-05    -2.38956e-05
     -7.4901e-05    -8.32923e-05
      -0.0001348    -0.000114522
    -0.000163881    -0.000170751
     -9.9601e-05    -9.60964e-05
    -0.000685867    -0.000766976
     -3.7798e-05    -3.51901e-05
    -0.000951132     -0.00104765
     -6.4945e-05    -4.97687e-05
    -0.000831877    -0.000837895
     -5.2553e-05    -8.50036e-05
    -0.000592474    -0.000606205
     -1.5357e-05    -1.61959e-05
    -0.000111613    -7.29612e-05
    -0.000242686    -0.000226849
    -0.000166707    -0.000174802
    -0.000475064    -0.000608594
    -0.000483959    -0.000584361
    -0.000133863    -0.000138989
     -5.7794e-05    -4.22658e-05
     -7.1121e-05    -6.64031e-05
    -0.000643903    -0.000622362
     -4.2483e-05    -9.25642e-05
    -0.000472823    -0.000450142
    -0.000154681    -0.000144854
    -0.000232052    -0.000248279
    -0.000148187    -0.000279752
     -5.6216e-05    -5.01658e-05
     -4.4136e-05    -4.79525e-05
      -2.338e-05     -2.2973e-05
     -6.1211e-05    -6.74557e-05
    -0.000488276    -0.000638924
    -0.000148569    -0.000154931
    -0.000337139    -0.000515857
    -0.000545392    -0.000446125
     -5.9986e-05    -4.71157e-05
     -0.00150964     -0.00128025
     -0.00023674    -0.000254063
    -0.000600607     -0.00063223
     -9.6316e-05    -0.000214028
     -8.6709e-05    -9.25259e-05
      -0.0011236     -0.00122948
    -0.000552541    -0.000635873
     -2.4534e-05    -2.05687e-05
    -0.000878586    -0.000786584
    -0.000179017     -0.00015548
     -1.9954e-05    -3.76975e-05
    -0.000660956    -0.000662621
    -0.000161875    -0.000174195
     -5.7383e-05    -7.03031e-05
     -9.7953e-05    -6.91836e-05
    -0.000285148    -0.000278947
    -0.000187475    -0.000141952
     -6.4977e-05    -5.89185e-05
    -0.000843193    -0.000821922
    -0.000135031    -0.000129619
    -0.000871995    -0.000859309
     -2.1559e-05    -2.50287e-05
     -2.7352e-05    -2.88734e-05
      -9.942e-05     -7.7605e-05
    -0.000140268    -0.000144591
    -0.000231227    -0.000210029
     -2.9406e-05    -3.28854e-05
    -0.000672449     -0.00074386
     -0.00094999      -0.0011621
    -0.000255576    -0.000230509
     -0.00118389     -0.00149948
     -0.00144614     -0.00159714
    -0.000210092    -0.000359656
