QM Energy	FF Energy
      3.4106e-05    -0.000289388
    -0.000453898    -0.000290021
    -0.000355929    -1.84146e-05
     -0.00606243     -0.00792511
    -0.000576581    -0.000599453
     -0.00178148     -0.00186381
      4.7079e-05    -7.25234e-05
    -0.000227057    -0.000154464
     -0.00138244    -0.000913021
      7.4508e-05      6.0653e-05
    -0.000570447    -0.000301238
     -6.3942e-05     3.68472e-05
    -0.000296102    -0.000197107
     -0.00145395     -0.00178682
    -0.000139647    -0.000103362
     -0.00702396     -0.00546757
     -0.00324921     -0.00237681
     -0.00311217     -0.00281809
    -0.000802406    -0.000899726
     -0.00277343     -0.00268553
    -0.000235265    -0.000131595
    -0.000803344     -0.00107057
     -0.00129939      -0.0008853
     -0.00541857      -0.0060543
      -0.0026459     -0.00285532
     -0.00059287    -0.000495551
     -0.00466275     -0.00382586
    -0.000588347    -0.000552477
     -0.00339109     -0.00374853
    -0.000762121    -0.000551741
    -0.000695536    -0.000283639
     0.000139248      1.4753e-05
     -0.00677671     -0.00610339
     -0.00164612      -0.0012909
     -0.00251812      -0.0018909
    -0.000172991    -0.000170182
    -0.000235013    -0.000148081
    -0.000464855    -0.000386956
    -0.000429609    -0.000174214
     -0.00115108    -0.000937263
      0.00024131     0.000129945
     -0.00236739      -0.0036693
    -0.000169924    -0.000116486
     -0.00642824     -0.00813685
    -0.000696992    -0.000613562
     -0.00560452     -0.00633706
    -0.000390583    -0.000496571
     -0.00206395     -0.00141179
     -7.3762e-05     -3.2309e-05
     0.000929443     0.000493466
    -0.000469943     -0.00107867
     -0.00151276    -0.000774068
     -0.00674218     -0.00673701
     -0.00427982     -0.00400641
     -6.2142e-05    -4.06576e-05
    -0.000258384    -0.000157486
     0.000124415     6.01117e-05
       -0.005877     -0.00635814
     -0.00101103     -0.00125797
     -0.00348826     -0.00317035
    -0.000837988    -0.000437711
     -0.00281455      -0.0022468
     -0.00266784      -0.0027147
    -0.000419257    -0.000455382
    -0.000328605    -0.000283565
     -4.8785e-05    -0.000117073
    -0.000451604    -0.000473133
     -0.00556316     -0.00584681
     -6.8377e-05    -0.000253062
     -0.00448384     -0.00491345
     -0.00340292     -0.00367832
    -0.000439337    -0.000307752
     -0.00678258     -0.00902634
     -0.00115372     -0.00132122
      -0.0023643     -0.00318878
     -0.00224308     -0.00254621
    -0.000936177     -0.00090755
     -0.00647309     -0.00883512
     -0.00615251     -0.00535607
     -0.00023393    -0.000251909
     -0.00831387     -0.00798555
    -0.000568388    -0.000598703
    -0.000479358    -0.000481596
     -0.00113774    -0.000943214
     -0.00131131     -0.00125267
    -0.000455328    -0.000529547
      -7.909e-05    -5.22766e-06
     -0.00101687     -0.00121661
      0.00044189     0.000349008
    -0.000226464    -0.000401488
     -0.00388315     -0.00507831
    -0.000772005    -0.000636206
      -0.0114808      -0.0104657
    -0.000188709    -0.000136954
     -3.7551e-05    -0.000118487
    -0.000868007    -0.000891837
    -0.000662649    -0.000544876
     -0.00132421     -0.00134289
    -0.000299997    -0.000349641
     -0.00641921     -0.00718931
     -0.00970035     -0.00994722
    -0.000442053    -0.000156701
      -0.0110405     -0.00999087
      -0.0108344      -0.0105621
     -0.00276498     -0.00208909
      -0.0219727       -0.023793
     -0.00388413     -0.00462837
      -0.0199766      -0.0171023
     -0.00230384     -0.00190868
     0.000882579     9.52574e-05
     -0.00800741     -0.00912021
      4.9363e-05     3.59841e-05
    -0.000876038    -0.000722709
    -0.000182958    -0.000281345
    -0.000571502     -0.00044899
      -0.0138541      -0.0149057
    -0.000337378    -0.000382694
    -0.000102453    -0.000137937
    -0.000104351    -0.000156502
    -0.000517551    -0.000647139
     -0.00288874     -0.00246309
     -0.00112254     -0.00112638
     -0.00103608    -0.000905803
    -0.000235845    -0.000615046
    -0.000424877    -0.000534634
    -0.000178881    -0.000191714
     -0.00158292     -0.00156924
      2.4199e-05     -7.4852e-05
      8.0117e-05    -0.000272511
    -0.000181584    -0.000340096
      0.00023495    -0.000195641
     -0.00111334     -0.00134591
    -0.000512255    -0.000253593
     -0.00152368    -0.000977684
     -0.00367698      -0.0033384
      0.00034851     0.000321344
     -0.00679058     -0.00631624
     -0.00969677      -0.0102481
     -0.00779606     -0.00723891
    -0.000909288    -0.000496656
    -0.000481915    -0.000541352
     -0.00169007     -0.00142202
      -0.0008167     -0.00059065
     -0.00150231     -0.00165842
      -0.0152218      -0.0152812
    -0.000479661    -0.000376977
     -0.00430957     -0.00438422
     -0.00181757     -0.00180785
     -0.00743204     -0.00692326
     -0.00161536     -0.00191869
     0.000318182    -0.000196263
     -4.7304e-05     1.08838e-05
     -0.00772924     -0.00780776
    -0.000180449    -3.76399e-05
     -0.00903051      -0.0116871
     -0.00111428     -0.00078499
     -0.00868831     -0.00817587
    -0.000424693    -0.000923041
     0.000381166     0.000238097
     -0.00131899    -0.000782268
    -0.000246992    -0.000257305
     -0.00152173     -0.00141276
     -5.6882e-05     -0.00015569
    -0.000502149    -0.000643638
     -0.00100217     -0.00286817
     -0.00163584     -0.00133238
    -0.000705637    -0.000646469
     -0.00130203     -0.00189191
    -0.000212541    -0.000839393
       -0.001738     -0.00223895
    -0.000319556    -0.000169671
     -0.00125417    -0.000944127
    -0.000226931    -0.000122743
     -0.00127294     -0.00111538
     0.000634307     0.000389627
     -0.00981044      -0.0105392
     -0.00172544      -0.0016491
    -0.000668932    -0.000482991
     0.000230297    -1.38946e-06
     -0.00127086     -0.00122858
       2.015e-05      6.3899e-05
     -0.00016684    -8.29342e-06
      0.00043657       4.858e-06
     -0.00378164     -0.00468407
    -0.000288474    -0.000515661
    -0.000575125    -0.000317637
    -0.000157811    -0.000111971
     -0.00363881     -0.00310642
    -0.000328928    -0.000419754
    -0.000511733    -0.000646096
     -0.00229311     -0.00174073
    -0.000419096    -0.000448936
     -0.00727953     -0.00616613
    -0.000926888    -0.000664171
     0.000202798     0.000122118
      -0.0036378     -0.00549482
     0.000309272      0.00027951
    -0.000362571     -0.00160537
      9.1334e-05     5.96107e-05
    -0.000811954    -0.000915693
    -0.000252245    -0.000444875
     -0.00601478     -0.00558724
     -0.00271156     -0.00283578
    -0.000500593     -0.00048443
     -0.00118723    -0.000729876
     0.000129666     7.35829e-05
    -0.000181111    -0.000293606
     -0.00255565     -0.00230757
       2.469e-06      3.6859e-05
    -0.000460909    -0.000300362
     -0.00588188     -0.00494453
     -0.00125984     -0.00106237
     -0.00137462     -0.00150284
    -0.000728604    -0.000954827
     -0.00127681     -0.00106657
     -0.00029723    -0.000226251
     -0.00265966     -0.00226596
      -0.0109055     -0.00940123
     -0.00186845     -0.00153143
    -0.000598338    -0.000480526
      4.9404e-05    -7.41929e-06
     -0.00134587     -0.00189009
     -0.00120292    -0.000854083
    -0.000330073    -0.000334402
       -0.019974        -0.01786
     -0.00094858    -0.000640107
     -0.00748309     -0.00822536
      0.00032463    -3.08617e-05
      -0.0065045     -0.00650079
    -0.000155703    -0.000374941
    -0.000117411    -0.000146691
      -0.0086663     -0.00851408
    -0.000126333     -0.00026468
     -0.00311884     -0.00309383
    -0.000288873    -0.000163935
     -0.00356735     -0.00293193
     -0.00348168     -0.00362696
    -0.000380984    -0.000429636
    -0.000159856    -0.000261811
     -0.00606401     -0.00642131
     -0.00315732     -0.00410702
    -0.000930979    -0.000830937
      -0.0176828      -0.0184992
    -0.000567627    -0.000671545
     -0.00104462     -0.00121791
     -0.00124315     -0.00151458
     -0.00178305     -0.00121302
    -0.000237226    -0.000147623
     -0.00304432     -0.00311259
    -0.000356125    -0.000393697
     -3.6567e-05     3.21392e-05
     -0.00672738     -0.00637788
     -0.00246548     -0.00249095
     -0.00258554     -0.00271151
    -0.000393469    -0.000393376
     -0.00114769     -0.00091716
    -0.000550812     -0.00048504
    -0.000269135    -0.000254915
     -0.00285304     -0.00452536
     -0.00335741     -0.00368867
    -0.000945645    -0.000992166
     -0.00720791     -0.00785537
    -0.000847335    -0.000833925
    -0.000491176    -0.000436849
      9.2037e-05     7.57899e-05
    -0.000290868    -0.000249429
    -0.000403473    -0.000362975
     -0.00498107     -0.00445635
     -0.00390507     -0.00476826
     -0.00538689       -0.006975
     -0.00378084     -0.00379284
     -0.00247184      -0.0048078
    -0.000789335     -0.00065443
     -0.00143881     -0.00171556
     -0.00963683     -0.00814812
     -0.00992564     -0.00904861
     -0.00280208     -0.00273799
      -0.0028537     -0.00301615
    -0.000752352    -0.000895418
        2.94e-06     1.55924e-05
    -0.000154193    -6.24383e-05
       -0.012954     -0.00898626
     -0.00031242     -0.00134979
     -0.00158708     -0.00155107
    -0.000282031     8.08208e-06
    -0.000523349    -0.000622629
    -0.000125522    -0.000199469
    -0.000536329    -0.000475307
      -0.0027896     -0.00286727
     0.000194488    -2.98743e-05
     -4.7548e-05     -0.00066291
    -0.000692374    -0.000662375
       7.731e-05     3.26964e-05
     0.000506821    -0.000169127
    -0.000780413    -0.000797202
     -0.00219106     -0.00187378
     -0.00031087    -0.000312017
     -0.00337218     -0.00321931
      4.5096e-05    -0.000551891
     -6.3515e-05     -0.00014275
    -0.000857089     -0.00075013
     -0.00770596     -0.00801356
      5.3108e-05    -0.000160301
    -0.000970136    -0.000866961
     -0.00152762     -0.00144203
      -0.0117746      -0.0115245
     -0.00109982    -0.000913658
    -0.000660181    -0.000624715
    -0.000150562    -0.000141609
     -0.00035846    -0.000236665
    -0.000781295    -0.000792519
     -0.00105825     -0.00144043
     -0.00657181     -0.00606254
    -0.000737791    -0.000631548
     -0.00033276    -0.000166599
     -0.00305833     -0.00306695
    -0.000128877    -0.000515241
       -0.001341    -0.000724155
       0.0010818      0.00046659
    -0.000205561    -0.000304651
     -0.00225966     -0.00199731
     -0.00463598     -0.00439589
     -0.00027773    -0.000263371
      3.1851e-05      5.6498e-05
      -0.0037165     -0.00406182
     0.000140059     1.71735e-06
     -0.00986869     -0.00954323
     -0.00221774     -0.00258109
     -0.00748609     -0.00773324
     -0.00120127     -0.00145962
     -0.00379453     -0.00312832
     -3.6064e-05    -0.000129973
     -0.00124592     -0.00114557
      -0.0111016      -0.0108592
      -0.0174402      -0.0165804
     -0.00337363     -0.00337702
     -0.00838139     -0.00819927
    -0.000208647    -0.000192526
     -1.1223e-05     4.86576e-05
    -0.000673344      -0.0009474
      -0.0108578      -0.0114943
    -0.000800366    -0.000661053
     -0.00425835     -0.00429648
     -0.00170573     -0.00181322
     -0.00116683     -0.00209876
     -0.00355934     -0.00303253
    -0.000451301    -0.000626776
     -0.00851301      -0.0101387
     0.000349568     0.000215166
    -0.000231649    -0.000254424
     -0.00197153     -0.00218088
     -0.00204475     -0.00244536
     -0.00925095       -0.008452
    -0.000240454    -0.000247687
     -0.00196934     -0.00195684
    -0.000355839    -0.000484048
     -0.00224224     -0.00204362
    -0.000472213    -0.000369542
      -0.0070132     -0.00781368
    -0.000416351    -0.000424035
     0.000413254     0.000300105
    -0.000874221     -0.00144182
     -0.00675294     -0.00641889
     -0.00117562     -0.00159982
    -0.000613379    -0.000541717
     -0.00350882     -0.00430416
     -0.00287979     -0.00328891
     -0.00702178      -0.0064441
    -0.000458545    -0.000816126
    -0.000529542    -0.000627788
     -0.00120499     -0.00132515
     -0.00103571    -0.000639754
    -0.000543061    -0.000757369
    -0.000150298    -6.69593e-05
      -0.0030613     -0.00242668
    -0.000279803    -0.000271026
      0.00022348    -0.000327744
       -5.02e-06     3.33166e-05
    -0.000187787    -0.000105883
     -3.0181e-05    -0.000118562
      -0.0019726      -0.0018205
     -8.3687e-05    -0.000705483
     -0.00435988     -0.00343146
    -0.000310159     -0.00125951
    -0.000581472    -0.000511955
    -0.000161873    -0.000213003
    -0.000625897    -0.000733694
    -0.000358609    -0.000331689
    -0.000465895    -0.000369901
     -0.00495358     -0.00478762
     0.000467304     -0.00043262
     -0.00196386      -0.0024028
     -8.3752e-05    -0.000204037
     0.000442968     0.000305582
     -0.00295755     -0.00243385
    -0.000222315    -0.000407435
    -0.000181171    -0.000101982
     0.000120679     8.97742e-05
     -0.00086229    -0.000635821
     0.000263015     5.98552e-05
    -0.000704741    -0.000541656
     -0.00181174     -0.00205759
     0.000385594     0.000233497
     0.000109899     8.22154e-05
    -0.000358534    -0.000383217
      2.9688e-05     6.73791e-05
     -0.00268176     -0.00252784
    -0.000387495    -0.000412605
      0.00116131     0.000431825
    -0.000310738    -0.000416622
     -0.00659608     -0.00760692
     -0.00404336     -0.00389856
    -0.000592869    -0.000601861
       -0.001433    -0.000667469
     -0.00547118     -0.00437643
     -0.00145962     -0.00169076
    -0.000997355    -0.000703588
     0.000474394     0.000364694
     -0.00109812     -0.00165258
      0.00036647     9.13232e-05
     -0.00335231     -0.00340921
     -0.00351795     -0.00469399
    -0.000935064    -0.000960465
    -0.000619626    -0.000599229
      -0.0111772     -0.00939628
    -0.000341227    -0.000391713
     -9.9975e-05    -8.43127e-05
     -8.7054e-05    -0.000220231
     -0.00340185     -0.00346087
      -0.0177702      -0.0150717
     -0.00228263     -0.00233358
     -0.00101905    -0.000799211
    -0.000298201    -0.000276256
     -9.3658e-05    -0.000302841
     -0.00367479     -0.00464636
     0.000114501    -4.79317e-05
     -0.00236188     -0.00213303
     -0.00463299      -0.0041242
     -1.1511e-05    -0.000273574
      -0.0048347     -0.00416202
      -0.0015083     -0.00153876
     0.000197769     0.000120542
    -0.000798057    -0.000652322
     -0.00501821     -0.00470756
     -0.00149838     -0.00143351
      -0.0117465      -0.0115431
    -0.000906176     -0.00108579
     -0.00342384     -0.00417317
     -0.00138419     -0.00133591
    -0.000309219    -0.000363037
     0.000218619     2.01324e-05
     -0.00362986     -0.00343457
     -0.00218306     -0.00206863
     -0.00133834     -0.00139965
     -0.00382002     -0.00348754
    -0.000163615    -0.000234352
    -0.000289332    -0.000475719
    -0.000150989    -0.000107343
     0.000161293     0.000113238
      -0.0115304      -0.0106512
    -0.000399042    -0.000386104
     -0.00140488     -0.00126902
    -0.000133391    -0.000158352
    -0.000624121    -0.000716693
      1.8681e-05    -1.83353e-05
      -7.324e-05    -0.000225915
     -0.00100543     -0.00108923
     0.000130088    -6.17299e-05
      -0.0234593      -0.0211901
     -0.00272828     -0.00271657
     -0.00427468     -0.00486805
     -0.00304156     -0.00330031
    -0.000360884    -0.000233596
     -0.00850234     -0.00661615
    -0.000760184    -0.000750996
     -0.00029692     -0.00017193
      -0.0132184      -0.0110399
     -0.00290287     -0.00297972
     -0.00343365     -0.00467991
     -0.00334433     -0.00453381
    -0.000129422    -0.000637109
     0.000798155     0.000237707
    -0.000653558    -0.000549878
    -0.000180476    -0.000250592
    -0.000532826     -0.00125232
     0.000560217    -0.000550752
      -0.0103099      -0.0108803
     -0.00248671     -0.00196795
     -0.00219933     -0.00214078
     -0.00115195     -0.00102621
      -0.0195668      -0.0202901
     0.000134072    -0.000121899
    -0.000570763     -0.00084286
    -0.000430505    -0.000406383
    -0.000516804    -0.000713375
     0.000182894    -0.000122031
      -0.0121813      -0.0133862
    -0.000502892    -0.000432601
       -0.016358      -0.0123535
      3.8581e-05     5.92565e-05
     0.000162944    -0.000142455
    -0.000476061    -0.000402423
    -0.000181695    -0.000193249
     -0.00182335       -0.001781
     -0.00643597     -0.00599836
    -0.000513379    -0.000305017
     -6.0774e-05    -2.91859e-05
      -1.584e-05     6.48302e-05
    -0.000253235     -0.00016485
     -0.00354433     -0.00304536
     0.000183379     0.000220651
       -0.014834      -0.0126307
     -5.0924e-05    -0.000371684
     -0.00207873     -0.00257482
     -0.00434096     -0.00532813
    -0.000621161    -0.000469742
     -0.00270058     -0.00288768
    -0.000362952     -0.00123623
     0.000107812     7.91904e-05
      -0.0104843       -0.010483
     -0.00386213     -0.00407569
      5.3284e-05     0.000151469
     -0.00760172     -0.00700914
     -0.00288631     -0.00337614
      -0.0011508    -0.000906314
    -0.000953227    -0.000796806
     -0.00160439     -0.00138835
    -0.000177903    -9.05421e-05
    -0.000735327    -0.000983857
     -0.00297977     -0.00268933
     0.000310784     0.000108576
    -0.000441357    -0.000284806
      0.00010072     0.000143234
      -0.0109718     -0.00924808
    -0.000953291    -0.000495404
     -0.00348807     -0.00265984
    -0.000135748    -0.000255215
     0.000111332    -0.000640428
    -0.000186625    -0.000195912
    -0.000264019      -0.0003715
     -0.00220886     -0.00147265
    -0.000168271     -0.00021142
     -0.00124887    -0.000797634
     0.000317714     0.000307516
     -0.00155993     -0.00151742
     -0.00222754     -0.00130773
    -0.000199815    -8.16198e-05
     -0.00429143      -0.0043356
    -0.000189673    -0.000124127
    -0.000196009    -0.000345264
     -0.00270647     -0.00284171
     -0.00139175     -0.00120665
     -0.00876591     -0.00836993
     0.000337976     9.02566e-05
     0.000208559    -2.81908e-05
    -0.000762298    -0.000916045
    -0.000216649    -0.000186698
    -0.000825707    -0.000745471
     -0.00521591     -0.00596738
      2.5672e-05    -2.57124e-05
    -0.000104985    -0.000204318
    -0.000169259    -1.31642e-05
      -0.0124823      -0.0121783
     -0.00218881     -0.00229633
    -0.000850475    -0.000617274
     -0.00350861     -0.00277303
    -0.000187734    -0.000274765
     0.000632518     0.000257569
     -0.00202573     -0.00141512
     -0.00210666      -0.0023576
     -0.00166923     -0.00120668
     -0.00209693     -0.00209906
     -0.00163275     -0.00146896
     -0.00382607     -0.00371293
     -0.00254711     -0.00330255
     0.000382708    -0.000161432
    -0.000431371    -0.000195579
     -0.00907257     -0.00971603
      -0.0110826      -0.0102023
     -0.00164602     -0.00133974
     -0.00748495      -0.0089358
     -0.00091579    -0.000790187
     0.000180246     9.56108e-05
     0.000866907     -2.1481e-05
      9.9615e-05    -0.000180794
    -0.000721421    -0.000534633
     -0.00752644     -0.00639665
     -2.5223e-05     7.25001e-05
    -0.000283897     -0.00015104
      -6.409e-05    -4.42847e-06
     -0.00511693     -0.00573051
     -0.00237402     -0.00186963
    -0.000185136      2.4323e-05
     -9.3769e-05    -3.47921e-05
     -0.00297006     -0.00257401
      -0.0130934       -0.011957
      -5.299e-05    -0.000134911
     -0.00718889     -0.00754613
     -0.00887895      -0.0102516
    -0.000841623    -0.000573852
     -0.00913148     -0.00869896
        1.71e-06    -0.000121926
    -0.000304687    -4.75991e-05
     -0.00403363     -0.00545796
     -0.00142066     -0.00128786
     -0.00642486     -0.00701086
     -0.00173108     -0.00187673
    -0.000960113     -0.00114827
    -0.000531315    -0.000833048
    -0.000493544    -0.000441119
     -0.00939993     -0.00909867
    -0.000969552    -0.000953199
    -0.000221716    -0.000124308
    -0.000189303    -0.000453765
     0.000113875     9.78151e-05
    -0.000297092    -0.000239802
    -0.000234718    -1.35654e-05
    -0.000415071    -0.000322801
    -0.000589328    -0.000464003
    -0.000169471    -0.000226762
     -0.00444044     -0.00483234
      -0.0122233      -0.0148754
    -0.000130261    -6.66061e-05
     -0.00378917     -0.00369098
     -0.00536073     -0.00600668
     -0.00617136     -0.00558182
      0.00115318     0.000449208
    -0.000293717    -0.000130438
    -0.000496911    -0.000980188
     -3.5682e-05    -0.000151135
     -0.00173895     -0.00172706
     -0.00737126     -0.00561255
      -5.084e-05    -9.89267e-05
    -0.000705642    -0.000480207
     -3.5306e-05     -0.00015094
     0.000481671     0.000279796
     0.000139351     2.81136e-05
      -0.0015556      -0.0010756
      -0.0131691     -0.00793202
     -0.00101865     -0.00122545
      0.00020081     0.000204097
     -0.00459216      -0.0034806
     -0.00259537     -0.00184495
    -0.000344487    -0.000563327
    -0.000754047    -0.000724466
     -9.0801e-05    -0.000102552
