QM Energy	FF Energy
     -2.5711e-05    -2.63022e-05
     -6.9576e-05    -9.23638e-05
    -0.000144951    -0.000123708
      -3.668e-05    -3.18163e-05
     -7.4904e-05    -7.96354e-05
     -3.4572e-05    -3.14318e-05
    -0.000719625    -0.000597593
     -0.00210441       -0.001785
     -1.4665e-05    -1.63592e-05
    -0.000627551    -0.000668928
     -2.2816e-05    -2.04688e-05
     -0.00158412     -0.00144485
    -0.000231946      -0.0002071
     -1.8208e-05    -2.64484e-05
     -5.5044e-05    -6.15036e-05
    -0.000572082    -0.000691267
    -0.000170504    -0.000157222
     -3.8667e-05    -5.54118e-05
    -0.000135339    -0.000154944
    -0.000536037    -0.000665877
     -9.7057e-05    -9.23609e-05
     -0.00111154     -0.00104475
     -3.2991e-05    -2.62845e-05
     -3.9541e-05    -6.48977e-05
     -8.6399e-05    -8.26596e-05
     -0.00058924    -0.000526909
     -2.5219e-05    -2.59825e-05
     -2.3463e-05    -3.06456e-05
        -2.6e-05    -4.51128e-05
     -6.4531e-05    -8.09632e-05
     -3.5005e-05    -3.33884e-05
    -0.000173574    -0.000141964
     -5.1409e-05    -5.21454e-05
    -0.000172885    -0.000125873
    -0.000190823     -0.00016512
    -0.000184606    -0.000230814
      -9.223e-05    -9.74809e-05
     -0.00143425     -0.00138118
    -0.000395873    -0.000448267
     -4.2709e-05    -5.63763e-05
     -8.1383e-05    -0.000117856
     -2.2586e-05    -2.00239e-05
    -0.000201225    -0.000271165
     -0.00137232     -0.00112618
    -0.000266567    -0.000231905
     -3.8575e-05    -5.62065e-05
     -2.2986e-05    -2.05017e-05
     -0.00124948     -0.00110714
    -0.000254316    -0.000233337
     -4.2019e-05    -6.00859e-05
    -0.000944654    -0.000896359
    -0.000206258    -0.000242396
     -4.9133e-05    -6.41142e-05
     -5.9636e-05     -5.2144e-05
     -2.6946e-05      -2.569e-05
     -1.3792e-05    -1.73874e-05
     -3.0607e-05    -4.40156e-05
     -5.1169e-05    -5.31486e-05
    -0.000117564    -9.02043e-05
      -1.458e-05    -1.88692e-05
     -4.0348e-05    -3.05547e-05
     -2.4083e-05    -4.54301e-05
      -1.438e-05    -2.18374e-05
     -0.00125263     -0.00114757
     -1.8373e-05    -2.59437e-05
     -0.00124014     -0.00113173
     -8.1791e-05    -7.85824e-05
     -0.00134412      -0.0010764
     -0.00033857    -0.000310226
     -3.1393e-05     -5.0545e-05
    -0.000291663    -0.000339978
     -3.3104e-05    -2.67972e-05
     -0.00181806     -0.00142561
     -0.00128445     -0.00127523
    -0.000577099    -0.000546204
    -0.000848115    -0.000862313
    -0.000143944     -0.00013559
     -0.00053362    -0.000483043
     -0.00068527     -0.00064424
     -1.5643e-05     -1.7662e-05
     -2.5481e-05    -3.31483e-05
     -2.6588e-05     -3.3725e-05
     -1.3091e-05    -2.62175e-05
    -0.000416516    -0.000417365
     -0.00031573    -0.000307575
     -5.7729e-05    -5.38754e-05
    -0.000631304    -0.000577125
     -1.6836e-05    -2.11624e-05
      -7.382e-06    -1.19808e-05
    -0.000174536    -0.000193643
     -0.00102577     -0.00103733
    -0.000399956    -0.000326374
     -0.00123001     -0.00130986
    -0.000265096    -0.000235574
     -0.00028572    -0.000261608
    -0.000227657    -0.000200607
     -0.00157277     -0.00151782
     -9.6797e-05    -8.68854e-05
     -9.2631e-05    -9.89908e-05
    -0.000225896    -0.000372812
      -7.841e-05    -7.30404e-05
     -1.6339e-05    -2.69394e-05
    -0.000326529    -0.000350984
     -0.00124438     -0.00131019
    -0.000516758    -0.000403777
     -2.5223e-05    -3.94982e-05
     -1.8362e-05    -2.42356e-05
     -0.00097833    -0.000986486
     -2.2918e-05    -2.51706e-05
    -0.000860361    -0.000851943
    -0.000636548    -0.000609137
     -1.7397e-05    -2.14862e-05
     -0.00227957     -0.00217833
    -0.000102451    -0.000133694
    -0.000270143    -0.000325576
     -2.6851e-05    -4.03633e-05
    -0.000190633    -0.000165647
     -4.0669e-05    -6.95053e-05
     -4.3665e-05    -5.97698e-05
    -0.000803481    -0.000982286
     -1.3172e-05    -1.61546e-05
     -0.00154533     -0.00133833
     -0.00113651     -0.00110434
     -0.00191681     -0.00217584
     -8.0696e-05    -6.63414e-05
     -0.00144233     -0.00130912
     -2.9337e-05    -2.27183e-05
     -6.4815e-05    -8.20678e-05
     -0.00149743     -0.00143491
     -0.00102432    -0.000893202
     -6.8246e-05    -6.06691e-05
     -8.9651e-05    -8.02044e-05
     -1.7867e-05     -2.3639e-05
    -0.000452546    -0.000444451
     -5.8549e-05    -5.98021e-05
    -0.000381566     -0.00030937
     -8.7287e-05    -7.89398e-05
    -0.000244471    -0.000260158
     -0.00109343     -0.00121579
     -0.00019696    -0.000206573
    -0.000386777    -0.000389259
     -4.2385e-05     -3.9372e-05
     -1.5001e-05    -1.71915e-05
    -0.000914575    -0.000793963
    -0.000253998    -0.000224186
     -8.7365e-05    -7.49589e-05
      -0.0005809    -0.000536805
     -0.00187358     -0.00157345
     -0.00148053     -0.00131427
    -0.000601739    -0.000626714
    -0.000227652    -0.000199728
    -0.000526411    -0.000699368
     -5.5774e-05    -5.46045e-05
    -0.000409642     -0.00057004
     -2.1292e-05    -3.88346e-05
     -1.4392e-05    -2.24069e-05
     -5.9103e-05    -7.15756e-05
     -4.1884e-05    -6.92311e-05
    -0.000314019    -0.000326091
     -5.2857e-05    -5.12954e-05
     -4.5074e-05    -6.09854e-05
     -0.00012027    -0.000103343
    -0.000572062    -0.000610927
     -5.4507e-05    -4.76703e-05
     -5.0214e-05    -8.01122e-05
     -0.00129823     -0.00154552
    -0.000139776    -0.000222169
     -0.00071269    -0.000571781
     -0.00130803     -0.00100787
    -0.000465612    -0.000661187
     -7.8764e-05    -8.23762e-05
    -0.000185403    -0.000196101
    -0.000681014    -0.000584904
     -0.00157415     -0.00152065
     -1.1898e-05    -1.79087e-05
     -0.00019776    -0.000222228
    -0.000346412    -0.000426685
     -1.3916e-05    -1.67957e-05
     -2.6715e-05    -2.46623e-05
     -1.0437e-05    -1.12642e-05
     -1.9778e-05    -2.58003e-05
     -1.8405e-05    -2.47098e-05
    -0.000828824    -0.000904649
    -0.000365186     -0.00054374
     -8.8422e-05    -9.83192e-05
      -7.052e-05    -7.35867e-05
     -0.00253539      -0.0027025
    -0.000236928     -0.00018906
     -0.00142557      -0.0013704
    -0.000122929    -0.000109562
     -0.00126426     -0.00127269
    -0.000333095    -0.000259171
      -9.508e-06    -1.51526e-05
     -0.00196956     -0.00167774
     -8.7438e-05     -9.9062e-05
     -0.00124015     -0.00143731
     -9.3941e-05    -0.000125116
     -4.5373e-05    -4.00412e-05
     -2.0632e-05    -2.95301e-05
     -2.2707e-05    -2.30561e-05
     -1.2614e-05    -1.37462e-05
    -0.000315622    -0.000337667
     -0.00046693    -0.000411555
    -0.000504527    -0.000445454
    -0.000300116     -0.00034573
    -0.000779801     -0.00102316
      -0.0001702    -0.000159461
    -0.000155735    -0.000142086
     -0.00108864     -0.00108146
     -4.7704e-05    -3.80469e-05
    -0.000244137    -0.000217698
    -0.000132602    -0.000141402
    -0.000725138    -0.000618981
      -0.0013855     -0.00136791
    -0.000368557    -0.000301234
     -3.2226e-05    -3.63817e-05
    -0.000373198    -0.000280905
     -0.00029023    -0.000245921
     -9.9839e-05    -9.22171e-05
    -0.000206778    -0.000220789
    -0.000315686    -0.000284508
    -0.000108162    -9.94801e-05
     -4.4265e-05    -5.84228e-05
     -6.8066e-05    -7.30822e-05
    -0.000416875    -0.000431329
     -0.00114577     -0.00106314
     -0.00022514    -0.000224066
    -0.000269652    -0.000356448
     -0.00223985     -0.00213345
      -3.745e-05    -3.23885e-05
     -0.00250314     -0.00281565
     -4.6515e-05     -5.9074e-05
    -0.000235948    -0.000239296
     -6.6875e-05    -6.14992e-05
    -0.000109451    -0.000126567
     -1.8837e-05    -2.19699e-05
      -3.534e-05    -3.78707e-05
    -0.000170904    -0.000217602
    -0.000115815    -0.000109027
     -0.00208913     -0.00197819
     -1.7576e-05    -2.44693e-05
     -7.8456e-05     -0.00010143
    -0.000663238    -0.000603735
     -4.0115e-05    -6.31718e-05
    -0.000482367    -0.000367188
    -0.000926253    -0.000841714
     -3.5992e-05    -3.76129e-05
     -0.00015301     -0.00013124
     -8.0574e-05    -8.09201e-05
     -1.6449e-05    -1.47488e-05
    -0.000840102    -0.000735771
     -1.6308e-05    -1.33068e-05
      -0.0015002     -0.00379137
    -0.000409498    -0.000394868
    -0.000146556    -0.000197238
     -2.5013e-05    -3.51928e-05
    -0.000711137    -0.000639467
     -3.3112e-05    -3.41159e-05
    -0.000148788    -0.000116718
    -0.000455884    -0.000468297
     -0.00178139     -0.00198802
    -0.000452773    -0.000551008
     -7.6261e-05    -7.41937e-05
     -8.0346e-05    -6.39003e-05
     -1.7292e-05    -2.21635e-05
    -0.000603586    -0.000592526
    -0.000178143    -0.000231869
     -0.00031822    -0.000269845
    -0.000350353    -0.000290896
     -0.00198312     -0.00181891
     -5.1569e-05    -4.49312e-05
     -3.8846e-05    -5.07457e-05
      -3.276e-05    -4.00508e-05
     -0.00240221     -0.00234398
    -0.000179763    -0.000167955
     -2.6896e-05    -3.62218e-05
    -0.000295452    -0.000324049
    -0.000889248    -0.000836757
     -2.5341e-05    -1.81747e-05
