QM Energy	FF Energy
     -4.1603e-05    -3.07263e-05
     -9.5271e-05    -8.81739e-05
    -0.000243853     -0.00018497
     -7.6022e-05    -5.75126e-05
      -4.716e-05    -4.76377e-05
     -7.0683e-05    -5.09409e-05
    -0.000517058     -0.00056176
     -0.00155856     -0.00161343
    -0.000117392    -9.07379e-05
    -0.000567035    -0.000505713
     -0.00014105    -0.000122302
     -0.00141863     -0.00117586
    -0.000293281    -0.000270334
    -0.000167313    -0.000101508
     -7.3616e-05    -6.16199e-05
    -0.000466117    -0.000451734
    -0.000120646    -0.000123891
     -6.0389e-05    -5.22174e-05
    -0.000200887    -0.000185432
    -0.000380688    -0.000401554
    -0.000243868    -0.000215871
    -0.000951709    -0.000774479
     -6.8004e-05    -4.69253e-05
     -9.5945e-05    -9.20222e-05
      -9.368e-05    -8.86954e-05
    -0.000522227    -0.000431937
     -7.0274e-05    -5.78205e-05
     -4.9255e-05    -3.87913e-05
     -8.5728e-05    -8.35895e-05
    -0.000129626     -0.00011138
     -5.0043e-05    -3.86174e-05
    -0.000231253    -0.000169961
    -0.000176686    -0.000137303
    -0.000121614    -0.000109871
    -0.000305749    -0.000299274
    -0.000165355    -0.000178569
    -0.000112756    -8.82858e-05
    -0.000854658    -0.000745145
    -0.000262574    -0.000210653
      -7.806e-05    -6.94419e-05
    -0.000106982    -0.000106459
     -4.8929e-05    -3.72369e-05
    -0.000212289    -0.000222762
     -0.00107586     -0.00118684
    -0.000412979    -0.000320553
     -6.7758e-05    -5.71895e-05
     -4.5212e-05    -3.15103e-05
    -0.000765072      -0.0008143
    -0.000283128    -0.000240168
     -6.2173e-05    -6.05796e-05
    -0.000495296    -0.000572534
    -0.000257333    -0.000224888
     -8.4418e-05    -7.05251e-05
     -9.4176e-05    -7.56721e-05
    -0.000140676    -0.000123297
     -5.4125e-05    -4.38961e-05
       -5.68e-05     -5.2212e-05
     -8.3836e-05     -6.4945e-05
    -0.000235682    -0.000165454
     -4.5061e-05    -3.72467e-05
     -7.3662e-05    -5.52275e-05
     -6.8796e-05    -6.18949e-05
     -3.8579e-05    -3.18794e-05
     -0.00107281      -0.0012925
     -3.9697e-05    -3.44996e-05
     -0.00086856    -0.000854352
    -0.000219879    -0.000181562
