QM Energy	FF Energy
     -4.1603e-05    -4.95861e-05
     -9.5271e-05     -0.00011551
    -0.000243853    -0.000208218
     -7.6022e-05    -7.15001e-05
      -4.716e-05    -9.68185e-05
     -7.0683e-05    -6.56028e-05
    -0.000517058    -0.000606977
     -0.00155856     -0.00152748
    -0.000117392    -9.84396e-05
    -0.000567035    -0.000560266
     -0.00014105    -0.000127506
     -0.00141863     -0.00145289
    -0.000293281    -0.000299673
    -0.000167313     -0.00010725
     -7.3616e-05    -8.62296e-05
    -0.000466117    -0.000529597
    -0.000120646    -0.000165737
     -6.0389e-05    -7.39457e-05
    -0.000200887    -0.000221599
    -0.000380688      -0.0004449
    -0.000243868    -0.000229273
    -0.000951709    -0.000884205
     -6.8004e-05    -5.51619e-05
     -9.5945e-05     -7.9567e-05
      -9.368e-05     -0.00010678
    -0.000522227    -0.000457803
     -7.0274e-05    -7.93135e-05
     -4.9255e-05    -5.30808e-05
     -8.5728e-05    -9.82574e-05
    -0.000129626    -0.000158009
     -5.0043e-05    -6.36927e-05
    -0.000231253    -0.000178929
    -0.000176686    -0.000150785
    -0.000121614    -0.000164112
    -0.000305749    -0.000317063
    -0.000165355    -0.000246513
    -0.000112756    -0.000123731
    -0.000854658    -0.000981204
    -0.000262574      -0.0003337
      -7.806e-05    -8.63089e-05
    -0.000106982    -0.000112127
     -4.8929e-05    -5.14306e-05
    -0.000212289     -0.00020384
     -0.00107586     -0.00113834
    -0.000412979    -0.000331664
     -6.7758e-05    -6.30192e-05
     -4.5212e-05    -4.40345e-05
    -0.000765072    -0.000825833
    -0.000283128    -0.000265912
     -6.2173e-05    -6.51599e-05
    -0.000495296    -0.000677626
    -0.000257333    -0.000247178
     -8.4418e-05    -8.54587e-05
     -9.4176e-05    -0.000102329
    -0.000140676    -0.000132909
     -5.4125e-05    -5.40102e-05
       -5.68e-05    -5.83613e-05
     -8.3836e-05    -8.07234e-05
    -0.000235682    -0.000180721
     -4.5061e-05    -5.27869e-05
     -7.3662e-05    -6.46523e-05
     -6.8796e-05    -6.71934e-05
     -3.8579e-05    -5.13748e-05
     -0.00107281     -0.00119087
     -3.9697e-05    -4.24721e-05
     -0.00086856    -0.000864448
    -0.000219879    -0.000194687
    -0.000936304    -0.000953163
    -0.000445773    -0.000448398
       -7.81e-05    -6.97578e-05
    -0.000272627    -0.000287652
     -7.8428e-05    -6.71712e-05
     -0.00124776      -0.0012036
     -0.00069582    -0.000940577
    -0.000246791    -0.000370707
    -0.000657602    -0.000733352
     -6.8602e-05    -0.000129644
    -0.000594504    -0.000647203
    -0.000444575    -0.000523249
     -3.6015e-05    -4.45179e-05
     -6.1714e-05    -6.82866e-05
     -8.5601e-05    -8.31595e-05
      -3.436e-05    -4.10665e-05
    -0.000168257    -0.000226671
     -0.00037672    -0.000339912
    -0.000144732    -0.000142931
    -0.000765694    -0.000702297
     -7.2975e-05    -5.97294e-05
     -4.1193e-05    -3.92386e-05
    -0.000184259    -0.000186763
    -0.000636407    -0.000780764
    -0.000267426    -0.000310235
    -0.000738083     -0.00086847
    -0.000453576    -0.000379078
    -0.000343144    -0.000391112
    -0.000458874    -0.000408094
    -0.000744089    -0.000940545
    -0.000116871    -0.000103787
    -0.000148773    -0.000151985
    -0.000317368     -0.00028292
    -0.000233148    -0.000211582
     -5.5347e-05    -6.94168e-05
    -0.000323662    -0.000399584
    -0.000849223    -0.000779791
    -0.000386709    -0.000428513
       -6.41e-05    -5.97088e-05
     -4.0984e-05    -5.26719e-05
    -0.000831975    -0.000795996
     -2.6869e-05    -4.64638e-05
    -0.000749081    -0.000884756
    -0.000351981    -0.000533813
        -2.8e-05     -4.8418e-05
      -0.0017382     -0.00162234
    -0.000128215    -0.000132795
    -0.000316229    -0.000341047
     -6.4626e-05    -7.31768e-05
     -0.00031417    -0.000300689
     -9.7359e-05    -9.11003e-05
     -6.8839e-05    -7.87718e-05
      -0.0007579    -0.000715051
     -3.6788e-05    -4.19758e-05
     -0.00107579      -0.0010974
        -0.00082    -0.000945173
     -0.00190393     -0.00171255
    -0.000172975    -0.000167642
    -0.000880881     -0.00104228
      -5.775e-05     -5.0962e-05
    -0.000233328    -0.000235902
     -0.00104912     -0.00117889
    -0.000897382    -0.000980059
     -8.1592e-05    -9.07767e-05
    -0.000249462    -0.000235137
     -8.5008e-05    -8.87078e-05
    -0.000281558    -0.000258328
     -1.5608e-05    -6.70888e-05
    -0.000330268    -0.000296502
     -3.8819e-05    -8.98037e-05
    -0.000250081    -0.000281979
    -0.000703533    -0.000726093
    -0.000346675    -0.000369058
    -0.000333594    -0.000329754
      -9.852e-05     -8.9892e-05
     -8.7244e-05    -6.79693e-05
    -0.000666912     -0.00090185
    -0.000182727    -0.000251926
    -0.000168042    -0.000165955
    -0.000228912    -0.000419212
     -0.00138537     -0.00135944
    -0.000795809    -0.000967736
    -0.000472577    -0.000600911
    -0.000336076    -0.000354698
    -0.000516921     -0.00051739
     -8.8458e-05    -8.03062e-05
    -0.000418689    -0.000449104
     -5.2584e-05    -5.92879e-05
     -3.4065e-05    -3.96665e-05
      -7.645e-05    -9.50072e-05
    -0.000103053    -0.000100484
     -0.00022392    -0.000266318
    -0.000230337    -0.000208874
    -0.000124633    -0.000139297
    -0.000140157    -0.000136862
    -0.000383044    -0.000484247
     -8.3831e-05    -7.26615e-05
     -8.1955e-05    -0.000107712
     -0.00106133     -0.00106056
    -0.000211362    -0.000193751
     -0.00047938    -0.000560277
    -0.000698976    -0.000971415
    -0.000440898    -0.000506438
     -8.0129e-05    -0.000114783
    -0.000223639    -0.000237831
    -0.000662115    -0.000665758
    -0.000508037    -0.000641463
     -4.6706e-05    -4.34946e-05
    -0.000227351    -0.000232732
     -0.00034006    -0.000351471
    -0.000111141    -8.73742e-05
    -0.000102143    -7.74079e-05
     -3.1265e-05    -3.25513e-05
     -4.3902e-05    -4.77619e-05
     -5.6624e-05     -6.1467e-05
    -0.000580276    -0.000642673
    -0.000425784    -0.000398011
     -8.6967e-05    -0.000109201
    -0.000204459    -0.000188904
     -0.00121723    -0.000944553
     -9.3616e-05    -0.000168607
    -0.000986905     -0.00108114
     -7.2419e-05    -0.000117269
     -0.00062116    -0.000810602
    -0.000420044    -0.000421745
     -3.4247e-05    -2.80723e-05
     -0.00136069     -0.00137722
     -0.00015044     -0.00015474
    -0.000963818     -0.00107547
    -0.000137265    -0.000179057
     -4.8623e-05    -6.91326e-05
     -6.4095e-05    -5.91724e-05
    -0.000102185    -0.000104285
     -4.0342e-05    -3.34572e-05
    -0.000353038    -0.000413021
    -0.000235452    -0.000317385
    -0.000622118    -0.000640354
    -0.000281652    -0.000283853
    -0.000719101     -0.00067421
    -0.000372547    -0.000308447
    -0.000353659    -0.000349468
    -0.000802001    -0.000889393
     -9.0144e-05    -8.01738e-05
    -0.000239559    -0.000209059
    -0.000196816    -0.000223542
    -0.000598869    -0.000626163
    -0.000959867     -0.00100259
    -0.000280157    -0.000280781
    -0.000175108    -0.000131956
    -0.000330271    -0.000334422
    -0.000395187    -0.000338588
     -7.6902e-05    -0.000113479
