QM Energy	FF Energy
     -4.1603e-05    -3.38389e-05
     -9.5271e-05      -9.727e-05
    -0.000243853    -0.000196041
     -7.6022e-05    -6.19757e-05
      -4.716e-05    -5.74351e-05
     -7.0683e-05    -5.59779e-05
    -0.000517058    -0.000580857
     -0.00155856     -0.00163218
    -0.000117392    -9.16238e-05
    -0.000567035    -0.000576379
     -0.00014105     -0.00012285
     -0.00141863     -0.00132531
    -0.000293281     -0.00028109
    -0.000167313    -0.000102933
     -7.3616e-05    -5.37841e-05
    -0.000466117    -0.000519559
    -0.000120646    -0.000139431
     -6.0389e-05    -5.87119e-05
    -0.000200887    -0.000190447
    -0.000380688    -0.000411326
    -0.000243868    -0.000218976
    -0.000951709     -0.00089728
     -6.8004e-05    -4.96972e-05
     -9.5945e-05    -8.58073e-05
      -9.368e-05     -9.7165e-05
    -0.000522227     -0.00044666
     -7.0274e-05    -6.17662e-05
     -4.9255e-05    -4.33168e-05
     -8.5728e-05    -8.94715e-05
    -0.000129626    -0.000124546
     -5.0043e-05    -4.35169e-05
    -0.000231253     -0.00017903
    -0.000176686    -0.000138807
    -0.000121614    -0.000127806
    -0.000305749    -0.000307551
    -0.000165355    -0.000199706
    -0.000112756     -9.7454e-05
    -0.000854658     -0.00086969
    -0.000262574     -0.00025562
      -7.806e-05    -7.07037e-05
    -0.000106982    -0.000100068
     -4.8929e-05    -4.06948e-05
    -0.000212289    -0.000187795
     -0.00107586     -0.00121072
    -0.000412979    -0.000328939
     -6.7758e-05    -6.01835e-05
     -4.5212e-05     -3.3457e-05
    -0.000765072    -0.000810563
    -0.000283128    -0.000266326
     -6.2173e-05    -5.36534e-05
    -0.000495296    -0.000624861
    -0.000257333    -0.000245684
     -8.4418e-05    -7.82078e-05
     -9.4176e-05     -8.5201e-05
    -0.000140676    -0.000124006
     -5.4125e-05    -4.54611e-05
       -5.68e-05    -4.86727e-05
     -8.3836e-05    -7.25987e-05
    -0.000235682    -0.000173114
     -4.5061e-05    -3.82693e-05
     -7.3662e-05    -5.94358e-05
     -6.8796e-05    -6.62417e-05
     -3.8579e-05    -3.47166e-05
     -0.00107281     -0.00129675
     -3.9697e-05    -3.32198e-05
     -0.00086856    -0.000866518
    -0.000219879    -0.000184929
    -0.000936304    -0.000953345
    -0.000445773    -0.000422827
       -7.81e-05    -7.04287e-05
    -0.000272627    -0.000262986
     -7.8428e-05    -6.00993e-05
     -0.00124776     -0.00128961
     -0.00069582    -0.000835402
    -0.000246791    -0.000295379
    -0.000657602    -0.000722275
