QM Energy	FF Energy
     -1.5194e-05    -1.93397e-05
     -1.1179e-05    -1.79506e-05
    -0.000892522    -0.000819075
     -0.00113967     -0.00115756
     -0.00130652     -0.00125332
     -8.4184e-05    -8.91223e-05
    -0.000869233    -0.000749738
     -4.5652e-05    -4.83678e-05
    -0.000374312    -0.000353096
     -2.6889e-05    -2.84086e-05
     -0.00106074     -0.00107632
    -0.000997614    -0.000819217
    -0.000622291    -0.000695105
    -0.000235122    -0.000239301
     -0.00100718      -0.0009562
    -0.000300309    -0.000282152
      -0.0010322     -0.00119493
     -2.7495e-05    -3.55496e-05
     -2.3342e-05     -2.9335e-05
      -7.195e-06    -1.21744e-05
     -0.00173429     -0.00178948
    -0.000600614    -0.000528148
    -0.000823903    -0.000705497
    -0.000266383    -0.000260628
     -3.1235e-05    -4.25644e-05
    -0.000382054    -0.000408474
    -0.000115447    -0.000110717
     -0.00073494    -0.000604781
    -0.000353191    -0.000381877
    -0.000281066    -0.000285274
     -0.00102793      -0.0010519
     -4.0093e-05    -4.48524e-05
    -0.000336554     -0.00029695
    -0.000250012     -0.00023368
     -4.8495e-05    -5.37124e-05
     -6.0644e-05    -5.76059e-05
     -0.00157628     -0.00156566
     -1.1279e-05    -2.03579e-05
    -0.000390706    -0.000413453
     -1.9133e-05    -2.60721e-05
     -2.6366e-05    -2.48308e-05
    -0.000601238    -0.000578236
    -0.000662809    -0.000674459
     -5.0802e-05    -6.58106e-05
    -0.000805978    -0.000844792
     -1.6796e-05     -2.0806e-05
     -7.3568e-05    -6.75585e-05
     -9.1487e-05    -9.28825e-05
     -0.00140272     -0.00148747
    -0.000732355    -0.000663109
     -1.4637e-05    -2.63253e-05
     -3.7663e-05    -4.22014e-05
    -0.000398784    -0.000373241
     -2.3463e-05    -2.98738e-05
     -1.6702e-05    -3.37612e-05
    -0.000198352    -0.000193382
     -9.8847e-05    -8.91187e-05
      -8.351e-06    -1.24098e-05
     -0.00104711     -0.00103272
      -1.445e-05    -2.27486e-05
    -0.000779262    -0.000794151
      -8.874e-06    -8.87982e-06
     -0.00132682       -0.001254
      -7.779e-06    -1.53782e-05
    -0.000490357    -0.000413943
     -1.0238e-05    -1.36832e-05
     -4.6777e-05    -6.02623e-05
    -0.000375676    -0.000273125
     -0.00190017     -0.00272953
    -0.000184557    -0.000191301
     -0.00032993    -0.000332648
     -1.5817e-05    -2.65886e-05
     -4.0929e-05    -4.32889e-05
     -1.1171e-05    -1.13156e-05
     -2.1954e-05     -3.3729e-05
     -1.3799e-05     -2.4762e-05
       -4.61e-05    -4.41422e-05
     -1.3448e-05    -1.31894e-05
     -2.2168e-05    -3.75944e-05
    -0.000184872    -0.000187574
    -0.000348093    -0.000334439
     -5.5952e-05    -5.87683e-05
    -0.000899868    -0.000871729
     -0.00123195     -0.00117384
     -7.3251e-05    -7.17022e-05
     -1.1178e-05     -1.2862e-05
      -7.258e-06    -8.22106e-06
      -5.648e-06    -1.05821e-05
    -0.000835966    -0.000776799
      -2.545e-05    -3.20804e-05
      -3.517e-05    -4.07867e-05
