QM Energy	FF Energy
     -5.8486e-05    -6.27404e-05
      -3.085e-05    -3.25947e-05
     -8.3124e-05    -6.88177e-05
     -7.9586e-05    -6.60035e-05
     -6.7852e-05    -7.25602e-05
     -0.00101111     -0.00112352
     -2.9146e-05    -3.49555e-05
     -3.5799e-05    -5.09458e-05
     -1.2483e-05    -1.41927e-05
     -7.2548e-05     -0.00013333
     -6.3239e-05    -8.13481e-05
    -0.000144377    -0.000170922
     -1.6809e-05    -2.74718e-05
     -0.00153569     -0.00162475
     -8.6033e-05    -0.000112494
     -5.5675e-05    -5.93203e-05
      -2.692e-05    -3.54648e-05
      -7.696e-06    -1.32566e-05
     -9.1669e-05    -0.000162764
    -0.000235583    -0.000241018
     -2.1011e-05    -3.37231e-05
     -1.0798e-05    -1.67782e-05
     -1.2897e-05    -1.63672e-05
     -3.1559e-05    -4.77801e-05
     -0.00125905     -0.00106214
     -1.8975e-05    -2.02834e-05
    -0.000221442    -0.000263484
     -4.5025e-05    -5.02955e-05
    -0.000137552    -0.000123513
    -0.000204141    -0.000242135
    -0.000824288    -0.000812375
     -0.00027852    -0.000177955
     -5.8423e-05    -6.75268e-05
      -3.274e-05    -3.36104e-05
     -2.7368e-05     -3.8221e-05
     -3.3391e-05    -4.35814e-05
    -0.000617691    -0.000624886
    -0.000158829    -0.000171078
     -1.9137e-05    -1.64334e-05
    -0.000601842    -0.000619647
     -7.1567e-05    -0.000139249
    -0.000552272    -0.000553501
    -0.000251483    -0.000303329
     -1.1516e-05    -1.66685e-05
     -6.3745e-05     -4.8748e-05
     -2.8535e-05      -5.411e-05
     -2.4361e-05    -3.96617e-05
     -9.1603e-05    -8.54624e-05
     -0.00120837     -0.00134225
     -1.3568e-05    -1.81556e-05
     -0.00106367     -0.00121531
      -7.564e-06    -1.82806e-05
    -0.000716685    -0.000750154
    -0.000330729    -0.000443112
      -3.322e-05    -2.66474e-05
     -0.00055212    -0.000484742
    -0.000610172    -0.000429353
     -6.0543e-05    -6.42595e-05
    -0.000197916    -0.000194991
     -0.00011829    -0.000134046
    -0.000300399    -0.000374555
     -0.00191026     -0.00193359
    -0.000462822    -0.000493829
     -1.4991e-05    -2.50784e-05
    -0.000560697    -0.000530957
     -9.1344e-05    -0.000130143
     -3.4597e-05    -3.65969e-05
    -0.000279294    -0.000295221
          -9e-06    -1.54126e-05
     -0.00138098     -0.00120635
     -2.4819e-05    -2.28411e-05
     -1.3114e-05    -2.02152e-05
     -8.4268e-05     -0.00011473
      -7.466e-06      -1.354e-05
    -0.000479417    -0.000523214
     -0.00013111     -0.00023117
     -1.7398e-05    -2.42865e-05
     -1.6322e-05    -1.99455e-05
     -8.5037e-05    -0.000114781
      -9.124e-06    -1.50754e-05
    -0.000595553    -0.000549284
     -6.1839e-05    -7.77563e-05
    -0.000704145    -0.000701906
      -5.777e-06    -9.94791e-06
     -0.00039922    -0.000461567
    -0.000169206    -0.000212231
    -0.000265697    -0.000287377
    -0.000763394    -0.000714307
     -1.1244e-05    -1.32982e-05
    -0.000245373     -0.00027251
     -6.8192e-05    -9.30895e-05
      -8.545e-06    -2.07766e-05
