QM Energy	FF Energy
     -0.00142774     -0.00135499
     -0.00109129     -0.00102524
     -0.00169609     -0.00174231
     -0.00163024     -0.00170489
     -0.00126585     -0.00123769
     -0.00705624     -0.00843483
    -0.000841569    -0.000606439
      -0.0011668     -0.00110791
    -0.000676565    -0.000685583
     -0.00123144     -0.00118587
     -0.00148524     -0.00149307
     -0.00206289     -0.00186955
    -0.000818058    -0.000777938
     -0.00648982     -0.00736659
     -0.00132225     -0.00119841
     -0.00137281     -0.00142545
    -0.000848583    -0.000794278
    -0.000546419    -0.000528619
     -0.00154229      -0.0015961
      -0.0024573     -0.00223798
    -0.000737446    -0.000828136
    -0.000472221    -0.000443284
    -0.000838991      -0.0006604
     -0.00103107     -0.00106146
     -0.00571526     -0.00572389
    -0.000653873    -0.000593123
     -0.00209223     -0.00159853
    -0.000995384    -0.000952454
      -0.0022899     -0.00214414
     -0.00241934     -0.00267156
     -0.00625647     -0.00580803
     -0.00253043     -0.00229483
      -0.0011458     -0.00109275
    -0.000998195    -0.000971376
    -0.000977921    -0.000925997
     -0.00107317    -0.000960333
      -0.0046313      -0.0049901
     -0.00274321     -0.00275188
    -0.000505841    -0.000443227
     -0.00405351     -0.00357406
     -0.00143619     -0.00152681
     -0.00348189     -0.00323505
     -0.00375264     -0.00443129
    -0.000534206    -0.000563391
      -0.0014101      -0.0011418
     -0.00105451     -0.00103603
     -0.00115006     -0.00129531
     -0.00193638     -0.00164978
     -0.00834158     -0.00874443
    -0.000837389    -0.000839455
     -0.00625269      -0.0073194
    -0.000455037      -0.0004428
      -0.0033015     -0.00241996
     -0.00314439     -0.00267061
    -0.000963878    -0.000875079
      -0.0043085     -0.00456672
     -0.00368757     -0.00339765
     -0.00127106     -0.00123194
     -0.00227168     -0.00260026
     -0.00172745     -0.00187288
     -0.00353518     -0.00423838
     -0.00812838      -0.0100466
     -0.00383856     -0.00374457
    -0.000845979    -0.000939392
     -0.00456819     -0.00524841
     -0.00159805     -0.00193896
     -0.00084808    -0.000731214
     -0.00233559     -0.00187201
    -0.000429235    -0.000486566
     -0.00599437      -0.0056299
    -0.000987508     -0.00077049
     -0.00080492    -0.000747116
     -0.00165552     -0.00179523
    -0.000428657    -0.000420121
     -0.00406827     -0.00354561
     -0.00212588     -0.00261335
     -0.00100435    -0.000964666
    -0.000730514    -0.000689791
     -0.00142135     -0.00171709
     -0.00067927    -0.000745818
     -0.00367051     -0.00300545
     -0.00143616      -0.0012359
     -0.00481698     -0.00457546
    -0.000567075    -0.000564785
     -0.00414805     -0.00537993
     -0.00155467     -0.00127807
     -0.00182261     -0.00140857
     -0.00409143     -0.00366749
    -0.000554462    -0.000514402
     -0.00249979      -0.0021073
     -0.00150897     -0.00179337
    -0.000510403    -0.000569789
    -0.000996047     -0.00101985
     -0.00103933     -0.00101748
     -0.00125667      -0.0010354
      -0.0012148     -0.00101923
     -0.00114459      -0.0009847
     -0.00396059     -0.00368754
     -0.00576919     -0.00537142
     -0.00969631       -0.010964
    -0.000489305    -0.000514568
     -0.00170333     -0.00142885
     -0.00163202     -0.00158178
     -0.00203462     -0.00177569
     -0.00103515    -0.000932877
     -0.00317388     -0.00299427
     -0.00271823     -0.00256504
    -0.000637223    -0.000744601
     -0.00089212     -0.00100804
     -0.00390426     -0.00338545
     -0.00168156     -0.00155677
     -0.00159945     -0.00193105
    -0.000504937    -0.000534742
    -0.000731965    -0.000755898
     -0.00115108     -0.00107595
     -0.00239427      -0.0019532
      -0.0118842      -0.0134758
     -0.00101305     -0.00091761
    -0.000938255    -0.000903584
    -0.000571016    -0.000504651
     -0.00552637     -0.00516979
    -0.000718221    -0.000666548
     -0.00336388     -0.00349004
     -0.00760276     -0.00726653
      -0.0011168    -0.000912154
      -0.0019308     -0.00193934
     -0.00260453     -0.00278528
     -0.00186247     -0.00181476
     -0.00103756    -0.000941242
    -0.000965487     -0.00108016
    -0.000587826    -0.000637314
     -0.00146748     -0.00124535
     -0.00739575     -0.00738947
     -0.00677657     -0.00719809
    -0.000989649    -0.000816529
    -0.000807793    -0.000836625
     -0.00128452     -0.00149386
     -0.00192916     -0.00205622
    -0.000648829    -0.000700124
    -0.000696361      -0.0007186
     -0.00274008      -0.0027495
    -0.000783529    -0.000847113
     -0.00303705      -0.0034972
     -0.00149913     -0.00135301
     -0.00560122     -0.00542094
    -0.000634355    -0.000688672
    -0.000775854    -0.000789133
    -0.000622751    -0.000491888
     -0.00378357     -0.00310173
     -0.00101097     -0.00107884
    -0.000826527    -0.000815643
     -0.00218887     -0.00193436
     -0.00216445     -0.00174081
     -0.00309505     -0.00377112
     -0.00341627     -0.00440184
     -0.00536966     -0.00646319
     -0.00147903     -0.00162399
     -0.00587376     -0.00518102
     -0.00265861     -0.00305026
     -0.00424077     -0.00558057
    -0.000891895    -0.000841664
     -0.00148689     -0.00146703
     -0.00735409     -0.00678771
     -0.00147273     -0.00168055
     -0.00140681     -0.00161721
     -0.00116367      -0.0012407
    -0.000899997    -0.000896968
     -0.00455706     -0.00423522
     -0.00117955     -0.00112399
    -0.000825073    -0.000911032
     -0.00132732      -0.0015323
    -0.000828471    -0.000804772
     -0.00402817      -0.0046639
    -0.000766216    -0.000882302
     -0.00547111     -0.00601684
    -0.000747676    -0.000784663
    -0.000948215    -0.000920923
      -0.0019697     -0.00259943
     -0.00180105     -0.00182646
    -0.000530013    -0.000549839
     -0.00134133     -0.00107561
     -0.00122733     -0.00112308
     -0.00277435     -0.00271379
     -0.00132547     -0.00142711
     -0.00363357     -0.00398671
     -0.00642066     -0.00493652
     -0.00150635     -0.00137823
     -0.00173667     -0.00171267
     -0.00506371     -0.00424412
     -0.00144461     -0.00149902
     -0.00238846     -0.00211818
     -0.00289624     -0.00361843
     -0.00290235     -0.00340888
    -0.000820141    -0.000814254
    -0.000982473     -0.00100204
     -0.00136561     -0.00125976
     -0.00173839     -0.00201212
    -0.000933105    -0.000871316
     -0.00088639    -0.000942525
     -0.00117021     -0.00113023
     -0.00785162      -0.0080944
     -0.00139686     -0.00127109
     -0.00221501     -0.00210616
     -0.00659415      -0.0061342
     -0.00281665     -0.00236876
    -0.000746824    -0.000743465
     -0.00118984     -0.00104962
     -0.00185527     -0.00192354
     -0.00969513      -0.0127502
     -0.00115092     -0.00109799
     -0.00262045      -0.0032067
     -0.00127664     -0.00138378
    -0.000717354    -0.000724949
    -0.000459278    -0.000453086
     -0.00309825     -0.00254613
     -0.00186699     -0.00179252
    -0.000766789    -0.000804695
     -0.00213178     -0.00226234
     -0.00484176     -0.00655568
     -0.00205103     -0.00175856
     -0.00291926     -0.00298001
    -0.000988389    -0.000740112
    -0.000700212    -0.000737985
     -0.00899875      -0.0100424
     -0.00156145     -0.00156904
     -0.00103432    -0.000936214
     -0.00192995      -0.0018589
     -0.00847248     -0.00972992
    -0.000552116    -0.000594247
     -0.00515735     -0.00555938
     -0.00483993     -0.00551126
    -0.000718603    -0.000706484
     -0.00228001     -0.00216361
     -0.00322178      -0.0030291
    -0.000686103    -0.000688489
     -0.00392291     -0.00396312
     -0.00233258     -0.00195311
    -0.000589356    -0.000642497
    -0.000980224     -0.00117681
     -0.00585791     -0.00580057
    -0.000661426    -0.000552471
      -0.0039991     -0.00430834
     -0.00083157     -0.00096811
     -0.00218227      -0.0021392
     -0.00792578     -0.00847092
    -0.000588719    -0.000560757
     -0.00217369     -0.00217981
     -0.00114789     -0.00101408
     -0.00540766     -0.00428961
     -0.00285342     -0.00277477
     -0.00407359     -0.00422843
    -0.000666648    -0.000738335
     -0.00371463     -0.00309404
     -0.00153044     -0.00163303
     -0.00365337     -0.00344475
    -0.000603422     -0.00056371
    -0.000626058    -0.000533749
     -0.00061419    -0.000467859
     -0.00143788     -0.00153152
     -0.00258714     -0.00300088
     -0.00442058     -0.00447903
     -0.00302486     -0.00345861
     -0.00268586     -0.00261883
     -0.00105154     -0.00102327
     -0.00245269     -0.00201051
     -0.00147846     -0.00161294
     -0.00149482     -0.00141712
     -0.00151656     -0.00141741
     -0.00104066      -0.0011436
     -0.00448453      -0.0045058
     -0.00358276     -0.00379873
     -0.00121392     -0.00125335
     -0.00183113     -0.00170323
     -0.00121533      -0.0011937
     -0.00581215     -0.00607244
     -0.00285087     -0.00291539
     -0.00310207     -0.00345574
    -0.000693652    -0.000695373
     -0.00268537     -0.00264255
      -0.0023842     -0.00272402
    -0.000955973     -0.00086932
     -0.00538773      -0.0041654
     -0.00412923     -0.00465723
     -0.00141067     -0.00121326
     -0.00522176     -0.00460179
    -0.000654883    -0.000645642
     -0.00453155     -0.00409445
     -0.00172681     -0.00194342
     -0.00163252      -0.0016223
