QM Energy	FF Energy
    -0.000115503    -0.000121375
    -0.000136449    -0.000116388
     -0.00036325    -0.000435825
    -0.000232092     -0.00022775
    -0.000143143    -0.000192408
    -0.000922767     -0.00139133
    -0.000246672    -0.000216555
    -0.000110212     -0.00016244
    -0.000106131    -7.98463e-05
    -0.000313914    -0.000302314
    -0.000157779    -0.000177112
    -0.000339382    -0.000342747
    -0.000128201     -0.00013105
      -0.0012898     -0.00205992
    -0.000332406    -0.000344847
    -0.000224626    -0.000248382
    -0.000132683    -0.000133707
     -7.1535e-05    -6.90112e-05
    -0.000437189    -0.000359819
    -0.000557612    -0.000535629
    -0.000146909    -0.000141467
    -0.000109735    -9.01058e-05
    -0.000168602    -0.000128612
    -0.000140227     -0.00016058
    -0.000952446     -0.00149653
     -7.4966e-05    -6.59124e-05
    -0.000490974    -0.000590475
    -0.000112142     -0.00012063
    -0.000377626    -0.000405057
    -0.000324741    -0.000592619
    -0.000909652     -0.00124136
    -0.000537696    -0.000655773
    -0.000263371    -0.000220569
    -0.000235165    -0.000275679
    -0.000136931    -0.000145584
    -0.000154322    -0.000201654
    -0.000485341    -0.000754049
     -0.00035654    -0.000342778
     -0.00013801    -0.000115411
    -0.000867744    -0.000825395
    -0.000366697    -0.000296148
    -0.000644396    -0.000560587
     -0.00055536    -0.000604536
     -6.7356e-05    -6.22101e-05
    -0.000324844    -0.000265133
    -0.000175758    -0.000205734
    -0.000153187    -0.000212293
    -0.000354006    -0.000324207
     -0.00121913      -0.0013071
     -9.0782e-05    -9.28769e-05
     -0.00109242     -0.00165721
      -9.241e-05    -8.30136e-05
      -0.0013005     -0.00108376
    -0.000529302    -0.000717884
    -0.000194102    -0.000186618
    -0.000793376    -0.000777335
    -0.000669089    -0.000851466
    -0.000256724    -0.000231634
    -0.000306511    -0.000308183
    -0.000350683    -0.000296898
    -0.000567718    -0.000618592
     -0.00171441     -0.00221456
    -0.000805967    -0.000726278
    -0.000113975    -0.000173234
    -0.000478409    -0.000786518
    -0.000313872    -0.000304545
     -0.00019805    -0.000200928
    -0.000497911    -0.000490464
     -8.6971e-05    -8.01574e-05
      -0.0020855     -0.00188333
    -0.000199385    -0.000140745
     -9.9451e-05    -0.000155151
     -0.00025902     -0.00041032
     -5.6342e-05    -6.21041e-05
    -0.000905003     -0.00104572
    -0.000366815    -0.000375374
     -9.7441e-05    -0.000100745
     -7.2735e-05    -7.84255e-05
    -0.000277269    -0.000264223
     -7.4229e-05    -0.000102539
    -0.000929761    -0.000808853
    -0.000226531    -0.000293361
    -0.000594476    -0.000634787
    -0.000104422    -0.000113169
    -0.000632419    -0.000602375
     -0.00040437    -0.000418943
     -0.00058094    -0.000506573
    -0.000481552    -0.000410466
     -6.5368e-05    -6.58112e-05
    -0.000467458    -0.000469885
    -0.000272942    -0.000357767
     -6.5563e-05    -6.48024e-05
    -0.000139099    -0.000113507
    -0.000103287    -0.000114207
    -0.000283084    -0.000240585
     -0.00029609     -0.00028382
    -0.000254808    -0.000234097
    -0.000409323    -0.000481769
    -0.000994628      -0.0014788
      -0.0012198     -0.00143542
      -9.844e-05    -0.000164495
    -0.000450249    -0.000401445
    -0.000199927    -0.000200735
     -0.00028272    -0.000368684
    -0.000173195    -0.000201497
    -0.000662829     -0.00058543
    -0.000429077    -0.000382368
    -0.000100972    -0.000107126
    -0.000198476    -0.000191848
     -0.00139663      -0.0014921
    -0.000164769    -0.000164745
    -0.000255624    -0.000230981
      -5.866e-05    -5.98433e-05
    -0.000119301    -0.000137864
    -0.000177149    -0.000175837
    -0.000674471    -0.000632275
     -0.00193612     -0.00164704
     -9.5648e-05    -0.000145424
    -0.000176971    -0.000139425
     -6.8828e-05    -8.94934e-05
       -0.001286     -0.00104656
    -0.000113793    -0.000131167
    -0.000546361    -0.000491116
     -0.00132847     -0.00154048
    -0.000274657    -0.000226078
    -0.000174653    -0.000217957
    -0.000327807    -0.000318017
    -0.000318691    -0.000276476
     -8.7678e-05    -0.000140756
    -0.000127669    -0.000196936
     -6.2765e-05    -8.23674e-05
    -0.000220753    -0.000330822
     -0.00172902     -0.00159778
     -0.00121978     -0.00148842
    -0.000242451    -0.000209687
    -0.000104062    -0.000114911
    -0.000205588    -0.000315434
    -0.000307449    -0.000272247
     -8.1637e-05    -0.000121277
     -7.1358e-05    -7.58489e-05
    -0.000324802    -0.000339651
    -0.000124375    -0.000181905
    -0.000645137    -0.000655943
    -0.000567186    -0.000460326
     -0.00115562      -0.0010517
     -9.6675e-05    -0.000103633
     -9.6343e-05    -0.000114122
    -0.000184015    -0.000159943
    -0.000751327    -0.000803009
    -0.000209018    -0.000253236
    -0.000109609    -0.000118405
    -0.000504373    -0.000569637
    -0.000556276    -0.000667474
    -0.000605621    -0.000441329
    -0.000704056    -0.000620917
    -0.000634452    -0.000727129
     -0.00019969    -0.000190455
     -0.00106728     -0.00158349
    -0.000543746    -0.000420253
    -0.000706943     -0.00089252
    -0.000177658    -0.000183972
     -0.00014879    -0.000146545
     -0.00164485     -0.00156536
    -0.000229218    -0.000282148
     -0.00030691    -0.000285926
    -0.000178882    -0.000154932
     -9.4362e-05    -0.000128069
    -0.000653624    -0.000711799
    -0.000112339    -0.000135399
    -0.000168385    -0.000163783
    -0.000237964    -0.000342448
     -9.8213e-05    -0.000108216
    -0.000526657     -0.00080435
    -0.000112647    -0.000127732
     -0.00115944    -0.000873189
    -0.000123955    -0.000218478
    -0.000207318    -0.000165264
    -0.000392418    -0.000344402
    -0.000278322    -0.000258469
     -7.2515e-05    -5.56263e-05
    -0.000332353     -0.00031277
     -0.00019635    -0.000192243
    -0.000667754    -0.000579197
    -0.000174549    -0.000286503
    -0.000926423    -0.000857406
     -0.00205132      -0.0020722
    -0.000156717    -0.000178186
    -0.000331842    -0.000327451
     -0.00117194    -0.000947324
    -0.000240304    -0.000220431
    -0.000273967    -0.000370224
    -0.000581001    -0.000471274
    -0.000529778     -0.00045231
     -8.5349e-05    -9.03258e-05
    -0.000129594     -0.00010311
    -0.000191675    -0.000197549
    -0.000373227    -0.000372742
    -0.000193509    -0.000193916
    -0.000159207    -0.000171592
    -0.000211724    -0.000242396
     -0.00147208     -0.00117851
    -0.000166923    -0.000257251
    -0.000339178    -0.000312205
     -0.00109433     -0.00167087
    -0.000741051    -0.000726424
     -9.3626e-05    -9.86053e-05
    -0.000212756    -0.000162174
    -0.000309819    -0.000357776
     -0.00150779     -0.00160178
    -0.000117874    -0.000137959
    -0.000462002    -0.000429881
    -0.000151095    -0.000194913
     -9.0696e-05    -6.96803e-05
    -0.000104711    -8.38937e-05
    -0.000726785    -0.000638779
    -0.000287378    -0.000232946
     -9.6103e-05    -0.000112633
    -0.000299225    -0.000228389
     -0.00132339    -0.000778417
    -0.000461662    -0.000478931
    -0.000485012    -0.000529107
    -0.000218719    -0.000147046
    -0.000110485    -0.000131215
     -0.00102351     -0.00136227
    -0.000227903    -0.000261505
     -0.00018905    -0.000210625
    -0.000199368    -0.000197701
     -0.00171422     -0.00198857
     -7.4397e-05     -8.0232e-05
    -0.000554461    -0.000852854
     -0.00110668    -0.000946139
     -9.1176e-05    -9.97834e-05
      -0.0005064    -0.000449255
      -0.0005414    -0.000639918
    -0.000129076    -0.000124251
    -0.000354526    -0.000491478
    -0.000577351    -0.000466013
    -0.000109363    -0.000145788
    -0.000132301    -0.000164125
     -0.00128806     -0.00137505
    -0.000110517    -7.74718e-05
    -0.000627481    -0.000569946
    -0.000154629     -0.00015407
    -0.000450365    -0.000611036
     -0.00139401     -0.00125918
     -8.5299e-05    -0.000105218
    -0.000263559    -0.000281348
    -0.000236596    -0.000203969
      -0.0023776     -0.00184887
    -0.000397006    -0.000413116
    -0.000897201    -0.000926897
    -0.000108313    -0.000107282
     -0.00140533     -0.00117851
     -0.00020662    -0.000238014
    -0.000365167     -0.00037249
    -0.000106229    -0.000129763
     -4.0885e-05    -5.83044e-05
    -0.000218081    -0.000168771
       -0.000231    -0.000198914
    -0.000409726    -0.000422181
    -0.000837433    -0.000919168
    -0.000520936    -0.000404903
    -0.000410802    -0.000433122
    -0.000157269    -0.000170626
    -0.000565412    -0.000608811
    -0.000222017    -0.000302079
    -0.000187641    -0.000184247
    -0.000162414    -0.000243289
    -0.000161832    -0.000229588
    -0.000484366    -0.000424007
    -0.000662839     -0.00103592
    -0.000167228    -0.000106076
    -0.000230696     -0.00023753
    -0.000282573    -0.000369515
     -0.00119657     -0.00138149
    -0.000330624    -0.000341303
    -0.000356949    -0.000394196
    -0.000103452    -0.000114975
    -0.000619064    -0.000617993
    -0.000459928    -0.000252345
    -0.000122733    -8.82684e-05
     -0.00175939     -0.00149442
    -0.000604716    -0.000918459
    -0.000192031    -0.000298298
     -0.00140543     -0.00141976
     -0.00012972    -0.000137581
      -0.0010727    -0.000847784
    -0.000230694    -0.000303488
     -0.00013288    -0.000162464
    -0.000357305    -0.000443364
    -0.000108944    -0.000111224
     -0.00160353     -0.00142354
     -9.0153e-05    -0.000141818
    -0.000503703     -0.00048708
    -0.000159723    -0.000203657
     -0.00024891    -0.000292135
    -0.000107162    -0.000171715
    -0.000613301     -0.00074168
    -0.000348284    -0.000331749
    -0.000166085    -0.000119989
    -0.000613968    -0.000672565
    -0.000210167    -0.000207387
     -7.0289e-05    -0.000103647
     -0.00237671     -0.00204211
    -0.000738675    -0.000898681
     -0.00197849     -0.00255459
     -7.3708e-05    -6.26689e-05
    -0.000128149    -9.59524e-05
     -0.00016559     -0.00017355
    -0.000133094    -0.000120991
    -0.000134529    -9.28907e-05
      -0.0015503     -0.00147408
     -0.00263245     -0.00256004
    -0.000149704    -0.000168621
    -0.000685272    -0.000652022
    -0.000107793    -9.09413e-05
     -0.00122354     -0.00149609
     -0.00122417     -0.00152644
      -5.414e-05    -5.14527e-05
    -0.000748663     -0.00139723
     -8.8667e-05    -0.000102783
    -0.000109053    -0.000104459
    -0.000184463    -0.000138047
    -0.000500223    -0.000527965
    -0.000365915    -0.000409272
     -0.00011205    -0.000152314
    -0.000113644    -0.000164904
    -0.000443404     -0.00064892
    -0.000958316    -0.000837238
     -0.00119283     -0.00130516
    -0.000709449    -0.000647341
    -0.000244197    -0.000235347
    -0.000658535    -0.000597649
    -0.000740277    -0.000729007
    -0.000234237    -0.000236861
    -0.000119257    -0.000191007
    -0.000922247    -0.000776698
     -0.00150602     -0.00170628
    -0.000663783    -0.000974516
     -0.00138243     -0.00125066
    -0.000231568    -0.000241837
     -0.00167517     -0.00149688
    -0.000377816    -0.000423129
    -0.000767822    -0.000824658
     -0.00111591     -0.00114913
    -0.000537806     -0.00062157
    -0.000758439    -0.000856191
      -0.0006111    -0.000584843
     -0.00133597     -0.00132197
     -7.1604e-05    -5.62362e-05
     -9.3499e-05    -9.64016e-05
      -0.0014518     -0.00155141
    -0.000186063    -0.000194134
    -0.000109086     -0.00011122
    -0.000149278    -0.000187993
    -0.000104161    -0.000144816
    -0.000512328    -0.000523223
    -0.000120567     -0.00010956
    -0.000981037     -0.00127355
     -0.00100457     -0.00132855
    -0.000762279    -0.000527028
    -0.000134459    -0.000147718
    -0.000103681    -0.000140053
     -8.8675e-05    -8.05254e-05
    -0.000442759    -0.000417265
    -0.000908853    -0.000516926
     -0.00041114    -0.000345147
     -0.00193604     -0.00181254
    -0.000269537    -0.000226446
    -0.000164431    -0.000166634
    -0.000284269    -0.000245792
    -0.000464547    -0.000507203
      -0.0017437     -0.00163762
      -0.0002324    -0.000317526
     -0.00013132    -8.88619e-05
    -0.000710983    -0.000790268
    -0.000165193    -0.000220621
    -0.000137898     -0.00016519
    -0.000965547    -0.000678151
    -0.000937351    -0.000902719
    -0.000230926    -0.000241702
    -0.000122096     -0.00011055
    -0.000231772    -0.000245653
    -0.000788475     -0.00124166
    -0.000203379     -0.00022003
      -0.0012362     -0.00124136
     -6.5585e-05    -6.57729e-05
     -0.00185423     -0.00143543
    -0.000217677    -0.000216979
    -0.000293871    -0.000344444
    -0.000366173     -0.00029474
    -0.000111013    -0.000108068
     -0.00107854     -0.00147872
     -7.2986e-05    -8.67928e-05
    -0.000211867    -0.000214144
    -0.000574961    -0.000566586
    -0.000325403    -0.000376187
    -0.000811162    -0.000708364
    -0.000480974    -0.000421708
     -8.4785e-05    -8.73309e-05
     -9.7844e-05    -0.000169839
     -0.00028319    -0.000336076
    -0.000418966    -0.000423945
     -0.00013196    -0.000129011
     -0.00189468     -0.00219264
    -0.000163307    -0.000143258
     -0.00142883     -0.00211842
    -0.000285724    -0.000270187
    -0.000984927    -0.000937714
     -0.00176905     -0.00153028
    -0.000479953    -0.000316876
    -0.000649073    -0.000511748
    -0.000108711    -0.000148607
     -9.1375e-05    -9.32854e-05
    -0.000615886    -0.000739345
     -8.3326e-05    -8.29446e-05
    -0.000665836    -0.000639839
    -0.000274132    -0.000282472
    -0.000185686    -0.000157235
    -0.000319888    -0.000255924
    -0.000715021    -0.000862128
    -0.000252281     -0.00016343
     -8.3352e-05    -6.72591e-05
      -0.0011489     -0.00120459
     -8.4812e-05    -8.37201e-05
     -0.00100689     -0.00116755
     -0.00107771     -0.00096312
    -0.000710571    -0.000928158
    -0.000129093    -0.000124962
    -0.000144211    -0.000106895
    -0.000114075    -0.000131557
    -0.000102812    -0.000118425
    -0.000967961    -0.000691054
    -0.000285966    -0.000225673
    -0.000702585    -0.000771115
    -0.000175946    -0.000164392
     -0.00010904    -9.20051e-05
    -0.000403007    -0.000508639
     -8.9782e-05    -8.43915e-05
    -0.000106974    -0.000106863
    -0.000115897     -0.00015218
    -0.000689224    -0.000833546
    -0.000234926     -0.00030472
     -0.00140112     -0.00134706
    -0.000406693    -0.000357642
    -0.000111261    -0.000135501
    -0.000101678    -0.000149558
     -6.8414e-05    -5.55709e-05
    -0.000285789    -0.000261496
    -0.000388099    -0.000281871
     -7.0393e-05    -6.54658e-05
     -0.00100595     -0.00151125
    -0.000329313    -0.000253943
     -0.00023522    -0.000198194
    -0.000639614    -0.000542762
    -0.000674321    -0.000616979
     -0.00044495    -0.000797234
    -0.000306713      -0.0002993
    -0.000106171    -0.000101353
    -0.000159401    -0.000202574
    -0.000376296    -0.000391519
    -0.000385044    -0.000287851
    -0.000222009    -0.000252425
     -8.5748e-05    -6.40401e-05
    -0.000155767     -0.00012212
    -0.000191411     -0.00026937
      -0.0011398     -0.00100493
    -0.000340435    -0.000304049
    -0.000166652    -0.000177215
    -0.000293509    -0.000212575
    -0.000183243    -0.000195889
     -0.00142672     -0.00193841
    -0.000687385    -0.000585583
    -0.000151165    -0.000131538
     -0.00143831     -0.00110389
    -0.000333087    -0.000303289
    -0.000184906       -0.000188
    -0.000102319    -0.000116453
     -8.7868e-05    -0.000112075
    -0.000484986    -0.000461938
    -0.000572262    -0.000510757
    -0.000154888    -0.000186577
    -0.000117279    -0.000120751
    -0.000227066    -0.000215864
    -0.000432332    -0.000374039
     -7.1362e-05    -7.06615e-05
    -0.000803307    -0.000674338
    -0.000182895    -0.000144826
     -0.00151215      -0.0015488
    -0.000287863    -0.000288416
    -0.000748906    -0.000654347
    -0.000217809    -0.000213689
    -0.000666491    -0.000668707
     -9.5973e-05    -0.000102384
     -0.00120606     -0.00091546
     -0.00128899     -0.00143374
     -9.4718e-05     -0.00010687
     -0.00177469     -0.00161793
     -0.00103117       -0.001033
    -0.000509043    -0.000597992
    -0.000257281    -0.000245215
