QM Energy	FF Energy
     -5.8486e-05    -6.56242e-05
      -3.085e-05    -3.41054e-05
     -8.3124e-05    -6.66674e-05
     -7.9586e-05    -7.21894e-05
     -6.7852e-05    -7.52116e-05
     -0.00101111     -0.00117647
     -2.9146e-05    -3.53184e-05
     -3.5799e-05    -4.84356e-05
     -1.2483e-05     -1.3348e-05
     -7.2548e-05    -0.000114602
     -6.3239e-05    -8.52455e-05
    -0.000144377    -0.000164028
     -1.6809e-05    -1.88797e-05
     -0.00153569     -0.00147596
     -8.6033e-05    -0.000108152
     -5.5675e-05     -5.8222e-05
      -2.692e-05    -3.63541e-05
      -7.696e-06    -8.17865e-06
     -9.1669e-05     -0.00016084
    -0.000235583    -0.000230466
     -2.1011e-05    -2.82737e-05
     -1.0798e-05     -1.5311e-05
     -1.2897e-05    -1.84057e-05
     -3.1559e-05    -3.35996e-05
     -0.00125905     -0.00112627
     -1.8975e-05     -2.1927e-05
    -0.000221442     -0.00024744
     -4.5025e-05    -5.25313e-05
    -0.000137552    -0.000136308
    -0.000204141    -0.000236036
    -0.000824288    -0.000843391
     -0.00027852    -0.000196785
     -5.8423e-05    -6.49926e-05
      -3.274e-05     -3.4925e-05
     -2.7368e-05    -3.83499e-05
     -3.3391e-05    -4.26573e-05
    -0.000617691    -0.000615158
    -0.000158829     -0.00017594
     -1.9137e-05    -1.64388e-05
    -0.000601842    -0.000592345
     -7.1567e-05    -0.000119872
    -0.000552272    -0.000519862
    -0.000251483    -0.000306951
     -1.1516e-05     -1.1547e-05
     -6.3745e-05    -5.74492e-05
     -2.8535e-05    -3.47877e-05
     -2.4361e-05    -4.00412e-05
     -9.1603e-05    -9.29699e-05
     -0.00120837     -0.00124105
     -1.3568e-05    -1.88535e-05
     -0.00106367     -0.00113569
      -7.564e-06    -1.23584e-05
    -0.000716685    -0.000793851
    -0.000330729    -0.000387552
      -3.322e-05    -3.11829e-05
     -0.00055212    -0.000505381
    -0.000610172    -0.000470022
     -6.0543e-05    -6.25632e-05
    -0.000197916    -0.000188489
     -0.00011829    -0.000126016
    -0.000300399    -0.000349956
     -0.00191026     -0.00200973
    -0.000462822    -0.000474843
     -1.4991e-05    -2.62876e-05
    -0.000560697    -0.000529322
     -9.1344e-05    -0.000112237
     -3.4597e-05    -3.43856e-05
    -0.000279294    -0.000285314
          -9e-06    -1.09224e-05
     -0.00138098      -0.0011642
     -2.4819e-05    -2.63532e-05
     -1.3114e-05     -1.9523e-05
     -8.4268e-05    -0.000114456
      -7.466e-06    -1.33656e-05
    -0.000479417    -0.000494697
     -0.00013111    -0.000193251
     -1.7398e-05    -2.65469e-05
     -1.6322e-05    -2.10763e-05
     -8.5037e-05    -9.61524e-05
      -9.124e-06    -1.61669e-05
    -0.000595553    -0.000553981
     -6.1839e-05    -7.57548e-05
    -0.000704145    -0.000666933
      -5.777e-06    -9.94747e-06
     -0.00039922    -0.000460218
    -0.000169206    -0.000209871
    -0.000265697    -0.000297475
    -0.000763394    -0.000695116
     -1.1244e-05    -1.45101e-05
    -0.000245373    -0.000259613
     -6.8192e-05    -9.07599e-05
      -8.545e-06    -1.33572e-05
     -3.3641e-05        -3.2e-05
     -2.9593e-05    -3.83657e-05
     -6.0467e-05    -5.48995e-05
     -5.4346e-05    -5.29566e-05
     -4.9558e-05    -5.07576e-05
    -0.000483605    -0.000451226
     -0.00125311     -0.00114037
     -0.00145314     -0.00150578
      -5.318e-06    -1.13871e-05
    -0.000180529    -0.000206932
     -6.3335e-05    -7.95655e-05
    -0.000108794    -0.000123625
     -3.6107e-05     -4.3135e-05
    -0.000416085    -0.000435045
    -0.000216042    -0.000186346
     -1.4586e-05    -1.98512e-05
      -4.216e-05    -4.84148e-05
    -0.000720961     -0.00085893
    -0.000111032    -0.000123447
    -0.000125179    -0.000136263
      -7.961e-06    -8.24221e-06
     -1.4109e-05    -1.51546e-05
      -4.044e-05    -4.84997e-05
    -0.000341217    -0.000381311
     -0.00182726     -0.00227184
     -2.5934e-05    -3.55955e-05
     -2.9441e-05     -3.7372e-05
      -9.943e-06    -1.30198e-05
     -0.00129622     -0.00120649
     -1.4679e-05    -2.17909e-05
    -0.000240643    -0.000273961
     -0.00101011    -0.000914502
     -4.3026e-05    -3.87544e-05
     -7.4265e-05     -8.2379e-05
    -0.000156322    -0.000169269
    -0.000112882     -9.8002e-05
     -2.5379e-05     -3.5922e-05
     -2.3096e-05    -3.56621e-05
      -9.645e-06    -1.76199e-05
     -6.0865e-05    -8.38024e-05
     -0.00135519     -0.00122231
    -0.000979316    -0.000984421
     -2.7389e-05    -2.47031e-05
     -2.3799e-05    -4.16991e-05
     -3.9034e-05     -6.2055e-05
     -7.6885e-05    -0.000103868
     -1.0117e-05    -1.61961e-05
      -7.488e-06     -1.1211e-05
    -0.000165815    -0.000176528
      -9.504e-06    -1.88062e-05
     -0.00021729    -0.000301624
    -0.000151046    -0.000250396
     -0.00143644     -0.00136009
      -9.043e-06    -1.34668e-05
     -1.8171e-05    -2.74878e-05
     -2.9162e-05    -3.25288e-05
