QM Energy	FF Energy
     -0.00142774     -0.00136524
     -0.00109129     -0.00104331
     -0.00169609     -0.00172487
     -0.00163024     -0.00162925
     -0.00126585     -0.00125345
     -0.00705624     -0.00766126
    -0.000841569     -0.00066828
      -0.0011668     -0.00116941
    -0.000676565    -0.000635841
     -0.00123144     -0.00112971
     -0.00148524     -0.00145321
     -0.00206289     -0.00193183
    -0.000818058    -0.000734706
     -0.00648982     -0.00718351
     -0.00132225     -0.00117023
     -0.00137281     -0.00136143
    -0.000848583    -0.000838985
    -0.000546419    -0.000498448
     -0.00154229     -0.00154211
      -0.0024573     -0.00235361
    -0.000737446    -0.000737038
    -0.000472221    -0.000448511
    -0.000838991    -0.000696383
     -0.00103107    -0.000998671
     -0.00571526     -0.00564551
    -0.000653873    -0.000607844
     -0.00209223     -0.00172568
    -0.000995384    -0.000976613
      -0.0022899     -0.00208578
     -0.00241934     -0.00259752
     -0.00625647     -0.00586169
     -0.00253043     -0.00234147
      -0.0011458     -0.00116363
    -0.000998195    -0.000927353
    -0.000977921    -0.000970296
     -0.00107317     -0.00101891
      -0.0046313     -0.00478778
     -0.00274321     -0.00266213
    -0.000505841    -0.000470769
     -0.00405351     -0.00359732
     -0.00143619     -0.00143541
     -0.00348189     -0.00333963
     -0.00375264     -0.00412619
    -0.000534206    -0.000505635
      -0.0014101      -0.0011821
     -0.00105451    -0.000961905
     -0.00115006     -0.00121982
     -0.00193638     -0.00168852
     -0.00834158     -0.00858605
    -0.000837389    -0.000784388
     -0.00625269     -0.00716107
    -0.000455037    -0.000421292
      -0.0033015     -0.00252859
     -0.00314439     -0.00286083
    -0.000963878    -0.000877494
      -0.0043085     -0.00407354
     -0.00368757     -0.00342574
     -0.00127106     -0.00124652
     -0.00227168     -0.00226212
     -0.00172745     -0.00170998
     -0.00353518     -0.00388873
     -0.00812838     -0.00899881
     -0.00383856     -0.00384559
    -0.000845979    -0.000905046
     -0.00456819      -0.0049882
     -0.00159805     -0.00171694
     -0.00084808    -0.000750486
     -0.00233559     -0.00196788
    -0.000429235    -0.000427427
     -0.00599437     -0.00538535
    -0.000987508    -0.000807838
     -0.00080492    -0.000792248
     -0.00165552     -0.00177336
    -0.000428657    -0.000451623
     -0.00406827     -0.00368384
     -0.00212588     -0.00231303
     -0.00100435      -0.0009566
    -0.000730514    -0.000725225
     -0.00142135      -0.0014793
     -0.00067927    -0.000739936
     -0.00367051     -0.00307102
     -0.00143616     -0.00131525
     -0.00481698      -0.0046197
    -0.000567075    -0.000528894
     -0.00414805      -0.0048291
     -0.00155467     -0.00138373
     -0.00182261     -0.00151133
     -0.00409143     -0.00378561
    -0.000554462    -0.000517261
     -0.00249979     -0.00217514
     -0.00150897     -0.00158903
    -0.000510403    -0.000519654
    -0.000996047    -0.000910725
     -0.00103933     -0.00103097
     -0.00125667     -0.00107573
      -0.0012148     -0.00101825
     -0.00114459     -0.00105596
     -0.00396059     -0.00370264
     -0.00576919     -0.00539786
     -0.00969631      -0.0100518
    -0.000489305    -0.000513495
     -0.00170333     -0.00150882
     -0.00163202      -0.0015571
     -0.00203462     -0.00186161
     -0.00103515    -0.000986471
     -0.00317388     -0.00305076
     -0.00271823     -0.00250757
    -0.000637223    -0.000664199
     -0.00089212    -0.000865187
     -0.00390426      -0.0032566
     -0.00168156     -0.00161906
     -0.00159945     -0.00164664
    -0.000504937    -0.000486756
    -0.000731965    -0.000691443
     -0.00115108     -0.00104381
     -0.00239427     -0.00206062
      -0.0118842      -0.0122515
     -0.00101305    -0.000970704
    -0.000938255    -0.000903363
    -0.000571016    -0.000538789
     -0.00552637     -0.00535175
    -0.000718221     -0.00070664
     -0.00336388     -0.00331877
     -0.00760276     -0.00683686
      -0.0011168    -0.000916707
      -0.0019308     -0.00178377
     -0.00260453     -0.00259325
     -0.00186247     -0.00173246
     -0.00103756    -0.000996394
    -0.000965487     -0.00104901
    -0.000587826    -0.000661222
     -0.00146748     -0.00134139
     -0.00739575     -0.00707238
     -0.00677657     -0.00703172
    -0.000989649    -0.000829817
    -0.000807793    -0.000877478
     -0.00128452     -0.00145335
     -0.00192916     -0.00203492
    -0.000648829    -0.000681444
    -0.000696361    -0.000693289
     -0.00274008     -0.00253886
    -0.000783529    -0.000826258
     -0.00303705     -0.00335512
