QM Energy	FF Energy
     -0.00181478     -0.00188392
     -0.00315372     -0.00281517
     -0.00050081    -0.000433777
     -0.00103099     -0.00104351
     -0.00225899     -0.00222772
    -0.000711659    -0.000686642
     -0.00114064     -0.00103101
    -0.000695859    -0.000671693
    -0.000939339    -0.000836302
     -0.00278193     -0.00238497
    -0.000811344    -0.000736976
    -0.000510333    -0.000503529
     -0.00384332     -0.00360231
      -0.0043163     -0.00425769
     -0.00929056      -0.0102249
     -0.00233088     -0.00235831
     -0.00399979     -0.00402511
    -0.000713773    -0.000706033
    -0.000509413    -0.000467773
     -0.00178729     -0.00193849
    -0.000584931    -0.000534066
    -0.000363604    -0.000391828
     -0.00072017    -0.000760289
     -0.00460692     -0.00507275
     -0.00439564     -0.00472398
     -0.00130375      -0.0012244
    -0.000918104    -0.000856633
     -0.00413524     -0.00447222
     -0.00110671     -0.00116272
    -0.000957389     -0.00099119
    -0.000635994    -0.000641732
     -0.00570105     -0.00568272
     -0.00127691     -0.00108683
    -0.000810438    -0.000932089
    -0.000602787    -0.000601143
     -0.00666241     -0.00549979
     -0.00246654     -0.00211345
    -0.000868291    -0.000837545
     -0.00064866      -0.0006232
      -0.0037378     -0.00302505
     -0.00104782      -0.0010581
     -0.00470344     -0.00491352
     -0.00105595     -0.00105084
    -0.000792405    -0.000665378
    -0.000648101    -0.000683161
      -0.0014841     -0.00168819
     -0.00307076     -0.00266126
     -0.00343848     -0.00381191
     -0.00926553     -0.00891583
     -0.00241202     -0.00233401
     -0.00366205     -0.00339229
     -0.00559918     -0.00520861
     -0.00187274     -0.00206563
     -0.00183922     -0.00174261
    -0.000691714    -0.000702236
    -0.000621512    -0.000542619
     -0.00177127     -0.00182722
    -0.000786972    -0.000770703
     -0.00268454     -0.00228815
     -0.00407034     -0.00444075
    -0.000628923    -0.000582618
     -0.00535253     -0.00506597
      -0.0015501     -0.00143795
     -0.00172725     -0.00169767
     -0.00142307     -0.00145789
     -0.00445101     -0.00437015
    -0.000656961    -0.000743373
    -0.000294955    -0.000293824
     -0.00378568      -0.0036219
      -0.0031109     -0.00305011
    -0.000406337    -0.000456701
    -0.000393558    -0.000395588
    -0.000785697    -0.000728005
      -0.0075593     -0.00677768
     -0.00222577     -0.00201424
    -0.000570496    -0.000510468
     -0.00122643     -0.00110547
