QM Energy	FF Energy
    -0.000143633    -0.000150881
    -0.000338725    -0.000306595
     -4.7434e-05    -5.97105e-05
    -0.000105085    -0.000115829
    -0.000310191    -0.000353572
    -0.000270503    -0.000278898
      -7.464e-06    -9.73639e-06
    -0.000383243    -0.000413986
     -0.00017632    -0.000177199
      -1.352e-05    -1.63093e-05
     -1.3762e-05    -1.75489e-05
     -6.2706e-05    -6.00687e-05
     -0.00014646    -0.000165681
     -7.5447e-05    -7.01297e-05
    -0.000359848    -0.000430096
      -9.398e-05    -9.03562e-05
    -0.000759373    -0.000890171
    -0.000198385    -0.000200378
     -1.9671e-05    -2.32272e-05
    -0.000108876    -0.000108344
    -0.000649593    -0.000778336
     -1.9724e-05    -1.83164e-05
    -0.000116049    -0.000130857
    -0.000258565    -0.000275685
      -6.217e-06    -7.57391e-06
     -1.1772e-05    -1.54247e-05
    -0.000121929    -0.000114777
    -0.000507622    -0.000584182
    -0.000262045    -0.000327024
    -0.000113138    -9.60833e-05
       -2.23e-05    -3.02006e-05
    -0.000119986    -0.000122873
    -0.000750206    -0.000689479
      -4.989e-05    -4.15332e-05
      -4.123e-05    -3.76788e-05
    -0.000115041    -0.000139532
    -0.000171347    -0.000188611
    -0.000126341    -0.000139291
     -2.9406e-05    -3.37053e-05
    -0.000287969    -0.000325434
    -0.000116766     -0.00010466
    -0.000171819    -0.000169952
     -0.00118348     -0.00122262
     -9.8522e-05    -9.56358e-05
     -0.00119928     -0.00134043
     -0.00123518     -0.00096581
    -0.000100255    -8.99732e-05
     -4.5992e-05    -4.02883e-05
    -0.000871318      -0.0010007
     -1.1254e-05    -1.24657e-05
    -0.000474135     -0.00063532
     -4.5574e-05      -6.547e-05
    -0.000361224    -0.000396978
    -0.000280512    -0.000322747
      -4.476e-05    -4.15079e-05
    -0.000147776    -0.000131471
     -8.5192e-05    -0.000100741
    -0.000172785    -0.000182608
    -0.000241158    -0.000217468
     -0.00169936     -0.00151311
    -0.000582086    -0.000697537
    -0.000409063     -0.00045236
     -7.7861e-05    -7.78961e-05
    -0.000135164    -0.000150008
     -2.5082e-05    -2.22443e-05
    -0.000143781     -0.00013713
    -0.000850811     -0.00106087
    -0.000117908    -0.000120262
    -0.000199481    -0.000242341
    -0.000408853    -0.000380549
    -0.000219095    -0.000201111
     -0.00014739    -0.000155122
    -0.000176341     -0.00017849
     -4.1542e-05    -4.08718e-05
     -7.4738e-05    -6.73895e-05
     -1.4885e-05    -1.98105e-05
     -1.7239e-05    -2.05576e-05
     -0.00113512     -0.00139592
      -0.0011303     -0.00111448
     -3.9698e-05    -4.71441e-05
    -0.000664941    -0.000839767
    -0.000777723    -0.000838996
     -6.0406e-05    -5.80141e-05
     -0.00170985     -0.00144205
     -5.6649e-05    -5.10167e-05
    -0.000132857    -0.000131085
     -9.0373e-05    -7.99751e-05
    -0.000238863    -0.000245847
     -0.00039311    -0.000524425
    -0.000140102    -0.000136359
    -0.000919959     -0.00109258
     -9.6995e-05    -8.69661e-05
    -0.000246634     -0.00028599
      -3.973e-05    -3.89651e-05
    -0.000104933    -9.48455e-05
    -0.000929168    -0.000848136
    -0.000106501    -0.000108879
     -0.00017388    -0.000190806
    -0.000339941    -0.000293826
     -6.2704e-05    -5.80965e-05
    -0.000723314     -0.00080722
     -0.00106327      -0.0010391
    -0.000118199    -0.000117364
    -0.000493262    -0.000582937
     -7.3896e-05    -7.17895e-05
    -0.000328759    -0.000324415
     -6.5544e-05     -6.2221e-05
     -0.00069949    -0.000866236
     -1.4726e-05    -1.82412e-05
      -0.0002477    -0.000269063
     -4.1264e-05     -4.0227e-05
    -0.000167254    -0.000150682
      -2.904e-05    -3.17753e-05
     -4.8126e-05     -5.0765e-05
    -0.000159086    -0.000159034
    -0.000138661    -0.000185807
    -0.000163505    -0.000158457
    -0.000176187    -0.000173535
     -6.5896e-05    -6.29615e-05
     -3.5736e-05    -3.81311e-05
     -2.9484e-05    -3.31147e-05
    -0.000134277     -0.00012618
      -2.371e-05    -3.57687e-05
    -0.000602653    -0.000766911
      -9.164e-06    -1.11154e-05
    -0.000100781     -0.00010069
     -4.6115e-05    -4.59956e-05
     -8.0046e-05    -7.33644e-05
     -9.4361e-05    -8.98817e-05
    -0.000547814    -0.000680841
    -0.000511533    -0.000614269
     -4.4353e-05    -4.48792e-05
     -2.5619e-05    -2.54398e-05
       -8.92e-05    -8.23898e-05
    -0.000781009     -0.00087525
     -1.8002e-05    -1.74153e-05
     -2.8622e-05    -3.20752e-05
     -8.2007e-05    -7.91722e-05
    -0.000110983    -0.000183978
    -0.000811399     -0.00104346
     -7.0104e-05    -6.36294e-05
     -0.00149516     -0.00153245
     -7.9719e-05    -7.64027e-05
    -0.000269333    -0.000293088
     -0.00124913    -0.000955938
    -0.000272772    -0.000319069
    -0.000517055     -0.00048836
    -0.000927636     -0.00089176
    -0.000447344    -0.000606351
     -9.5792e-05    -9.43344e-05
     -5.4736e-05    -5.34083e-05
    -0.000575146    -0.000732748
