QM Energy	FF Energy
     -0.00019875    -0.000220974
     -0.00078264    -0.000752949
     -9.8561e-05    -0.000112507
    -0.000229823    -0.000256045
     -0.00030586    -0.000288861
     -8.9257e-05    -0.000103132
      -6.093e-06    -7.57165e-06
    -0.000348208    -0.000332226
    -0.000271617    -0.000299765
      -9.655e-06    -1.20883e-05
     -2.0979e-05    -2.45317e-05
     -1.7153e-05    -1.69733e-05
    -0.000146357    -0.000167883
     -9.1349e-05    -0.000111689
    -0.000932587    -0.000955171
     -1.6656e-05    -2.13841e-05
    -0.000882818    -0.000769518
    -0.000135044    -0.000139229
      -3.934e-05    -4.29092e-05
     -3.7707e-05    -4.66502e-05
     -0.00090843    -0.000853863
     -1.7484e-05    -2.25627e-05
     -9.4693e-05    -0.000105296
    -0.000192098    -0.000164434
      -6.181e-06     -7.4088e-06
     -1.5795e-05    -1.79281e-05
     -2.8891e-05     -3.4378e-05
     -0.00137044     -0.00124588
     -0.00022435    -0.000238917
      -2.147e-05    -2.51385e-05
     -2.2246e-05    -2.57857e-05
     -2.7909e-05    -3.25382e-05
     -0.00109752     -0.00111834
      -3.469e-06    -3.97343e-06
      -2.447e-06    -3.84349e-06
     -7.4303e-05    -7.91165e-05
    -0.000179869    -0.000189781
     -8.5507e-05    -9.11491e-05
     -4.8263e-05    -5.95894e-05
    -0.000337265     -0.00032114
     -2.4443e-05    -2.53702e-05
     -5.3496e-05    -5.69005e-05
     -0.00164382     -0.00155587
     -3.0216e-05    -2.90326e-05
     -0.00081424    -0.000816404
     -0.00204438     -0.00202624
     -2.8176e-05    -2.90694e-05
     -1.2876e-05    -1.39018e-05
     -0.00120794     -0.00131171
     -1.5764e-05     -1.7878e-05
    -0.000709934    -0.000674788
    -0.000136248    -0.000137905
    -0.000254378    -0.000242211
    -0.000199912    -0.000204002
     -6.5278e-05    -7.40777e-05
    -0.000158201    -0.000181459
     -4.5225e-05    -5.46172e-05
    -0.000128635    -0.000120953
    -0.000458362    -0.000479837
     -0.00146668     -0.00137803
     -0.00083776    -0.000764154
    -0.000356194    -0.000332506
    -0.000124469    -0.000133912
     -9.3233e-05    -0.000102713
     -3.4186e-05    -3.80663e-05
     -2.4581e-05    -2.76548e-05
     -0.00128531     -0.00114359
      -2.169e-05    -2.42245e-05
    -0.000203524    -0.000219285
    -0.000185253    -0.000200926
      -8.034e-05    -9.35309e-05
     -8.4299e-05    -9.39117e-05
    -0.000415796     -0.00042027
     -1.9079e-05    -2.52947e-05
      -7.707e-06    -9.27278e-06
     -2.4385e-05    -2.95284e-05
     -2.9181e-05    -3.24021e-05
     -0.00167811     -0.00173484
    -0.000748702    -0.000698603
     -8.5647e-05    -9.33118e-05
    -0.000957072    -0.000889021
     -0.00103234     -0.00097456
      -5.095e-05    -6.56964e-05
     -0.00245196     -0.00230119
      -7.851e-06    -1.02996e-05
     -4.3722e-05    -4.20763e-05
    -0.000156643    -0.000167729
    -0.000499804     -0.00050495
    -0.000699283    -0.000658024
      -4.412e-05    -4.21604e-05
     -0.00119754     -0.00116361
     -3.7568e-05    -4.35896e-05
    -0.000352692    -0.000366039
      -6.229e-06    -9.07061e-06
     -3.9178e-05    -4.43943e-05
     -0.00146324     -0.00145644
     -1.5626e-05    -1.73798e-05
     -8.8332e-05    -0.000102878
    -0.000708902    -0.000706727
     -1.0787e-05    -1.50645e-05
     -0.00104094     -0.00104792
    -0.000930358    -0.000921978
      -4.772e-05     -4.5262e-05
    -0.000580424    -0.000526187
     -6.4598e-05    -7.93373e-05
    -0.000669986    -0.000649526
     -6.6251e-05    -8.17616e-05
    -0.000698978    -0.000741864
      -1.305e-05    -1.63635e-05
    -0.000149317    -0.000146325
     -5.5571e-05    -6.95685e-05
     -6.0752e-05    -6.92661e-05
     -1.4385e-05    -1.75986e-05
      -1.631e-05    -1.95783e-05
     -4.4672e-05     -5.3672e-05
    -0.000160039    -0.000166421
     -8.1045e-05     -9.1665e-05
      -5.358e-05    -5.88087e-05
    -0.000122672    -0.000131961
     -1.7755e-05    -2.36035e-05
     -2.7699e-05    -2.99568e-05
     -2.9448e-05    -3.11961e-05
     -5.6407e-05    -5.92056e-05
     -0.00122902     -0.00122418
     -1.2215e-05     -1.5305e-05
     -2.1018e-05    -2.43425e-05
      -1.513e-05     -2.0571e-05
     -2.4413e-05    -2.92941e-05
     -1.8526e-05    -2.18062e-05
    -0.000710452    -0.000650418
    -0.000565792    -0.000529165
     -2.4946e-05    -3.24504e-05
     -1.5223e-05    -1.99906e-05
     -3.5793e-05     -3.4279e-05
    -0.000936471     -0.00086822
     -1.4321e-05    -1.85734e-05
     -5.3838e-05    -5.86079e-05
     -1.2136e-05    -1.30253e-05
    -0.000438307    -0.000399939
     -0.00107338     -0.00108427
     -1.9145e-05    -2.35614e-05
     -0.00203915     -0.00201013
     -2.3685e-05    -3.12815e-05
    -0.000726333    -0.000706354
     -0.00194938     -0.00212191
     -0.00023134    -0.000252004
     -0.00105793    -0.000941206
     -0.00130498     -0.00122626
    -0.000616405    -0.000596445
     -2.1361e-05    -2.85252e-05
     -9.7756e-05    -0.000105165
    -0.000792031     -0.00077181
     -6.9196e-05    -7.96382e-05
    -0.000179148    -0.000182584
     -0.00116532     -0.00112459
    -0.000691966    -0.000681574
     -2.9562e-05    -3.31432e-05
     -3.4503e-05    -3.70399e-05
     -2.3176e-05    -2.64465e-05
     -0.00147223     -0.00142599
    -0.000453735     -0.00042606
    -0.000713171     -0.00071224
     -1.5197e-05    -1.79191e-05
    -0.000181623    -0.000211863
     -0.00138224     -0.00144189
     -0.00153932     -0.00149471
    -0.000139747     -0.00013206
     -0.00125974     -0.00122808
     -2.1418e-05    -2.75782e-05
     -9.0314e-05    -9.55158e-05
     -1.3004e-05    -1.67533e-05
     -0.00191338     -0.00222148
    -0.000317156    -0.000329061
    -0.000391988    -0.000376763
     -0.00048219    -0.000491254
    -0.000540926    -0.000556021
    -0.000402896    -0.000419144
     -1.5149e-05    -1.74123e-05
    -0.000467769    -0.000493069
    -0.000285713    -0.000305977
    -0.000213002    -0.000240898
     -4.9887e-05     -6.2372e-05
    -0.000424031    -0.000437387
     -3.3942e-05    -4.07959e-05
     -0.00135422     -0.00123066
     -4.7534e-05    -6.00216e-05
     -0.00066268    -0.000616955
     -2.1034e-05    -2.80114e-05
     -0.00131327      -0.0012479
     -0.00013719    -0.000158252
    -0.000839917    -0.000792906
     -4.6627e-05    -5.18118e-05
    -0.000107233    -0.000106969
     -0.00021776    -0.000225453
      -1.068e-05    -1.24536e-05
    -0.000160809    -0.000159206
     -4.8765e-05    -5.39164e-05
    -0.000721115    -0.000654208
    -0.000224165     -0.00023591
    -0.000257224    -0.000277155
    -0.000414103    -0.000411972
     -1.6662e-05    -2.35225e-05
    -0.000737616    -0.000746646
    -0.000210167    -0.000225808
     -4.6143e-05     -4.9019e-05
      -9.972e-06    -1.41316e-05
     -4.9822e-05    -5.79937e-05
     -2.7741e-05     -3.5327e-05
     -7.4465e-05    -6.81367e-05
      -2.847e-05    -3.02091e-05
     -2.9053e-05    -3.68312e-05
    -0.000694289    -0.000653695
      -7.792e-06    -9.23858e-06
     -1.4684e-05    -1.76513e-05
     -3.1323e-05     -3.3821e-05
    -0.000433214    -0.000434647
     -5.4042e-05    -5.68374e-05
      -4.885e-06    -6.04372e-06
    -0.000201601     -0.00019831
    -0.000755458    -0.000767186
    -0.000186001    -0.000199139
    -0.000847731    -0.000817667
      -0.0017181     -0.00187381
     -5.2966e-05    -5.49626e-05
     -0.00108477     -0.00113887
     -9.1772e-05    -9.81374e-05
     -4.6015e-05    -4.93628e-05
    -0.000848622    -0.000840786
    -0.000166899    -0.000166283
     -3.6388e-05    -4.25257e-05
       -5.89e-05    -5.74112e-05
     -6.8296e-05    -7.88032e-05
      -9.126e-06    -1.20278e-05
      -9.507e-06    -1.09998e-05
    -0.000165368    -0.000173926
    -0.000113091    -0.000126502
    -0.000122399    -0.000118863
    -0.000401605    -0.000382685
     -0.00103481     -0.00106506
     -1.3532e-05     -1.5431e-05
    -0.000127921    -0.000149092
     -8.0566e-05    -8.98347e-05
     -4.0431e-05    -5.59151e-05
     -2.3663e-05     -2.6795e-05
     -0.00018989    -0.000219662
     -9.4003e-05    -8.88011e-05
       -0.001533     -0.00151084
      -9.823e-06     -1.0598e-05
     -5.2999e-05    -6.03548e-05
    -0.000302542    -0.000308102
    -0.000298434    -0.000307979
    -0.000559864    -0.000568678
    -0.000206962    -0.000209152
      -9.214e-06    -1.22254e-05
     -0.00120374     -0.00125176
     -4.6504e-05    -4.82622e-05
    -0.000311015    -0.000322427
     -1.1489e-05    -1.35324e-05
     -0.00104902      -0.0010803
    -0.000327429     -0.00032543
     -1.2958e-05    -1.49078e-05
     -1.7674e-05    -1.75165e-05
     -2.2192e-05    -2.48637e-05
    -0.000689968    -0.000690813
    -0.000777759    -0.000735664
      -4.907e-05       -5.48e-05
    -0.000132036    -0.000173102
    -0.000305812    -0.000296263
     -3.3293e-05    -4.22846e-05
      -6.136e-06    -7.98452e-06
      -7.763e-06    -1.13874e-05
     -0.00110354      -0.0010168
    -0.000595818    -0.000592787
    -0.000728917    -0.000731243
     -0.00125242     -0.00116688
     -1.1116e-05    -1.46456e-05
    -0.000760037    -0.000730671
     -6.2215e-05    -6.02961e-05
    -0.000265797    -0.000269309
    -0.000270717    -0.000289297
    -0.000240696    -0.000276163
     -0.00156844      -0.0016786
     -0.00036959     -0.00038458
     -1.2158e-05     -1.4633e-05
    -0.000289359    -0.000288051
     -2.1047e-05    -2.64245e-05
     -9.6324e-05    -0.000122737
    -0.000270227    -0.000250545
     -2.4611e-05    -2.68639e-05
    -0.000171688    -0.000193626
    -0.000195487    -0.000208188
    -0.000339429     -0.00034675
    -0.000216983    -0.000192771
     -0.00120916     -0.00117047
    -0.000922991    -0.000907556
    -0.000257629    -0.000270055
     -7.7138e-05    -8.18412e-05
      -3.681e-06    -4.97146e-06
    -0.000162389     -0.00015097
     -1.1891e-05    -1.29475e-05
      -9.674e-06    -1.30607e-05
    -0.000226448    -0.000236592
