QM Energy	FF Energy
     -0.00512893     -0.00518056
     -0.00152843     -0.00155643
     -0.00132264     -0.00138862
     -0.00162751     -0.00164158
     -0.00188448     -0.00166884
     -0.00103808    -0.000862342
     -0.00291826     -0.00305233
     -0.00276368     -0.00276359
     -0.00115756     -0.00120031
     -0.00282206     -0.00249278
     -0.00217118     -0.00219708
     -0.00171834     -0.00182821
     -0.00082266    -0.000842283
     -0.00298895     -0.00312116
     -0.00583166     -0.00581577
     -0.00881959     -0.00830132
     -0.00339705     -0.00343216
     -0.00223665     -0.00233045
     -0.00101169    -0.000888798
     -0.00414824     -0.00417198
    -0.000795947    -0.000750595
     -0.00385634      -0.0042699
    -0.000753178     -0.00077148
     -0.00116374      -0.0011821
     -0.00136215     -0.00138175
     -0.00652032     -0.00594073
     -0.00350874     -0.00372159
     -0.00145327     -0.00149019
     -0.00245038     -0.00255311
     -0.00437582     -0.00406034
    -0.000823005    -0.000816136
    -0.000754416     -0.00072735
     -0.00128516     -0.00136161
     -0.00655487     -0.00687425
     -0.00081437    -0.000820306
     -0.00138105     -0.00140719
      -0.0032273     -0.00317894
     -0.00160859     -0.00167323
      -0.0022099     -0.00221908
     -0.00861288     -0.00856306
    -0.000957363     -0.00100249
     -0.00304644     -0.00261862
     -0.00188523     -0.00197969
      -0.0006572    -0.000631139
     -0.00127009     -0.00119007
     -0.00608828     -0.00602242
     -0.00772838     -0.00734289
     -0.00448241     -0.00457263
      -0.0046153     -0.00406676
     -0.00698432     -0.00698002
     -0.00198692     -0.00202783
     -0.00165405     -0.00176024
     -0.00178212     -0.00186357
     -0.00136734     -0.00141558
    -0.000913813    -0.000843847
     -0.00119599     -0.00124104
     -0.00577569     -0.00579996
    -0.000897442    -0.000883466
     -0.00663974     -0.00648688
     -0.00148671     -0.00148881
     -0.00111026      -0.0010805
      -0.0014705     -0.00129408
      -0.0049575      -0.0049063
     -0.00472238     -0.00485127
     -0.00187645     -0.00191276
     -0.00479497     -0.00444927
     -0.00512795      -0.0053991
     -0.00534043     -0.00536129
     -0.00263013     -0.00279262
     -0.00576474     -0.00581315
     -0.00370954     -0.00376065
     -0.00781166     -0.00832692
     -0.00133476     -0.00139626
     -0.00144176     -0.00126173
     -0.00876515     -0.00819007
     -0.00387701     -0.00401156
     -0.00327461     -0.00348895
     -0.00277634     -0.00297849
     -0.00170232      -0.0017315
     -0.00254468     -0.00262533
     -0.00124192     -0.00124203
     -0.00245389     -0.00246427
     -0.00949928     -0.00983154
      -0.0137839      -0.0135101
     -0.00160439     -0.00169362
     -0.00127688     -0.00133127
     -0.00329837     -0.00311378
     -0.00833102     -0.00845889
    -0.000766113    -0.000738934
     -0.00153867     -0.00158724
      -0.0011296      -0.0011752
     -0.00138857     -0.00141521
    -0.000584962    -0.000582764
     -0.00374784     -0.00333021
     -0.00143849     -0.00143959
     -0.00495273     -0.00482058
     -0.00198749     -0.00198127
     -0.00161443     -0.00162777
     -0.00453233     -0.00457753
     -0.00312075     -0.00313664
     -0.00151171     -0.00155916
     -0.00143386     -0.00135176
     -0.00129075     -0.00121865
     -0.00902349     -0.00919604
     -0.00263713      -0.0022513
     -0.00101582     -0.00101887
     -0.00315498     -0.00327337
      -0.0080859     -0.00848227
     -0.00733358     -0.00721425
     -0.00150974     -0.00154058
     -0.00173235     -0.00170499
     -0.00153424     -0.00128441
      -0.0011841      -0.0010158
     -0.00514644     -0.00529682
    -0.000980456    -0.000847073
     -0.00111133     -0.00117397
     -0.00682517     -0.00684726
      -0.0108685     -0.00957048
     -0.00179314     -0.00182233
      -0.0020403     -0.00196068
     -0.00101212     -0.00101695
     -0.00238341     -0.00205749
     -0.00785835     -0.00768945
     -0.00325318     -0.00346753
      -0.0057884     -0.00609269
      -0.0106676      -0.0101929
     -0.00564058     -0.00579613
    -0.000882831    -0.000879544
     -0.00174154     -0.00170496
     -0.00491693     -0.00450468
     -0.00239955     -0.00241239
     -0.00467201     -0.00468211
     -0.00798301     -0.00763432
      -0.0069871     -0.00662618
     -0.00674311     -0.00735615
       -0.001161     -0.00126348
     -0.00138274     -0.00139523
     -0.00483077     -0.00523676
     -0.00361935     -0.00376297
    -0.000828129     -0.00072056
     -0.00173615     -0.00145529
      -0.0047468     -0.00479017
     -0.00518849     -0.00567528
     -0.00146002     -0.00141888
      -0.0010303     -0.00100387
      -0.0128365      -0.0108302
     -0.00122464     -0.00128793
      -0.0033433     -0.00357932
     -0.00416542     -0.00433414
     -0.00937248     -0.00947364
    -0.000778682    -0.000757581
    -0.000990099    -0.000973311
     -0.00126481     -0.00126678
     -0.00554411     -0.00590263
     -0.00190507     -0.00172246
     -0.00754731     -0.00677846
     -0.00584725      -0.0057551
      -0.0024521     -0.00250258
    -0.000586097    -0.000571771
     -0.00108457     -0.00116333
     -0.00674493      -0.0065003
     -0.00540975     -0.00556981
