QM Energy	FF Energy
    -0.000428434    -0.000553082
      -9.539e-05    -9.89702e-05
     -6.5544e-05    -6.94524e-05
    -0.000102434      -9.756e-05
    -0.000187482    -0.000196283
    -0.000146897    -0.000137587
    -0.000252791    -0.000242416
    -0.000193495    -0.000231341
     -1.5497e-05    -2.01707e-05
    -0.000362295    -0.000435731
    -0.000129186    -0.000154365
    -0.000107391    -0.000112617
       -5.05e-05    -5.49364e-05
     -7.7606e-05    -0.000109952
    -0.000349757    -0.000368627
    -0.000750319    -0.000684699
    -0.000110035    -0.000105923
    -0.000120045    -0.000105295
     -0.00011522    -0.000108338
    -0.000328213    -0.000252913
     -4.3384e-05     -4.5499e-05
    -0.000204442    -0.000248968
     -2.2469e-05    -2.05708e-05
     -6.9593e-05    -6.23294e-05
     -1.9877e-05    -2.30812e-05
     -0.00114635     -0.00147792
    -0.000283082    -0.000302312
     -2.9479e-05    -3.41515e-05
      -7.637e-05    -9.56469e-05
    -0.000632364    -0.000410726
      -6.308e-06    -9.82011e-06
      -9.788e-06    -9.81796e-06
     -3.0427e-05    -3.47224e-05
     -0.00067958    -0.000762556
     -1.3306e-05    -1.38136e-05
     -3.8927e-05    -3.82213e-05
    -0.000443222    -0.000508792
     -8.6919e-05    -8.27276e-05
    -0.000206885    -0.000227728
    -0.000979543      -0.0014162
     -1.7585e-05    -1.77883e-05
    -0.000398242    -0.000493488
    -0.000113822    -0.000103912
     -2.6096e-05    -2.26258e-05
    -0.000123697    -0.000124564
     -0.00029312    -0.000353165
    -0.000686282     -0.00061994
    -0.000516703    -0.000499153
     -0.00047845    -0.000701215
    -0.000647468    -0.000565327
     -3.6566e-05    -4.03892e-05
     -8.6418e-05    -8.39362e-05
     -7.6098e-05    -6.63824e-05
      -6.439e-05    -6.67485e-05
     -7.4333e-05    -7.36344e-05
     -1.3957e-05    -2.28635e-05
    -0.000647555    -0.000550245
     -6.1221e-05    -5.95512e-05
    -0.000686585    -0.000563862
     -4.9428e-05    -4.25393e-05
     -2.4168e-05     -2.2415e-05
     -0.00018344    -0.000199245
    -0.000704442    -0.000886318
    -0.000380931    -0.000500969
    -0.000164379    -0.000152066
    -0.000482007    -0.000653037
    -0.000293862    -0.000392844
     -0.00055869    -0.000742827
    -0.000199393    -0.000201063
    -0.000350065    -0.000376052
    -0.000296884    -0.000229594
    -0.000549907    -0.000660855
     -3.2865e-05    -3.14958e-05
    -0.000146136    -0.000149755
