QM Energy	FF Energy
    -0.000428434    -0.000511778
      -9.539e-05    -9.24776e-05
     -6.5544e-05     -6.9537e-05
    -0.000102434    -9.48806e-05
    -0.000187482    -0.000189175
    -0.000146897    -0.000135167
    -0.000252791    -0.000235528
    -0.000193495    -0.000213339
     -1.5497e-05    -2.33705e-05
    -0.000362295    -0.000418511
    -0.000129186    -0.000144637
    -0.000107391    -0.000108641
       -5.05e-05    -5.43696e-05
     -7.7606e-05    -0.000135097
    -0.000349757    -0.000423911
    -0.000750319    -0.000839198
    -0.000110035    -0.000123518
    -0.000120045    -0.000124572
     -0.00011522    -0.000106594
    -0.000328213    -0.000325763
     -4.3384e-05    -4.37161e-05
    -0.000204442    -0.000231522
     -2.2469e-05    -2.22574e-05
     -6.9593e-05    -6.13522e-05
     -1.9877e-05    -2.68496e-05
     -0.00114635      -0.0013906
    -0.000283082    -0.000295576
     -2.9479e-05    -3.51613e-05
      -7.637e-05     -0.00010815
    -0.000632364    -0.000514164
      -6.308e-06    -1.01583e-05
      -9.788e-06    -1.07292e-05
     -3.0427e-05    -3.39255e-05
     -0.00067958    -0.000758951
     -1.3306e-05    -1.37183e-05
     -3.8927e-05    -3.65709e-05
    -0.000443222     -0.00046794
     -8.6919e-05    -8.04902e-05
    -0.000206885    -0.000206265
    -0.000979543     -0.00132343
     -1.7585e-05    -2.04274e-05
    -0.000398242     -0.00047593
    -0.000113822    -0.000109192
     -2.6096e-05    -2.29699e-05
    -0.000123697    -0.000120142
     -0.00029312    -0.000442227
    -0.000686282    -0.000706923
    -0.000516703    -0.000470177
     -0.00047845    -0.000661378
    -0.000647468    -0.000612206
     -3.6566e-05    -4.19109e-05
     -8.6418e-05    -8.75655e-05
     -7.6098e-05    -7.95493e-05
      -6.439e-05    -6.21098e-05
     -7.4333e-05    -7.24443e-05
     -1.3957e-05     -2.2649e-05
    -0.000647555    -0.000590675
     -6.1221e-05    -5.80227e-05
    -0.000686585    -0.000585676
     -4.9428e-05    -4.68641e-05
     -2.4168e-05    -2.67364e-05
     -0.00018344    -0.000192635
    -0.000704442    -0.000765394
    -0.000380931    -0.000463812
    -0.000164379     -0.00014914
    -0.000482007    -0.000593085
    -0.000293862    -0.000387702
     -0.00055869    -0.000680049
    -0.000199393    -0.000192919
    -0.000350065    -0.000415944
    -0.000296884    -0.000283933
    -0.000549907    -0.000612315
     -3.2865e-05     -3.8318e-05
    -0.000146136    -0.000145285
      -0.0011371     -0.00151811
    -0.000210751    -0.000206386
    -0.000202301    -0.000237262
    -0.000169224    -0.000174004
      -3.676e-05    -5.07416e-05
    -0.000123647    -0.000116702
     -8.5036e-05    -7.37733e-05
    -0.000158948    -0.000167465
    -0.000813119     -0.00100897
      -0.0028357     -0.00220233
     -6.6502e-05    -7.10401e-05
     -1.1912e-05    -2.21633e-05
    -0.000464632    -0.000383501
    -0.000869127    -0.000742166
     -4.4011e-05    -3.93162e-05
       -7.92e-05    -7.83205e-05
     -1.3202e-05    -2.20249e-05
      -7.215e-05    -7.09863e-05
     -1.0782e-05     -1.1044e-05
    -0.000734608      -0.0008309
     -9.5029e-05    -9.61858e-05
    -0.000774761    -0.000969293
      -6.128e-05    -5.40043e-05
    -0.000143763    -0.000146768
     -0.00020816    -0.000281731
    -0.000376446    -0.000389499
