QM Energy	FF Energy
    -0.000566888     -0.00058829
    -0.000822294    -0.000785368
    -0.000148257    -0.000186647
     -2.5418e-05    -2.49789e-05
    -0.000397898     -0.00048225
    -0.000394071     -0.00042423
    -0.000538422    -0.000495108
    -0.000341977    -0.000380644
    -0.000242451    -0.000398925
     -4.3876e-05    -4.15412e-05
    -0.000159981    -0.000137753
    -0.000627289    -0.000669764
     -0.00010701    -9.87089e-05
    -0.000556534     -0.00055315
     -6.2839e-05    -4.78888e-05
    -0.000238558     -0.00025047
    -0.000191513     -0.00018732
    -0.000256476    -0.000271748
    -0.000598162    -0.000615977
    -0.000218591     -0.00026191
       -3.68e-05    -3.55219e-05
    -0.000187903    -0.000180012
    -0.000248891    -0.000269034
     -9.2752e-05    -8.68844e-05
    -0.000433725    -0.000539826
    -0.000240495    -0.000261187
     -2.2783e-05    -2.18255e-05
    -0.000326581    -0.000343033
    -0.000103492    -9.90025e-05
     -9.1991e-05    -9.23119e-05
    -0.000276825    -0.000323576
    -0.000179691    -0.000226708
     -1.9928e-05    -1.69404e-05
     -6.4504e-05    -5.88336e-05
     -7.7382e-05    -6.78325e-05
    -0.000893384     -0.00116581
    -0.000141765      -0.0001389
     -9.6729e-05    -0.000112462
    -0.000587063    -0.000611659
    -0.000685042    -0.000720856
    -0.000122801    -0.000115149
     -3.6594e-05    -3.29228e-05
    -0.000184299    -0.000196624
    -0.000227914    -0.000236456
      -2.343e-05    -2.06647e-05
     -0.00028497    -0.000215913
     -0.00106083     -0.00118758
    -0.000373019    -0.000377953
    -0.000785256    -0.000787127
     -3.0447e-05    -3.04083e-05
     -1.6078e-05    -1.94375e-05
    -0.000240872    -0.000257217
     -2.1224e-05    -2.50904e-05
     -3.4031e-05    -3.24884e-05
    -0.000725862    -0.000724032
    -0.000281458    -0.000295219
     -0.00026006    -0.000246933
    -0.000734277    -0.000925893
    -0.000463936    -0.000539989
    -0.000930781     -0.00121536
    -0.000174393    -0.000172859
      -2.871e-05    -2.68332e-05
     -4.7363e-05    -4.43703e-05
    -0.000317253    -0.000332385
     -0.00045698    -0.000534037
    -0.000196826    -0.000193349
    -0.000487105    -0.000626732
    -0.000442854    -0.000489469
    -0.000451755    -0.000467182
     -0.00131368     -0.00137229
    -0.000346157    -0.000405923
    -0.000609474    -0.000781119
      -0.0002136    -0.000220357
     -5.9443e-05    -5.50028e-05
    -0.000771461     -0.00101817
    -0.000189154    -0.000209374
     -9.3898e-05     -9.2889e-05
    -0.000122476    -0.000112703
     -0.00129328     -0.00127234
    -0.000217765    -0.000210486
    -0.000150962    -0.000149447
    -0.000277317     -0.00030139
    -0.000478484    -0.000522562
     -9.3436e-05     -9.6418e-05
     -0.00137046     -0.00111482
    -0.000141787    -0.000144309
      -0.0006671     -0.00089816
    -0.000147749    -0.000148241
     -8.8719e-05    -8.82207e-05
     -0.00097774    -0.000887715
    -0.000441676    -0.000448593
    -0.000389084    -0.000481213
    -0.000377016    -0.000375426
     -1.9777e-05    -1.75136e-05
     -6.4056e-05    -6.08466e-05
     -4.1013e-05    -3.92095e-05
    -0.000889079    -0.000903336
     -3.5224e-05    -3.25772e-05
    -0.000257788    -0.000263149
    -0.000394087    -0.000381366
    -0.000592954    -0.000787158
    -0.000166645    -0.000157988
    -0.000683965    -0.000670226
     -5.3079e-05    -4.89602e-05
     -8.4969e-05    -8.44419e-05
    -0.000271635    -0.000361718
    -0.000457594    -0.000591541
    -0.000562089    -0.000689908
    -0.000197034     -0.00020347
      -3.965e-05    -3.61177e-05
     -0.00022181    -0.000222536
    -0.000103557    -0.000103149
      -3.536e-05     -3.3603e-05
    -0.000169948    -0.000177126
    -0.000157346    -0.000154825
     -0.00142425     -0.00186165
    -0.000146396    -0.000142398
    -0.000467276    -0.000589377
     -4.8301e-05    -4.59059e-05
     -0.00019805    -0.000195918
    -0.000640573    -0.000712225
     -3.3106e-05    -3.09056e-05
     -6.3124e-05    -7.16708e-05
     -5.0517e-05    -6.47462e-05
    -0.000183041    -0.000197293
     -4.0733e-05    -5.25073e-05
     -9.1882e-05    -7.54636e-05
     -8.0144e-05    -7.14784e-05
     -0.00042911     -0.00038293
     -9.9224e-05    -8.42487e-05
    -0.000233475    -0.000251138
     -2.2704e-05    -1.80638e-05
     -5.5503e-05    -5.25635e-05
    -0.000188733    -0.000191501
    -0.000249139    -0.000268633
     -2.8383e-05    -9.59055e-05
    -0.000110034    -0.000295027
    -0.000131906    -0.000116935
     -0.00014109    -0.000142147
    -0.000569283    -0.000519881
    -0.000245611     -0.00024615
    -0.000252746    -0.000254983
    -0.000152498      -0.0001533
    -0.000130859    -0.000128119
     -6.4944e-05    -5.93551e-05
     -9.5524e-05    -8.93928e-05
     -8.4453e-05    -8.10519e-05
     -5.8083e-05    -5.43838e-05
     -3.0969e-05    -2.98728e-05
     -0.00040783    -0.000444703
    -0.000279367    -0.000312977
    -0.000954155    -0.000866104
    -0.000433862    -0.000510706
     -0.00154887     -0.00149352
     -8.6592e-05    -8.45552e-05
    -0.000147777    -0.000151415
     -8.5419e-05    -8.34291e-05
    -0.000490342    -0.000500662
     -3.3192e-05    -2.85533e-05
    -0.000248754     -0.00025631
     -5.5324e-05    -5.30692e-05
     -0.00155251     -0.00186082
    -0.000102225    -0.000103811
    -0.000183809    -0.000185634
     -6.6607e-05    -6.39788e-05
     -5.8969e-05    -6.00066e-05
    -0.000132993    -0.000134166
      -2.887e-05    -2.55671e-05
    -0.000129158    -0.000126978
     -6.8529e-05    -6.50644e-05
     -6.8869e-05    -6.94292e-05
    -0.000297314     -0.00030265
    -0.000858542    -0.000766269
    -0.000126681    -0.000124173
    -0.000336251    -0.000381297
     -2.7411e-05    -2.65128e-05
    -0.000763574    -0.000862579
    -0.000413252    -0.000518583
    -0.000847587     -0.00105933
    -0.000201219     -0.00019407
     -7.4121e-05      -7.352e-05
    -0.000104011    -9.01926e-05
     -4.2416e-05    -4.00451e-05
     -0.00070732    -0.000583558
    -0.000692285    -0.000864112
     -2.6196e-05    -2.38425e-05
     -6.6019e-05    -6.40217e-05
    -0.000623868    -0.000524603
     -5.9201e-05      -5.605e-05
    -0.000435266    -0.000520604
    -0.000323947    -0.000339932
    -0.000309304    -0.000329777
    -0.000165996    -0.000154577
    -0.000115202    -0.000115389
    -0.000380376     -0.00046622
     -0.00016307    -0.000174497
     -4.1792e-05    -4.03126e-05
     -0.00083953    -0.000788849
    -0.000115432    -0.000328336
    -0.000214984    -0.000238255
     -0.00021472    -0.000221649
     -1.7218e-05    -1.41494e-05
    -0.000127344    -0.000127514
    -0.000579326    -0.000656771
     -0.00123304     -0.00104667
     -6.9354e-05    -5.90426e-05
     -7.0465e-05    -6.42493e-05
     -0.00150693     -0.00194791
     -0.00188163     -0.00210664
    -0.000646671    -0.000632897
     -9.8751e-05     -8.6136e-05
     -8.0209e-05    -7.77747e-05
    -0.000749573    -0.000953616
     -0.00016025     -0.00015969
     -3.5286e-05    -2.77578e-05
    -0.000200966    -0.000197379
     -3.0588e-05    -2.73932e-05
     -0.00017112    -0.000177217
     -8.6503e-05    -8.10352e-05
    -0.000286417    -0.000286847
     -8.6108e-05    -0.000137712
     -3.1446e-05    -2.70993e-05
    -0.000142027    -0.000133475
     -3.8897e-05    -3.51292e-05
    -0.000187876    -0.000188142
    -0.000553798    -0.000559329
    -0.000879154     -0.00102425
    -0.000172007    -0.000157729
    -0.000114069    -0.000112551
    -0.000868701    -0.000883242
     -4.6359e-05    -5.26072e-05
     -2.8329e-05    -2.88119e-05
     -8.0478e-05    -7.53026e-05
     -0.00186069     -0.00219489
    -0.000358039    -0.000398857
    -0.000758054     -0.00100028
    -0.000712819    -0.000726694
    -0.000178288    -0.000178439
     -3.5694e-05    -2.49176e-05
     -3.5464e-05    -3.40791e-05
    -0.000414462     -0.00048378
     -2.8014e-05    -2.47156e-05
    -0.000107187    -9.93453e-05
    -0.000193016     -0.00018223
     -0.00131661     -0.00112542
     -0.00019605     -0.00019029
     -0.00015381    -0.000161369
     -4.3515e-05    -3.99513e-05
     -5.5489e-05    -4.96884e-05
     -2.0519e-05    -4.65773e-05
    -0.000482616    -0.000511256
    -0.000376378    -0.000369336
    -0.000105026    -0.000105173
    -0.000340073    -0.000408925
    -0.000352837    -0.000393351
    -0.000156594    -0.000159284
     -3.9978e-05    -3.43121e-05
    -0.000117696    -0.000120039
    -0.000397232    -0.000483219
    -0.000486269    -0.000530738
    -0.000129241    -0.000124013
     -7.4325e-05    -6.86102e-05
    -0.000118752    -0.000108355
    -0.000270931    -0.000259549
     -7.7758e-05    -7.48103e-05
     -3.7278e-05     -3.6492e-05
     -6.4559e-05    -5.85177e-05
     -0.00136006     -0.00172532
       -3.45e-05     -3.0786e-05
     -9.0123e-05    -9.55795e-05
     -6.1412e-05    -6.83552e-05
     -0.00108357    -0.000892353
     -0.00052398    -0.000599667
    -0.000259427    -0.000279554
     -4.6752e-05    -5.63577e-05
     -7.1227e-05     -7.6919e-05
     -3.4834e-05    -2.52855e-05
     -9.4355e-05    -9.95915e-05
    -0.000290436    -0.000341096
     -5.5992e-05    -5.07649e-05
     -6.0879e-05     -5.7448e-05
     -0.00110403      -0.0015356
    -0.000306234    -0.000253368
    -0.000610083    -0.000681179
     -4.4272e-05    -4.35851e-05
     -8.0511e-05    -6.77538e-05
    -0.000124521    -0.000134775
    -0.000159909    -0.000165875
      -0.0020475     -0.00232558
     -3.5149e-05     -3.2287e-05
    -0.000234272    -0.000226011
     -3.6327e-05    -3.62021e-05
    -0.000344521    -0.000386531
    -0.000297349    -0.000340573
    -0.000236484    -0.000229587
    -0.000190746    -0.000254909
    -0.000147893    -0.000156249
    -0.000110666     -0.00010216
    -0.000987733    -0.000875624
     -6.2269e-05    -6.02113e-05
     -3.2961e-05    -3.17246e-05
    -0.000208057    -0.000201425
    -0.000495059    -0.000528009
    -0.000303639    -0.000279919
    -0.000801418    -0.000778447
     -4.5808e-05    -4.29692e-05
     -0.00196536     -0.00167527
    -0.000148463    -0.000152893
    -0.000110012    -0.000104495
     -1.6176e-05    -2.15306e-05
     -9.4851e-05    -0.000102782
     -8.3034e-05    -8.24914e-05
     -5.8124e-05    -4.27027e-05
     -3.5246e-05    -3.45427e-05
    -0.000399196    -0.000440559
    -0.000420908    -0.000504948
    -0.000702658    -0.000628996
    -0.000353019     -0.00032507
    -0.000240525    -0.000260827
    -0.000130516    -0.000137854
    -0.000286141    -0.000324314
      -7.027e-05    -6.45164e-05
    -0.000457012     -0.00052251
    -0.000179119    -0.000187202
    -0.000105547     -9.8186e-05
     -3.4597e-05    -3.22378e-05
    -0.000893108    -0.000918449
     -8.5559e-05    -7.48103e-05
     -0.00018801    -0.000184988
    -0.000129463     -0.00011526
    -0.000572838    -0.000754065
     -4.4902e-05    -4.09476e-05
     -5.4152e-05    -4.98318e-05
    -0.000395197    -0.000433053
     -0.00014891    -0.000160947
    -0.000211132    -0.000238253
     -0.00014829    -0.000146777
     -5.5379e-05     -5.5458e-05
    -0.000959084      -0.0012132
     -3.1779e-05     -3.1702e-05
    -0.000494574    -0.000549668
     -0.00017112    -0.000167773
    -0.000111495    -0.000120098
     -9.2689e-05    -9.21598e-05
     -5.1559e-05    -4.46875e-05
     -4.1575e-05    -3.83244e-05
    -0.000119703    -9.29962e-05
     -5.7302e-05    -5.64852e-05
     -9.7443e-05    -9.89693e-05
    -0.000162544    -0.000182614
    -0.000283803    -0.000280659
    -0.000187578    -0.000195243
    -0.000475745    -0.000464724
    -0.000125018    -0.000120868
      -3.087e-05    -2.67528e-05
     -2.7713e-05    -2.66168e-05
     -5.3386e-05    -5.11133e-05
     -0.00099127     -0.00118341
    -0.000203993    -0.000223294
    -0.000687272    -0.000978321
    -0.000238158    -0.000288138
    -0.000119924    -0.000121206
    -0.000143507    -0.000155678
    -0.000391007    -0.000378464
      -7.939e-05    -7.92433e-05
    -0.000119533    -0.000115624
    -0.000582537    -0.000792126
     -0.00073919    -0.000771604
     -6.2249e-05    -6.22144e-05
     -6.2902e-05    -6.28274e-05
    -0.000199853    -0.000195748
     -7.5911e-05    -7.53086e-05
      -0.0012578      -0.0011764
    -0.000455292    -0.000560665
    -0.000830754    -0.000772805
     -2.6342e-05    -2.60375e-05
    -0.000174731     -0.00017155
    -0.000206275    -0.000208327
    -0.000129757    -0.000123171
     -3.0756e-05    -2.89414e-05
     -5.9225e-05    -4.65149e-05
     -3.6786e-05    -3.75325e-05
    -0.000116192    -0.000117549
     -0.00186285     -0.00195476
    -0.000113698    -0.000120038
    -0.000666341    -0.000680172
      -7.235e-05    -9.42823e-05
    -0.000234641    -0.000243725
    -0.000710711    -0.000795781
     -7.1573e-05    -7.36256e-05
    -0.000106594    -9.89165e-05
    -0.000251351    -0.000256584
    -0.000144523    -0.000137103
    -0.000112529    -0.000113282
     -7.0977e-05    -6.90387e-05
     -2.8655e-05    -2.72527e-05
    -0.000613199     -0.00053994
