QM Energy	FF Energy
     -0.00207181     -0.00275362
     -0.00357482      -0.0038822
     -0.00348361     -0.00250189
    -0.000482776    -0.000294033
     -0.00235696      -0.0026564
     -0.00281391     -0.00411643
     -0.00295527     -0.00318469
     -0.00200029     -0.00268374
     -0.00730937     -0.00548952
    -0.000303209    -0.000290206
     -0.00068007    -0.000467768
      -0.0031573     -0.00345191
    -0.000593543    -0.000780583
     -0.00203517     -0.00220723
    -0.000296077    -0.000212662
    -0.000609563    -0.000636976
    -0.000394716     -0.00047648
    -0.000662077     -0.00070812
     -0.00325623     -0.00407123
     -0.00171216     -0.00132747
    -0.000116322    -0.000103389
     -6.4608e-05    -0.000114518
    -0.000860988     -0.00116972
     -5.5838e-05     1.30761e-05
     -0.00299727     -0.00337554
     -0.00097063    -0.000971793
     -5.2994e-05    -8.97708e-05
     -0.00196748     -0.00189757
    -0.000218292    -0.000225455
    -0.000268117     -0.00049562
     -0.00138612     -0.00181806
     -0.00173482     -0.00187589
    -0.000282078    -0.000223553
    -0.000303107    -0.000275087
     0.000125829     0.000149945
     -0.00701927     -0.00669544
    -0.000208826    -0.000235975
       -0.001621     -0.00115873
     -0.00439254     -0.00566845
     -0.00277407     -0.00279115
      -9.052e-06     2.32101e-06
    -0.000244961    -0.000310547
    -0.000927966     -0.00120563
     -8.9991e-05    -0.000255242
    -0.000138283    -0.000125102
     -0.00190448     -0.00118777
     -0.00758568     -0.00806041
    -0.000724498    -0.000733008
     -0.00244542     -0.00296776
    -0.000264383    -0.000271629
    -0.000224764    -0.000223655
     -0.00109533    -0.000990126
     -0.00027862    -0.000361457
     -1.0639e-05    -1.31192e-06
     -0.00509485     -0.00534106
    -0.000872357     -0.00108318
     -0.00177707     -0.00207215
     -0.00505358     -0.00487632
     -0.00247365     -0.00224522
     -0.00583649     -0.00523511
      -0.0010052    -0.000965278
      1.5751e-05    -2.75154e-06
       2.358e-06     6.14333e-05
     -0.00109582     -0.00114013
     -0.00242284     -0.00280385
    -0.000586113    -0.000606729
     -0.00317007     -0.00358337
     -0.00299367     -0.00332216
     -0.00145723     -0.00165301
      -0.0112055      -0.0109891
     -0.00123584     -0.00130992
     -0.00310883     -0.00284091
    -0.000596724    -0.000619912
    -0.000127061    -0.000190457
      -0.0068769     -0.00710187
     -0.00107482     -0.00150003
      8.6527e-05    -7.60207e-05
    -0.000585491    -0.000681769
     -0.00691932     -0.00713749
     -0.00147047     -0.00158842
    -0.000581262    -0.000626002
     -0.00154579     -0.00201762
     -0.00132453     -0.00157131
    -0.000374199    -0.000327879
     -0.00596224     -0.00531721
    -0.000508666    -0.000477177
     -0.00524403     -0.00543921
    -0.000130104    -0.000203769
       -8.27e-06    -6.84854e-05
     -0.00739338     -0.00941904
     -0.00072709    -0.000808703
     -0.00115136     -0.00112789
     -0.00173377     -0.00200896
    -0.000107477    -0.000110605
     -0.00032667    -0.000286274
       -3.27e-06     -9.5226e-05
     -0.00179452     -0.00191767
     -0.00021316    -0.000249181
     -0.00257975     -0.00199341
     -0.00582723     -0.00390496
     -0.00361524     -0.00336633
     -0.00106658      -0.0011072
     -0.00349697      -0.0035298
    -0.000181489    -0.000163302
    -0.000436227    -0.000398425
     -0.00422979     -0.00313061
     -0.00290402     -0.00304624
      -0.0103015     -0.00787425
    -0.000619655    -0.000490436
    -0.000178922    -0.000231061
     -0.00132111      -0.0012622
    -0.000189598    -0.000211348
     -0.00011483    -0.000116771
    -0.000517297    -0.000436176
    -0.000127058    -0.000102886
     -0.00964903     -0.00851756
    -0.000133642     -0.00021255
     -0.00216126     -0.00211122
    -0.000170959    -0.000167879
    -0.000175016    -0.000193193
     -0.00450647     -0.00484313
      -7.209e-06    -4.12954e-06
     -0.00050115    -0.000393897
    -0.000499605    -0.000518578
    -0.000983612     -0.00104733
     -0.00109765    -0.000797207
    -0.000309585    -8.54033e-05
    -0.000478454    -0.000474781
      -0.0026693     -0.00230158
    -0.000435278    -0.000274802
     -0.00091817     -0.00114536
     -4.3379e-05    -2.55214e-05
     -3.2976e-05     -0.00012815
     -0.00113467     -0.00139512
     -0.00125535     -0.00156342
     -0.00200116     -0.00149132
     -0.00554321     -0.00405063
    -0.000219861    -0.000101752
    -0.000106457    -0.000252094
     -0.00289144     -0.00295306
     -0.00126177     -0.00161439
    -0.000648146    -0.000713921
       3.421e-06    -0.000177352
    -0.000717675    -0.000726371
    -0.000118387    -0.000127313
     -9.9367e-05    -0.000127803
    -0.000336087    -0.000434466
    -0.000285818    -0.000367057
      1.7409e-05     2.50794e-05
     -0.00224067     -0.00206071
     -0.00066414    -0.000659429
      -0.0105755     -0.00825894
     -0.00166713     -0.00171883
      -0.0103335       -0.010589
    -0.000657571    -0.000965678
    -0.000588312    -0.000701535
     -5.9249e-05    -9.09215e-05
     -0.00116296     -0.00106396
    -0.000136812    -9.57081e-05
    -0.000384635    -0.000324639
    -0.000188919    -0.000227709
      -0.0100493     -0.00920504
     0.000150129     0.000105977
    -0.000681164     -0.00101372
     -0.00029684     -0.00034117
    -0.000364723    -0.000425509
    -0.000490097    -0.000564199
     -0.00016969      -0.0002225
    -0.000416547     -0.00055786
      2.8643e-05     1.79381e-05
    -0.000191919    -0.000250583
    -0.000553023    -0.000724977
     -0.00403585     -0.00382424
      7.2078e-05    -4.75354e-05
    -0.000982305    -0.000834358
     -4.1033e-05    -5.76006e-05
      -0.0035564     -0.00456764
     -0.00201072     -0.00206368
      -0.0066826     -0.00751581
       -0.002291     -0.00197451
    -0.000189352    -0.000295347
     0.000166322     0.000171694
    -0.000312108    -0.000287832
     -0.00262838     -0.00182233
     -0.00486187     -0.00530792
    -0.000138621    -0.000149861
     -4.6483e-05    -0.000116117
     -0.00383663      -0.0047798
    -0.000240527    -0.000358088
      -0.0021109     -0.00259028
    -0.000503728    -0.000655052
    -0.000743259    -0.000726592
     -0.00223445     -0.00158098
    -0.000347706     -0.00036406
     -0.00259558     -0.00332856
    -0.000619349    -0.000572136
    -0.000100366    -0.000250806
     -0.00533818     -0.00586968
     -0.00525253      -0.0042113
    -0.000688024    -0.000789947
    -0.000620225    -0.000772609
    -0.000407449    -0.000241853
    -0.000276836    -0.000227511
     -0.00319569     -0.00377055
     -0.00616174     -0.00643616
    -0.000672174    -0.000434922
     -5.7887e-05    -8.98469e-05
     -0.00847215      -0.0069715
      -0.0134568      -0.0124765
     -0.00233545     -0.00225059
     0.000149829      0.00016957
     -5.7031e-05    -0.000118933
     -0.00420153     -0.00374399
    -0.000311242    -0.000585235
    -0.000385481     -0.00025498
    -0.000147447    -0.000188304
    -0.000161209     -0.00019867
    -0.000203518    -0.000224435
     -4.6449e-05    -0.000179512
     -0.00151413     -0.00175734
     -0.00263209     -0.00187364
     -3.0055e-05     4.76059e-05
    -0.000313196    -0.000359983
    -0.000203184    -0.000197452
     -0.00111411     -0.00154733
     -0.00132042     -0.00175116
     -0.00549425     -0.00665903
    -0.000340115    -0.000317933
     -0.00011415    -0.000191236
     -0.00424665     -0.00514138
    -0.000785771    -0.000548124
     0.000118237     6.96975e-05
    -0.000303029    -0.000341924
      -0.0125846      -0.0113661
     -0.00201159     -0.00222431
     -0.00377601     -0.00316096
     -0.00411915     -0.00504534
    -0.000208863    -0.000213975
    -0.000184614    -3.66541e-05
     -6.3364e-05    -0.000174535
     -0.00184612     -0.00177835
    -0.000149582    -0.000162449
    -0.000937987    -0.000708483
    -0.000670775    -0.000654725
     -0.00776132     -0.00925528
    -0.000963165     -0.00120032
    -0.000504493    -0.000471397
     -6.0753e-05    -6.02506e-05
    -0.000259375    -0.000201121
     -0.00107897     -0.00080729
      -0.0021244     -0.00236385
     -0.00126271     -0.00150176
    -0.000378992     -0.00075982
     -0.00325944     -0.00299371
     -0.00242116     -0.00341214
    -0.000781797     -0.00123831
      1.7668e-05     6.90797e-05
    -0.000451291    -0.000682889
     -0.00151806     -0.00163322
     -0.00294598      -0.0038951
    -0.000629567    -0.000676094
     -3.2996e-05     -0.00010931
      7.1563e-05     8.77315e-05
     -0.00161627     -0.00192389
    -0.000308201    -0.000379005
    -0.000191491    -0.000330801
    -0.000332924    -0.000322814
      -0.0108676     -0.00917818
    -0.000131306    -0.000133403
    -0.000440114    -0.000705611
    -0.000688509    -0.000665573
      -0.0133149      -0.0098491
     -0.00738888     -0.00548255
     -0.00268824     -0.00310159
     -0.00055594    -0.000525208
    -0.000184618    -0.000208543
    -0.000183779    -1.98609e-05
     -0.00077571    -0.000681799
      -0.0015347     -0.00169687
    -0.000271701    -0.000358187
     -7.4961e-05    -9.87431e-05
     -0.00809291     -0.00691525
     -0.00237053     -0.00168816
     -0.00449203     -0.00521832
     -3.0295e-05    -8.80006e-05
    -0.000101026     7.74868e-08
     -0.00133761     -0.00160545
    -0.000146642    -0.000141432
      -0.0142499      -0.0133695
    -0.000221643    -0.000289469
     -0.00070427     -0.00117321
      0.00013282     9.85209e-05
     -0.00100227    -0.000985348
     -0.00144477     -0.00159147
    -0.000704928    -0.000833478
     -0.00298491      -0.0026609
    -0.000763165    -0.000838551
    -0.000479125    -0.000602402
     -0.00484967     -0.00529059
      -6.614e-05    -0.000132908
    -0.000354899    -0.000295049
    -0.000592062    -0.000791483
     -0.00236796     -0.00330156
     -0.00132865     -0.00138642
     -0.00272298     -0.00335275
    -0.000316308    -0.000396823
      -0.0137386      -0.0143492
    -0.000762862      -0.0011715
    -0.000525182    -0.000680343
     -0.00020485    -0.000286327
     -0.00046829    -0.000460642
    -0.000341808     -0.00035258
    -0.000233912    -9.55958e-05
       8.403e-05     1.85759e-05
     -0.00416665     -0.00394497
     -0.00168833     -0.00153744
     -0.00409642      -0.0051738
     -0.00148833     -0.00145402
     -0.00094401    -0.000862523
    -0.000390158    -0.000352098
     -0.00112775     -0.00121859
    -0.000293419    -0.000287211
     -0.00231554     -0.00211763
    -0.000396756    -0.000434628
    -0.000519444    -0.000413879
    -0.000133814    -0.000178456
      -0.0011312     -0.00134646
     0.000118218     0.000119957
      1.2153e-05    -7.63446e-05
    -0.000726244    -0.000562711
     -0.00370132     -0.00366476
    -0.000126618    -0.000180818
     -4.8545e-05    -0.000174399
    -0.000838495     -0.00127855
     -0.00111175     -0.00146977
    -0.000531227    -0.000637199
     -0.00039316    -0.000413571
      3.0492e-05    -4.44866e-05
     -0.00502768     -0.00428446
     -6.6944e-05     -0.00010401
     -0.00242964      -0.0027369
    -0.000107821    -8.76691e-05
    -0.000463996    -0.000419325
    -0.000414489    -0.000588997
     0.000138168     0.000135431
    -0.000229941    -0.000314969
     -0.00085001    -0.000650245
    -0.000218553    -0.000238024
     0.000106999     7.58323e-05
      -0.0015493     -0.00152604
     -0.00174812     -0.00210199
    -0.000915958    -0.000854153
     -0.00053669    -0.000458717
    -0.000547084    -0.000850278
      5.6922e-05     8.15811e-05
    -0.000145984    -0.000180196
     -2.9852e-05    -0.000100406
     -0.00510833     -0.00542059
     -0.00145511     -0.00187054
     -0.00406098     -0.00369611
     -0.00130151     -0.00187079
     -6.2897e-05    -0.000112876
    -0.000356203    -0.000410173
     -0.00135447     -0.00166211
      -0.0005302    -0.000762333
    -0.000129692    -0.000104865
     -0.00364017     -0.00363897
     -0.00571492     -0.00736344
      1.4358e-05    -6.50932e-05
     -8.1212e-05    -0.000139499
     -0.00123864     -0.00143602
    -0.000331071     -0.00029563
     -0.00936308      -0.0112536
       -0.005023     -0.00475282
     -0.00323886     -0.00313083
      5.2759e-05     6.27061e-06
    -0.000305109    -0.000421175
    -0.000697775    -0.000992512
    -0.000320044    -0.000528599
      1.0644e-05     -7.0623e-05
    -0.000314815    -0.000188865
    -0.000175435    -0.000190114
       3.439e-05    -9.82946e-05
      -0.0127643      -0.0122861
    -0.000308202    -0.000260893
     -0.00217188     -0.00275373
    -0.000842951    -0.000941328
