QM Energy	FF Energy
    -0.000649823    -0.000726392
    -0.000958947    -0.000935119
    -0.000541031    -0.000447357
     -7.6977e-05    -6.17627e-05
    -0.000420591    -0.000340404
     -0.00059751    -0.000757574
    -0.000572479    -0.000546306
    -0.000393195    -0.000421853
     -0.00103507    -0.000927677
     -4.1614e-05    -3.87627e-05
    -0.000140439    -0.000123886
    -0.000758716    -0.000735844
     -7.0089e-05    -7.12587e-05
    -0.000605837    -0.000594858
     -7.8486e-05    -9.17509e-05
    -0.000100295    -6.84371e-05
    -0.000109545    -0.000107249
    -0.000147291    -0.000106396
    -0.000587142    -0.000535844
    -0.000422246    -0.000343875
     -1.0609e-05    -1.55165e-05
     -4.6249e-05    -3.27503e-05
    -0.000208585    -0.000231464
     -5.8011e-05    -5.86814e-05
    -0.000475523    -0.000406343
     -0.00013118    -9.75312e-05
     -1.7105e-05     -1.7513e-05
    -0.000431036    -0.000326496
      -2.565e-05    -2.02565e-05
     -4.9767e-05    -6.84748e-05
    -0.000282601    -0.000281789
    -0.000382819    -0.000380858
     -2.4245e-05    -1.93642e-05
     -6.0292e-05    -5.72402e-05
      -6.411e-06    -5.01446e-06
     -0.00114972    -0.000926452
     -3.3859e-05     -2.4063e-05
    -0.000331385    -0.000272854
    -0.000878429      -0.0010538
    -0.000892762    -0.000778193
     -1.8383e-05    -1.29139e-05
     -1.4866e-05    -1.94449e-05
    -0.000192268     -0.00026159
    -0.000181912    -0.000184068
      -9.265e-06     -1.0023e-05
    -0.000418019    -0.000341991
     -0.00141856     -0.00113592
    -0.000416301      -0.0003517
    -0.000891183    -0.000882578
     -3.8468e-05    -4.14338e-05
     -4.0286e-05    -3.39625e-05
    -0.000123261    -8.59933e-05
     -3.1275e-05    -3.01068e-05
     -1.2906e-05    -1.92473e-05
    -0.000885195    -0.000840058
    -0.000259883    -0.000238576
    -0.000268665    -0.000301375
    -0.000958867    -0.000761735
    -0.000378916    -0.000264931
      -0.0011399    -0.000776924
     -9.6518e-05    -8.58534e-05
     -1.3722e-05    -1.49343e-05
     -1.8967e-05    -2.03579e-05
    -0.000333058    -0.000321521
    -0.000581944    -0.000514713
    -0.000161299    -0.000163715
    -0.000549224    -0.000493844
    -0.000462904    -0.000439224
    -0.000486761    -0.000487351
     -0.00178764     -0.00159606
     -0.00023298    -0.000164767
    -0.000599439     -0.00038831
    -0.000247149    -0.000207624
      -1.781e-05    -2.53679e-05
     -0.00108715    -0.000966752
    -0.000183899    -0.000205046
     -6.3694e-05    -9.21932e-05
     -8.8347e-05    -0.000102517
     -0.00161068     -0.00152524
     -0.00024244    -0.000196547
    -0.000153692    -0.000146203
    -0.000317111     -0.00032824
    -0.000456558    -0.000454458
     -2.0072e-05    -1.51552e-05
     -0.00146012     -0.00111545
     -4.1563e-05    -3.00842e-05
    -0.000889067    -0.000728188
    -0.000100384     -0.00010887
     -6.2673e-05    -6.32524e-05
     -0.00140978     -0.00167208
    -0.000428579    -0.000367004
    -0.000228155    -0.000144432
    -0.000309983    -0.000294053
     -1.5154e-05    -1.52827e-05
     -5.3556e-05    -6.49771e-05
     -1.8688e-05    -2.91243e-05
    -0.000941024    -0.000772288
      -9.063e-06    -1.29623e-05
    -0.000477481    -0.000387074
     -0.00100983    -0.000825281
    -0.000699458    -0.000467015
    -0.000153516    -0.000167554
    -0.000859253    -0.000619767
     -2.1072e-05    -2.37396e-05
     -2.5038e-05    -2.32368e-05
    -0.000876358    -0.000715352
    -0.000578922    -0.000442153
     -0.00149792     -0.00125698
     -4.7397e-05    -2.72424e-05
     -1.8618e-05    -1.96969e-05
    -0.000157193    -0.000143984
     -3.0738e-05    -3.18998e-05
     -1.9232e-05    -2.45818e-05
     -4.1138e-05    -2.55163e-05
    -0.000119737    -0.000119068
     -0.00169957     -0.00114739
    -0.000143853    -0.000144305
    -0.000379464    -0.000243629
     -2.4137e-05    -3.04194e-05
     -4.9456e-05    -3.23322e-05
    -0.000745734     -0.00068655
     -1.8798e-05    -2.58824e-05
    -0.000121487    -0.000105794
    -0.000104543    -8.74234e-05
    -0.000118607    -0.000103399
    -0.000153501     -0.00012521
      -7.756e-05    -7.15519e-05
     -5.2536e-05    -5.07312e-05
    -0.000550841      -0.0004946
      -7.815e-05    -7.34467e-05
    -0.000159025    -0.000146246
     -1.8626e-05    -2.16264e-05
     -2.8545e-05    -4.17393e-05
    -0.000141617    -0.000150099
    -0.000325977    -0.000351294
    -0.000325802    -0.000256811
     -0.00085776     -0.00073009
    -0.000124365    -0.000114005
     -9.8628e-05    -0.000116696
    -0.000630496    -0.000503999
    -0.000255004     -0.00030986
    -0.000173942    -0.000187891
    -0.000104312    -0.000130969
     -7.3602e-05    -7.48445e-05
     -2.4166e-05    -3.23852e-05
      -1.769e-05    -1.45865e-05
     -5.0475e-05    -6.89878e-05
     -3.0298e-05    -4.23757e-05
     -1.0979e-05    -1.54629e-05
    -0.000601402    -0.000442638
    -0.000198125     -0.00013418
     -0.00174518      -0.0014281
    -0.000364316    -0.000265781
     -0.00177567      -0.0018251
     -8.0664e-05    -0.000129111
     -6.7977e-05    -6.45078e-05
     -2.0916e-05    -1.96163e-05
    -0.000570523     -0.00046344
     -1.1778e-05    -1.25294e-05
     -8.4707e-05    -5.02895e-05
     -1.1712e-05    -1.50474e-05
     -0.00186454     -0.00131016
     -5.6705e-05    -6.38369e-05
    -0.000174564    -0.000201331
     -2.7161e-05    -3.70749e-05
     -2.3927e-05    -2.98745e-05
     -6.2016e-05    -5.72411e-05
      -8.806e-06    -9.45946e-06
     -5.6139e-05    -6.49441e-05
     -1.5141e-05    -1.55167e-05
     -2.1245e-05    -2.27516e-05
    -0.000244896     -0.00024819
    -0.000895526    -0.000770376
     -7.8579e-05    -9.87095e-05
    -0.000151462    -8.75145e-05
     -1.0153e-05    -1.93474e-05
    -0.000857407    -0.000910945
    -0.000388328    -0.000289713
     -0.00100276    -0.000918078
    -0.000381052    -0.000363871
     -3.5478e-05    -4.19284e-05
      -1.265e-05    -9.11363e-06
     -4.6635e-05    -4.01656e-05
    -0.000834436    -0.000652706
    -0.000877434    -0.000757966
     -1.1988e-05    -1.57595e-05
     -3.6287e-05    -4.60593e-05
    -0.000882859     -0.00111294
     -5.0507e-05    -7.33896e-05
    -0.000457445    -0.000453046
    -0.000315018    -0.000316278
    -0.000202427    -0.000139538
    -0.000366304    -0.000287692
    -0.000100369    -9.10888e-05
     -0.00048608    -0.000501861
     -5.8442e-05    -4.27642e-05
     -2.6782e-05     -5.0162e-05
    -0.000990611    -0.000974821
    -0.000839697    -0.000595552
    -0.000116402    -0.000116356
      -0.0001508    -0.000181413
     -4.9906e-05    -3.84173e-05
     -2.3432e-05    -1.56293e-05
    -0.000535045    -0.000464297
     -0.00136249     -0.00142015
     -8.9288e-05    -7.88111e-05
     -1.5905e-05    -1.96919e-05
     -0.00168595      -0.0010256
     -0.00172674     -0.00185409
    -0.000714301    -0.000596742
     -1.2503e-05    -9.35677e-06
     -1.6455e-05    -1.45471e-05
    -0.000758179    -0.000479495
    -0.000133885    -0.000156239
     -4.4255e-05    -3.88354e-05
     -8.9009e-05    -6.63001e-05
     -1.0336e-05    -1.06338e-05
     -4.8304e-05    -3.38196e-05
     -5.5449e-05    -9.07012e-05
    -0.000335913    -0.000340178
    -0.000452718    -0.000353287
     -1.5241e-05    -1.50394e-05
    -0.000100217    -0.000120423
     -1.3341e-05    -1.64843e-05
    -0.000153229    -0.000173802
    -0.000569133    -0.000583825
    -0.000995605    -0.000948723
    -0.000160179    -0.000184323
     -7.2516e-05    -8.08149e-05
     -0.00107679     -0.00113645
    -0.000133911    -0.000113075
      -8.419e-06    -1.15691e-05
     -3.5174e-05    -4.28854e-05
     -0.00226898     -0.00170282
    -0.000363473    -0.000316392
    -0.000688023    -0.000401662
    -0.000785983    -0.000776239
     -6.3741e-05    -4.58147e-05
     -3.7214e-05    -4.00628e-05
     -1.7315e-05    -3.35464e-05
     -0.00033346    -0.000225423
      -9.548e-06    -9.67902e-06
    -0.000152751    -0.000140171
    -0.000147074    -0.000138198
     -0.00148318     -0.00170782
    -0.000189902    -0.000225647
     -4.7737e-05    -3.62616e-05
      -1.696e-05    -2.23098e-05
     -3.0595e-05     -3.5205e-05
    -0.000154326    -0.000121836
    -0.000422705    -0.000394017
    -0.000358752    -0.000392032
       -9.09e-05    -0.000154821
    -0.000654292      -0.0006264
    -0.000424668    -0.000535207
     -0.00015892    -0.000207234
      -2.678e-05    -2.62817e-05
      -8.265e-05    -0.000110888
    -0.000288491    -0.000209228
    -0.000702794    -0.000749494
      -7.578e-05    -8.65112e-05
     -2.2883e-05    -2.49886e-05
     -1.9194e-05    -1.43747e-05
     -0.00021476    -0.000211617
     -2.5793e-05    -3.20117e-05
     -2.7415e-05    -4.28121e-05
     -3.7359e-05    -4.38414e-05
     -0.00148457     -0.00102097
     -1.0223e-05    -1.12306e-05
     -9.5724e-05    -0.000149568
     -8.4725e-05    -9.48916e-05
     -0.00182842     -0.00173541
     -0.00141617     -0.00117681
    -0.000477969    -0.000590969
     -8.5018e-05    -8.52362e-05
      -1.806e-05     -2.1202e-05
     -3.0221e-05    -2.70772e-05
    -0.000154012    -0.000126885
    -0.000257535    -0.000207862
     -3.3574e-05    -4.20894e-05
     -2.1445e-05    -2.99752e-05
     -0.00131886     -0.00091365
    -0.000454526    -0.000417832
    -0.000799538    -0.000747461
     -2.0559e-05    -2.80627e-05
     -7.6227e-05    -7.60883e-05
    -0.000143316    -0.000201573
     -4.7134e-05    -3.21035e-05
     -0.00211846     -0.00171813
      -1.842e-05    -1.67933e-05
    -0.000241243    -0.000333486
      -1.281e-05    -1.63505e-05
    -0.000241169    -0.000174942
    -0.000222875    -0.000173518
    -0.000171302    -0.000179762
    -0.000480912    -0.000412988
     -8.6105e-05    -7.89071e-05
     -7.1023e-05    -7.42608e-05
     -0.00107124    -0.000949438
     -2.1757e-05    -2.97615e-05
     -3.9115e-05    -3.69728e-05
