QM Energy	FF Energy
    -0.000649823    -0.000777393
    -0.000958947    -0.000995418
    -0.000541031    -0.000464795
     -7.6977e-05    -6.43468e-05
    -0.000420591    -0.000401646
     -0.00059751    -0.000820872
    -0.000572479    -0.000557767
    -0.000393195     -0.00047113
     -0.00103507    -0.000957171
     -4.1614e-05     -3.5948e-05
    -0.000140439    -0.000113446
    -0.000758716    -0.000802421
     -7.0089e-05    -6.42424e-05
    -0.000605837    -0.000596603
     -7.8486e-05     -9.2942e-05
    -0.000100295    -8.70222e-05
    -0.000109545    -0.000120369
    -0.000147291    -0.000131576
    -0.000587142    -0.000543823
    -0.000422246    -0.000335817
     -1.0609e-05    -1.49684e-05
     -4.6249e-05    -4.31984e-05
    -0.000208585    -0.000254594
     -5.8011e-05    -5.29267e-05
    -0.000475523    -0.000470311
     -0.00013118    -0.000119414
     -1.7105e-05    -1.65854e-05
    -0.000431036    -0.000304528
      -2.565e-05    -2.56122e-05
     -4.9767e-05    -7.85264e-05
    -0.000282601    -0.000318502
    -0.000382819    -0.000379454
     -2.4245e-05    -1.93279e-05
     -6.0292e-05    -5.32168e-05
      -6.411e-06    -6.98839e-06
     -0.00114972     -0.00108635
     -3.3859e-05    -3.13166e-05
    -0.000331385    -0.000281196
    -0.000878429     -0.00114196
    -0.000892762    -0.000761783
     -1.8383e-05    -1.76083e-05
     -1.4866e-05    -1.79882e-05
    -0.000192268    -0.000269676
    -0.000181912    -0.000172726
      -9.265e-06    -8.91366e-06
    -0.000418019    -0.000337738
     -0.00141856      -0.0012911
    -0.000416301    -0.000335672
    -0.000891183    -0.000923807
     -3.8468e-05    -4.08174e-05
     -4.0286e-05    -3.44264e-05
    -0.000123261    -0.000106408
     -3.1275e-05    -2.97637e-05
     -1.2906e-05    -1.83106e-05
    -0.000885195    -0.000914128
    -0.000259883    -0.000274493
    -0.000268665     -0.00031022
    -0.000958867    -0.000881464
    -0.000378916    -0.000314774
      -0.0011399    -0.000916624
     -9.6518e-05    -9.98556e-05
     -1.3722e-05    -1.34501e-05
     -1.8967e-05    -1.76488e-05
    -0.000333058    -0.000307533
    -0.000581944    -0.000589896
    -0.000161299    -0.000153038
    -0.000549224    -0.000576978
    -0.000462904    -0.000479082
    -0.000486761    -0.000480612
     -0.00178764     -0.00180704
     -0.00023298    -0.000205298
    -0.000599439    -0.000469036
    -0.000247149    -0.000194701
      -1.781e-05    -2.84273e-05
     -0.00108715     -0.00111311
    -0.000183899    -0.000234403
     -6.3694e-05    -9.15968e-05
     -8.8347e-05    -9.84694e-05
     -0.00161068     -0.00167614
     -0.00024244    -0.000180415
    -0.000153692    -0.000137176
    -0.000317111    -0.000374957
    -0.000456558    -0.000477412
     -2.0072e-05    -1.96737e-05
     -0.00146012     -0.00107312
     -4.1563e-05    -3.83509e-05
    -0.000889067    -0.000846795
    -0.000100384    -0.000100965
     -6.2673e-05    -5.72945e-05
     -0.00140978     -0.00181021
    -0.000428579    -0.000347004
    -0.000228155    -0.000184807
    -0.000309983    -0.000291655
     -1.5154e-05     -1.4891e-05
     -5.3556e-05    -6.32802e-05
     -1.8688e-05    -3.00935e-05
    -0.000941024    -0.000753539
      -9.063e-06    -1.27141e-05
    -0.000477481    -0.000374896
     -0.00100983    -0.000860307
    -0.000699458    -0.000558173
    -0.000153516    -0.000162541
    -0.000859253     -0.00058181
     -2.1072e-05    -2.09603e-05
     -2.5038e-05    -2.82114e-05
    -0.000876358    -0.000730989
    -0.000578922    -0.000520117
     -0.00149792     -0.00128008
     -4.7397e-05     -3.5846e-05
     -1.8618e-05    -1.72694e-05
    -0.000157193     -0.00016383
     -3.0738e-05    -3.71421e-05
     -1.9232e-05    -2.33262e-05
     -4.1138e-05    -3.34972e-05
    -0.000119737    -0.000109809
     -0.00169957     -0.00133734
    -0.000143853    -0.000137514
    -0.000379464    -0.000297191
     -2.4137e-05     -2.8517e-05
     -4.9456e-05     -4.3248e-05
    -0.000745734    -0.000746411
     -1.8798e-05    -2.52744e-05
    -0.000121487    -0.000102821
    -0.000104543    -8.49727e-05
    -0.000118607    -0.000125003
    -0.000153501    -0.000129269
      -7.756e-05    -6.64709e-05
     -5.2536e-05    -4.52523e-05
    -0.000550841    -0.000478648
      -7.815e-05    -6.75012e-05
    -0.000159025    -0.000168083
