QM Energy	FF Energy
    -0.000566888    -0.000694959
    -0.000822294    -0.000923935
    -0.000148257    -0.000241308
     -2.5418e-05    -3.54627e-05
    -0.000397898    -0.000513152
    -0.000394071    -0.000515499
    -0.000538422    -0.000548884
    -0.000341977    -0.000423859
    -0.000242451     -0.00048596
     -4.3876e-05     -4.7029e-05
    -0.000159981    -0.000156032
    -0.000627289    -0.000765358
     -0.00010701    -0.000100679
    -0.000556534    -0.000637361
     -6.2839e-05    -6.74674e-05
    -0.000238558    -0.000256687
    -0.000191513    -0.000197956
    -0.000256476    -0.000282685
    -0.000598162    -0.000615073
    -0.000218591    -0.000311634
       -3.68e-05    -3.81125e-05
    -0.000187903    -0.000183107
    -0.000248891    -0.000293264
     -9.2752e-05    -0.000100516
    -0.000433725    -0.000574284
    -0.000240495    -0.000270439
     -2.2783e-05    -2.54513e-05
    -0.000326581    -0.000359635
    -0.000103492    -0.000101383
     -9.1991e-05    -9.95934e-05
    -0.000276825     -0.00034859
    -0.000179691    -0.000275846
     -1.9928e-05    -1.93502e-05
     -6.4504e-05    -6.88344e-05
     -7.7382e-05    -6.82856e-05
    -0.000893384     -0.00125019
    -0.000141765    -0.000141294
     -9.6729e-05    -0.000157518
    -0.000587063    -0.000727688
    -0.000685042     -0.00081221
    -0.000122801    -0.000116217
     -3.6594e-05    -3.54952e-05
    -0.000184299    -0.000233888
    -0.000227914    -0.000276538
      -2.343e-05    -2.23443e-05
     -0.00028497    -0.000270291
     -0.00106083      -0.0012782
    -0.000373019    -0.000443991
    -0.000785256    -0.000929262
     -3.0447e-05    -3.71117e-05
     -1.6078e-05    -2.49612e-05
    -0.000240872    -0.000265687
     -2.1224e-05    -2.84159e-05
     -3.4031e-05    -3.56768e-05
    -0.000725862    -0.000804254
    -0.000281458    -0.000326632
     -0.00026006    -0.000279792
    -0.000734277      -0.0010059
    -0.000463936    -0.000563772
    -0.000930781     -0.00128312
    -0.000174393    -0.000183261
      -2.871e-05     -3.0644e-05
     -4.7363e-05    -4.94249e-05
    -0.000317253    -0.000370591
     -0.00045698    -0.000594083
    -0.000196826    -0.000219088
    -0.000487105    -0.000673693
