QM Energy	FF Energy
    -0.000998605     -0.00159023
    -0.000690301    -0.000554541
    -0.000162025    -0.000194196
     -0.00010634    -8.04613e-05
     -0.00109852    -0.000939282
    -0.000161742    -0.000117856
    -0.000451213     -0.00044684
    -0.000105117    -0.000107898
     -0.00025495    -0.000274894
    -0.000112275     -0.00012147
     -3.6016e-05    -3.21253e-05
    -0.000301718    -0.000395972
    -0.000322665    -0.000431716
    -0.000306157    -0.000261008
     -4.1521e-05    -3.68674e-05
    -0.000478377    -0.000642814
    -0.000380228    -0.000474152
    -0.000405801    -0.000509691
     -0.00042454    -0.000357797
    -0.000136673    -0.000126782
    -0.000130865    -0.000117435
    -0.000160802    -0.000117989
    -0.000179134     -0.00018101
     -5.7596e-05    -5.57645e-05
    -0.000342536    -0.000338175
    -0.000554583    -0.000619263
     -6.5997e-05    -6.27721e-05
    -0.000102317    -0.000111105
     -6.4168e-05    -5.36496e-05
    -0.000128988    -8.50992e-05
    -0.000779407    -0.000722529
     -0.00128498     -0.00160898
     -0.00029108    -0.000230931
    -0.000136887    -0.000133242
      -3.953e-05     -3.6307e-05
     -0.00156254     -0.00141415
     -8.9562e-05    -8.78333e-05
      -7.524e-05    -7.02683e-05
     -0.00012646    -0.000125026
    -0.000107419    -9.72261e-05
     -0.00174122     -0.00200581
    -0.000150375     -0.00015275
     -0.00119387     -0.00180057
    -0.000256301      -0.0002944
     -5.5249e-05      -6.212e-05
    -0.000395024    -0.000430202
     -0.00132729     -0.00135658
    -0.000681153    -0.000723693
    -0.000148994    -9.10347e-05
    -0.000323025    -0.000309918
     -0.00107197     -0.00123677
     -4.8221e-05     -4.8516e-05
    -0.000288642    -0.000302727
    -0.000120944    -0.000133512
    -0.000486127     -0.00052177
     -0.00158663     -0.00108024
    -0.000931686    -0.000938435
    -0.000115443    -0.000110294
    -0.000995836     -0.00143763
    -0.000478054    -0.000515727
    -0.000153271    -0.000128682
     -7.8594e-05    -8.04839e-05
      -4.976e-05    -4.71395e-05
    -0.000272478    -0.000288822
    -0.000136488    -8.22102e-05
    -0.000697945    -0.000856642
    -0.000349761     -0.00037547
    -0.000178029    -0.000189449
    -0.000603125     -0.00058348
    -0.000100445    -7.60316e-05
    -0.000791647     -0.00100304
     -0.00017099    -0.000105237
    -0.000127883    -0.000137082
    -0.000242804    -0.000218238
    -0.000410215     -0.00045384
    -0.000243855    -0.000178938
      -0.0005419    -0.000589507
    -0.000125279    -0.000131857
    -0.000509959    -0.000328293
      -3.106e-05    -2.47727e-05
    -0.000196558    -0.000177397
    -0.000113569    -7.97228e-05
    -0.000113751    -8.90981e-05
    -0.000271213    -0.000260379
     -0.00129116     -0.00155091
    -0.000781008    -0.000757664
     -2.8847e-05    -2.79959e-05
    -0.000728594    -0.000836457
    -0.000105341    -0.000105504
     -0.00138426      -0.0014462
    -0.000341538    -0.000336977
    -0.000559989    -0.000473431
    -0.000433714    -0.000444916
