QM Energy	FF Energy
    -0.000105817    -0.000157146
    -0.000239648    -0.000159297
       -1.56e-05    -1.88307e-05
     -7.1421e-05    -6.90061e-05
     -0.00139219     -0.00165104
    -0.000358549    -0.000514592
     -6.7397e-05    -7.79782e-05
    -0.000711256    -0.000694295
     -0.00060393    -0.000362547
    -0.000521435    -0.000432588
     -1.3514e-05    -2.75539e-05
      -0.0015932      -0.0017761
    -0.000315251    -0.000229634
    -0.000435958     -0.00041924
     -0.00022755    -0.000185711
     -2.2989e-05    -3.27289e-05
    -0.000791187    -0.000735775
    -0.000336337    -0.000253754
     -6.6995e-05    -7.93999e-05
     -0.00189859     -0.00203856
     -2.6608e-05    -2.92488e-05
     -0.00077122     -0.00073886
    -0.000896877    -0.000780688
    -0.000131171     -0.00011674
     -8.5931e-05    -8.54439e-05
     -4.9368e-05    -5.67675e-05
    -0.000111819    -0.000142935
     -0.00150338    -0.000979442
    -0.000795281    -0.000662165
     -7.3574e-05    -8.77961e-05
     -2.5145e-05     -2.8299e-05
    -0.000544999    -0.000645741
    -0.000404315    -0.000321315
    -0.000171461    -0.000163194
    -0.000317683    -0.000251544
    -0.000208948    -0.000250014
    -0.000123966    -0.000133015
     -0.00108121     -0.00114201
    -0.000925269    -0.000836481
    -0.000328361    -0.000287265
    -0.000151507    -9.38932e-05
    -0.000628279    -0.000658506
     -1.1351e-05    -1.95932e-05
      -5.199e-05    -3.37369e-05
     -1.6822e-05    -1.74566e-05
    -0.000432621    -0.000345131
     -1.6408e-05    -1.19569e-05
     -0.00127428    -0.000958229
     -4.6098e-05    -4.78836e-05
     -6.4812e-05    -8.52819e-05
      -6.521e-06     -1.1522e-05
    -0.000651084    -0.000562936
    -0.000302673    -0.000306848
     -7.5201e-05    -8.67582e-05
    -0.000477363    -0.000438601
     -0.00205225     -0.00230729
     -3.6858e-05    -4.45423e-05
     -0.00110618    -0.000935951
     -3.7363e-05    -4.19963e-05
     -8.7027e-05    -5.83557e-05
     -2.9399e-05    -1.71128e-05
     -0.00197564     -0.00111141
     -0.00015306      -0.0002066
     -3.2672e-05    -1.81705e-05
     -4.7167e-05    -4.97108e-05
     -4.5191e-05    -4.73609e-05
    -0.000332639    -0.000417045
     -4.7996e-05    -2.08733e-05
     -5.0283e-05    -5.87014e-05
     -1.4164e-05    -2.73919e-05
    -0.000325187    -0.000334831
     -0.00107195     -0.00050678
    -0.000862773    -0.000944761
    -0.000280459    -0.000191473
     -2.2028e-05    -3.04267e-05
     -0.00127211    -0.000963831
    -0.000463972    -0.000318984
     -1.6643e-05    -2.88484e-05
     -3.9941e-05     -5.2101e-05
     -3.7263e-05    -4.27598e-05
     -1.9326e-05    -2.42609e-05
     -4.0929e-05    -2.63056e-05
    -0.000279475    -0.000279376
    -0.000603169     -0.00062141
    -0.000187174    -9.33418e-05
     -1.6419e-05     -2.1708e-05
    -0.000132271    -8.67994e-05
    -0.000233365    -0.000241901
    -0.000171568     -0.00016578
    -0.000184816    -0.000213765
    -0.000963823    -0.000757162
    -0.000204248    -0.000200342
      -8.655e-05    -0.000107324
     -1.0466e-05    -1.10821e-05
     -0.00237061     -0.00319757
     -0.00121514     -0.00108926
      -7.604e-06    -1.00263e-05
     -0.00109457    -0.000957159
     -2.5661e-05    -1.88129e-05
    -0.000298787    -0.000312014
      -3.712e-05    -2.81109e-05
     -3.0822e-05    -3.19688e-05
     -5.4563e-05    -4.54923e-05
    -0.000258573    -0.000371769
    -0.000329637    -0.000246188
     -0.00218146     -0.00180202
     -3.9855e-05    -3.47441e-05
       -2.12e-05    -1.22965e-05
    -0.000275263    -0.000198209
      -0.0005055    -0.000522482
     -5.6359e-05    -9.89051e-05
     -4.7369e-05    -5.81611e-05
    -0.000376465    -0.000321382
     -8.7753e-05    -7.61146e-05
     -0.00011546    -0.000169098
     -0.00153418     -0.00196887
    -0.000161308    -0.000149238
     -2.2498e-05    -1.73962e-05
    -0.000266253     -0.00032808
     -0.00117511    -0.000887335
